,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,,,,,Total Amount Transferred,60088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,SC Fee,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ACB Fee,-30,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total transferred SGD,59970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Exchange Rate,16439,SGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total VND transferred,985846830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,44100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Amount,Interest,Amount to be collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,To put in bank,400000000,0.063,412427397.260274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,To buy stock,-1010585121.7381439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total ,,6897088574.669701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Remain in acc,,-6582924688.079018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Checking,,8000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Current position,,-12336680000,,Current Sold,,204425498702.76068,,Potential current value to be sold,,13471865962.753296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,New,Profit (Loss) accumulated,,-1133781200.377106,0.0002036746898320384,,,,,Potential Profit (Loss),,1135185962.753296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Old,Profit (Loss) accumulated,,31940445.54442282,,,,,,Potential Profit (Loss),,147299.99542236328,lô lẻ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,All,Profit (Loss) accumulated,,-1101840754.832683,,Sold,,,,Potential Profit (Loss),,1135333262.7487183,0.09202907611680924,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-28 00:00:00,,,,Emotional State,,,,,,,,,,,,,,
,,B Date,S Date,Hold period,Stock,,Cash Output,,,,Closed position,,,,Current Value,,Sell?,Trade count,Profit (loss),Gain (Loss) %,,Buying Fee,Selling Fee,Tax,,Workday from today,,Set up type,Session,Buy,Sell,Reason for loss,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total open position,,,-12336680000,,,,238320755600.607,,,,13472013262.748718,,,1135333262.7487183,0.09202907611680924,,-436871502.2100712,-424539929.5227312,-238503724.06100702,,,,,,,,,,,,,,,,,,,,
"Position
Closed?",New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Closted position output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ACBS + MBS vo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Transferred,,,52667000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Long position,,,-455735000,,,,31032677990.82069,,,,496076003.41796875,,6.173867692739555,40341003.41796875,0.08851855446250288,,-77543592.3478735,-77581694.97705173,-31032677.99082069,,,,,,,,,,,,,,,,,,,,
,,,,,Fee,,,-155125287.32492524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tax,,,-31032677.99082069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Remaining,,,-118249913.64445458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Stock,Vol,Price,Cash Output,,Vol,Price,Amount,,Vol,Price,Amount,,,,,,0.0025,,,,,,,,,,,,,,,,,,,,,,
1,,,,0,HOSE:PNJ,1000,-58300,-58300000,,1000,58900,58900000,,0,121900.0015258789,0,,1,600000,0.010291595197255575,,-145750,-147250,-58900,,,,,,,,,,,,,,,,,,,,
1,,,,0,HOSE:PNJ,1000,-58300,-58300000,,1000,67900,67900000,,0,121900.0015258789,0,,1,9600000,0.1646655231560892,,-145750,-169750,-67900,,,,,,,,,,,,,,,,,,,,
1,,,,0,HNX:TAR,2000,-21700,-43400000,,2000,19500,39000000,,0,0,0,,1,-4400000,-0.10138248847926268,,-108500,-97500,-39000,,,,,,,,,,,,,,,,,,,,
1,Stock Div,,,0,HNX:TAR,400,,0,,400,19500,7800000,,0,0,0,,1,7800000,,,0,-19500,-7800,,,,,,,,,,,,,,,,,,,,
1,,,,0,HOSE:MWG,1000,-88700,-88700000,,1000,113100,113100000,,0,93099.9984741211,0,,1,24400000,0.2750845546786922,,-221750,-282750,-113100,,,,,,,,,,,,,,,,,,,,
1,,,,0,HOSE:MWG,1000,-111200,-111200000,,1000,113100,113100000,,0,93099.9984741211,0,,1,1900000,0.0170863309352518,,-278000,-282750,-113100,,,,,,,,,,,,,,,,,,,,
