date,symbol,name,exchange,industryCode,close,volume,traded_value_vnd,adv_apr_vnd,p_now,p_hist,p20
2026-04-01,HHS,CTCP Đầu tư dịch vụ Hoàng Huy,HSX,8630,13.3,4739600.0,63036680000.0,50781843500.0,0.8944128574928973,0.75,0.8222064287464487
2026-04-01,DCL,CTCP Dược phẩm Cửu Long,HSX,4570,59.9,1175700.0,70424430000.0,41449621500.0,0.9443435634737075,0.65,0.7971717817368538
2026-04-01,AAV,CTCP AAV Group,HNX,8630,8.6,827800.0,7119080000.0,8279083500.0,0.9835255151058562,0.6,0.791762757552928
2026-04-01,GEE,CTCP Điện lực Gelex,HSX,2730,207.0,2116100.0,438032700000.0,163146054000.0,0.9500090763791699,0.5,0.7250045381895849
2026-04-01,MZG,CTCP MiZa,UPCOM,1730,13.3,450800.0,5995640000.0,4835142500.0,0.7179647395409159,,0.7179647395409159
2026-04-01,MST,CTCP Đầu tư MST,HNX,2350,8.7,2587800.0,22513860000.0,20768241500.0,0.9626173937608621,0.45,0.7063086968804311
2026-04-01,TIN,Công ty Tài chính Cổ phần Tín Việt,UPCOM,8350,165.0,68800.0,11352000000.0,6392887500.0,0.9886941770486471,0.4,0.6943470885243236
2026-04-01,VCG,Tổng CTCP Xuất nhập khẩu và Xây dựng Việt Nam,HSX,2350,22.5,12297000.0,276682500000.0,231058775750.0,0.7602515455400071,0.5,0.6301257727700036
2026-04-01,MIG,Tổng CTCP Bảo hiểm Quân Đội,HSX,8530,20.2,615900.0,12441180000.0,4774602750.0,0.891669087379604,0.35,0.620834543689802
2026-04-01,CII,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,HSX,2350,18.35,19627100.0,360157285000.0,400900220250.0,0.5943140947153879,0.6,0.5971570473576939
2026-04-01,TCO,CTCP Janus Group,HSX,2770,14.0,795800.0,11141200000.0,5855818000.0,0.9903180286320588,0.2,0.5951590143160294
2026-04-01,HUT,CTCP Tasco,HNX,2350,16.9,2679000.0,45275100000.0,42989321000.0,0.726821234361161,0.45,0.5884106171805805
2026-04-01,PET,Tổng CTCP Dịch vụ Tổng hợp Dầu khí,HSX,5370,51.3,1045300.0,53623890000.0,30910886750.0,0.9725236252876728,0.2,0.5862618126438364
2026-04-01,VBB,Ngân hàng TMCP Việt Nam Thương Tín,UPCOM,8350,11.4,370000.0,4218000000.0,3689132000.0,0.9211703124411882,0.25,0.585585156220594
2026-04-01,TAL,CTCP Đầu tư Bất động sản Taseco,HSX,8630,46.1,475400.0,21915940000.0,11712059500.0,0.7592034649723006,0.4,0.5796017324861503
2026-04-01,NAF,CTCP Nafoods Group,HSX,3530,49.4,704600.0,34807240000.0,30897026250.0,0.9070936679416813,0.25,0.5785468339708406
2026-04-01,IDC,Tổng công ty IDICO - CTCP,HNX,8630,49.3,2369900.0,116836070000.0,92180146000.0,0.8491867338123662,0.3,0.5745933669061831
2026-04-01,VIW,Tổng công ty Đầu tư Nước và Môi trường Việt Nam - CTCP,UPCOM,2350,40.2,67900.0,2729580000.0,4569757500.0,0.9448511593688431,0.2,0.5724255796844215
2026-04-01,TOS,CTCP Dịch vụ biển Tân Cảng,UPCOM,2770,172.9,47400.0,8195460000.0,7608924000.0,0.6885376080909228,0.45,0.5692688040454614
2026-04-01,CRC,CTCP Create Capital Việt Nam,HSX,2350,10.2,2653000.0,27060600000.0,34915227200.0,0.7848198501002311,0.35,0.5674099250501156
2026-04-01,FOX,CTCP Viễn thông FPT,UPCOM,6530,87.1,397700.0,34639670000.0,19919778000.0,0.8800543054329127,0.2,0.5400271527164564
2026-04-01,TNG,CTCP Đầu tư và Thương mại TNG,HNX,3760,24.1,7845100.0,189066910000.0,43550124000.0,0.7716807782457875,0.3,0.5358403891228938
2026-04-01,NT2,CTCP Điện lực Dầu khí Nhơn Trạch 2,HSX,7530,27.7,1394400.0,38624880000.0,23502847500.0,0.7611051736720834,0.3,0.5305525868360417
2026-04-01,VGC,Tổng Công ty Viglacera - CTCP,HSX,2350,46.7,842600.0,39349420000.0,37209391000.0,0.5032202167136998,0.55,0.52661010835685
