date,open,high,low,close,volume
2024-01-30,8.3,8.3,8.2,8.3,324849
2024-01-31,8.3,8.4,8.2,8.3,563680
2024-02-01,8.3,8.3,8.1,8.2,559345
2024-02-02,8.2,8.3,8.1,8.2,741303
2024-02-05,8.2,8.2,8.1,8.1,630326
2024-02-06,8.2,8.3,8.1,8.3,456609
2024-02-07,8.3,8.3,8.2,8.3,492275
2024-02-15,8.3,8.4,8.2,8.4,640483
2024-02-16,8.3,8.4,8.2,8.4,752808
2024-02-19,8.4,8.4,8.2,8.4,535099
2024-02-20,8.3,8.7,8.3,8.6,2719128
2024-02-21,8.6,8.7,8.4,8.6,897978
2024-02-22,8.6,8.7,8.4,8.5,1000801
2024-02-23,8.5,8.6,8.4,8.5,1596685
2024-02-26,8.4,8.6,8.3,8.6,1286885
2024-02-27,8.6,8.7,8.5,8.7,1611298
2024-02-28,8.6,8.7,8.5,8.6,1009040
2024-02-29,8.6,8.8,8.5,8.6,1743133
2024-03-01,8.6,9.0,8.6,9.0,5029833
2024-03-04,9.0,9.3,8.9,9.2,1924112
2024-03-05,9.2,9.2,8.9,9.1,1750144
2024-03-06,9.1,9.2,8.8,8.9,2036725
2024-03-07,8.9,9.5,8.9,9.4,4441692
2024-03-08,9.3,9.6,9.2,9.3,2646859
2024-03-11,9.3,9.3,8.9,9.0,2176085
2024-03-12,9.0,9.0,8.8,9.0,1114062
2024-03-13,8.9,9.3,8.9,9.3,1414086
2024-03-14,9.3,9.3,9.0,9.1,1983324
2024-03-15,9.1,9.3,8.9,9.2,1767194
2024-03-18,9.1,9.3,8.6,8.9,2810012
2024-03-19,8.9,9.0,8.7,8.8,769402
2024-03-20,8.8,9.0,8.7,8.9,913033
2024-03-21,8.9,9.2,8.9,9.1,1580012
2024-03-22,9.1,9.3,9.1,9.2,2365887
2024-03-25,9.3,9.4,9.1,9.2,2009289
2024-03-26,9.1,9.2,9.1,9.2,859832
2024-03-27,9.2,9.6,9.2,9.6,2732663
2024-03-28,9.6,9.8,9.5,9.7,1416518
2024-03-29,9.6,9.7,9.4,9.5,1028840
2024-04-01,9.5,9.6,9.3,9.5,1454016
2024-04-02,9.4,9.5,9.2,9.4,1410468
2024-04-03,9.3,9.5,9.2,9.3,1209826
2024-04-04,9.3,9.3,9.1,9.1,1247047
2024-04-05,9.1,9.2,8.9,9.0,1928926
2024-04-08,9.0,9.0,8.8,8.8,953283
2024-04-09,8.8,9.1,8.8,9.0,1005286
2024-04-10,9.0,9.1,8.9,8.9,509370
2024-04-11,8.9,9.0,8.7,8.9,919548
2024-04-12,8.9,9.0,8.8,9.0,911936
2024-04-15,9.0,9.0,8.3,8.4,1449528
2024-04-16,8.6,8.6,7.9,8.3,1833441
2024-04-17,8.3,8.4,8.2,8.4,1341999
2024-04-19,8.4,8.4,7.9,7.9,2008932
2024-04-22,8.1,8.4,8.0,8.3,1873320
2024-04-23,8.1,8.3,8.0,8.2,512597
2024-04-24,8.2,8.4,8.2,8.3,868965
2024-04-25,8.3,8.4,8.1,8.2,543182
2024-04-26,8.2,8.2,8.0,8.2,585730
2024-05-02,8.1,8.2,8.1,8.1,345545
2024-05-03,8.2,8.3,8.1,8.1,630576
2024-05-06,8.2,8.4,8.1,8.4,767430
2024-05-07,8.3,8.4,8.2,8.3,440135
2024-05-08,8.3,8.4,8.2,8.4,774433
2024-05-09,8.4,8.4,8.2,8.3,420397
2024-05-10,8.3,8.4,8.2,8.4,745962
2024-05-13,8.4,8.6,8.4,8.5,984937
2024-05-14,8.5,8.6,8.4,8.5,428208
2024-05-15,8.5,8.6,8.4,8.5,1135067
2024-05-16,8.6,8.7,8.5,8.5,674923
2024-05-17,8.6,8.6,8.4,8.6,1162915
2024-05-20,8.6,8.7,8.5,8.6,762999
2024-05-21,8.6,8.7,8.5,8.7,1037072
2024-05-22,8.6,8.8,8.6,8.7,1155669
2024-05-23,8.7,8.7,8.5,8.7,827574
2024-05-24,8.6,8.7,8.3,8.5,1047224
2024-05-27,8.5,8.5,8.3,8.4,519969
2024-05-28,8.4,8.6,8.4,8.6,534208
2024-05-29,8.6,8.6,8.4,8.5,496607
2024-05-30,8.4,8.5,8.3,8.4,551128
2024-05-31,8.4,8.5,8.3,8.4,523773
2024-06-03,8.4,8.6,8.4,8.6,1288636
2024-06-04,8.5,8.6,8.5,8.6,668676
2024-06-05,8.6,8.6,8.4,8.5,765934
2024-06-06,8.5,8.5,8.3,8.5,548825
2024-06-07,8.4,8.5,8.3,8.5,392810
2024-06-10,8.4,8.5,8.4,8.4,692816
2024-06-11,8.5,8.5,8.3,8.5,766051
2024-06-12,8.4,9.1,8.4,9.0,4284304
2024-06-13,9.0,9.0,8.7,8.8,998499
2024-06-14,8.8,9.0,8.4,8.5,2031937
2024-06-17,8.5,8.6,8.4,8.5,1020835
2024-06-18,8.5,8.5,8.4,8.4,322281
2024-06-19,8.5,8.5,8.4,8.5,620676
2024-06-20,8.5,8.5,8.3,8.5,516434
2024-06-21,8.4,8.5,8.3,8.4,855917
2024-06-24,8.4,8.4,8.1,8.3,1113928
2024-06-25,8.2,8.3,8.2,8.3,450522
2024-06-26,8.3,8.3,8.2,8.2,494473
2024-06-27,8.2,8.3,8.2,8.2,208746
2024-06-28,8.2,8.3,8.0,8.1,501638
2024-07-01,8.1,8.1,8.0,8.1,411811
2024-07-02,8.1,8.2,8.0,8.2,226170
2024-07-03,8.2,8.3,8.1,8.3,154263
2024-07-04,8.2,8.2,8.1,8.2,391411
2024-07-05,8.2,8.2,8.1,8.2,220288
2024-07-08,8.2,8.2,8.0,8.1,243688
2024-07-09,8.1,8.3,8.0,8.3,362039
2024-07-10,8.3,8.3,8.1,8.1,282730
2024-07-11,8.2,8.3,8.1,8.3,296971
2024-07-12,8.3,8.3,8.1,8.2,144938
2024-07-15,8.1,8.2,8.1,8.1,252026
2024-07-16,8.2,8.2,8.1,8.2,301464
2024-07-17,8.2,8.2,8.0,8.2,1319429
2024-07-18,8.2,8.2,8.0,8.2,446862
2024-07-19,8.1,8.2,8.0,8.0,464531
2024-07-22,8.0,8.0,7.7,7.8,1176941
2024-07-23,7.8,7.8,7.6,7.6,694477
2024-07-24,7.6,7.7,7.4,7.6,623748
2024-07-25,7.7,8.2,7.6,7.7,514852
2024-07-26,7.7,7.7,7.6,7.7,291400
2024-07-29,7.7,7.8,7.6,7.6,107800
2024-07-30,7.6,7.6,7.4,7.5,446800
2024-07-31,7.6,7.6,7.5,7.6,232700
2024-08-01,7.6,7.6,7.1,7.2,592800
2024-08-02,7.1,7.3,7.1,7.2,798200
2024-08-05,7.2,7.2,6.6,6.7,940100
2024-08-06,6.7,6.9,6.7,6.8,547600
2024-08-07,6.7,6.9,6.6,6.8,363400
2024-08-08,6.8,6.9,6.7,6.8,308400
2024-08-09,6.8,7.1,6.8,7.0,450800
2024-08-12,7.0,7.0,6.9,6.9,115100
2024-08-13,7.0,7.0,6.8,6.9,194800
2024-08-14,6.9,7.0,6.8,6.9,303700
2024-08-15,6.8,6.9,6.7,6.8,200700
2024-08-16,6.9,7.4,6.9,7.4,659500
2024-08-19,7.4,7.4,7.2,7.4,281800
2024-08-20,7.3,7.5,7.2,7.4,373900
2024-08-21,7.4,7.4,7.3,7.4,204600
2024-08-22,7.4,7.5,7.4,7.5,145000
2024-08-23,7.5,7.5,7.3,7.4,615400
2024-08-26,7.4,7.5,7.4,7.4,312700
2024-08-27,7.4,7.5,7.3,7.4,191700
2024-08-28,7.4,7.5,7.3,7.4,429000
2024-08-29,7.4,7.5,7.3,7.5,206100
2024-08-30,7.5,7.5,7.3,7.4,387200
2024-09-04,7.4,7.4,7.2,7.3,184400
2024-09-05,7.2,7.4,7.2,7.3,287000
2024-09-06,7.3,7.3,7.2,7.2,124400
2024-09-09,7.2,7.3,7.1,7.2,294400
2024-09-10,7.2,7.3,7.1,7.2,289200
2024-09-11,7.2,7.2,7.0,7.0,94100
2024-09-12,7.1,7.2,7.1,7.1,180900
2024-09-13,7.1,7.3,7.0,7.3,231100
2024-09-16,7.3,7.3,7.2,7.2,233500
2024-09-17,7.2,7.4,7.2,7.4,235600
2024-09-18,7.3,7.5,7.2,7.4,323600
2024-09-19,7.4,7.5,7.3,7.4,196400
2024-09-20,7.4,7.5,7.3,7.3,316000
2024-09-23,7.4,7.4,7.3,7.4,96900
2024-09-24,7.4,7.4,7.2,7.2,75600
2024-09-25,7.3,7.4,7.2,7.4,195400
2024-09-26,7.4,7.5,7.3,7.4,207700
2024-09-27,7.3,7.5,7.3,7.5,272800
2024-09-30,7.4,7.5,7.4,7.5,182100
2024-10-01,7.5,7.8,7.5,7.7,552400
2024-10-02,7.6,7.7,7.5,7.6,190100
2024-10-03,7.6,7.6,7.4,7.5,211100
2024-10-04,7.5,7.5,7.4,7.4,139000
2024-10-07,7.5,7.6,7.3,7.4,99200
2024-10-08,7.3,7.5,7.3,7.4,97700
2024-10-09,7.4,7.4,7.2,7.4,75700
2024-10-10,7.4,7.4,7.2,7.3,105900
2024-10-11,7.3,7.4,7.2,7.3,106700
2024-10-14,7.2,7.4,7.2,7.3,156200
2024-10-15,7.3,7.3,7.1,7.1,170200
2024-10-16,7.2,7.2,7.1,7.2,141100
2024-10-17,7.1,7.2,7.1,7.2,169400
2024-10-18,7.1,7.2,7.1,7.1,177000
2024-10-21,7.1,7.2,7.0,7.0,125000
2024-10-22,7.0,7.0,6.9,7.0,153500
2024-10-23,6.9,7.0,6.9,7.0,111600
2024-10-24,6.9,7.0,6.8,6.9,202700
2024-10-25,6.9,6.9,6.8,6.8,76400
2024-10-28,6.8,6.9,6.8,6.8,68400
2024-10-29,6.9,7.0,6.9,6.9,67600
2024-10-30,6.9,6.9,6.7,6.9,179200
2024-10-31,6.8,6.8,6.8,6.8,151000
2024-11-01,6.8,6.8,6.7,6.7,208600
2024-11-04,6.7,6.8,6.7,6.7,78200
2024-11-05,6.7,6.8,6.7,6.7,93400
2024-11-06,6.7,6.9,6.7,6.9,95500
2024-11-07,6.8,6.9,6.7,6.8,121600
2024-11-08,6.8,6.8,6.7,6.8,113100
2024-11-11,6.8,6.8,6.7,6.7,112100
2024-11-12,6.7,6.8,6.6,6.7,184800
2024-11-13,6.7,6.7,6.6,6.7,135200
2024-11-14,6.7,6.7,6.5,6.5,260400
2024-11-15,6.6,6.6,6.4,6.4,274600
2024-11-18,6.4,6.5,6.3,6.4,186400
2024-11-19,6.4,6.4,6.3,6.3,126800
2024-11-20,6.3,6.5,6.2,6.4,272200
2024-11-21,6.4,6.5,6.3,6.5,65000
2024-11-22,6.4,6.5,6.3,6.4,77900
2024-11-25,6.2,6.4,6.2,6.3,359800
2024-11-26,6.3,6.5,6.3,6.4,229900
2024-11-27,6.4,6.4,6.3,6.4,103600
2024-11-28,5.4,6.4,5.4,6.2,746100
2024-11-29,6.0,6.1,5.9,6.1,383500
2024-12-02,6.0,6.2,6.0,6.1,240600
2024-12-03,6.1,6.1,6.0,6.1,170800
2024-12-04,6.0,6.1,5.9,6.0,140000
2024-12-05,6.0,6.4,5.9,6.3,780700
2024-12-06,6.5,6.5,6.3,6.4,444500
2024-12-09,6.3,6.5,6.3,6.5,301900
2024-12-10,6.4,6.4,6.2,6.4,172200
2024-12-11,6.3,6.4,6.2,6.3,169700
