date,open,high,low,close,volume
2024-01-30,3.9,3.9,3.7,3.9,336062
2024-01-31,3.8,3.9,3.7,3.8,314021
2024-02-01,3.8,3.9,3.7,3.8,144941
2024-02-02,3.8,3.9,3.7,3.7,279324
2024-02-05,3.7,3.8,3.7,3.7,142315
2024-02-06,3.7,3.8,3.7,3.7,221193
2024-02-07,3.7,3.9,3.7,3.7,186444
2024-02-15,3.7,3.9,3.7,3.8,234770
2024-02-16,3.8,4.0,3.8,3.9,244327
2024-02-19,3.9,4.0,3.8,3.9,239308
2024-02-20,3.9,4.0,3.8,4.0,383346
2024-02-21,3.9,4.0,3.9,3.9,302293
2024-02-22,3.9,4.1,3.9,4.1,792036
2024-02-23,4.1,4.1,3.9,3.9,467105
2024-02-26,3.9,4.0,3.8,3.9,199217
2024-02-27,3.9,4.0,3.8,3.9,363916
2024-02-28,3.9,4.0,3.8,4.0,300874
2024-02-29,3.9,4.0,3.8,3.9,673190
2024-03-01,3.9,3.9,3.8,3.8,598346
2024-03-04,3.8,3.9,3.8,3.8,291669
2024-03-05,3.8,3.9,3.8,3.8,312614
2024-03-06,3.8,3.9,3.8,3.8,598518
2024-03-07,3.8,3.9,3.8,3.8,196264
2024-03-08,3.8,3.8,3.7,3.8,383114
2024-03-11,3.8,3.9,3.7,3.7,273468
2024-03-12,3.8,3.8,3.7,3.7,66928
2024-03-13,3.8,3.9,3.7,3.9,498982
2024-03-14,3.9,3.9,3.7,3.8,599011
2024-03-15,3.8,3.8,3.7,3.8,283007
2024-03-18,3.8,3.9,3.7,3.8,422011
2024-03-19,3.8,3.8,3.7,3.7,310081
2024-03-20,3.7,3.8,3.7,3.8,81701
2024-03-21,3.8,3.8,3.7,3.8,289998
2024-03-22,3.8,3.8,3.7,3.8,319406
2024-03-25,3.7,3.8,3.7,3.7,563005
2024-03-26,3.7,3.8,3.6,3.6,223892
2024-03-27,3.7,3.8,3.6,3.7,352449
2024-03-28,3.7,3.8,3.6,3.7,384078
2024-03-29,3.7,3.7,3.6,3.7,281020
2024-04-01,3.7,3.8,3.7,3.7,593563
2024-04-02,3.8,3.8,3.7,3.8,454310
2024-04-03,3.8,3.9,3.7,3.8,672597
2024-04-04,3.8,3.8,3.7,3.8,438852
2024-04-05,3.8,3.8,3.6,3.7,410120
2024-04-08,3.7,3.7,3.6,3.6,222269
2024-04-09,3.6,3.8,3.3,3.7,2585164
2024-04-10,3.6,3.9,3.5,3.6,1071759
2024-04-11,3.6,3.7,3.4,3.6,665009
2024-04-12,3.6,3.6,3.4,3.4,598706
2024-04-15,3.4,3.5,3.1,3.1,730978
2024-04-16,3.2,3.2,2.9,3.0,399727
2024-04-17,3.0,3.3,3.0,3.3,722257
2024-04-19,3.3,3.5,3.2,3.3,532960
2024-04-22,3.3,3.6,3.3,3.6,979914
2024-04-23,3.6,3.9,3.6,3.9,2354313
2024-04-24,4.0,4.2,3.9,4.2,2513711
2024-04-25,4.5,4.6,4.3,4.6,2738383
2024-04-26,4.6,4.9,4.4,4.9,1006535
2024-05-02,4.9,5.3,4.6,5.3,1386965
2024-05-03,5.3,5.8,5.1,5.8,3174084
2024-05-06,5.9,6.3,5.8,6.3,1807268
2024-05-07,6.9,6.9,5.7,5.7,5704704
2024-05-08,5.7,6.2,5.6,6.2,1414952
2024-05-09,6.6,6.8,6.3,6.8,3121749
2024-05-10,7.0,7.1,6.4,6.6,4399462
2024-05-13,6.5,7.2,6.2,6.2,1067546
2024-05-14,6.2,6.3,5.6,5.6,3902263
2024-05-15,5.6,5.6,5.1,5.2,2890457
2024-05-16,5.3,5.7,5.2,5.2,2118584
2024-05-17,5.5,5.5,5.0,5.1,2959973
2024-05-20,5.5,5.6,5.1,5.6,2837321
2024-05-21,5.7,6.1,5.7,6.1,1981857
2024-05-22,6.2,6.6,6.0,6.1,1786400
2024-05-23,6.3,6.3,5.9,6.0,866391
2024-05-24,6.0,6.5,5.9,6.5,1898254
2024-05-27,6.5,6.8,6.2,6.4,1048158
2024-05-28,6.4,7.0,6.3,7.0,3832258
2024-05-29,7.7,7.7,6.9,7.0,2412495
2024-05-30,7.0,7.7,6.4,7.6,3905374
2024-05-31,7.6,7.7,6.9,6.9,5124062
2024-06-03,6.8,6.9,6.3,6.3,4319626
2024-06-04,6.3,6.5,6.0,6.2,1304890
2024-06-05,6.2,6.7,6.2,6.2,1217894
2024-06-06,6.2,6.4,5.6,5.9,1870532
2024-06-07,5.9,6.4,5.7,6.3,1750396
2024-06-10,6.4,6.4,6.0,6.2,644755
2024-06-11,6.2,6.2,5.8,5.9,991185
2024-06-12,6.0,6.1,5.8,5.9,621939
2024-06-13,5.9,6.1,5.8,6.0,828539
2024-06-14,6.0,6.0,5.7,5.7,858449
2024-06-17,5.8,5.8,5.5,5.5,805289
