date,open,high,low,close,volume
2024-01-30,6.03,6.07,5.98,6.03,473712
2024-01-31,6.02,6.05,5.9,5.93,810292
2024-02-01,5.97,5.97,5.9,5.93,523754
2024-02-02,5.93,5.99,5.89,5.9,532240
2024-02-05,5.9,5.93,5.8,5.8,522744
2024-02-06,5.8,5.88,5.8,5.83,489819
2024-02-07,5.83,5.89,5.8,5.83,389225
2024-02-15,5.8,5.93,5.8,5.88,247435
2024-02-16,5.89,5.95,5.89,5.94,355976
2024-02-19,6.0,6.07,5.95,6.06,776276
2024-02-20,6.1,6.12,6.01,6.02,442238
2024-02-21,6.01,6.02,5.97,6.02,345016
2024-02-22,6.0,6.2,6.0,6.14,1157806
2024-02-23,6.2,6.31,6.02,6.04,1050717
2024-02-26,5.96,6.04,5.96,6.04,294803
2024-02-27,6.04,6.05,5.97,6.01,529685
2024-02-28,6.01,6.05,5.93,5.93,731977
2024-02-29,5.96,6.01,5.91,5.95,598044
2024-03-01,5.99,5.99,5.92,5.95,386270
2024-03-04,5.98,5.99,5.94,5.96,703028
2024-03-05,5.99,5.99,5.94,5.96,332890
2024-03-06,6.0,6.1,5.92,5.96,859153
2024-03-07,5.97,5.99,5.93,5.96,506582
2024-03-08,5.99,6.0,5.85,5.88,824125
2024-03-11,5.9,5.95,5.78,5.78,521421
2024-03-12,5.78,5.81,5.74,5.79,496103
2024-03-13,5.79,5.85,5.75,5.85,549315
2024-03-14,5.89,5.89,5.81,5.82,372664
2024-03-15,5.82,5.82,5.75,5.78,511306
2024-03-18,5.78,5.83,5.6,5.7,919321
2024-03-19,5.7,5.74,5.65,5.68,353286
2024-03-20,5.74,5.74,5.68,5.74,313648
2024-03-21,5.79,5.79,5.71,5.76,483051
2024-03-22,5.79,5.86,5.74,5.74,514509
2024-03-25,5.81,5.81,5.7,5.72,428583
2024-03-26,5.75,5.75,5.67,5.71,329961
2024-03-27,5.69,5.76,5.69,5.74,196902
2024-03-28,5.79,5.81,5.7,5.71,303051
2024-03-29,5.72,5.73,5.67,5.7,314361
2024-04-01,5.72,5.76,5.66,5.67,590945
2024-04-02,5.63,5.67,5.6,5.65,482751
2024-04-03,5.64,5.9,5.62,5.8,1337861
2024-04-04,5.86,5.86,5.72,5.73,398923
2024-04-05,5.73,5.73,5.62,5.66,580370
2024-04-08,5.65,5.67,5.5,5.56,461280
2024-04-09,5.56,5.62,5.18,5.42,783356
2024-04-10,5.46,5.54,5.45,5.47,159907
2024-04-11,5.46,5.8,5.4,5.75,507998
2024-04-12,5.75,5.79,5.6,5.66,393849
2024-04-15,5.65,5.67,5.32,5.32,604769
2024-04-16,5.37,5.37,5.05,5.13,785977
2024-04-17,5.13,5.24,5.12,5.12,323879
2024-04-19,5.16,5.16,4.9,4.95,602992
2024-04-22,5.24,5.24,5.02,5.05,185282
2024-04-23,5.1,5.1,4.95,4.96,301335
2024-04-24,4.97,5.1,4.97,5.09,174916
2024-04-25,5.12,5.12,5.02,5.04,189323
2024-04-26,5.03,5.09,5.01,5.04,219847
2024-05-02,5.04,5.1,5.04,5.08,166151
2024-05-03,5.05,5.09,5.05,5.09,242915
2024-05-06,5.1,5.19,5.1,5.17,196954
2024-05-07,5.17,5.26,5.14,5.18,257608
2024-05-08,5.23,5.23,5.11,5.18,246566
2024-05-09,5.17,5.2,5.15,5.16,187871
2024-05-10,5.17,5.45,5.17,5.31,529337
2024-05-13,5.32,5.55,5.31,5.39,694924
2024-05-14,5.4,5.42,5.34,5.35,340665
2024-05-15,5.35,5.42,5.24,5.3,598704
2024-05-16,5.31,5.38,5.28,5.33,306678
2024-05-17,5.33,5.37,5.24,5.29,361760
2024-05-20,5.29,5.39,5.29,5.37,370503
2024-05-21,5.37,5.39,5.34,5.38,356222
2024-05-22,5.38,5.46,5.37,5.39,475376
2024-05-23,5.4,5.44,5.35,5.39,489765
2024-05-24,5.39,5.39,5.26,5.26,469396
2024-05-27,5.3,5.35,5.21,5.26,233114
2024-05-28,5.27,5.33,5.26,5.28,401054
2024-05-29,5.29,5.54,5.28,5.42,704181
2024-05-30,5.41,5.42,5.36,5.37,433772
2024-05-31,5.37,5.42,5.32,5.32,381609
2024-06-03,5.33,5.41,5.33,5.36,334993
2024-06-04,5.39,5.39,5.32,5.37,380673
2024-06-05,5.37,5.38,5.32,5.36,427127
2024-06-06,5.36,5.62,5.36,5.5,1403666
2024-06-07,5.51,5.69,5.51,5.57,688225
2024-06-10,5.67,5.69,5.48,5.5,544955
2024-06-11,5.5,5.57,5.44,5.48,516528
2024-06-12,5.49,5.55,5.43,5.48,316440
2024-06-13,5.48,5.49,5.41,5.44,314811
2024-06-14,5.44,5.51,5.39,5.4,520912
2024-06-17,5.32,5.41,5.3,5.32,334770
2024-06-18,5.33,5.37,5.3,5.33,329244
2024-06-19,5.42,5.42,5.28,5.3,291384
2024-06-20,5.3,5.3,5.21,5.24,443117
2024-06-21,5.25,5.3,5.24,5.29,208441
2024-06-24,5.29,5.35,5.25,5.26,293726
2024-06-25,5.25,5.3,5.23,5.26,170729
2024-06-26,5.27,5.29,5.2,5.22,292784
2024-06-27,5.21,5.22,5.13,5.2,335780
2024-06-28,5.2,5.2,5.1,5.12,261380
2024-07-01,5.12,5.2,5.12,5.18,145144
2024-07-02,5.2,5.23,5.18,5.2,85809
2024-07-03,5.21,5.22,5.16,5.19,120545
2024-07-04,5.19,5.25,5.19,5.22,231481
2024-07-05,5.22,5.23,5.14,5.14,303115
2024-07-08,5.11,5.21,5.11,5.13,129977
2024-07-09,5.16,5.16,5.12,5.15,205126
2024-07-10,5.16,5.18,5.11,5.13,186064
2024-07-11,5.13,5.21,5.13,5.19,157805
2024-07-12,5.17,5.18,5.15,5.16,121125
2024-07-15,5.15,5.21,5.12,5.16,130102
2024-07-16,5.15,5.16,5.12,5.12,193982
2024-07-17,5.15,5.16,5.0,5.03,278939
2024-07-18,5.09,5.1,5.0,5.07,222567
2024-07-19,5.09,5.09,4.99,5.01,348222
2024-07-22,5.01,5.01,4.87,4.9,539727
2024-07-23,4.95,4.95,4.87,4.87,223426
2024-07-24,4.94,4.94,4.53,4.82,240045
2024-07-25,4.81,4.81,4.75,4.77,182702
2024-07-26,4.78,4.94,4.78,4.82,147800
2024-07-29,4.83,4.86,4.7,4.71,176600
2024-07-30,4.72,4.79,4.7,4.71,294000
2024-07-31,4.74,4.76,4.69,4.73,154500
2024-08-01,4.73,4.75,4.57,4.58,280000
2024-08-02,4.58,4.58,4.45,4.56,312400
2024-08-05,4.45,4.5,4.25,4.25,492600
2024-08-06,4.2,4.28,4.2,4.27,300800
2024-08-07,4.26,4.32,4.25,4.27,78800
2024-08-08,4.27,4.31,4.25,4.28,173300
2024-08-09,4.35,4.35,4.29,4.3,128200
2024-08-12,4.3,4.33,4.28,4.3,142900
2024-08-13,4.31,4.31,4.26,4.27,133000
2024-08-14,4.28,4.31,4.2,4.24,142900
2024-08-15,4.25,4.33,4.25,4.29,259600
2024-08-16,4.3,4.45,4.29,4.43,296500
2024-08-19,4.45,4.45,4.34,4.36,114600
2024-08-20,4.39,4.39,4.27,4.35,345100
2024-08-21,4.42,4.42,4.33,4.39,84700
2024-08-22,4.4,4.41,4.33,4.37,145100
2024-08-23,4.4,4.4,4.33,4.35,134400
2024-08-26,4.32,4.34,4.28,4.3,340000
2024-08-27,4.34,4.37,4.3,4.33,221500
2024-08-28,4.34,4.54,4.34,4.41,435400
2024-08-29,4.42,4.45,4.38,4.38,215700
2024-08-30,4.32,4.4,4.3,4.3,196100
2024-09-04,4.3,4.3,4.24,4.27,176800
2024-09-05,4.37,4.37,4.26,4.29,93100
2024-09-06,4.3,4.3,4.21,4.24,104700
