date,open,high,low,close,volume
2024-01-29,31.41,31.54,31.41,31.54,2701
2024-01-30,31.63,31.63,31.63,31.63,335
2024-01-31,31.63,31.98,31.63,31.63,6601
2024-02-01,31.63,31.63,29.94,31.63,2906
2024-02-02,31.63,31.63,31.63,31.63,0
2024-02-05,31.19,31.63,31.19,31.45,6947
2024-02-06,31.19,31.45,31.1,31.45,3606
2024-02-07,31.1,31.1,31.1,31.1,200
2024-02-15,31.1,31.45,30.74,31.45,7200
2024-02-16,31.1,31.45,31.1,31.45,2900
2024-02-19,31.45,31.5,31.45,31.5,8803
2024-02-20,31.27,31.5,31.1,31.5,4505
2024-02-21,31.5,31.5,31.5,31.5,13
2024-02-22,31.1,31.1,31.01,31.01,2601
2024-02-23,31.01,31.01,31.01,31.01,404
2024-02-26,30.21,31.9,30.21,31.63,2524
2024-02-27,31.63,31.98,31.63,31.98,1844
2024-02-28,31.63,31.98,31.1,31.98,3251
2024-02-29,31.1,31.1,31.1,31.1,859
2024-03-01,31.98,32.16,31.98,32.16,3812
2024-03-04,32.16,32.38,32.16,32.16,10816
2024-03-05,32.87,34.34,32.16,32.34,7322
2024-03-06,34.03,34.03,33.32,33.67,13715
2024-03-07,33.94,33.94,33.45,33.45,2800
2024-03-08,33.32,33.41,33.27,33.27,4112
2024-03-11,33.27,33.27,32.87,32.87,5627
2024-03-12,34.21,34.21,33.32,33.32,3810
2024-03-13,33.23,33.32,31.27,33.18,8655
2024-03-14,33.23,33.81,33.18,33.76,15273
2024-03-15,32.43,33.76,32.43,33.76,2309
2024-03-18,33.76,33.98,33.76,33.76,11498
2024-03-19,33.76,33.76,32.12,33.1,11724
2024-03-20,32.82,32.92,32.17,32.17,1431
2024-03-21,32.82,32.82,31.89,31.89,3591
2024-03-22,31.89,32.82,31.89,32.54,9150
2024-03-25,31.13,32.64,31.13,32.64,634
2024-03-26,32.07,32.59,32.03,32.59,729
2024-03-27,32.07,32.35,32.07,32.35,210
2024-03-28,31.98,31.98,31.98,31.98,114
2024-03-29,31.98,31.98,31.98,31.98,2306
2024-04-01,31.89,31.89,31.6,31.6,10234
2024-04-02,31.7,31.89,31.7,31.89,900
2024-04-03,31.6,31.89,31.42,31.89,8718
2024-04-04,31.42,31.89,31.32,31.32,4224
2024-04-05,31.32,31.32,31.32,31.32,3108
2024-04-08,31.32,31.32,31.32,31.32,201
2024-04-09,31.37,31.42,31.32,31.42,346
2024-04-10,31.79,31.79,31.74,31.74,3201
2024-04-11,31.74,31.74,31.74,31.74,1
2024-04-12,31.74,31.74,31.74,31.74,209
2024-04-15,32.03,32.03,31.74,31.74,1201
2024-04-16,30.76,31.56,30.76,31.56,632
2024-04-17,31.51,31.51,31.51,31.51,909
2024-04-19,30.57,30.95,30.57,30.95,300
2024-04-22,31.32,31.89,31.32,31.89,2504
2024-04-23,31.89,31.89,31.89,31.89,42
2024-04-24,31.79,31.89,31.79,31.89,8030
2024-04-25,31.89,31.89,31.89,31.89,316
2024-04-26,31.89,31.89,31.89,31.89,22
2024-05-02,31.89,31.89,30.95,30.95,748
2024-05-03,30.95,32.35,30.95,32.35,501
2024-05-06,31.09,32.21,31.04,32.21,302
2024-05-07,32.21,32.21,32.21,32.21,0
2024-05-08,32.21,32.21,32.21,32.21,0
2024-05-09,31.89,32.35,31.89,32.35,7615
2024-05-10,32.35,32.45,32.35,32.45,1105
2024-05-13,32.07,32.45,31.13,31.13,5204
2024-05-14,31.23,31.23,31.23,31.23,506
2024-05-15,32.35,32.82,32.35,32.82,9105
2024-05-16,32.82,32.82,32.82,32.82,600
2024-05-17,32.82,32.82,32.82,32.82,2
2024-05-20,31.7,31.7,31.65,31.7,1302
2024-05-21,32.82,32.82,32.82,32.82,100
2024-05-22,31.42,33.2,31.42,33.2,1000
2024-05-23,33.2,33.2,33.2,33.2,11
2024-05-24,31.89,32.64,31.89,32.64,400
2024-05-27,33.2,33.2,33.1,33.1,2602
2024-05-28,32.64,32.64,32.64,32.64,420
2024-05-29,32.64,32.96,32.64,32.96,228
2024-05-30,32.96,32.96,32.96,32.96,100
2024-05-31,32.96,32.96,32.96,32.96,111
2024-06-03,32.96,32.96,32.96,32.96,342
2024-06-04,35.26,35.26,32.78,32.78,2213
2024-06-05,33.29,33.29,32.45,32.49,1500
2024-06-06,33.29,33.29,33.29,33.29,105
2024-06-07,32.45,34.46,32.45,34.46,910
2024-06-10,34.42,34.46,34.23,34.23,1701
2024-06-11,34.23,34.23,34.23,34.23,0
2024-06-12,34.23,34.23,34.23,34.23,0
2024-06-13,32.82,32.82,32.82,32.82,630
2024-06-14,32.82,32.82,32.82,32.82,27
2024-06-17,32.82,32.82,32.82,32.82,8
2024-06-18,32.82,33.29,32.82,32.82,1435
2024-06-19,32.82,32.82,32.82,32.82,928
2024-06-20,32.82,32.82,32.82,32.82,0
2024-06-21,32.82,32.82,31.6,32.35,9200
2024-06-24,32.82,32.82,32.82,32.82,2602
2024-06-25,32.73,32.73,32.73,32.73,550
2024-06-26,32.73,33.57,32.73,33.29,9205
2024-06-27,33.25,33.25,33.25,33.25,339
2024-06-28,33.25,33.25,33.25,33.25,610
2024-07-01,33.2,33.2,33.2,33.2,100
2024-07-02,33.01,33.48,33.01,33.48,300
2024-07-03,33.71,34.7,33.71,34.7,11167
2024-07-04,34.7,35.17,34.7,35.17,1411
2024-07-05,35.17,35.17,35.17,35.17,26
2024-07-08,34.42,35.64,34.42,35.64,4358
