date,open,high,low,close,volume
2024-01-29,11.45,11.64,11.26,11.59,48701
2024-01-30,11.49,11.59,11.26,11.59,30600
2024-01-31,11.4,11.59,11.35,11.49,23324
2024-02-01,11.21,11.49,11.21,11.49,5013
2024-02-02,11.54,11.54,11.3,11.35,17119
2024-02-05,11.35,11.49,11.3,11.49,9508
2024-02-06,11.49,11.49,11.4,11.49,13022
2024-02-07,11.49,11.54,11.3,11.49,27907
2024-02-15,11.49,11.64,11.49,11.59,11217
2024-02-16,11.59,11.64,11.49,11.64,39657
2024-02-19,11.69,11.78,11.49,11.73,28184
2024-02-20,11.83,11.83,11.69,11.78,8811
2024-02-21,11.78,11.78,11.59,11.73,9465
2024-02-22,11.78,11.78,11.59,11.78,31630
2024-02-23,11.78,12.07,11.78,12.02,104479
2024-02-26,11.88,12.84,11.88,12.84,235832
2024-02-27,12.93,12.98,12.55,12.93,56333
2024-02-28,12.93,12.93,12.31,12.74,89821
2024-02-29,12.64,12.64,12.45,12.64,26492
2024-03-01,12.74,12.74,12.36,12.64,17777
2024-03-04,12.64,12.93,12.4,12.88,54323
2024-03-05,12.88,12.88,12.45,12.84,56411
2024-03-06,12.45,12.74,12.45,12.64,26633
2024-03-07,12.45,12.74,12.45,12.64,45733
2024-03-08,12.64,12.64,12.45,12.55,9247
2024-03-11,12.79,12.93,12.45,12.45,60564
2024-03-12,12.36,12.45,11.97,12.45,65664
2024-03-13,12.31,12.5,12.31,12.36,56126
2024-03-14,12.26,12.5,12.17,12.36,85817
2024-03-15,12.36,12.45,12.31,12.36,11945
2024-03-18,12.45,12.45,11.88,12.36,41190
2024-03-19,12.02,12.36,11.97,12.36,11927
2024-03-20,12.26,12.36,12.07,12.31,10816
2024-03-21,12.17,12.5,12.17,12.4,41810
2024-03-22,12.26,12.5,12.26,12.45,23895
2024-03-25,12.45,12.5,12.36,12.5,38723
2024-03-26,12.45,12.55,12.36,12.45,32087
2024-03-27,12.45,12.5,12.26,12.45,14206
2024-03-28,12.45,12.45,12.36,12.45,8834
2024-03-29,12.45,12.45,12.17,12.45,19678
2024-04-01,12.4,12.45,12.17,12.45,15270
2024-04-02,12.84,12.84,12.45,12.45,13169
2024-04-03,12.45,12.55,12.36,12.45,15221
2024-04-04,12.4,12.4,12.17,12.21,23289
2024-04-05,12.4,12.4,12.21,12.26,8457
2024-04-08,12.21,12.26,12.07,12.26,26797
2024-04-09,12.26,12.26,12.12,12.21,846
2024-04-10,12.21,12.21,11.97,12.02,20780
2024-04-11,11.97,12.84,11.97,12.21,13836
2024-04-12,12.31,12.31,12.02,12.26,21450
2024-04-15,12.02,12.26,11.97,12.02,78200
2024-04-16,11.97,11.97,11.3,11.88,29250
2024-04-17,12.12,12.17,11.69,11.83,5526
2024-04-19,11.49,11.83,11.49,11.78,19703
2024-04-22,11.78,11.93,11.54,11.93,3910
2024-04-23,11.93,11.93,11.83,11.88,8200
2024-04-24,11.88,11.88,11.83,11.83,11007
2024-04-25,11.69,11.88,11.3,11.83,5302
2024-04-26,11.78,11.78,11.64,11.78,4713
2024-05-02,11.59,11.93,11.59,11.88,53250
2024-05-03,11.88,11.88,11.73,11.88,9224
2024-05-06,11.78,11.97,11.78,11.93,8070
2024-05-07,11.78,11.93,11.73,11.93,5840
2024-05-08,11.93,11.93,11.83,11.83,10205
2024-05-09,11.83,12.64,11.83,12.31,85782
2024-05-10,12.31,12.31,11.97,12.17,12674
2024-05-13,12.17,12.17,11.49,12.07,37360
2024-05-14,12.07,12.36,11.93,12.12,50462
2024-05-15,12.17,12.17,11.97,12.12,57161
2024-05-16,12.12,12.12,11.93,11.97,20764
2024-05-17,12.02,12.12,11.88,12.02,34560
2024-05-20,12.02,12.12,11.93,12.02,41572
2024-05-21,12.07,12.07,11.88,11.97,21838
2024-05-22,12.17,12.17,11.88,11.97,28959
2024-05-23,12.02,12.02,11.88,11.97,14426
2024-05-24,11.97,11.97,11.88,11.97,19783
2024-05-27,11.97,12.02,11.88,11.97,30815
2024-05-28,12.02,12.02,11.83,11.83,32920
2024-05-29,11.97,12.07,11.83,11.97,120810
2024-05-30,11.97,12.02,11.83,11.97,14605
2024-05-31,11.97,12.02,11.88,12.02,38813
2024-06-03,11.97,12.07,11.93,12.02,73585
2024-06-04,11.97,12.07,11.93,12.02,27367
2024-06-05,11.97,12.07,11.93,12.02,69720
2024-06-06,12.02,12.12,12.02,12.12,63195
2024-06-07,12.12,12.36,12.12,12.17,73527
2024-06-10,12.17,12.74,12.17,12.55,119792
2024-06-11,12.88,12.93,12.26,12.55,64074
2024-06-12,12.55,12.55,12.31,12.31,37814
2024-06-13,12.31,12.45,12.31,12.31,28731
2024-06-14,12.4,12.4,12.26,12.26,46598
2024-06-17,12.17,12.4,12.12,12.36,62309
2024-06-18,12.26,12.45,12.26,12.36,11680
2024-06-19,12.36,12.74,12.36,12.64,147275
2024-06-20,12.64,12.69,12.6,12.69,49376
2024-06-21,12.69,13.31,12.69,13.17,167004
2024-06-24,13.27,13.27,12.64,12.93,85944
2024-06-25,13.08,13.08,12.84,13.08,50736
2024-06-26,12.93,12.98,12.45,12.5,76012
2024-06-27,12.55,12.64,12.4,12.4,55502
2024-06-28,12.4,12.4,12.17,12.21,51144
2024-07-01,12.21,12.45,11.69,12.17,34668
2024-07-02,12.84,12.84,12.07,12.26,17063
2024-07-03,12.26,12.36,12.17,12.31,38125
2024-07-04,12.36,12.45,12.12,12.45,22562
2024-07-05,12.45,12.55,12.36,12.4,10787
2024-07-08,12.36,12.4,12.17,12.4,14501
2024-07-09,12.26,12.6,12.26,12.5,72204
2024-07-10,12.5,12.69,12.4,12.45,31124
2024-07-11,12.36,12.6,12.36,12.55,26023
2024-07-12,12.45,12.55,12.36,12.5,28700
2024-07-15,12.55,12.84,12.45,12.5,18827
2024-07-16,12.5,12.55,12.4,12.5,18674
2024-07-17,12.45,12.45,12.26,12.26,10134
2024-07-18,12.45,12.5,12.07,12.36,20404
2024-07-19,12.02,12.45,12.02,12.31,7804
2024-07-22,12.31,12.36,12.07,12.36,23702
2024-07-23,12.26,12.45,12.17,12.45,17815
2024-07-24,12.02,12.36,11.78,12.07,11418
2024-07-25,12.07,12.26,12.02,12.07,21609
2024-07-26,12.26,12.26,12.02,12.17,16743
2024-07-29,12.21,12.31,11.97,12.17,28333
2024-07-30,12.02,12.12,11.78,12.07,54217
2024-07-31,11.97,11.97,11.59,11.97,70219
2024-08-01,11.88,11.88,11.4,11.64,69353
2024-08-02,11.69,11.88,11.35,11.88,15750
2024-08-05,11.59,11.83,11.16,11.54,42945
2024-08-06,11.49,11.69,11.21,11.26,11848
2024-08-07,11.45,11.45,11.21,11.26,14388
2024-08-08,11.35,11.49,11.02,11.49,21701
2024-08-09,11.45,11.49,11.11,11.49,11204
2024-08-12,11.11,11.4,11.11,11.35,7691
2024-08-13,11.35,11.35,11.11,11.35,17604
2024-08-14,11.3,11.4,11.11,11.4,12815
2024-08-15,11.4,11.49,11.21,11.45,23200
2024-08-16,11.35,11.54,11.35,11.49,19681
2024-08-19,11.54,11.54,11.35,11.45,2007
2024-08-20,11.54,11.54,11.3,11.4,23249
2024-08-21,11.3,11.64,11.3,11.49,20958
2024-08-22,11.4,11.49,11.3,11.49,15603
2024-08-23,11.4,11.45,11.3,11.45,31404
2024-08-26,11.4,11.49,11.4,11.45,4858
2024-08-27,11.45,11.45,11.4,11.45,1200
2024-08-28,11.35,11.4,11.3,11.4,9010
2024-08-29,11.35,11.45,11.3,11.45,18106
2024-08-30,11.45,11.49,11.21,11.49,29401
2024-09-04,11.49,11.64,11.21,11.49,12906
2024-09-05,11.45,11.54,11.35,11.49,16715
2024-09-06,11.78,11.78,11.4,11.45,5287
2024-09-09,11.45,11.49,11.21,11.49,9699
2024-09-10,11.45,11.64,11.26,11.59,44505
2024-09-11,11.35,11.54,11.21,11.54,22588
2024-09-12,11.54,11.54,11.45,11.49,2342
2024-09-13,11.35,11.49,11.3,11.49,6107
2024-09-16,11.4,11.45,11.4,11.45,3000
2024-09-17,11.35,11.45,11.26,11.4,3109
2024-09-18,11.49,11.49,11.02,11.4,31048
2024-09-19,11.4,11.4,11.4,11.4,3000
2024-09-20,11.49,11.49,11.26,11.4,4016
2024-09-23,11.4,11.54,11.21,11.49,15704
2024-09-24,11.49,11.54,11.26,11.49,15729
2024-09-25,11.49,11.54,11.21,11.45,19906
2024-09-26,11.4,11.49,11.4,11.49,2654
2024-09-27,11.45,11.49,11.3,11.35,9917
2024-09-30,11.4,11.54,11.26,11.4,8784
2024-10-01,11.4,11.45,11.3,11.4,10656
2024-10-02,11.3,11.49,11.26,11.49,25402
2024-10-03,11.49,11.54,11.21,11.49,25455
2024-10-04,11.3,11.45,11.3,11.3,7700
2024-10-07,11.3,11.49,11.3,11.4,18713
2024-10-08,11.3,11.45,11.26,11.3,7306
2024-10-09,11.35,11.35,11.3,11.35,4639
2024-10-10,11.4,11.4,11.26,11.26,12901
2024-10-11,11.4,11.4,11.26,11.3,6769
2024-10-14,11.3,11.35,11.26,11.35,7500
2024-10-15,11.35,11.35,11.3,11.3,1203
2024-10-16,11.26,11.88,11.21,11.49,17926
2024-10-17,11.49,11.49,11.26,11.49,2806
2024-10-18,11.4,11.49,11.4,11.45,3600
2024-10-21,11.3,11.45,11.3,11.45,2708
2024-10-22,11.45,11.45,11.21,11.4,21302
2024-10-23,11.3,11.4,11.26,11.35,6050
2024-10-24,11.35,11.59,11.35,11.45,35000
2024-10-25,11.45,11.45,11.4,11.4,1301
2024-10-28,11.4,11.45,11.35,11.4,1704
2024-10-29,11.4,11.45,11.3,11.45,16301
2024-10-30,11.3,11.4,11.21,11.3,6701
2024-10-31,11.26,11.97,11.16,11.45,37201
2024-11-01,11.35,11.49,11.35,11.49,13160
2024-11-04,11.45,11.45,11.4,11.45,8320
2024-11-05,11.4,11.45,11.26,11.4,16700
2024-11-06,11.26,11.45,11.16,11.45,53500
2024-11-07,11.4,11.4,11.4,11.4,103
2024-11-08,11.26,11.4,11.11,11.35,17967
2024-11-11,11.4,11.4,11.26,11.35,9405
2024-11-12,11.35,11.35,11.26,11.35,4352
2024-11-13,11.26,11.35,11.21,11.35,5837
2024-11-14,11.4,11.4,11.26,11.35,4400
2024-11-15,11.21,11.3,11.16,11.3,7242
2024-11-18,11.3,11.3,11.02,11.02,14700
2024-11-19,11.02,11.26,11.02,11.21,2417
2024-11-20,11.02,11.21,10.78,11.06,41817
2024-11-21,11.02,11.02,10.68,10.97,26291
2024-11-22,11.02,11.02,10.68,10.82,12708
2024-11-25,10.82,11.11,10.68,11.06,25403
2024-11-26,11.06,11.16,10.73,11.16,22401
2024-11-27,11.16,11.21,10.97,11.11,4600
2024-11-28,11.16,11.16,10.63,10.73,9122
2024-11-29,10.97,10.97,10.63,10.87,1805
2024-12-02,10.82,10.87,10.63,10.82,11505
2024-12-03,10.82,10.82,10.63,10.78,7301
2024-12-04,10.68,10.78,10.54,10.78,22402
2024-12-05,10.73,11.21,10.73,11.11,27500
2024-12-06,11.11,11.21,11.06,11.16,13100
2024-12-09,11.16,11.21,11.16,11.16,1130
2024-12-10,11.16,11.21,11.06,11.16,4300
2024-12-11,11.21,11.49,11.21,11.4,29900
2024-12-12,11.49,11.49,11.3,11.49,7032
2024-12-13,11.49,11.49,11.45,11.49,2492
2024-12-16,11.02,11.45,10.97,11.45,3900
2024-12-17,11.06,11.4,11.02,11.4,2709
2024-12-18,11.11,11.49,11.02,11.49,27718
2024-12-19,11.06,11.4,10.92,11.3,9706
2024-12-20,11.4,11.45,11.11,11.35,10807
2024-12-23,11.06,11.4,11.06,11.4,11803
2024-12-24,11.06,11.4,11.06,11.35,4500
2024-12-25,11.35,11.35,11.16,11.3,5014
2024-12-26,11.3,11.49,11.3,11.4,23229
2024-12-27,11.11,11.45,11.11,11.4,5690
2024-12-30,11.11,11.4,11.11,11.4,7510
2024-12-31,11.11,11.4,11.11,11.4,301
2025-01-02,11.35,11.35,11.35,11.35,4223
2025-01-03,11.35,11.4,11.16,11.35,6918
2025-01-06,11.4,11.4,11.02,11.4,4913
2025-01-07,11.21,11.35,11.11,11.35,5408
2025-01-08,11.4,11.4,11.21,11.35,9407
2025-01-09,11.16,11.3,11.06,11.3,7616
2025-01-10,11.16,11.26,11.16,11.26,901
2025-01-13,11.06,11.4,11.06,11.26,2115
2025-01-14,11.3,11.3,11.06,11.3,4903
2025-01-15,11.21,11.3,11.21,11.26,5539
2025-01-16,11.26,11.26,11.06,11.26,2140
2025-01-17,11.26,11.26,11.26,11.26,2
2025-01-20,11.26,11.3,11.21,11.3,3902
2025-01-21,11.02,11.4,10.97,11.4,4709
2025-01-22,11.4,11.4,11.4,11.4,4
2025-01-23,11.11,11.35,11.02,11.35,5709
2025-01-24,11.3,11.35,11.06,11.35,806
2025-02-03,11.3,11.45,11.11,11.35,3944
2025-02-04,11.35,11.35,11.11,11.26,53104
2025-02-05,11.21,11.3,11.02,11.3,41943
2025-02-06,11.21,11.21,11.11,11.21,7845
2025-02-07,11.06,11.26,11.06,11.16,35211
2025-02-10,11.11,11.21,11.11,11.16,4501
2025-02-11,11.11,11.16,10.82,11.11,17200
2025-02-12,11.06,11.16,11.02,11.16,5401
2025-02-13,11.02,11.11,11.02,11.11,3814
2025-02-14,11.02,11.11,11.02,11.11,6800
2025-02-17,10.92,11.11,10.92,11.02,14100
2025-02-18,11.06,11.21,11.06,11.16,41465
2025-02-19,11.11,11.26,10.97,11.26,28030
2025-02-20,11.21,11.26,11.16,11.26,19602
2025-02-21,11.26,11.26,11.02,11.26,11214
2025-02-24,11.06,11.3,11.02,11.3,47805
2025-02-25,11.11,11.3,11.02,11.3,12260
2025-02-26,11.21,11.26,11.11,11.26,6633
2025-02-27,11.11,11.3,11.02,11.3,30068
2025-02-28,11.21,11.21,11.02,11.21,63195
2025-03-03,11.11,11.26,11.11,11.16,10070
2025-03-04,11.21,11.21,11.02,11.16,6012
2025-03-05,11.16,11.21,11.02,11.06,648370
2025-03-06,11.06,11.11,10.73,11.02,93345
2025-03-07,10.92,10.97,10.73,10.92,29473
2025-03-10,10.97,10.97,10.78,10.78,20583
2025-03-11,10.87,10.97,10.54,10.63,73606
2025-03-12,10.58,10.68,10.54,10.54,55942
2025-03-13,10.54,10.87,10.49,10.54,29221
2025-03-14,10.58,10.58,10.44,10.54,20321
2025-03-17,10.44,10.58,10.44,10.54,4001
2025-03-18,10.49,10.68,10.49,10.63,84018
2025-03-19,10.63,10.68,10.49,10.49,19987
2025-03-20,10.54,10.58,10.35,10.44,27118
2025-03-21,10.49,10.49,10.3,10.49,17108
2025-03-24,10.49,10.58,10.39,10.54,4092
2025-03-25,10.44,10.54,10.25,10.49,12707
2025-03-26,10.54,10.58,10.49,10.54,51024
2025-03-27,10.54,10.54,10.39,10.54,2511
2025-03-28,10.58,10.63,10.3,10.54,4014
2025-03-31,10.54,10.82,10.15,10.63,56322
2025-04-01,10.58,10.73,10.49,10.73,9709
2025-04-02,10.78,10.78,10.49,10.49,25775
2025-04-03,10.2,10.44,9.77,9.77,25126
2025-04-04,9.1,9.57,9.09,9.09,55234
2025-04-08,9.0,9.0,8.46,8.62,26284
2025-04-09,8.02,8.62,8.02,8.62,39323
2025-04-10,9.22,9.22,9.22,9.22,47625
2025-04-11,9.29,9.29,8.94,9.2,22226
2025-04-14,9.2,9.72,8.91,9.72,90126
2025-04-15,9.67,9.72,9.39,9.67,6766
2025-04-16,9.29,9.57,9.16,9.52,12007
2025-04-17,9.24,9.46,9.2,9.39,5304
2025-04-18,9.39,9.39,9.1,9.15,10123
2025-04-21,9.2,9.29,9.05,9.29,10373
2025-04-22,9.29,9.29,8.65,9.23,8750
2025-04-23,9.23,9.58,9.05,9.2,2514
2025-04-24,9.24,9.25,9.07,9.25,6704
2025-04-25,9.39,9.5,9.16,9.46,17433
2025-04-28,9.47,9.55,9.44,9.47,26689
2025-04-29,9.58,9.58,9.39,9.4,13123
2025-05-05,9.34,9.57,9.2,9.54,988
2025-05-06,9.54,9.54,9.24,9.48,9706
2025-05-07,9.5,9.5,9.0,9.45,5881
2025-05-08,9.47,9.47,9.17,9.47,6586
2025-05-09,9.48,9.58,9.43,9.47,5323
2025-05-12,9.46,9.47,9.21,9.45,10727
2025-05-13,9.46,9.49,9.39,9.44,6486
2025-05-14,9.44,9.57,9.44,9.57,17520
2025-05-15,9.57,9.67,9.46,9.63,15938
2025-05-16,9.63,9.67,9.49,9.67,23125
2025-05-19,9.29,9.63,9.29,9.63,19462
2025-05-20,9.58,9.67,9.44,9.63,16170
2025-05-21,9.63,9.63,9.63,9.63,902
2025-05-22,9.39,9.63,9.29,9.63,16824
2025-05-23,9.63,9.63,9.29,9.57,1202
2025-05-26,9.31,10.06,9.3,9.91,15413
2025-05-27,10.06,10.2,9.91,10.15,17148
