date,open,high,low,close,volume
2023-01-31,14.5,14.5,14.5,14.5,0
2023-02-01,14.5,14.5,14.5,14.5,0
2023-02-02,14.5,14.5,14.5,14.5,0
2023-02-03,14.5,14.5,14.5,14.5,0
2023-02-06,14.5,14.5,14.5,14.5,0
2023-02-07,14.5,14.5,14.5,14.5,1
2023-02-08,14.5,14.5,14.5,14.5,0
2023-02-09,14.5,14.5,14.5,14.5,0
2023-02-10,14.5,14.5,14.5,14.5,1
2023-02-13,14.5,14.5,14.5,14.5,0
2023-02-14,14.5,14.5,14.5,14.5,0
2023-02-15,14.5,14.5,14.5,14.5,0
2023-02-16,14.5,14.5,14.5,14.5,0
2023-02-17,14.5,14.5,14.5,14.5,0
2023-02-20,14.5,14.5,14.5,14.5,0
2023-02-21,14.5,14.5,14.5,14.5,0
2023-02-22,14.5,14.5,14.5,14.5,0
2023-02-23,14.5,14.5,14.5,14.5,0
2023-02-24,14.5,14.5,14.5,14.5,0
2023-02-27,14.5,14.5,14.5,14.5,0
2023-02-28,14.5,14.5,14.5,14.5,0
2023-03-01,14.5,14.5,14.5,14.5,0
2023-03-02,8.7,8.7,8.7,8.7,3000
2023-03-03,10.0,10.0,9.7,9.7,4100
2023-03-06,10.0,10.0,10.0,10.0,0
2023-03-07,10.0,10.0,10.0,10.0,0
2023-03-08,10.0,10.0,10.0,10.0,0
2023-03-09,10.0,10.0,10.0,10.0,0
2023-03-10,10.0,10.0,10.0,10.0,0
2023-03-13,10.0,10.0,10.0,10.0,0
2023-03-14,10.0,10.0,10.0,10.0,0
2023-03-15,8.8,8.8,8.8,8.8,200
2023-03-16,8.8,8.8,8.8,8.8,0
2023-03-17,8.8,8.8,8.8,8.8,0
2023-03-20,8.8,8.8,8.8,8.8,0
2023-03-21,8.8,8.8,8.8,8.8,0
2023-03-22,8.8,8.8,8.8,8.8,0
2023-03-23,8.8,8.8,8.8,8.8,0
2023-03-24,7.5,7.5,7.5,7.5,5600
2023-03-27,7.5,7.5,7.5,7.5,0
2023-03-28,7.5,7.5,7.5,7.5,0
2023-03-29,7.5,7.5,7.5,7.5,0
2023-03-30,6.4,7.5,6.4,7.5,2700
2023-03-31,7.1,7.1,7.1,7.1,0
2023-04-03,7.1,7.1,7.1,7.1,0
2023-04-04,6.3,6.3,6.3,6.3,200
2023-04-05,6.3,6.3,6.3,6.3,0
2023-04-06,6.3,6.3,6.3,6.3,0
2023-04-07,6.3,6.3,6.3,6.3,0
2023-04-10,7.2,7.2,7.2,7.2,100
2023-04-11,7.2,7.2,7.2,7.2,0
2023-04-12,7.2,7.2,7.2,7.2,0
2023-04-13,7.2,7.2,7.2,7.2,0
2023-04-14,7.2,7.2,7.2,7.2,0
2023-04-17,7.2,7.2,7.2,7.2,0
2023-04-18,7.2,7.2,7.2,7.2,0
2023-04-19,7.2,7.2,7.2,7.2,0
2023-04-20,7.2,7.2,7.2,7.2,2
2023-04-21,7.2,7.2,7.2,7.2,0
2023-04-24,7.2,7.2,7.2,7.2,0
2023-04-25,7.2,7.2,7.2,7.2,0
2023-04-26,7.2,7.2,7.2,7.2,0
2023-04-27,7.2,7.2,7.2,7.2,0
2023-04-28,7.2,7.2,7.2,7.2,0
2023-05-04,7.2,7.2,7.2,7.2,0
2023-05-05,7.2,7.2,7.2,7.2,0
2023-05-08,7.2,7.2,7.2,7.2,1
2023-05-09,7.2,7.2,7.2,7.2,0
