date,open,high,low,close,volume
2024-01-30,16.54,16.54,16.54,16.54,0
2024-01-31,16.54,16.54,15.48,15.48,2202
2024-02-01,16.5,16.54,16.5,16.54,600
2024-02-02,16.54,16.54,16.54,16.54,0
2024-02-05,16.61,16.61,16.54,16.61,8800
2024-02-06,16.99,16.99,15.6,15.6,2000
2024-02-07,16.69,16.69,16.69,16.69,4002
2024-02-15,16.69,16.91,16.69,16.91,4400
2024-02-16,16.91,16.91,16.91,16.91,45
2024-02-19,16.91,16.91,16.91,16.91,10
2024-02-20,16.91,17.96,16.91,17.96,1100
2024-02-21,17.06,17.06,17.06,17.06,501
2024-02-22,17.14,17.14,17.14,17.14,300
2024-02-23,17.14,17.14,17.14,17.14,13
2024-02-26,17.14,17.14,17.06,17.06,200
2024-02-27,17.29,17.29,17.29,17.29,2500
2024-02-28,18.42,18.42,17.66,17.66,1602
2024-02-29,17.66,17.7,17.66,17.7,3339
2024-03-01,17.74,18.04,17.74,18.04,3108
2024-03-04,18.04,18.04,18.04,18.04,600
2024-03-05,18.04,18.79,18.04,18.79,997
2024-03-06,18.79,18.79,18.79,18.79,0
2024-03-07,18.79,18.79,18.79,18.79,0
2024-03-08,18.04,18.04,18.04,18.04,1501
2024-03-11,17.96,17.96,17.96,17.96,216
2024-03-12,17.96,17.96,17.96,17.96,1210
2024-03-13,18.04,18.12,17.96,17.96,701
2024-03-14,17.96,17.96,17.96,17.96,1
2024-03-15,18.04,18.04,18.04,18.04,301
2024-03-18,18.72,18.79,18.57,18.57,2302
2024-03-19,18.88,18.88,18.57,18.57,209
2024-03-20,18.57,18.57,18.57,18.57,501
2024-03-21,18.57,18.57,18.57,18.57,0
2024-03-22,18.57,18.57,18.57,18.57,302
2024-03-25,18.25,18.57,17.39,18.57,2202
2024-03-26,18.57,18.57,18.57,18.57,1
2024-03-27,18.57,18.57,18.57,18.57,0
2024-03-28,18.57,18.57,18.57,18.57,0
2024-03-29,18.57,18.57,18.57,18.57,100
2024-04-01,18.57,18.57,18.57,18.57,0
2024-04-02,18.96,19.12,18.96,19.12,202
2024-04-03,17.9,18.92,17.9,18.8,1700
2024-04-04,19.27,19.67,18.88,18.88,818
2024-04-05,17.86,18.8,17.66,18.8,1213
2024-04-08,18.72,18.72,18.41,18.41,1100
2024-04-09,18.57,18.57,18.09,18.41,1600
2024-04-10,18.41,18.41,18.41,18.41,0
2024-04-11,18.49,18.49,18.49,18.49,2000
2024-04-12,18.57,18.57,18.57,18.57,2500
2024-04-15,18.57,18.57,18.57,18.57,0
2024-04-16,18.41,18.57,18.41,18.57,2300
2024-04-17,18.88,18.88,18.88,18.88,4000
2024-04-19,19.67,20.06,19.31,19.67,19336
2024-04-22,19.67,20.85,19.67,20.85,14202
2024-04-23,20.45,20.45,20.45,20.45,803
2024-04-24,20.45,20.45,20.45,20.45,4504
2024-04-25,20.45,20.49,20.45,20.49,800
2024-04-26,20.61,20.61,20.45,20.45,964
2024-05-02,20.45,20.49,20.45,20.49,3102
2024-05-03,20.45,20.45,20.45,20.45,5800
2024-05-06,20.85,21.63,20.85,21.16,903
2024-05-07,21.08,21.08,21.08,21.08,400
2024-05-08,21.24,21.24,20.53,21.08,3000
