date,open,high,low,close,volume
2026-01-15,31.3,31.3,24.9,30.9,81700
2026-01-16,30.9,30.9,26.1,26.8,37500
2026-01-19,25.0,26.4,22.7,22.7,79800
2026-01-20,23.0,23.0,22.0,22.7,68200
2026-01-21,22.6,23.6,22.0,23.2,53700
2026-01-22,23.5,26.0,23.5,25.4,122400
2026-01-23,26.1,28.3,25.8,28.0,146200
2026-01-26,29.9,31.0,29.0,30.4,215900
2026-01-27,30.5,30.5,27.0,27.6,54500
2026-01-28,27.1,28.0,25.8,26.4,54300
2026-01-29,26.0,27.1,26.0,26.7,19000
2026-01-30,24.8,26.4,24.8,26.0,44300
2026-02-02,25.5,26.3,25.5,25.8,37600
2026-02-03,26.0,27.5,25.8,26.4,69400
2026-02-04,26.6,27.3,26.5,26.9,43100
2026-02-05,27.0,29.0,26.7,27.0,22500
2026-02-06,26.6,26.7,26.3,26.4,30700
2026-02-09,26.1,27.0,26.1,26.1,18400
2026-02-10,26.3,26.3,25.6,25.7,9200
2026-02-11,26.0,26.0,25.0,26.0,32200
2026-02-12,25.4,25.5,24.9,25.3,26600
2026-02-13,25.3,25.7,25.0,25.7,7800
2026-02-23,25.6,25.9,25.6,25.9,24300
2026-02-24,25.8,26.8,25.7,26.1,32300
2026-02-25,25.8,26.0,25.4,25.6,14300
2026-02-26,25.6,25.6,25.1,25.2,25400
2026-02-27,25.5,26.4,25.3,25.9,70700
2026-03-02,26.0,28.3,26.0,28.0,501200
2026-03-03,28.5,29.3,28.0,28.7,174100
2026-03-04,29.0,29.8,26.5,27.9,277100
2026-03-05,27.5,28.2,26.8,27.4,138600
2026-03-06,27.6,28.1,27.4,27.7,84400
2026-03-09,27.9,28.1,25.4,25.9,173000
2026-03-10,26.2,26.2,25.9,26.2,66500
2026-03-11,25.9,26.6,25.9,26.6,32300
2026-03-12,26.4,26.4,25.8,26.0,31900
2026-03-13,26.2,26.5,25.9,26.0,73300
2026-03-16,25.9,26.0,25.8,25.8,27300.0
2026-03-17,25.8,25.9,25.1,25.8,43600.0
2026-03-18,25.3,25.7,25.3,25.7,11500.0
2026-03-19,25.5,25.5,25.0,25.2,29400.0
2026-03-20,25.1,25.9,24.6,24.6,33600.0
2026-03-23,25.9,25.9,23.5,23.6,40600.0
2026-03-24,23.6,24.5,23.6,23.9,42700.0
2026-03-25,23.9,24.5,23.2,23.5,128500.0
2026-03-26,24.4,25.5,23.1,23.3,94600.0
2026-03-27,23.4,23.7,23.3,23.4,27000.0
2026-03-30,23.4,23.4,23.0,23.3,10900.0
2026-03-31,23.1,24.3,22.8,23.3,39200.0
2026-04-01,23.4,24.0,23.3,23.7,43100.0
2026-04-02,23.5,23.5,22.8,23.0,47400.0
2026-04-03,23.0,24.8,22.9,23.0,38400.0
2026-04-06,23.0,26.0,23.0,23.4,39800.0
2026-04-07,23.8,23.8,22.6,23.0,38900.0
2026-04-08,24.8,24.8,22.9,23.0,79800.0
2026-04-09,23.0,23.3,22.9,23.2,5900.0
2026-04-10,23.1,23.8,23.0,23.3,26800.0
2026-04-13,23.3,24.0,23.3,23.4,25800.0
2026-04-14,23.7,23.7,23.5,23.6,15800.0
2026-04-15,23.8,23.8,23.6,23.8,23000.0
2026-04-16,23.7,23.7,23.6,23.6,6000.0
2026-04-17,23.6,24.5,23.6,24.0,50300.0
2026-04-20,23.7,25.0,23.7,24.4,80100.0
2026-04-21,24.5,25.0,24.4,24.4,60300.0
2026-04-22,24.4,24.4,24.0,24.0,22200.0
2026-04-23,24.1,24.1,23.5,23.8,24500.0
2026-04-24,24.8,24.8,23.7,23.8,13900.0
2026-04-28,23.9,23.9,23.4,23.4,27100.0
2026-04-29,23.4,23.6,23.2,23.6,28500.0
