date,open,high,low,close,volume
2023-06-02,10.3,10.7,9.5,10.7,18400
2023-06-05,10.3,10.6,9.8,10.5,8700
2023-06-06,9.8,10.4,9.6,10.3,16692
2023-06-07,10.3,10.4,9.7,10.3,3000
2023-06-08,9.9,10.3,9.7,10.3,11900
2023-06-09,10.2,10.3,9.8,10.3,5992
2023-06-12,10.3,10.3,10.3,10.3,1000
2023-06-13,9.8,10.3,9.7,10.3,5900
2023-06-14,9.8,10.3,9.7,10.3,4900
2023-06-15,10.3,10.3,9.7,10.1,6200
2023-06-16,9.8,10.0,9.8,10.0,7400
2023-06-19,10.0,10.0,9.7,9.9,5500
2023-06-20,9.8,9.9,9.6,9.9,2400
2023-06-21,9.6,9.8,9.6,9.8,3300
2023-06-22,9.6,9.6,9.5,9.5,8600
2023-06-23,9.5,9.7,9.5,9.6,2200
2023-06-26,9.6,9.7,9.5,9.7,2200
2023-06-27,9.7,9.7,9.6,9.7,2100
2023-06-28,9.7,9.7,9.4,9.7,3909
2023-06-29,9.6,9.6,9.4,9.6,2700
2023-06-30,9.5,9.6,9.4,9.5,3100
2023-07-03,9.5,9.5,9.4,9.4,1900
2023-07-04,9.6,9.6,9.4,9.5,1800
2023-07-05,9.5,9.5,9.5,9.5,1200
2023-07-06,9.3,9.5,9.3,9.5,1800
2023-07-07,9.3,9.5,9.3,9.5,5100
2023-07-10,9.3,9.4,9.2,9.4,3300
2023-07-11,9.2,9.6,9.0,9.4,7600
2023-07-12,9.3,9.4,9.3,9.4,600
2023-07-13,9.2,9.3,9.2,9.3,200
2023-07-14,9.3,9.4,9.3,9.4,1100
2023-07-17,9.3,9.3,9.2,9.3,3700
2023-07-18,9.3,9.3,9.2,9.3,900
2023-07-19,9.3,9.3,9.3,9.3,0
2023-07-20,9.2,9.2,9.0,9.2,3500
2023-07-21,9.0,9.1,8.7,9.1,8200
2023-07-24,8.8,9.0,8.7,8.7,7200
2023-07-25,8.7,8.9,8.7,8.9,4980
2023-07-26,8.9,8.9,8.6,8.9,2303
2023-07-27,8.9,8.9,8.9,8.9,0
2023-07-28,8.9,8.9,8.9,8.9,1
2023-07-31,8.9,8.9,8.7,8.9,11814
2023-08-01,8.9,8.9,8.7,8.7,4040
2023-08-02,8.7,8.7,8.6,8.7,2400
2023-08-03,8.7,8.7,8.7,8.7,2100
2023-08-04,8.7,8.7,8.6,8.7,2701
2023-08-07,8.7,8.7,8.7,8.7,4764
2023-08-08,8.7,8.7,8.7,8.7,700
2023-08-09,8.7,8.7,8.6,8.7,1300
2023-08-10,8.7,8.7,8.7,8.7,6900
2023-08-11,8.7,8.7,8.6,8.6,3800
2023-08-14,8.6,8.6,8.5,8.6,11900
2023-08-15,8.6,8.6,8.6,8.6,2900
2023-08-16,8.6,8.7,8.5,8.7,4200
2023-08-17,8.7,8.7,8.5,8.6,2200
2023-08-18,8.5,8.5,8.2,8.4,2300
2023-08-21,8.4,8.4,8.3,8.4,3900
2023-08-22,8.3,8.4,8.0,8.4,7100
2023-08-23,8.4,8.4,8.4,8.4,0
2023-08-24,8.4,8.4,8.4,8.4,200
2023-08-25,8.3,8.3,8.3,8.3,1000
2023-08-28,8.3,8.3,8.3,8.3,50
2023-08-29,8.2,8.2,8.1,8.1,500
2023-08-30,8.1,8.3,8.1,8.3,1302
2023-08-31,8.3,8.3,8.3,8.3,101
2023-09-05,8.1,8.2,8.0,8.2,1400
2023-09-06,8.2,8.2,8.1,8.1,214
2023-09-07,8.1,8.1,8.1,8.1,601
2023-09-08,8.1,8.2,8.0,8.2,4300
2023-09-11,8.2,8.4,8.1,8.2,2801
2023-09-12,8.1,8.3,8.1,8.3,2900
2023-09-13,8.3,8.5,8.3,8.5,2201
2023-09-14,8.5,8.5,8.1,8.1,5400
2023-09-15,8.3,8.4,8.3,8.4,700
2023-09-18,8.3,8.3,8.3,8.3,1000
2023-09-19,8.3,8.3,8.0,8.3,700
2023-09-20,8.1,8.3,8.1,8.3,1000
2023-09-21,8.2,8.4,8.2,8.4,4100
2023-09-22,8.1,8.4,8.1,8.4,503
2023-09-25,8.1,8.1,8.1,8.1,500
2023-09-26,8.3,8.3,8.1,8.3,2500
2023-09-27,8.0,8.3,8.0,8.3,300
2023-09-28,8.2,8.3,8.1,8.3,3500
2023-09-29,8.1,8.3,8.1,8.3,900
2023-10-02,8.2,8.3,8.2,8.3,800
2023-10-03,8.3,8.3,8.2,8.3,5400
2023-10-04,8.2,8.3,8.0,8.3,5308
2023-10-05,8.3,8.4,8.3,8.4,4300
2023-10-06,8.4,8.6,8.4,8.6,1000
2023-10-09,8.6,8.6,8.6,8.6,1
2023-10-10,8.5,8.6,8.4,8.6,3602
2023-10-11,8.5,8.6,8.5,8.6,1100
2023-10-12,8.5,8.6,8.5,8.6,701
2023-10-13,8.6,8.7,8.6,8.7,1609
2023-10-16,8.7,8.7,8.7,8.7,500
2023-10-17,8.1,8.9,8.0,8.9,5500
2023-10-18,8.8,8.9,8.8,8.9,900
2023-10-19,8.9,9.0,8.5,8.7,1300
2023-10-20,8.1,8.7,8.1,8.7,1500
2023-10-23,8.6,8.6,8.0,8.4,4000
2023-10-24,8.5,8.7,8.5,8.7,301
2023-10-25,8.7,8.7,8.6,8.6,1630
2023-10-26,8.4,8.9,8.4,8.6,800
2023-10-27,8.4,8.4,8.4,8.4,1100
2023-10-30,8.7,8.7,8.7,8.7,3000
2023-10-31,8.7,8.7,8.7,8.7,0
2023-11-01,8.7,8.7,8.7,8.7,0
2023-11-02,8.6,8.8,8.6,8.8,2415
2023-11-03,8.8,8.8,8.8,8.8,2700
2023-11-06,8.1,8.7,8.1,8.7,203
2023-11-07,8.2,8.6,8.2,8.6,300
2023-11-08,8.6,8.6,8.6,8.6,7
2023-11-09,8.6,8.6,8.6,8.6,0
2023-11-10,8.6,8.6,8.6,8.6,7
2023-11-13,8.5,8.6,8.1,8.5,2000
2023-11-14,8.1,8.7,8.0,8.7,5100
2023-11-15,8.7,8.7,8.7,8.7,3500
2023-11-16,8.1,8.7,8.1,8.7,3428
2023-11-17,8.7,8.7,8.7,8.7,0
2023-11-20,8.7,8.7,8.7,8.7,18
2023-11-21,8.2,8.7,8.1,8.7,5717
2023-11-22,8.7,8.7,8.7,8.7,0
2023-11-23,8.2,8.6,8.2,8.6,600
2023-11-24,8.2,8.5,8.0,8.5,2300
2023-11-27,8.1,8.5,8.0,8.5,1200
2023-11-28,8.5,8.5,8.5,8.5,0
2023-11-29,8.5,8.5,8.5,8.5,0
2023-11-30,8.5,8.5,8.5,8.5,0
2023-12-01,8.3,8.5,8.3,8.5,1200
2023-12-04,8.5,8.5,8.5,8.5,0
2023-12-05,8.1,8.1,8.1,8.1,500
2023-12-06,8.4,8.5,8.4,8.5,5206
2023-12-07,8.5,8.5,8.5,8.5,0
2023-12-08,8.4,8.5,8.4,8.5,200
2023-12-11,8.1,8.5,8.1,8.5,950
2023-12-12,8.4,8.5,8.4,8.5,1100
2023-12-13,8.5,8.5,8.5,8.5,9
2023-12-14,8.4,8.4,8.2,8.2,323
2023-12-15,8.4,8.5,8.4,8.5,500
2023-12-18,8.5,8.5,8.0,8.4,2500
2023-12-19,8.4,8.4,8.4,8.4,100
