date,open,high,low,close,volume
2024-01-25,52.66,52.66,52.66,52.66,2037
2024-01-26,52.66,52.66,52.66,52.66,612
2024-01-29,52.66,53.58,52.66,52.66,2407
2024-01-30,52.66,52.85,52.66,52.66,2020
2024-01-31,52.75,52.75,52.66,52.66,1701
2024-02-01,52.66,52.66,52.29,52.29,4100
2024-02-02,52.48,52.48,52.2,52.2,6414
2024-02-05,52.2,52.2,52.11,52.2,6301
2024-02-06,52.2,52.2,52.2,52.2,5900
2024-02-07,52.57,52.57,52.2,52.29,935
2024-02-15,52.29,53.31,52.29,53.31,5300
2024-02-16,53.21,53.58,53.12,53.58,930
2024-02-19,53.49,53.58,52.66,52.66,2700
2024-02-20,52.75,52.75,52.57,52.57,2300
2024-02-21,52.57,52.57,44.72,52.57,5027
2024-02-22,54.51,54.51,53.4,53.4,2627
2024-02-23,53.86,53.86,51.92,53.58,4913
2024-02-26,52.11,52.11,52.11,52.11,543
2024-02-27,53.49,53.49,51.92,53.12,3300
2024-02-28,54.23,54.23,53.49,53.58,3156
2024-02-29,52.75,53.49,52.75,53.4,4148
2024-03-01,53.4,53.49,53.31,53.4,9800
2024-03-04,52.29,53.4,52.29,53.21,1914
2024-03-05,52.94,52.94,52.66,52.66,6034
2024-03-06,52.75,53.49,52.75,53.49,210
2024-03-07,52.57,52.57,52.48,52.57,2000
2024-03-08,52.48,52.48,52.2,52.38,4900
2024-03-11,52.48,54.05,52.48,53.58,2300
2024-03-12,53.58,53.58,53.49,53.49,1600
2024-03-13,53.49,53.58,53.12,53.58,6342
2024-03-14,53.58,53.68,53.21,53.58,8151
2024-03-15,53.77,53.95,53.68,53.95,1217
2024-03-18,54.05,54.51,53.86,53.86,3543
2024-03-19,54.32,54.42,54.32,54.32,2002
2024-03-20,54.51,54.51,54.42,54.51,908
2024-03-21,55.16,55.16,54.97,54.97,811
2024-03-22,55.16,55.16,55.06,55.06,1900
2024-03-25,55.25,55.25,54.51,54.51,906
2024-03-26,52.75,52.75,52.75,52.75,373
2024-03-27,54.97,54.97,54.69,54.69,200
2024-03-28,54.69,54.69,54.69,54.69,1700
2024-03-29,55.25,55.34,53.58,53.58,808
2024-04-01,55.06,55.06,54.97,55.06,910
2024-04-02,54.14,54.14,54.14,54.14,1107
2024-04-03,54.6,54.6,54.51,54.51,2171
2024-04-04,54.51,54.51,54.51,54.51,0
2024-04-05,54.6,54.69,54.51,54.6,2700
2024-04-08,54.42,54.42,54.32,54.32,700
2024-04-09,54.51,54.51,54.32,54.32,200
2024-04-10,54.42,54.42,54.42,54.42,0
2024-04-11,53.77,53.77,53.77,53.77,1200
2024-04-12,53.86,53.86,53.77,53.77,1500
2024-04-15,53.77,54.05,53.77,53.77,1110
2024-04-16,53.68,53.86,53.68,53.68,700
2024-04-17,54.05,54.05,53.77,53.77,400
2024-04-19,53.86,53.86,53.58,53.58,808
2024-04-22,53.58,53.58,53.58,53.58,1200
2024-04-23,53.58,53.58,53.58,53.58,0
2024-04-24,52.66,53.12,52.66,53.12,408
2024-04-25,52.66,52.66,50.91,50.91,3665
2024-04-26,52.57,53.58,52.57,52.94,900
2024-05-02,52.94,53.03,50.81,51.27,8143
2024-05-03,52.38,52.38,52.2,52.29,1931
2024-05-06,53.4,54.42,53.4,54.42,501
2024-05-07,53.68,53.68,52.11,52.11,816
2024-05-08,53.31,53.31,53.31,53.31,104
2024-05-09,53.31,53.58,53.12,53.58,7390
2024-05-10,53.31,53.31,53.12,53.12,2545
2024-05-13,54.51,54.51,53.58,53.58,607
2024-05-14,53.68,54.42,53.58,53.58,1533
2024-05-15,53.77,53.77,52.94,53.58,2000
2024-05-16,53.58,53.58,52.2,53.49,902
2024-05-17,53.58,53.58,53.58,53.58,200
2024-05-20,53.58,53.58,53.49,53.49,805
2024-05-21,53.31,53.68,53.31,53.68,6136
2024-05-22,53.68,53.68,53.68,53.68,100
2024-05-23,53.68,53.68,53.68,53.68,200
2024-05-24,53.58,53.58,53.58,53.58,3100
2024-05-27,54.51,55.43,54.51,55.43,2032
2024-05-28,55.34,55.43,55.34,55.43,336
2024-05-29,55.25,55.34,55.25,55.34,400
2024-05-30,51.64,52.66,51.64,52.66,400
2024-05-31,54.51,54.51,54.51,54.51,100
2024-06-03,54.05,62.64,54.05,60.51,5153
2024-06-04,59.59,59.59,54.51,56.08,5901
2024-06-05,54.42,55.52,54.32,54.51,800
2024-06-06,54.69,54.69,54.69,54.69,0
2024-06-07,54.6,54.6,53.58,53.58,1401
2024-06-10,54.05,54.14,53.58,53.58,7200
2024-06-11,53.58,53.68,53.58,53.58,1120
2024-06-12,53.58,53.58,53.12,53.12,800
