date,open,high,low,close,volume
2024-01-30,17.51,17.58,17.29,17.58,1568703
2024-01-31,17.58,17.58,17.26,17.58,2836300
2024-02-01,17.68,17.75,17.37,17.44,1794322
2024-02-02,17.12,17.82,17.01,17.72,4545369
2024-02-05,17.89,18.0,17.61,17.75,2983059
2024-02-06,17.75,17.86,17.65,17.75,2433090
2024-02-07,17.72,18.14,17.72,18.14,4651246
2024-02-15,18.11,18.21,18.04,18.11,1913720
2024-02-16,18.21,18.21,18.0,18.04,1686949
2024-02-19,18.0,18.04,17.61,17.72,1963628
2024-02-20,17.65,17.75,17.54,17.72,1611338
2024-02-21,17.79,17.82,17.47,17.82,2833319
2024-02-22,17.89,17.89,17.65,17.65,1537920
2024-02-23,17.72,17.75,17.44,17.47,2490175
2024-02-26,17.51,17.54,17.33,17.51,1331001
2024-02-27,17.51,17.79,17.44,17.79,2653019
2024-02-28,17.93,18.95,17.75,18.92,7444972
2024-02-29,18.88,19.02,18.78,18.95,3378276
2024-03-01,19.06,19.2,18.67,19.06,5509647
2024-03-04,19.17,19.17,18.81,18.85,3235368
2024-03-05,18.71,19.13,18.64,19.02,4854559
2024-03-06,19.02,19.02,18.78,18.88,2690503
2024-03-07,18.85,19.17,18.78,19.13,3966467
2024-03-08,19.06,19.13,18.88,19.02,4131336
2024-03-11,18.95,19.69,18.85,19.52,6555141
2024-03-12,19.69,19.69,19.31,19.48,4333119
2024-03-13,19.48,19.77,19.38,19.48,3904626
2024-03-14,19.59,19.94,19.27,19.91,5889605
2024-03-15,19.8,19.98,19.66,19.94,4167425
2024-03-18,19.84,20.29,18.88,20.05,8080254
2024-03-19,20.08,20.12,19.73,19.84,3436608
2024-03-20,19.8,19.94,19.45,19.87,3667550
2024-03-21,19.87,19.94,19.73,19.87,3188182
2024-03-22,19.87,20.37,19.8,20.01,5958052
2024-03-25,20.05,20.22,19.66,20.05,4347580
2024-03-26,19.84,20.08,19.77,20.08,4026653
2024-03-27,20.15,20.37,20.08,20.33,5004886
2024-03-28,20.37,20.61,20.08,20.37,3929157
2024-03-29,20.37,20.54,19.77,20.05,4454849
2024-04-01,19.98,20.01,19.41,19.55,3398279
2024-04-02,19.41,19.59,18.99,19.55,3312197
2024-04-03,19.48,19.73,18.99,18.99,3163936
2024-04-04,18.85,19.45,18.85,19.02,3844467
2024-04-05,19.06,19.45,18.95,19.34,4374640
2024-04-08,19.48,19.62,19.2,19.2,3329648
2024-04-09,19.09,19.24,18.67,18.95,3672097
2024-04-10,18.67,19.48,18.53,19.48,5840904
2024-04-11,19.48,19.48,19.06,19.27,2603986
2024-04-12,19.27,19.55,18.95,19.06,4215473
2024-04-15,19.02,19.06,17.97,17.97,4675809
2024-04-16,17.79,18.35,17.65,18.35,4541486
2024-04-17,18.25,18.57,18.14,18.49,3312418
2024-04-19,18.32,18.57,17.86,18.35,3843986
2024-04-22,18.35,19.06,18.28,19.02,5253950
2024-04-23,19.02,19.09,18.67,18.95,2591434
2024-04-24,18.95,19.38,18.95,19.38,4511985
2024-04-25,19.52,19.55,19.2,19.38,2719307
2024-04-26,19.31,20.12,19.31,19.98,5064831
2024-05-02,19.98,20.12,19.73,19.98,2980130
2024-05-03,19.91,20.08,19.38,19.45,3740646
2024-05-06,19.41,20.05,19.41,19.91,4934755
2024-05-07,19.87,20.12,19.62,20.08,5382099
2024-05-08,20.05,20.22,19.73,20.05,4235776
2024-05-09,20.05,20.08,19.59,19.73,4776162
2024-05-10,19.73,19.77,19.38,19.69,3739125
2024-05-13,19.59,21.07,19.55,21.07,13748867
2024-05-14,21.14,21.14,20.58,20.79,4412049
2024-05-15,20.54,21.57,20.44,20.79,10832446
2024-05-16,20.93,20.97,20.15,20.72,11243378
2024-05-17,22.0,22.1,21.8,22.1,4011741
2024-05-20,22.75,22.85,22.05,22.5,6686063
2024-05-21,22.35,22.6,21.95,22.45,7828698
2024-05-22,22.3,22.4,21.85,22.25,4821976
2024-05-23,22.1,22.85,21.95,22.65,5797394
2024-05-24,22.45,22.8,22.0,22.25,4458201
2024-05-27,22.25,22.4,22.05,22.25,2275117
2024-05-28,22.35,22.9,22.3,22.7,5412127
2024-05-29,22.75,23.45,22.45,22.95,9457308
2024-05-30,22.7,23.25,22.25,23.25,7937833
2024-05-31,23.3,23.35,22.65,22.85,5500104
2024-06-03,22.9,23.0,22.7,22.85,3307991
2024-06-04,22.75,23.05,22.65,22.75,4392254
2024-06-05,22.6,22.85,22.45,22.45,2873650
2024-06-06,22.35,22.5,22.0,22.0,3765565
2024-06-07,22.15,22.45,22.0,22.2,3275542
2024-06-10,22.2,22.75,22.2,22.5,5134196
2024-06-11,22.45,22.5,22.15,22.3,3740652
2024-06-12,22.4,22.45,22.0,22.3,1882616
2024-06-13,22.5,22.65,22.25,22.35,2115944
2024-06-14,22.35,22.55,21.65,21.65,3435487
2024-06-17,21.6,21.6,21.1,21.15,2953607
2024-06-18,21.1,21.9,21.0,21.5,2755323
2024-06-19,21.55,21.75,21.3,21.3,2271311
2024-06-20,21.35,21.45,20.85,20.95,2927972
2024-06-21,20.95,21.7,20.75,21.0,5378426
2024-06-24,21.0,21.1,19.9,19.95,5911965
2024-06-25,19.75,20.6,19.55,20.45,3438992
2024-06-26,20.3,20.45,19.85,20.45,3178333
2024-06-27,20.3,20.35,20.1,20.3,1493475
2024-06-28,20.25,20.4,19.3,19.55,3517386
2024-07-01,19.55,19.75,19.3,19.7,2001668
2024-07-02,19.65,19.8,19.6,19.8,1204904
2024-07-03,19.8,20.3,19.7,19.95,2304490
2024-07-04,20.0,20.05,19.7,19.75,1643243
2024-07-05,19.8,19.9,19.45,19.6,2294257
2024-07-08,19.65,20.0,19.65,20.0,1940353
2024-07-09,20.1,20.65,20.1,20.65,3457501
2024-07-10,20.7,21.0,20.55,20.55,3062175
2024-07-11,20.85,20.95,20.1,20.2,2628076
2024-07-12,20.2,20.55,19.95,20.25,2632127
2024-07-15,20.35,20.55,20.05,20.2,1992742
2024-07-16,20.1,20.35,20.05,20.1,1611031
2024-07-17,20.1,20.1,18.85,18.9,4199950
2024-07-18,19.1,19.1,18.55,19.1,2450639
2024-07-19,19.05,19.2,18.7,19.0,1617249
2024-07-22,18.9,19.1,18.5,18.7,1558124
2024-07-23,18.65,18.75,18.0,18.0,2061243
2024-07-24,17.85,18.75,17.6,18.45,2103866
2024-07-25,18.4,18.55,17.95,18.55,1270259
2024-07-26,18.55,18.8,18.3,18.8,1316000
2024-07-29,18.9,18.9,18.5,18.8,1118000
2024-07-30,18.9,18.9,18.25,18.7,1742500
2024-07-31,18.2,18.35,18.1,18.25,2763400
2024-08-01,18.3,18.35,17.15,17.3,5220000
2024-08-02,17.05,18.0,17.05,17.9,2560700
2024-08-05,17.6,17.9,17.2,17.5,3943400
2024-08-06,17.5,18.25,17.5,18.2,3012500
2024-08-07,18.3,18.4,17.65,18.0,2116700
2024-08-08,18.0,18.2,17.8,18.05,1650300
2024-08-09,18.05,18.3,18.0,18.05,1391600
2024-08-12,18.05,18.15,17.85,18.0,2243100
2024-08-13,18.25,18.4,18.0,18.15,1980700
2024-08-14,18.2,18.25,18.05,18.15,1732100
2024-08-15,18.2,18.25,18.1,18.15,1568900
2024-08-16,18.2,18.85,18.15,18.4,2087400
2024-08-19,18.5,18.9,18.4,18.5,1290000
2024-08-20,18.65,18.95,18.5,18.6,2634900
2024-08-21,18.6,18.7,18.4,18.4,1981300
2024-08-22,18.5,18.6,18.35,18.35,1244800
2024-08-23,18.45,18.45,18.15,18.15,1963200
2024-08-26,18.25,18.3,18.15,18.15,825300
2024-08-27,18.25,18.3,18.1,18.25,1248400
2024-08-28,18.1,18.4,18.1,18.25,1511000
2024-08-29,18.25,18.5,18.15,18.25,1161200
2024-08-30,18.35,18.35,18.2,18.2,1251800
2024-09-04,18.05,18.25,18.05,18.1,1168200
2024-09-05,18.1,18.25,17.85,17.85,1621500
2024-09-06,17.7,18.55,17.6,17.75,6989600
2024-09-09,17.8,18.45,17.7,18.2,4233700
2024-09-10,18.6,19.45,18.5,19.05,10902900
2024-09-11,19.1,19.35,18.85,19.05,3172400
2024-09-12,19.2,19.7,19.0,19.25,4171300
2024-09-13,19.45,20.15,19.2,20.0,5657400
2024-09-16,20.3,20.45,19.6,19.6,5863300
2024-09-17,19.65,20.1,19.6,19.85,3829300
2024-09-18,19.9,20.15,19.7,20.0,4370400
2024-09-19,19.9,20.85,19.9,20.65,6398700
2024-09-20,20.9,21.1,20.6,20.8,5778600
2024-09-23,20.8,21.0,20.65,20.75,2640800
2024-09-24,20.9,20.9,20.6,20.7,2364700
2024-09-25,20.8,21.45,20.7,20.8,4260400
2024-09-26,21.05,21.15,20.7,20.75,4071900
2024-09-27,20.7,21.15,20.4,20.9,3132100
2024-09-30,21.0,21.6,20.75,21.45,4503000
2024-10-01,21.6,21.85,21.35,21.7,3692200
2024-10-02,21.75,22.0,21.65,21.75,2630500
2024-10-03,21.8,21.85,21.5,21.55,3048000
2024-10-04,21.6,21.95,21.5,21.55,2314400
2024-10-07,21.65,21.9,21.65,21.85,1475700
2024-10-08,21.85,22.7,21.8,22.2,4719200
2024-10-09,22.25,22.6,22.0,22.55,4878400
2024-10-10,22.7,22.75,22.25,22.5,2967400
2024-10-11,22.55,22.75,22.5,22.55,1964200
2024-10-14,22.65,22.75,22.55,22.6,1909800
2024-10-15,22.85,23.1,22.65,22.7,3069700
2024-10-16,22.6,23.05,22.45,22.6,2670000
2024-10-17,22.45,22.7,22.4,22.7,3065300
2024-10-18,23.0,23.0,22.45,22.55,2130800
2024-10-21,22.5,22.7,22.25,22.65,3012100
2024-10-22,22.7,22.75,22.25,22.5,2758600
2024-10-23,22.3,22.7,22.0,22.7,4646100
2024-10-24,22.7,22.8,22.5,22.6,2999100
2024-10-25,22.65,22.7,22.35,22.65,2648800
2024-10-28,22.5,22.7,22.3,22.5,2926200
2024-10-29,22.35,22.7,22.35,22.65,2669300
2024-10-30,22.6,22.85,22.45,22.8,3198800
2024-10-31,22.8,23.0,22.6,22.95,4253100
2024-11-01,23.0,23.05,22.65,22.85,1460500
2024-11-04,22.75,22.8,22.2,22.65,3198600
2024-11-05,22.45,22.7,22.35,22.7,2389900
2024-11-06,22.8,22.85,22.5,22.8,2438200
2024-11-07,23.0,23.0,22.65,22.8,1559900
2024-11-08,22.8,22.85,22.4,22.55,1747900
2024-11-11,22.45,22.5,21.85,22.45,3295300
2024-11-12,22.35,22.9,22.3,22.9,5003900
2024-11-13,22.9,23.0,22.65,22.9,3672900
2024-11-14,23.0,23.0,22.5,22.6,2155500
2024-11-15,22.5,23.5,22.35,23.3,5430900
2024-11-18,23.35,23.5,22.95,23.3,2874100
2024-11-19,23.1,23.5,23.0,23.5,3271800
2024-11-20,23.5,24.6,23.3,24.5,6378300
2024-11-21,24.6,24.6,24.0,24.45,3465900
2024-11-22,24.2,24.55,24.2,24.4,3248900
2024-11-25,24.45,24.5,24.05,24.4,3792000
2024-11-26,24.35,24.5,24.2,24.5,4286300
2024-11-27,24.5,25.0,24.35,24.5,3792900
2024-11-28,24.35,25.0,24.15,25.0,3702000
2024-11-29,24.9,25.15,24.65,24.85,3226600
2024-12-02,24.85,25.0,24.7,24.85,1592500
2024-12-03,25.0,25.0,24.6,24.75,3029000
2024-12-04,24.85,25.0,24.7,24.8,2466200
2024-12-05,24.7,25.4,24.7,25.4,5425100
2024-12-06,25.55,25.65,25.15,25.3,2821900
2024-12-09,25.4,25.4,24.95,25.1,2142300
2024-12-10,25.3,25.3,24.85,25.1,2757300
2024-12-11,25.0,25.4,25.0,25.25,2990700
2024-12-12,25.35,25.4,25.15,25.2,1649300
2024-12-13,25.2,25.4,25.0,25.2,1768000
2024-12-16,25.1,25.25,25.0,25.1,1514700
2024-12-17,25.05,25.5,24.9,25.45,3042600
2024-12-18,25.4,26.8,25.25,26.75,6323600
2024-12-19,26.7,26.7,26.2,26.4,2709200
2024-12-20,26.55,26.6,26.0,26.3,2441900
2024-12-23,26.2,27.0,26.2,26.8,3723600
2024-12-24,27.0,27.1,26.55,26.7,1895400
2024-12-25,26.8,26.95,26.45,26.6,4133000
2024-12-26,26.4,26.8,26.1,26.8,4271800
2024-12-27,26.7,28.55,26.7,28.45,8430100
2024-12-30,28.5,28.5,28.0,28.25,4585700
2024-12-31,28.05,28.4,27.6,28.1,6088500
2025-01-02,28.1,28.2,27.75,27.9,2507800
2025-01-03,27.8,27.85,26.75,27.0,6211900
2025-01-06,26.9,27.15,26.4,27.05,4043800
2025-01-07,27.0,27.4,26.8,27.0,3360200
2025-01-08,26.85,27.0,26.65,26.95,1964900
2025-01-09,27.05,27.1,26.7,26.8,2067600
2025-01-10,26.75,26.85,26.4,26.75,3219800
2025-01-13,26.5,26.65,26.1,26.5,1832100
2025-01-14,26.5,26.5,26.2,26.5,1003500
2025-01-15,26.65,26.65,26.25,26.55,1002200
2025-01-16,26.55,27.5,26.4,27.25,4965800
2025-01-17,27.25,27.25,26.95,27.25,2092700
2025-01-20,27.15,27.35,26.8,27.05,1638700
2025-01-21,26.9,27.15,26.7,26.95,2322900
2025-01-22,26.8,27.05,26.75,27.0,2091500
2025-01-23,26.9,27.5,26.8,27.4,3468500
2025-01-24,27.35,27.7,27.2,27.65,3185500
2025-02-03,27.5,28.2,27.35,28.1,3827300
2025-02-04,28.05,28.55,27.8,28.15,4596700
2025-02-05,28.25,28.3,27.8,28.05,2240300
2025-02-06,28.1,28.1,27.7,27.95,2001800
2025-02-07,27.9,28.05,27.75,27.9,1368000
2025-02-10,27.75,27.95,27.25,27.85,2572600
2025-02-11,27.9,29.35,27.9,29.2,6720300
2025-02-12,29.25,29.25,28.85,29.0,2875000
2025-02-13,28.9,29.1,28.7,28.9,2850100
2025-02-14,28.9,29.45,28.7,29.2,4176400
2025-02-17,29.25,30.45,29.25,29.9,6875900
2025-02-18,29.9,30.1,29.65,29.85,2101600
2025-02-19,29.8,30.5,29.65,30.5,4065700
2025-02-20,30.75,30.8,30.05,30.75,3498600
2025-02-21,30.7,31.45,30.5,31.35,3918300
2025-02-24,31.3,32.1,31.25,32.1,3366700
2025-02-25,32.4,32.5,31.7,31.95,3162600
2025-02-26,32.1,32.1,31.6,31.6,4785500
2025-02-27,31.75,33.3,31.4,33.3,5504300
2025-02-28,33.4,33.5,32.85,33.1,2058200
2025-03-03,33.15,33.6,32.6,33.1,2938100
2025-03-04,33.1,34.2,32.6,34.2,4335000
2025-03-05,34.3,34.35,33.8,33.85,2520300
2025-03-06,33.65,34.25,33.65,34.25,3288400
2025-03-07,34.25,34.65,33.85,34.65,3300800
2025-03-10,34.7,34.75,33.9,33.95,3157200
2025-03-11,33.6,34.1,33.2,34.0,3314500
2025-03-12,34.0,34.2,33.65,33.95,3653100
2025-03-13,34.0,34.2,32.85,33.0,4946000
2025-03-14,32.65,33.25,32.4,33.2,5034100
2025-03-17,33.25,33.3,32.75,33.1,1543500
