date,open,high,low,close,volume
2023-12-15,37.32,37.4,36.9,37.24,7623
2023-12-18,38.64,38.64,37.76,37.76,616
2023-12-19,37.67,38.99,37.67,37.76,1101
2023-12-20,35.39,38.29,35.39,38.29,2950
2023-12-21,38.29,38.29,38.29,38.29,120
2023-12-22,38.29,38.29,38.29,38.29,3500
2023-12-25,36.0,37.59,36.0,37.59,1043
2023-12-26,37.59,37.59,37.59,37.59,200
2023-12-27,37.59,37.59,37.59,37.59,0
2023-12-28,36.79,36.79,36.0,36.71,4129
2023-12-29,35.92,35.92,35.92,35.92,310
2024-01-02,37.06,37.06,36.0,36.0,709
2024-01-03,36.0,36.0,36.0,36.0,5204
2024-01-04,36.09,36.09,36.0,36.0,5133
2024-01-05,36.0,36.0,35.83,35.83,3774
2024-01-08,35.92,36.18,35.92,36.09,800
2024-01-09,36.18,36.36,36.18,36.27,1100
2024-01-10,36.62,37.15,36.62,37.15,4200
2024-01-11,37.15,37.15,36.88,36.88,827
2024-01-12,37.15,37.15,37.15,37.15,200
2024-01-15,36.88,36.88,36.88,36.88,2125
2024-01-16,36.88,36.88,36.88,36.88,1000
2024-01-17,36.97,37.15,36.97,37.15,2000
2024-01-18,37.06,37.15,36.18,36.88,3600
2024-01-19,36.18,36.97,36.18,36.88,1700
2024-01-22,36.88,36.88,36.79,36.88,9300
2024-01-23,36.88,36.88,36.88,36.88,13900
2024-01-24,37.32,37.32,36.88,36.88,6300
2024-01-25,36.27,36.88,36.18,36.88,610
2024-01-26,36.88,36.88,36.88,36.88,400
2024-01-29,36.88,36.88,36.53,36.71,1700
2024-01-30,36.71,36.79,36.53,36.53,1400
2024-01-31,36.44,36.44,36.44,36.44,100
2024-02-01,36.62,36.88,36.62,36.88,400
2024-02-02,36.27,36.71,36.27,36.71,1000
2024-02-05,36.27,36.88,36.09,36.88,3100
2024-02-06,36.18,36.79,36.18,36.79,1100
2024-02-07,36.88,36.88,36.88,36.88,100
2024-02-15,36.88,36.88,36.44,36.88,3600
2024-02-16,36.88,36.88,36.88,36.88,1
2024-02-19,36.88,36.88,36.62,36.62,500
2024-02-20,36.62,36.79,36.62,36.79,310
2024-02-21,36.88,36.88,36.79,36.79,600
2024-02-22,36.79,36.79,36.79,36.79,400
2024-02-23,36.88,37.15,36.71,36.71,4901
2024-02-26,36.71,36.88,36.71,36.88,501
2024-02-27,36.97,36.97,36.79,36.97,5100
2024-02-28,38.64,38.64,36.88,36.88,5200
2024-02-29,36.88,37.06,36.79,37.06,4700
2024-03-01,36.88,37.06,36.62,37.06,3400
2024-03-04,36.97,36.97,36.79,36.88,1000
2024-03-05,36.88,36.88,36.88,36.88,100
2024-03-06,36.88,36.88,36.88,36.88,300
2024-03-07,36.88,36.88,36.62,36.88,2608
2024-03-08,36.88,36.88,36.71,36.88,6200
2024-03-11,36.88,36.88,36.44,36.88,2600
2024-03-12,36.88,36.88,36.79,36.79,200
2024-03-13,36.79,36.97,36.79,36.88,3600
2024-03-14,36.88,36.88,36.79,36.88,2000
2024-03-15,36.79,36.88,36.79,36.88,634
2024-03-18,36.88,36.88,36.88,36.88,1200
2024-03-19,36.71,36.88,36.44,36.88,1700
2024-03-20,37.76,37.76,37.76,37.76,232
2024-03-21,37.67,37.67,36.0,37.59,5700
2024-03-22,37.67,37.67,36.88,36.88,912
2024-03-25,36.88,36.88,36.88,36.88,0
2024-03-26,36.88,36.88,36.88,36.88,500
2024-03-27,36.88,36.88,36.0,36.88,3700
2024-03-28,37.06,37.06,36.88,36.88,1600
2024-03-29,36.88,36.88,36.88,36.88,0
2024-04-01,36.88,36.88,36.44,36.88,2200
2024-04-02,36.88,36.88,36.88,36.88,1002
2024-04-03,36.88,36.88,36.88,36.88,2012
2024-04-04,36.62,36.88,36.62,36.88,300
2024-04-05,35.13,36.88,35.13,36.88,200
2024-04-08,36.79,36.88,35.04,36.88,705
2024-04-09,36.88,36.88,36.88,36.88,2200
2024-04-10,36.88,36.88,36.88,36.88,0
2024-04-11,36.88,36.88,36.88,36.88,0
2024-04-12,36.88,36.88,36.0,36.44,800
2024-04-15,36.44,36.44,36.44,36.44,205
2024-04-16,36.0,36.0,34.25,35.13,1200
2024-04-17,35.13,35.13,35.13,35.13,0
2024-04-19,35.04,35.04,34.25,34.25,904
2024-04-22,35.04,35.04,35.04,35.04,1202
2024-04-23,35.04,35.04,33.81,33.81,2900
2024-04-24,34.25,34.25,34.25,34.25,601
2024-04-25,34.25,34.25,34.25,34.25,0
2024-04-26,34.25,34.25,34.25,34.25,100
2024-05-02,35.04,35.04,35.04,35.04,700
2024-05-03,35.04,35.04,35.04,35.04,8
2024-05-06,34.95,35.04,34.42,35.04,2707
2024-05-07,35.04,35.13,35.04,35.13,2300
2024-05-08,34.95,35.13,34.95,35.13,2780
2024-05-09,35.04,35.13,35.04,35.13,4800
2024-05-10,35.04,35.04,35.04,35.04,100
2024-05-13,35.04,35.13,35.04,35.13,2500
2024-05-14,35.13,35.13,34.42,34.42,407
2024-05-15,35.04,35.04,35.04,35.04,100
2024-05-16,35.04,35.04,34.69,34.95,3200
2024-05-17,34.86,34.95,34.69,34.95,3908
2024-05-20,34.95,34.95,34.69,34.69,2310
2024-05-21,35.04,35.04,34.69,34.69,900
2024-05-22,35.04,35.04,34.95,34.95,2605
2024-05-23,35.04,35.04,35.04,35.04,200
2024-05-24,35.04,35.04,35.04,35.04,105
2024-05-27,35.04,35.04,35.04,35.04,2405
2024-05-28,35.04,35.13,35.04,35.13,7500
2024-05-29,35.04,35.57,35.04,35.57,4500
2024-05-30,35.21,36.88,35.13,36.53,5400
2024-05-31,36.88,36.88,36.71,36.71,201
2024-06-03,36.53,36.53,36.36,36.36,2200
2024-06-04,36.36,36.36,36.27,36.27,3001
2024-06-05,36.44,36.44,36.44,36.44,400
2024-06-06,36.44,36.44,36.44,36.44,0
2024-06-07,32.84,36.88,32.84,36.79,700
2024-06-10,33.55,36.62,33.55,36.62,2200
2024-06-11,36.71,36.79,36.71,36.71,5000
2024-06-12,36.71,36.79,36.71,36.79,9300
2024-06-13,36.71,36.71,36.71,36.71,100
2024-06-14,36.88,36.88,36.88,36.88,100
2024-06-17,36.62,36.62,36.62,36.62,200
2024-06-18,36.0,36.71,36.0,36.62,5700
2024-06-19,36.44,36.71,36.18,36.27,7100
2024-06-20,36.62,36.71,35.21,36.62,3900
2024-06-21,36.62,36.97,36.62,36.79,12621
2024-06-24,36.62,36.62,36.62,36.62,4200
2024-06-25,36.62,36.62,36.62,36.62,2500
2024-06-26,36.62,36.62,36.62,36.62,5
2024-06-27,36.62,36.62,36.62,36.62,600
2024-06-28,37.06,37.06,37.06,37.06,102
2024-07-01,37.06,37.06,36.88,36.88,13202
2024-07-02,37.06,37.06,37.06,37.06,100
2024-07-03,36.88,37.06,36.88,37.06,1900
2024-07-04,36.88,36.88,36.36,36.88,400
2024-07-05,36.88,36.88,35.48,36.88,9500
2024-07-08,36.88,36.88,36.88,36.88,1
2024-07-09,36.71,36.79,36.27,36.79,4200
2024-07-10,36.0,36.71,36.0,36.71,5400
2024-07-11,36.71,36.71,36.71,36.71,500
2024-07-12,36.88,37.06,36.79,37.06,2712
2024-07-15,36.97,38.2,36.97,38.2,5364
2024-07-16,38.11,38.11,37.32,37.32,600
2024-07-17,36.88,37.23,35.57,37.23,1500
2024-07-18,37.23,37.23,37.23,37.23,0
2024-07-19,35.74,35.74,35.57,35.57,1000
2024-07-22,35.65,37.06,35.57,37.06,4100
2024-07-23,34.34,36.88,34.34,36.88,714
2024-07-24,35.13,35.48,35.13,35.48,2300
2024-07-25,36.71,36.71,35.48,35.48,1000
2024-07-26,35.3,35.3,35.3,35.3,200
2024-07-29,35.39,35.39,35.3,35.3,2501
2024-07-30,35.12,35.12,35.12,35.12,710
2024-07-31,35.12,35.12,35.12,35.12,502
2024-08-01,35.92,36.46,35.92,36.46,200
2024-08-02,36.46,36.46,36.46,36.46,8
2024-08-05,34.86,35.48,33.97,35.48,2010
2024-08-06,35.57,36.28,34.06,36.28,4100
2024-08-07,34.23,34.32,34.23,34.32,500
2024-08-08,34.23,34.23,33.79,33.79,4405
2024-08-09,34.23,34.5,33.79,33.79,1600
2024-08-12,33.97,34.94,33.88,34.94,2200
2024-08-13,34.94,34.94,34.94,34.94,0
2024-08-14,34.94,34.94,34.94,34.94,0
2024-08-15,34.94,34.94,34.94,34.94,0
2024-08-16,34.94,34.94,34.94,34.94,0
2024-08-19,34.94,34.94,34.94,34.94,12
2024-08-20,34.77,34.77,34.77,34.77,400
2024-08-21,34.77,36.1,34.77,36.1,401
2024-08-22,33.17,36.01,33.17,35.75,2300
2024-08-23,35.75,35.75,35.75,35.75,0
2024-08-26,33.17,35.57,33.17,35.57,205
2024-08-27,33.17,35.48,33.17,35.48,203
2024-08-28,33.34,35.48,33.34,35.48,1302
2024-08-29,35.48,35.48,35.48,35.48,0
2024-08-30,35.48,35.48,35.48,35.48,2
2024-09-04,35.39,35.39,35.39,35.39,103
2024-09-05,33.79,36.37,33.79,36.37,2401
2024-09-06,33.17,35.57,33.17,35.57,200
2024-09-09,35.57,35.57,35.57,35.57,10
2024-09-10,35.57,35.57,35.57,35.57,10
2024-09-11,33.79,33.79,33.79,33.79,1000
2024-09-12,34.23,34.68,34.23,34.68,705
2024-09-13,34.68,34.68,34.68,34.68,5
2024-09-16,35.48,35.48,35.48,35.48,100
2024-09-17,35.48,35.48,35.48,35.48,0
2024-09-18,35.48,35.48,35.48,35.48,0
2024-09-19,35.3,35.3,33.88,35.3,500
2024-09-20,33.97,34.94,33.97,34.94,200
2024-09-23,34.94,34.94,34.94,34.94,1
2024-09-24,34.68,34.68,33.79,34.23,4200
2024-09-25,34.23,34.23,34.23,34.23,0
2024-09-26,34.23,34.23,34.23,34.23,200
2024-09-27,34.23,34.23,34.23,34.23,0
2024-09-30,34.23,34.23,34.23,34.23,0
2024-10-01,34.41,34.41,34.23,34.23,316
2024-10-02,34.23,34.23,34.23,34.23,0
2024-10-03,33.43,33.79,33.34,33.79,2600
2024-10-04,33.79,33.79,33.08,33.34,8105
2024-10-07,32.72,33.34,32.72,33.34,809
2024-10-08,33.34,33.34,33.34,33.34,32
2024-10-09,32.9,34.5,32.9,34.5,5102
2024-10-10,33.88,34.23,33.88,34.23,613
2024-10-11,35.39,35.39,35.39,35.39,100
