date,open,high,low,close,volume
2023-06-30,9.23,9.23,9.23,9.23,0
2023-07-03,9.23,9.23,9.23,9.23,0
2023-07-04,9.23,9.23,9.23,9.23,0
2023-07-05,9.23,9.23,9.23,9.23,0
2023-07-06,9.23,9.23,9.23,9.23,0
2023-07-07,9.23,9.23,9.23,9.23,0
2023-07-10,9.23,9.23,9.23,9.23,0
2023-07-11,9.23,9.23,9.23,9.23,1301
2023-07-12,9.23,9.23,9.23,9.23,0
2023-07-13,9.23,9.23,9.23,9.23,0
2023-07-14,9.23,9.23,9.23,9.23,0
2023-07-17,9.23,9.23,9.23,9.23,0
2023-07-18,9.23,9.23,9.23,9.23,0
2023-07-19,9.23,9.23,9.23,9.23,0
2023-07-20,9.23,9.23,9.23,9.23,43
2023-07-21,9.23,9.23,9.23,9.23,0
2023-07-24,9.23,9.23,9.23,9.23,0
2023-07-25,9.23,9.23,9.23,9.23,0
2023-07-26,9.23,9.23,9.23,9.23,0
2023-07-27,9.33,9.33,9.23,9.23,400
2023-07-28,9.33,9.33,9.33,9.33,0
2023-07-31,9.33,9.33,9.33,9.33,0
2023-08-01,9.42,9.42,9.33,9.33,200
2023-08-02,9.42,9.42,9.42,9.42,0
2023-08-03,9.42,9.42,9.42,9.42,0
2023-08-04,9.42,9.42,9.42,9.42,0
2023-08-07,9.42,9.42,9.42,9.42,0
2023-08-08,9.42,9.42,9.42,9.42,0
2023-08-09,8.09,8.09,8.09,8.09,900
2023-08-10,8.09,8.09,8.09,8.09,0
2023-08-11,9.23,9.23,9.14,9.23,1000
2023-08-14,9.23,9.23,9.23,9.23,0
2023-08-15,9.23,9.23,9.23,9.23,0
2023-08-16,9.23,9.23,9.23,9.23,0
2023-08-17,9.23,9.23,9.23,9.23,0
2023-08-18,9.23,9.23,9.23,9.23,0
2023-08-21,9.23,9.23,9.23,9.23,1
2023-08-22,9.23,9.23,9.23,9.23,0
2023-08-23,9.23,9.23,9.23,9.23,0
2023-08-24,9.23,9.23,9.23,9.23,0
2023-08-25,9.23,9.23,9.23,9.23,0
2023-08-28,9.23,9.23,9.23,9.23,0
2023-08-29,9.23,9.23,9.23,9.23,0
2023-08-30,9.23,9.23,9.23,9.23,0
2023-08-31,9.23,9.23,9.23,9.23,0
2023-09-05,9.23,9.23,9.23,9.23,1
2023-09-06,10.56,10.56,9.99,9.99,200
2023-09-07,10.28,10.28,10.28,10.28,0
2023-09-08,10.28,10.28,10.28,10.28,0
2023-09-11,10.28,10.28,10.28,10.28,1
2023-09-12,10.28,10.28,10.28,10.28,0
2023-09-13,10.28,10.28,10.28,10.28,0
2023-09-14,10.28,10.28,10.28,10.28,0
2023-09-15,10.28,10.28,10.28,10.28,0
2023-09-18,10.28,10.28,10.28,10.28,0
2023-09-19,10.28,10.28,10.28,10.28,10
2023-09-20,10.28,10.28,10.28,10.28,0
2023-09-21,8.75,8.75,8.75,8.75,100
2023-09-22,7.61,8.56,7.61,8.56,200
2023-09-25,6.95,9.23,6.95,9.23,200
2023-09-26,8.09,8.09,8.09,8.09,0
2023-09-27,9.23,9.23,9.23,9.23,100
2023-09-28,9.23,9.23,9.23,9.23,0
2023-09-29,7.99,9.9,7.99,9.9,200
2023-10-02,8.94,8.94,8.94,8.94,0
2023-10-03,8.09,8.09,7.99,7.99,200
2023-10-04,9.23,9.23,9.23,9.23,300
2023-10-05,9.23,9.23,9.23,9.23,0
2023-10-06,9.23,9.23,9.23,9.23,0
2023-10-09,7.99,9.14,7.99,9.14,300
2023-10-10,8.75,8.75,8.75,8.75,0
2023-10-11,8.75,8.75,8.75,8.75,0
2023-10-12,8.75,8.75,8.75,8.75,0
2023-10-13,8.75,8.75,8.75,8.75,0
2023-10-16,8.75,8.75,8.75,8.75,0
2023-10-17,8.75,8.75,8.75,8.75,0
2023-10-18,8.75,8.75,8.75,8.75,0
2023-10-19,8.75,8.75,8.75,8.75,0
2023-10-20,8.75,8.75,8.75,8.75,0
2023-10-23,8.75,8.75,8.75,8.75,1
2023-10-24,8.75,8.75,7.52,7.52,707
2023-10-25,7.61,7.61,7.52,7.52,3000
2023-10-26,7.61,7.61,7.61,7.61,2
2023-10-27,7.61,7.61,7.61,7.61,0
2023-10-30,7.61,7.61,7.61,7.61,0
2023-10-31,7.61,7.61,7.61,7.61,0
2023-11-01,8.66,8.66,8.66,8.66,300
2023-11-02,8.66,8.66,8.66,8.66,1000
2023-11-03,8.66,8.66,8.66,8.66,0
2023-11-06,8.66,8.66,8.66,8.66,0
2023-11-07,8.66,8.66,8.66,8.66,0
2023-11-08,8.66,8.66,8.66,8.66,0
2023-11-09,8.66,8.66,8.66,8.66,0
2023-11-10,8.66,8.66,8.66,8.66,0
2023-11-13,9.9,9.9,9.9,9.9,100
2023-11-14,8.47,11.32,8.47,11.32,205
2023-11-15,9.9,9.9,9.9,9.9,0
2023-11-16,9.9,9.9,9.9,9.9,32
2023-11-17,9.9,9.9,9.52,9.52,500
2023-11-20,9.71,9.71,9.71,9.71,0
2023-11-21,9.71,9.71,9.71,9.71,0
2023-11-22,9.71,9.71,9.71,9.71,0
2023-11-23,9.71,9.71,9.71,9.71,0
2023-11-24,9.71,9.71,9.71,9.71,0
2023-11-27,9.71,9.71,9.71,9.71,0
2023-11-28,9.71,9.71,9.71,9.71,0
2023-11-29,9.71,9.71,9.71,9.71,0
2023-11-30,9.71,9.71,9.71,9.71,0
2023-12-01,9.71,9.71,9.71,9.71,0
2023-12-04,9.71,9.71,9.71,9.71,0
2023-12-05,9.71,9.71,9.71,9.71,17
2023-12-06,9.71,9.71,9.71,9.71,0
2023-12-07,9.71,9.71,9.71,9.71,0
2023-12-08,10.85,10.85,8.28,8.28,210
2023-12-11,9.61,9.61,9.61,9.61,0
2023-12-12,9.61,9.61,9.61,9.61,0
2023-12-13,11.04,11.04,11.04,11.04,102
2023-12-14,11.04,11.04,11.04,11.04,0
2023-12-15,11.04,11.04,11.04,11.04,0
2023-12-18,11.04,11.04,11.04,11.04,0
2023-12-19,11.04,11.04,11.04,11.04,0
2023-12-20,11.04,11.04,11.04,11.04,0
2023-12-21,12.66,12.66,12.66,12.66,100
2023-12-22,12.66,12.66,12.66,12.66,0
2023-12-25,11.8,11.8,11.8,11.8,100
2023-12-26,11.8,11.8,11.8,11.8,0
2023-12-27,11.8,11.8,11.8,11.8,0
2023-12-28,13.51,13.51,13.51,13.51,101
2023-12-29,11.51,11.51,11.51,11.51,412
2024-01-02,11.51,11.51,11.51,11.51,104
2024-01-03,9.8,9.8,9.8,9.8,1900
2024-01-04,11.23,11.23,11.23,11.23,101
2024-01-05,9.9,9.99,9.9,9.9,600
2024-01-08,11.42,11.42,11.42,11.42,100
2024-01-09,10.47,10.47,10.47,10.47,500
2024-01-10,10.47,10.47,10.47,10.47,0
2024-01-11,10.47,10.47,10.47,10.47,0
2024-01-12,10.47,10.47,10.47,10.47,0
2024-01-15,10.47,10.47,10.47,10.47,26
2024-01-16,11.99,11.99,11.89,11.99,3205
2024-01-17,13.7,13.7,13.7,13.7,131
2024-01-18,13.7,13.7,13.7,13.7,17
2024-01-19,15.7,15.7,11.7,11.7,231
