date,open,high,low,close,volume
2023-08-31,10.05,10.05,10.05,10.05,0
2023-09-05,10.05,10.05,10.05,10.05,0
2023-09-06,10.05,10.05,10.05,10.05,0
2023-09-07,10.05,10.05,10.05,10.05,3
2023-09-08,10.05,10.05,10.05,10.05,0
2023-09-11,10.05,10.05,10.05,10.05,5
2023-09-12,10.05,10.05,10.05,10.05,0
2023-09-13,10.05,10.05,10.05,10.05,2
2023-09-14,10.05,10.05,10.05,10.05,0
2023-09-15,10.05,10.05,10.05,10.05,0
2023-09-18,10.05,10.05,10.05,10.05,0
2023-09-19,10.05,10.05,10.05,10.05,0
2023-09-20,10.05,10.05,10.05,10.05,0
2023-09-21,10.05,10.05,10.05,10.05,0
2023-09-22,10.05,10.05,10.05,10.05,0
2023-09-25,10.05,10.05,10.05,10.05,0
2023-09-26,10.05,10.05,10.05,10.05,0
2023-09-27,10.05,10.05,10.05,10.05,0
2023-09-28,10.05,10.05,10.05,10.05,0
2023-09-29,9.45,9.45,9.45,9.45,1200
2023-10-02,9.79,9.96,9.79,9.96,600
2023-10-03,9.96,9.96,9.96,9.96,0
2023-10-04,9.96,9.96,9.96,9.96,1
2023-10-05,9.02,9.02,9.02,9.02,101
2023-10-06,9.02,9.02,9.02,9.02,65
2023-10-09,9.88,9.88,9.88,9.88,100
2023-10-10,9.88,9.88,9.88,9.88,0
2023-10-11,9.88,9.88,9.88,9.88,2
2023-10-12,9.88,9.88,9.88,9.88,300
2023-10-13,9.88,9.88,9.88,9.88,0
2023-10-16,9.88,9.88,9.88,9.88,0
2023-10-17,8.93,8.93,8.93,8.93,100
2023-10-18,8.93,8.93,8.93,8.93,0
2023-10-19,8.93,8.93,8.93,8.93,0
2023-10-20,8.93,8.93,8.93,8.93,20
2023-10-23,8.93,8.93,8.93,8.93,200
2023-10-24,8.93,8.93,8.93,8.93,4
2023-10-25,9.28,9.28,9.28,9.28,100
2023-10-26,9.28,9.28,9.28,9.28,0
2023-10-27,9.28,9.28,9.28,9.28,0
2023-10-30,9.28,9.28,9.28,9.28,0
2023-10-31,9.28,9.28,9.28,9.28,0
2023-11-01,9.28,9.28,9.28,9.28,0
2023-11-02,9.45,9.45,9.28,9.28,1102
2023-11-03,9.28,9.28,9.28,9.28,0
2023-11-06,9.36,9.36,9.36,9.36,200
2023-11-07,9.36,9.36,9.36,9.36,0
2023-11-08,9.36,9.36,9.36,9.36,0
2023-11-09,9.36,9.36,9.36,9.36,0
2023-11-10,9.45,9.45,9.45,9.45,2000
2023-11-13,9.45,9.45,9.45,9.45,100
2023-11-14,9.45,9.45,9.45,9.45,0
2023-11-15,9.45,9.45,9.45,9.45,0
2023-11-16,9.45,9.45,9.45,9.45,200
2023-11-17,9.45,9.45,9.45,9.45,0
