date,open,high,low,close,volume
2024-01-18,5.41,5.62,5.41,5.62,419
2024-01-19,5.69,5.69,5.69,5.69,200
2024-01-22,5.69,5.69,5.69,5.69,80
2024-01-23,5.69,5.69,5.69,5.69,0
2024-01-24,5.62,5.69,4.84,5.69,5302
2024-01-25,5.69,5.69,5.69,5.69,501
2024-01-26,5.62,5.76,5.62,5.62,3805
2024-01-29,5.55,5.55,5.55,5.55,123
2024-01-30,5.62,5.62,5.62,5.62,100
2024-01-31,5.62,5.62,5.62,5.62,3050
2024-02-01,5.62,5.62,5.62,5.62,6
2024-02-02,5.62,5.62,5.62,5.62,0
2024-02-05,5.97,6.32,5.62,6.32,404
2024-02-06,6.04,6.04,6.04,6.04,0
2024-02-07,5.55,5.55,5.55,5.55,100
2024-02-15,5.55,6.32,5.55,6.32,200
2024-02-16,6.04,6.46,6.04,6.46,210
2024-02-19,7.16,7.16,7.09,7.09,2385
2024-02-20,7.09,7.72,6.32,7.51,11996
2024-02-21,8.0,8.0,7.37,7.58,931
2024-02-22,8.0,8.0,7.72,7.72,1500
2024-02-23,7.72,7.72,7.72,7.72,0
2024-02-26,7.72,7.72,7.72,7.72,3
2024-02-27,7.72,7.72,7.72,7.72,28
2024-02-28,7.72,7.72,7.72,7.72,10
2024-02-29,7.72,7.72,7.72,7.72,0
2024-03-01,7.72,7.72,7.72,7.72,0
2024-03-04,6.6,7.37,6.6,6.6,9535
2024-03-05,6.6,6.6,5.69,6.04,1852
2024-03-06,6.6,6.6,6.6,6.6,140
2024-03-07,6.6,6.6,6.53,6.53,900
2024-03-08,6.46,6.46,6.46,6.46,207
2024-03-11,6.46,6.46,6.46,6.46,100
2024-03-12,6.32,7.16,6.32,7.02,503
2024-03-13,7.02,7.02,7.02,7.02,234
2024-03-14,6.04,6.81,6.04,6.81,200
2024-03-15,6.88,6.95,5.62,5.62,11810
2024-03-18,5.69,5.69,5.26,5.34,3300
2024-03-19,5.48,5.48,5.48,5.48,2400
2024-03-20,6.04,6.04,6.04,6.04,100
2024-03-21,5.97,6.04,5.62,6.04,3705
2024-03-22,5.83,5.9,5.76,5.9,1419
2024-03-25,5.83,5.83,5.83,5.83,120
2024-03-26,5.83,5.83,5.62,5.62,600
2024-03-27,5.76,5.76,5.62,5.62,300
2024-03-28,5.62,5.62,5.62,5.62,4501
2024-03-29,6.04,6.04,5.62,5.9,1200
2024-04-01,5.97,5.97,5.83,5.83,1915
2024-04-02,5.9,5.97,5.9,5.97,710
2024-04-03,5.97,5.97,5.9,5.9,613
2024-04-04,5.48,5.48,5.48,5.48,100
2024-04-05,5.55,5.55,5.55,5.55,100
2024-04-08,5.55,5.62,5.55,5.62,1500
2024-04-09,5.97,5.97,5.83,5.83,400
2024-04-10,5.9,5.9,5.9,5.9,1000
2024-04-11,5.9,5.9,5.9,5.9,102
2024-04-12,5.9,5.9,5.9,5.9,5
2024-04-15,5.9,5.9,5.76,5.76,300
2024-04-16,5.48,5.48,5.48,5.48,600
2024-04-17,5.48,5.62,5.48,5.55,1400
2024-04-19,5.55,5.55,5.55,5.55,100
2024-04-22,5.55,5.55,5.55,5.55,2
2024-04-23,5.48,5.48,5.48,5.48,101
2024-04-24,5.48,5.48,5.48,5.48,0
2024-04-25,5.9,6.04,5.9,6.04,15100
2024-04-26,5.97,5.97,5.97,5.97,75
2024-05-02,5.55,5.55,5.55,5.55,200
2024-05-03,5.55,5.55,5.55,5.55,0
2024-05-06,5.97,5.97,5.97,5.97,3021
2024-05-07,5.97,5.97,5.97,5.97,1300
2024-05-08,5.97,5.97,5.62,5.62,1421
2024-05-09,5.97,5.97,5.97,5.97,1000
2024-05-10,5.62,5.62,5.62,5.62,700
2024-05-13,5.97,5.97,5.97,5.97,130
2024-05-14,5.97,5.97,5.97,5.97,100
2024-05-15,5.97,5.97,5.97,5.97,0
2024-05-16,5.34,5.34,5.34,5.34,124
2024-05-17,5.41,5.97,5.41,5.41,1601
2024-05-20,5.69,5.69,5.69,5.69,3212
2024-05-21,5.69,5.69,5.69,5.69,0
2024-05-22,5.69,5.69,5.69,5.69,0
2024-05-23,5.69,5.69,5.69,5.69,181
2024-05-24,5.69,5.69,5.69,5.69,0
2024-05-27,5.69,5.69,5.69,5.69,150
2024-05-28,5.76,5.76,5.76,5.76,800
2024-05-29,6.11,6.18,6.11,6.18,1244
2024-05-30,6.18,6.18,6.18,6.18,200
2024-05-31,5.97,5.97,5.97,5.97,1700
2024-06-03,5.97,5.97,5.97,5.97,0
2024-06-04,5.62,5.62,5.62,5.62,2500
2024-06-05,5.62,5.97,5.62,5.97,3200
2024-06-06,5.97,5.97,5.97,5.97,100
2024-06-07,5.97,6.25,5.97,6.25,5301
2024-06-10,6.25,6.25,5.97,6.04,4400
2024-06-11,6.04,6.74,6.04,6.74,300
2024-06-12,6.53,6.53,6.53,6.53,1
2024-06-13,6.67,6.67,6.67,6.67,218
2024-06-14,6.67,6.88,6.6,6.88,7957
2024-06-17,6.81,6.81,6.81,6.81,800
2024-06-18,6.81,6.81,6.81,6.81,14
