date,open,high,low,close,volume
2023-11-01,23.44,23.44,22.65,23.26,5900
2023-11-02,23.7,23.7,23.7,23.7,100
2023-11-03,23.79,23.79,22.82,22.91,6800
2023-11-06,23.7,23.7,23.61,23.61,3100
2023-11-07,23.7,23.7,23.26,23.7,4615
2023-11-08,23.7,23.7,23.61,23.7,655
2023-11-09,23.7,23.88,23.26,23.26,9800
2023-11-10,23.7,23.7,23.7,23.7,500
2023-11-13,23.7,24.32,23.7,24.32,3100
2023-11-14,24.14,24.58,23.7,24.05,3600
2023-11-15,24.14,24.14,24.14,24.14,4300
2023-11-16,24.14,24.14,24.14,24.14,1100
2023-11-17,24.93,24.93,23.97,24.14,2101
2023-11-20,23.7,24.05,23.44,24.05,500
2023-11-21,24.49,24.49,23.7,23.7,300
2023-11-22,24.23,24.23,23.7,24.14,9000
2023-11-23,24.93,24.93,23.7,23.7,1400
2023-11-24,23.61,23.79,23.44,23.7,2500
2023-11-27,23.53,23.53,23.53,23.53,100
2023-11-28,23.88,23.88,23.53,23.7,3900
2023-11-29,23.7,24.49,23.7,23.79,800
2023-11-30,24.14,24.32,24.14,24.32,500
2023-12-01,24.49,24.49,24.05,24.05,300
2023-12-04,24.23,24.23,24.14,24.23,2100
2023-12-05,22.03,25.02,20.72,24.14,8000
2023-12-06,24.93,24.93,23.53,23.7,5600
2023-12-07,23.7,24.05,23.7,24.05,1400
2023-12-08,24.49,24.49,23.79,24.23,2600
2023-12-11,24.4,24.4,23.97,24.14,14000
2023-12-12,24.14,24.4,23.79,23.79,919
2023-12-13,24.49,24.49,24.32,24.32,4700
2023-12-14,24.32,24.32,24.32,24.32,100
2023-12-15,24.32,24.32,24.32,24.32,1500
2023-12-18,24.14,24.23,24.14,24.14,900
2023-12-19,23.79,24.4,23.7,24.4,23600
2023-12-20,24.4,24.4,24.4,24.4,100
2023-12-21,24.4,24.4,24.4,24.4,0
2023-12-22,24.14,24.14,24.14,24.14,2000
2023-12-25,24.14,24.14,24.14,24.14,14
2023-12-26,24.14,24.14,24.14,24.14,0
2023-12-27,24.14,24.23,24.14,24.23,430
2023-12-28,24.23,24.32,23.88,24.05,4200
2023-12-29,23.79,24.58,23.79,24.58,2003
2024-01-02,24.14,24.14,23.44,23.44,608
2024-01-03,24.76,24.76,24.58,24.76,2009
2024-01-04,24.67,24.76,24.05,24.76,3600
2024-01-05,24.67,24.67,24.67,24.67,5900
2024-01-08,24.67,25.37,24.67,24.84,5103
2024-01-09,25.28,25.28,25.28,25.28,100
2024-01-10,25.28,25.28,24.58,25.28,1401
2024-01-11,25.28,25.28,24.76,24.76,8300
2024-01-12,28.09,28.09,24.58,24.76,6771
