date,open,high,low,close,volume
2023-10-24,20.74,20.74,20.74,20.74,100
2023-10-25,20.74,20.74,20.74,20.74,0
2023-10-26,20.74,20.74,20.74,20.74,0
2023-10-27,20.74,20.74,20.74,20.74,0
2023-10-30,20.74,20.74,20.74,20.74,0
2023-10-31,20.74,20.74,20.74,20.74,0
2023-11-01,20.74,20.74,20.74,20.74,0
2023-11-02,18.23,18.23,17.79,17.79,600
2023-11-03,17.36,17.36,17.36,17.36,500
2023-11-06,17.36,17.36,17.36,17.36,0
2023-11-07,17.36,17.36,17.36,17.36,0
2023-11-08,17.36,17.36,17.36,17.36,0
2023-11-09,17.36,17.36,17.36,17.36,0
2023-11-10,14.93,14.93,14.93,14.93,100
2023-11-13,14.93,14.93,14.93,14.93,0
2023-11-14,17.1,17.1,17.1,17.1,700
2023-11-15,17.1,17.1,17.1,17.1,0
2023-11-16,17.1,17.1,17.1,17.1,0
2023-11-17,17.1,17.1,17.1,17.1,0
2023-11-20,17.1,17.1,17.1,17.1,0
2023-11-21,17.1,17.1,17.1,17.1,0
2023-11-22,18.66,18.66,18.66,18.66,100
2023-11-23,18.66,18.66,18.66,18.66,0
2023-11-24,18.66,18.66,18.66,18.66,0
2023-11-27,18.66,18.66,18.66,18.66,100
2023-11-28,18.23,18.23,17.36,17.36,2000
2023-11-29,18.05,18.05,18.05,18.05,0
2023-11-30,18.23,18.23,18.23,18.23,1000
2023-12-01,18.23,18.23,18.23,18.23,0
2023-12-04,18.23,18.23,18.23,18.23,0
2023-12-05,17.62,17.62,17.36,17.36,4500
2023-12-06,17.36,17.36,17.36,17.36,0
2023-12-07,17.36,17.36,17.36,17.36,6000
2023-12-08,17.36,17.36,17.36,17.36,8300
2023-12-11,17.36,17.36,17.36,17.36,0
2023-12-12,17.36,17.36,17.36,17.36,4800
2023-12-13,16.14,16.14,16.14,16.14,100
2023-12-14,16.14,16.14,16.14,16.14,0
2023-12-15,17.79,17.79,17.79,17.79,2300
2023-12-18,17.79,17.79,17.79,17.79,300
2023-12-19,17.79,17.79,17.79,17.79,0
2023-12-20,17.79,17.79,17.79,17.79,0
2023-12-21,16.14,16.14,16.14,16.14,100
2023-12-22,16.14,16.14,16.14,16.14,0
2023-12-25,17.79,17.79,17.79,17.79,3100
2023-12-26,17.36,17.36,17.36,17.36,4000
2023-12-27,17.36,17.36,17.36,17.36,0
2023-12-28,17.36,17.36,17.36,17.36,100
2023-12-29,17.36,17.36,17.36,17.36,0
2024-01-02,17.36,17.36,17.36,17.36,0
2024-01-03,17.36,17.36,17.36,17.36,0
2024-01-04,17.36,17.36,17.36,17.36,3200
2024-01-05,17.36,17.36,17.36,17.36,0
2024-01-08,17.36,17.36,17.36,17.36,1700
2024-01-09,16.58,16.58,16.58,16.58,100
2024-01-10,16.58,16.58,16.58,16.58,0
2024-01-11,16.58,16.58,16.58,16.58,0
2024-01-12,16.58,16.58,16.58,16.58,0
2024-01-15,17.45,17.45,17.45,17.45,3300
2024-01-16,17.45,17.45,17.45,17.45,0
2024-01-17,17.45,17.45,17.45,17.45,0
2024-01-18,17.45,17.45,17.45,17.45,0
2024-01-19,17.45,17.45,17.45,17.45,0
2024-01-22,19.96,19.96,19.96,19.96,100
2024-01-23,19.1,19.1,18.66,18.66,400
2024-01-24,18.66,20.66,18.66,20.66,300
2024-01-25,19.96,19.96,19.96,19.96,0
2024-01-26,19.53,19.53,19.01,19.01,1600
2024-01-29,19.1,19.1,19.1,19.1,100
2024-01-30,19.1,19.1,19.1,19.1,0
2024-01-31,19.1,19.1,19.1,19.1,0
2024-02-01,19.79,19.79,19.01,19.01,500
2024-02-02,18.92,18.92,17.36,17.36,700
2024-02-05,17.79,19.79,17.79,19.1,500
2024-02-06,19.79,19.79,19.79,19.79,100
2024-02-07,19.88,19.88,19.88,19.88,100
2024-02-15,20.66,20.66,20.66,20.66,100
2024-02-16,19.1,19.1,19.01,19.01,4600
2024-02-19,19.01,19.01,19.01,19.01,0
2024-02-20,18.05,18.57,18.05,18.57,2200
2024-02-21,18.92,18.92,18.49,18.49,200
2024-02-22,18.75,18.75,17.79,18.57,1900
2024-02-23,18.4,18.57,18.4,18.57,3100
2024-02-26,19.79,19.79,19.7,19.7,200
2024-02-27,19.79,19.79,19.79,19.79,0
2024-02-28,19.79,19.79,19.79,19.79,0
2024-02-29,19.79,19.79,19.79,19.79,0
2024-03-01,19.79,19.79,19.79,19.79,0
2024-03-04,19.79,19.79,19.79,19.79,0
2024-03-05,19.44,19.44,19.44,19.44,100
2024-03-06,19.44,19.44,19.44,19.44,0
2024-03-07,19.27,19.27,19.27,19.27,200
2024-03-08,19.18,19.18,18.83,18.83,800
2024-03-11,19.18,19.18,19.18,19.18,300
2024-03-12,18.23,19.18,18.23,19.18,1200
2024-03-13,18.31,18.31,18.31,18.31,0
2024-03-14,20.74,20.74,20.74,20.74,100
2024-03-15,23.78,23.78,23.35,23.35,200
2024-03-18,23.61,23.61,23.61,23.61,0
2024-03-19,20.14,20.14,20.14,20.14,1400
2024-03-20,20.14,20.14,20.14,20.14,0
2024-03-21,20.14,20.14,20.14,20.14,0
2024-03-22,17.79,17.88,17.79,17.88,10000
2024-03-25,17.88,17.88,17.88,17.88,0
2024-03-26,19.79,19.79,19.79,19.79,100
2024-03-27,19.01,19.01,19.01,19.01,900
2024-03-28,18.66,18.75,18.66,18.75,200
2024-03-29,18.57,18.57,18.57,18.57,600
2024-04-01,19.36,19.36,19.36,19.36,300
2024-04-02,18.92,18.92,17.97,17.97,200
2024-04-03,18.49,18.49,18.49,18.49,300
2024-04-04,18.92,18.92,18.92,18.92,200
2024-04-05,18.83,18.92,18.83,18.92,700
2024-04-08,19.79,19.79,18.92,18.92,400
2024-04-09,17.97,18.83,16.58,18.83,1700
2024-04-10,18.75,19.1,18.75,18.75,1400
2024-04-11,20.74,20.74,20.74,20.74,150
2024-04-12,18.66,18.83,18.66,18.75,500
2024-04-15,18.49,18.49,18.4,18.4,600
2024-04-16,18.49,18.49,18.49,18.49,0
2024-04-17,19.36,19.36,19.36,19.36,100
2024-04-19,18.23,18.4,18.23,18.4,1000
2024-04-22,18.31,18.31,18.31,18.31,100
2024-04-23,18.31,18.31,18.31,18.31,0
2024-04-24,20.83,20.83,18.23,18.23,1100
2024-04-25,18.49,18.49,18.49,18.49,0
2024-04-26,21.09,21.09,21.09,21.09,110
2024-05-02,19.1,19.1,19.1,19.1,206
2024-05-03,19.1,19.1,19.1,19.1,600
2024-05-06,19.1,19.1,19.1,19.1,0
2024-05-07,18.66,18.66,17.88,17.88,200
2024-05-08,18.92,18.92,18.92,18.92,300
2024-05-09,19.1,19.1,19.1,19.1,200
2024-05-10,19.1,19.1,19.1,19.1,0
2024-05-13,19.01,19.01,18.23,19.01,1500
2024-05-14,18.92,19.1,18.92,19.1,8600
2024-05-15,19.44,19.44,19.44,19.44,100
2024-05-16,19.44,19.44,19.44,19.44,0
2024-05-17,19.44,19.44,19.44,19.44,0
2024-05-20,19.44,19.44,19.44,19.44,0
2024-05-21,19.88,20.4,19.88,20.4,3312
2024-05-22,20.4,20.4,20.4,20.4,0
2024-05-23,20.4,20.4,20.4,20.4,200
2024-05-24,20.4,20.4,20.4,20.4,400
2024-05-27,20.4,20.4,20.4,20.4,0
2024-05-28,20.4,20.4,20.4,20.4,0
2024-05-29,20.4,20.4,20.4,20.4,0
2024-05-30,18.23,18.23,18.23,18.23,122
2024-05-31,18.23,18.23,18.23,18.23,200
2024-06-03,18.23,18.23,18.23,18.23,0
2024-06-04,18.23,18.23,18.23,18.23,12
2024-06-05,19.96,19.96,19.96,19.96,300
2024-06-06,19.27,19.27,18.31,18.57,5400
2024-06-07,18.57,18.57,18.57,18.57,0
2024-06-10,21.35,21.35,21.35,21.35,100
2024-06-11,24.3,24.3,24.3,24.3,100
2024-06-12,20.66,20.66,20.66,20.66,1255
2024-06-13,18.92,18.92,18.49,18.49,1145
2024-06-14,21.44,21.44,20.83,20.83,2301
2024-06-17,20.92,20.92,20.92,20.92,0
2024-06-18,20.92,20.92,20.92,20.92,0
2024-06-19,23.35,23.35,20.05,20.74,2100
2024-06-20,20.57,20.74,20.4,20.74,1900
2024-06-21,20.14,20.14,20.14,20.14,500
2024-06-24,19.96,19.96,19.96,19.96,500
2024-06-25,19.1,19.96,19.1,19.96,1700
2024-06-26,19.18,19.18,19.18,19.18,1
2024-06-27,20.83,20.83,20.57,20.57,700
2024-06-28,20.57,20.57,20.57,20.57,100
2024-07-01,20.57,20.57,20.57,20.57,700
2024-07-02,20.48,20.48,20.48,20.48,2000
2024-07-03,20.48,20.48,20.48,20.48,200
2024-07-04,20.48,20.48,20.48,20.48,0
2024-07-05,18.49,18.49,18.49,18.49,100
2024-07-08,19.88,19.88,19.88,19.88,200
2024-07-09,19.88,19.88,19.88,19.88,0
2024-07-10,20.74,20.74,20.74,20.74,200
2024-07-11,18.4,20.74,18.4,20.74,1000
2024-07-12,20.48,20.48,20.48,20.48,0
2024-07-15,20.48,20.48,20.48,20.48,0
2024-07-16,18.83,18.83,18.83,18.83,100
2024-07-17,18.83,18.83,18.83,18.83,0
2024-07-18,18.83,18.83,18.83,18.83,10
2024-07-19,18.83,18.83,18.83,18.83,0
2024-07-22,18.83,18.83,18.83,18.83,0
2024-07-23,18.83,18.83,18.83,18.83,0
2024-07-24,18.83,18.83,18.83,18.83,0
2024-07-25,18.83,18.83,18.83,18.83,0
2024-07-26,18.83,18.83,18.83,18.83,0
2024-07-29,19.1,19.1,18.83,18.83,300
2024-07-30,20.66,20.83,20.66,20.83,2500
2024-07-31,20.66,20.66,20.66,20.66,27
2024-08-01,20.4,20.4,20.4,20.4,200
2024-08-02,20.4,20.4,20.4,20.4,204
2024-08-05,19.96,20.4,19.96,20.4,200
2024-08-06,20.4,20.4,18.23,20.4,801
2024-08-07,18.83,18.83,18.83,18.83,4
2024-08-08,18.83,18.83,18.83,18.83,0
2024-08-09,20.4,20.4,20.4,20.4,401
2024-08-12,20.4,20.4,20.4,20.4,4
2024-08-13,20.4,20.4,20.4,20.4,0
2024-08-14,20.4,20.4,20.4,20.4,0
2024-08-15,20.4,20.4,20.4,20.4,0
2024-08-16,20.4,20.4,20.4,20.4,0
2024-08-19,20.4,20.4,20.4,20.4,2
2024-08-20,20.4,20.4,20.4,20.4,2
2024-08-21,20.44,20.44,20.44,20.44,2
2024-08-22,23.39,23.39,23.39,23.39,2502
2024-08-23,23.39,23.39,23.39,23.39,12
2024-08-26,22.19,22.19,22.1,22.1,500
2024-08-27,21.18,21.18,21.18,21.18,2000
2024-08-28,23.02,23.02,23.02,23.02,204
2024-08-29,23.48,23.48,23.48,23.48,100
2024-08-30,23.48,23.48,23.48,23.48,26
