date,open,high,low,close,volume
2023-09-15,9.98,9.98,9.98,9.98,0
2023-09-18,9.98,9.98,9.98,9.98,0
2023-09-19,9.98,9.98,9.98,9.98,0
2023-09-20,9.98,9.98,9.98,9.98,0
2023-09-21,9.98,9.98,9.98,9.98,0
2023-09-22,9.98,9.98,9.98,9.98,0
2023-09-25,9.98,9.98,9.98,9.98,0
2023-09-26,9.98,9.98,9.98,9.98,0
2023-09-27,9.98,9.98,9.98,9.98,0
2023-09-28,9.98,9.98,9.98,9.98,0
2023-09-29,9.98,9.98,9.98,9.98,0
2023-10-02,9.98,9.98,9.98,9.98,0
2023-10-03,9.98,9.98,9.98,9.98,0
2023-10-04,9.98,9.98,9.98,9.98,0
2023-10-05,9.98,9.98,9.98,9.98,0
2023-10-06,9.98,9.98,9.98,9.98,0
2023-10-09,9.98,9.98,9.98,9.98,0
2023-10-10,9.98,9.98,9.98,9.98,0
2023-10-11,9.98,9.98,9.98,9.98,0
2023-10-12,9.98,9.98,9.98,9.98,0
2023-10-13,9.98,9.98,9.98,9.98,0
2023-10-16,9.98,9.98,9.98,9.98,0
2023-10-17,9.98,9.98,9.98,9.98,0
2023-10-18,9.98,9.98,9.98,9.98,0
2023-10-19,9.98,9.98,9.98,9.98,0
2023-10-20,9.98,9.98,9.98,9.98,0
2023-10-23,9.98,9.98,9.98,9.98,0
2023-10-24,9.98,9.98,9.98,9.98,0
2023-10-25,9.98,9.98,9.98,9.98,0
2023-10-26,9.98,9.98,9.98,9.98,0
2023-10-27,9.98,9.98,9.98,9.98,0
2023-10-30,9.98,9.98,9.98,9.98,0
2023-10-31,9.98,9.98,9.98,9.98,0
2023-11-01,9.98,9.98,9.98,9.98,0
2023-11-02,9.98,9.98,9.98,9.98,0
2023-11-03,9.98,9.98,9.98,9.98,0
2023-11-06,9.98,9.98,9.98,9.98,0
2023-11-07,9.98,9.98,9.98,9.98,0
2023-11-08,9.98,9.98,9.98,9.98,0
2023-11-09,9.98,9.98,9.98,9.98,0
2023-11-10,9.98,9.98,9.98,9.98,0
2023-11-13,9.98,9.98,9.98,9.98,0
2023-11-14,9.98,9.98,9.98,9.98,0
2023-11-15,9.98,9.98,9.98,9.98,0
2023-11-16,9.98,9.98,9.98,9.98,0
2023-11-17,9.98,9.98,9.98,9.98,0
2023-11-20,9.98,9.98,9.98,9.98,0
2023-11-21,9.98,9.98,9.98,9.98,0
2023-11-22,9.98,9.98,9.98,9.98,0
2023-11-23,9.98,9.98,9.98,9.98,0
2023-11-24,9.98,9.98,9.98,9.98,0
2023-11-27,9.98,9.98,9.98,9.98,0
2023-11-28,9.98,9.98,9.98,9.98,0
2023-11-29,9.98,9.98,9.98,9.98,0
2023-11-30,9.98,9.98,9.98,9.98,0
2023-12-01,9.98,9.98,9.98,9.98,0
2023-12-04,9.98,9.98,9.98,9.98,0
2023-12-05,9.98,9.98,9.98,9.98,0
2023-12-06,9.98,9.98,9.98,9.98,0
2023-12-07,9.98,9.98,9.98,9.98,0
2023-12-08,9.98,9.98,9.98,9.98,0
2023-12-11,9.98,9.98,9.98,9.98,0
2023-12-12,9.98,9.98,9.98,9.98,0
2023-12-13,9.98,9.98,9.98,9.98,0
2023-12-14,9.98,9.98,9.98,9.98,0
2023-12-15,9.98,9.98,9.98,9.98,0
2023-12-18,9.98,9.98,9.98,9.98,0
2023-12-19,9.98,9.98,9.98,9.98,0
2023-12-20,9.98,9.98,9.98,9.98,0
2023-12-21,9.98,9.98,9.98,9.98,0
2023-12-22,9.98,9.98,9.98,9.98,0
2023-12-25,9.98,9.98,9.98,9.98,0
2023-12-26,9.98,9.98,9.98,9.98,0
2023-12-27,9.98,9.98,9.98,9.98,0
2023-12-28,9.98,9.98,9.98,9.98,0
2023-12-29,9.98,9.98,9.98,9.98,0
2024-01-02,9.98,9.98,9.98,9.98,0
2024-01-03,9.98,9.98,9.98,9.98,0
2024-01-04,9.98,9.98,9.98,9.98,0
2024-01-05,9.98,9.98,9.98,9.98,0
2024-01-08,9.98,9.98,9.98,9.98,0
2024-01-09,9.98,9.98,9.98,9.98,0
2024-01-10,9.98,9.98,9.98,9.98,0
2024-01-11,9.98,9.98,9.98,9.98,0
2024-01-12,9.98,9.98,9.98,9.98,0
2024-01-15,9.98,9.98,9.98,9.98,0
2024-01-16,9.98,9.98,9.98,9.98,0
2024-01-17,9.98,9.98,9.98,9.98,0
2024-01-18,9.98,9.98,9.98,9.98,0
2024-01-19,9.98,9.98,9.98,9.98,0
2024-01-22,9.98,9.98,9.98,9.98,0
2024-01-23,9.98,9.98,9.98,9.98,100
2024-01-24,9.98,9.98,9.98,9.98,0
2024-01-25,9.98,9.98,9.98,9.98,0
2024-01-26,9.98,9.98,9.98,9.98,0
2024-01-29,9.98,9.98,9.98,9.98,0
2024-01-30,9.98,9.98,9.98,9.98,0
2024-01-31,9.98,9.98,9.98,9.98,0
2024-02-01,9.98,9.98,9.98,9.98,0
2024-02-02,9.98,9.98,9.98,9.98,0
2024-02-05,9.98,9.98,9.98,9.98,0
2024-02-06,9.98,9.98,9.98,9.98,0
2024-02-07,9.98,9.98,9.98,9.98,0
2024-02-15,9.98,9.98,9.98,9.98,0
2024-02-16,9.98,9.98,9.98,9.98,0
2024-02-19,9.98,9.98,9.98,9.98,0
2024-02-20,9.98,9.98,9.98,9.98,0
2024-02-21,9.98,9.98,9.98,9.98,0
2024-02-22,9.98,9.98,9.98,9.98,0
2024-02-23,9.98,9.98,9.98,9.98,0
2024-02-26,9.98,9.98,9.98,9.98,0
2024-02-27,9.98,9.98,9.98,9.98,0
2024-02-28,9.98,9.98,9.98,9.98,0
2024-02-29,9.98,9.98,9.98,9.98,0
2024-03-01,9.98,9.98,9.98,9.98,0
2024-03-04,9.98,9.98,9.98,9.98,0
2024-03-05,9.98,9.98,9.98,9.98,0
2024-03-06,9.98,9.98,9.98,9.98,0
2024-03-07,9.98,9.98,9.98,9.98,0
2024-03-08,9.98,9.98,9.98,9.98,0
2024-03-11,9.98,9.98,9.98,9.98,0
2024-03-12,9.98,9.98,9.98,9.98,0
2024-03-13,9.98,9.98,9.98,9.98,0
2024-03-14,9.98,9.98,9.98,9.98,0
2024-03-15,9.98,9.98,9.98,9.98,0
2024-03-18,9.98,9.98,9.98,9.98,0
2024-03-19,9.98,9.98,9.98,9.98,0
2024-03-20,9.98,9.98,9.98,9.98,0
2024-03-21,9.98,9.98,9.98,9.98,0
2024-03-22,9.98,9.98,9.98,9.98,0
2024-03-25,9.98,9.98,9.98,9.98,0
2024-03-26,9.98,9.98,9.98,9.98,0
2024-03-27,9.98,9.98,9.98,9.98,0
2024-03-28,9.98,9.98,9.98,9.98,0
2024-03-29,9.98,9.98,9.98,9.98,0
2024-04-01,13.97,13.97,13.97,13.97,100
2024-04-02,13.97,13.97,13.97,13.97,0
2024-04-03,13.97,13.97,13.97,13.97,0
2024-04-04,13.97,13.97,13.97,13.97,0
2024-04-05,13.97,13.97,13.97,13.97,0
2024-04-08,13.97,13.97,13.97,13.97,0
2024-04-09,13.97,13.97,13.97,13.97,8
2024-04-10,13.97,13.97,13.97,13.97,0
2024-04-11,13.97,13.97,13.97,13.97,0
2024-04-12,13.97,13.97,13.97,13.97,0
2024-04-15,13.97,13.97,13.97,13.97,8
2024-04-16,13.97,13.97,13.97,13.97,0
2024-04-17,13.97,13.97,13.97,13.97,0
2024-04-19,13.97,13.97,13.97,13.97,0
2024-04-22,13.97,13.97,13.97,13.97,0
2024-04-23,13.97,13.97,13.97,13.97,0
2024-04-24,13.97,13.97,13.97,13.97,0
2024-04-25,13.97,13.97,13.97,13.97,0
2024-04-26,13.97,13.97,13.97,13.97,0
2024-05-02,13.97,13.97,13.97,13.97,0
2024-05-03,13.97,13.97,13.97,13.97,0
2024-05-06,13.97,13.97,13.97,13.97,0
2024-05-07,13.97,13.97,13.97,13.97,0
2024-05-08,13.97,13.97,13.97,13.97,0
2024-05-09,13.97,13.97,13.97,13.97,0
2024-05-10,13.97,13.97,13.97,13.97,0
2024-05-13,13.97,13.97,13.97,13.97,0
2024-05-14,13.97,13.97,13.97,13.97,0
2024-05-15,13.97,13.97,13.97,13.97,0
2024-05-16,13.97,13.97,13.97,13.97,0
2024-05-17,19.49,19.49,19.49,19.49,100
2024-05-20,19.49,19.49,19.49,19.49,0
2024-05-21,19.49,19.49,19.49,19.49,0
2024-05-22,19.49,19.49,19.49,19.49,0
2024-05-23,19.49,19.49,19.49,19.49,0
2024-05-24,19.49,19.49,19.49,19.49,0
2024-05-27,19.49,19.49,19.49,19.49,0
2024-05-28,19.49,19.49,19.49,19.49,0
2024-05-29,19.49,19.49,19.49,19.49,0
2024-05-30,19.49,19.49,19.49,19.49,0
2024-05-31,19.49,19.49,19.49,19.49,1
2024-06-03,22.34,22.34,22.34,22.34,100
2024-06-04,22.34,22.34,22.34,22.34,0
2024-06-05,22.34,22.34,22.34,22.34,0
2024-06-06,22.34,22.34,22.34,22.34,0
2024-06-07,25.66,25.66,25.66,25.66,100
2024-06-10,25.66,25.66,25.66,25.66,0
2024-06-11,25.66,25.66,25.66,25.66,0
2024-06-12,25.66,25.66,25.66,25.66,0
2024-06-13,25.66,25.66,25.66,25.66,0
2024-06-14,29.47,29.47,29.47,29.47,100
2024-06-17,29.47,29.47,29.47,29.47,0
2024-06-18,29.47,29.47,29.47,29.47,0
2024-06-19,29.47,29.47,29.47,29.47,0
