date,open,high,low,close,volume
2024-01-30,14.29,14.37,14.29,14.32,65410
2024-01-31,14.34,14.77,14.34,14.77,294048
2024-02-01,14.77,14.93,14.72,14.88,70005
2024-02-02,15.01,15.31,14.93,15.07,143712
2024-02-05,15.07,15.15,14.99,15.04,69012
2024-02-06,15.04,15.47,15.04,15.47,253320
2024-02-07,15.5,15.79,15.44,15.69,182013
2024-02-15,15.74,16.03,15.63,15.69,173364
2024-02-16,15.69,15.69,15.52,15.58,61923
2024-02-19,15.58,15.69,15.04,15.47,223345
2024-02-20,15.5,15.58,15.36,15.36,63608
2024-02-21,15.42,15.58,15.26,15.31,110227
2024-02-22,15.44,15.5,15.23,15.5,56463
2024-02-23,15.52,15.52,15.09,15.26,67067
2024-02-26,15.26,15.26,15.04,15.07,59142
2024-02-27,15.09,15.28,14.93,15.26,79930
2024-02-28,15.26,15.42,15.2,15.34,54311
2024-02-29,15.2,15.55,14.99,15.15,83203
2024-03-01,15.04,15.26,15.04,15.2,36905
2024-03-04,15.2,15.36,15.2,15.28,78306
2024-03-05,15.34,15.34,15.09,15.31,66809
2024-03-06,15.31,15.44,15.15,15.2,74225
2024-03-07,15.42,15.42,15.07,15.26,53142
2024-03-08,15.15,15.26,15.07,15.23,23603
2024-03-11,15.31,15.31,15.04,15.15,55815
2024-03-12,15.15,15.23,15.04,15.2,38313
2024-03-13,15.2,15.23,15.12,15.23,36800
2024-03-14,15.18,15.26,14.99,15.07,64400
2024-03-15,15.15,15.34,15.07,15.26,86513
2024-03-18,15.26,15.26,14.96,15.23,54100
2024-03-19,15.85,15.9,15.31,15.44,105096
2024-03-20,15.28,15.55,15.2,15.55,25911
2024-03-21,15.58,15.58,15.36,15.36,54809
2024-03-22,15.36,15.42,15.18,15.23,85310
2024-03-25,15.23,15.23,15.12,15.15,43621
2024-03-26,15.07,15.23,15.07,15.15,33000
2024-03-27,15.15,15.36,15.12,15.34,98847
2024-03-28,15.2,15.82,15.2,15.74,126962
2024-03-29,15.77,16.01,15.66,15.77,148959
2024-04-01,15.77,16.06,15.52,15.58,158025
2024-04-02,16.01,16.01,15.39,15.58,49153
2024-04-03,15.79,15.79,15.39,15.52,49522
2024-04-04,15.58,16.6,15.39,16.22,224601
2024-04-05,16.17,16.2,15.77,15.85,267765
2024-04-08,15.98,16.33,14.75,15.58,217698
2024-04-09,15.23,15.71,15.23,15.58,76793
2024-04-10,15.58,16.3,15.36,15.55,75622
2024-04-11,15.47,15.63,15.47,15.58,29019
2024-04-12,15.58,15.95,15.52,15.74,104205
2024-04-15,15.79,15.79,15.31,15.31,83794
2024-04-16,14.93,15.52,14.93,14.99,172477
2024-04-17,15.18,15.36,15.04,15.26,35243
2024-04-19,14.56,15.42,14.56,15.04,75530
2024-04-22,15.28,15.28,15.04,15.18,12917
2024-04-23,15.26,15.26,14.93,14.93,42900
2024-04-24,15.01,15.18,15.01,15.18,22466
2024-04-25,15.26,15.28,15.15,15.28,16701
2024-04-26,15.28,15.82,15.28,15.44,117398
2024-05-02,15.69,16.33,15.58,16.12,549900
2024-05-03,16.55,16.92,16.12,16.36,278251
2024-05-06,16.38,17.19,16.36,16.76,240468
2024-05-07,17.03,17.03,16.38,16.49,158965
2024-05-08,16.49,16.76,16.3,16.57,112613
2024-05-09,16.57,16.65,16.17,16.33,72349
2024-05-10,16.41,16.55,15.85,16.01,181409
2024-05-13,16.22,16.55,15.85,16.17,86099
2024-05-14,16.2,16.38,16.06,16.12,45542
2024-05-15,16.06,16.38,16.06,16.12,64326
2024-05-16,16.12,16.49,16.12,16.49,173900
2024-05-17,16.65,16.65,16.33,16.44,50950
2024-05-20,16.63,17.57,16.25,17.57,433814
2024-05-21,18.16,18.29,17.57,17.81,176854
2024-05-22,17.81,17.81,17.03,17.19,323408
2024-05-23,17.22,18.21,17.06,18.02,208809
2024-05-24,18.02,18.67,17.46,17.67,340695
2024-05-27,17.51,18.26,17.51,17.94,156068
2024-05-28,18.1,18.91,18.05,18.88,265823
2024-05-29,18.88,18.88,18.4,18.48,120630
2024-05-30,18.18,18.26,17.65,17.83,160216
2024-05-31,18.24,18.24,17.73,17.97,61601
2024-06-03,17.97,18.53,17.97,18.21,28475
2024-06-04,18.1,18.26,18.05,18.1,87111
2024-06-05,18.26,18.8,17.86,18.1,157003
2024-06-06,18.53,18.53,18.02,18.13,17500
2024-06-07,18.13,18.13,17.86,17.94,74303
2024-06-10,17.97,18.1,17.81,18.05,54838
2024-06-11,18.18,18.21,17.81,18.05,60801
2024-06-12,18.05,18.08,17.81,18.05,97431
2024-06-13,18.0,18.13,17.94,18.05,51805
2024-06-14,18.13,18.51,18.1,18.13,119859
2024-06-17,18.18,19.07,18.18,19.07,179301
2024-06-18,19.1,19.26,18.69,18.86,148525
2024-06-19,18.8,18.8,18.4,18.64,80393
2024-06-20,18.51,18.8,18.45,18.69,97015
2024-06-21,18.69,18.8,18.53,18.67,33425
2024-06-24,18.69,19.61,18.69,18.75,239821
2024-06-25,19.18,19.18,18.53,18.67,26304
2024-06-26,18.8,19.93,18.75,19.93,221754
2024-06-27,19.93,20.95,19.61,20.14,216233
2024-06-28,20.14,20.25,19.07,19.07,178970
2024-07-01,19.28,19.55,18.69,19.18,64290
2024-07-02,19.07,19.61,18.91,18.91,47502
2024-07-03,18.94,19.2,18.37,18.8,121782
2024-07-04,18.8,18.91,18.43,18.8,57500
2024-07-05,18.86,19.23,18.86,19.07,23517
2024-07-08,19.12,19.31,18.91,19.18,55806
2024-07-09,19.37,20.09,19.23,19.98,168644
2024-07-10,20.09,20.14,19.5,19.58,56416
2024-07-11,19.53,19.74,19.39,19.45,46510
2024-07-12,19.45,19.85,19.18,19.61,45115
2024-07-15,19.88,19.88,19.23,19.77,48408
2024-07-16,19.77,19.98,19.77,19.88,71166
2024-07-17,20.22,20.25,19.42,19.61,109338
2024-07-18,19.77,20.36,19.66,20.36,76709
2024-07-19,20.31,21.22,20.31,20.76,127531
2024-07-22,20.17,20.28,19.39,19.39,101449
2024-07-23,19.55,19.88,19.07,19.07,100037
2024-07-24,18.83,20.12,18.61,20.04,135661
2024-07-25,19.82,20.14,19.5,20.14,28026
2024-07-26,20.14,20.14,19.61,20.12,14576
2024-07-29,20.04,20.12,19.71,20.12,54944
2024-07-30,20.14,20.41,19.93,20.31,24445
2024-07-31,20.31,20.41,19.93,20.25,33513
2024-08-01,20.41,20.52,19.74,20.25,55360
2024-08-02,20.25,20.25,19.39,20.14,54644
2024-08-05,20.04,20.04,18.75,18.75,97223
2024-08-06,18.75,19.61,18.75,19.61,85451
2024-08-07,19.77,19.82,19.34,19.39,42601
2024-08-08,19.12,19.55,18.91,19.55,9826
2024-08-09,19.39,19.77,19.39,19.77,13716
2024-08-12,19.77,20.04,19.61,20.04,40545
2024-08-13,19.9,19.9,19.5,19.9,27345
2024-08-14,19.63,20.09,19.42,19.82,33465
2024-08-15,19.37,19.45,19.23,19.23,53718
2024-08-16,19.34,19.85,19.23,19.82,59700
2024-08-19,19.39,19.8,19.39,19.69,46713
2024-08-20,19.69,19.71,19.34,19.71,185015
2024-08-21,19.45,19.82,19.45,19.77,13905
2024-08-22,19.55,19.8,19.47,19.55,45909
2024-08-23,19.66,19.66,19.5,19.66,34180
2024-08-26,19.66,19.66,19.47,19.5,44418
2024-08-27,19.31,19.5,18.8,19.34,36213
2024-08-28,19.34,19.34,18.96,19.02,88570
2024-08-29,19.42,19.55,18.88,19.02,40800
2024-08-30,19.2,19.28,18.96,18.96,39502
2024-09-04,18.96,19.07,18.8,18.83,41622
2024-09-05,18.83,19.1,18.75,18.77,47904
2024-09-06,18.77,19.1,18.53,18.86,78022
2024-09-09,18.86,18.91,18.59,18.88,59642
2024-09-10,18.88,18.88,18.02,18.02,159076
2024-09-11,18.02,18.02,16.92,17.24,184225
2024-09-12,17.22,17.62,17.08,17.46,68344
2024-09-13,17.43,17.85,17.43,17.74,57132
2024-09-16,17.4,17.8,17.35,17.35,31179
2024-09-17,17.18,17.43,17.01,17.4,54365
2024-09-18,17.37,17.37,17.01,17.15,106405
2024-09-19,17.01,17.21,17.01,17.15,29460
2024-09-20,17.12,17.66,17.12,17.57,51771
2024-09-23,17.4,17.71,17.4,17.6,14600
2024-09-24,17.6,17.83,17.43,17.66,41195
2024-09-25,17.66,17.91,17.54,17.91,74310
2024-09-26,17.83,18.11,17.83,18.02,63081
2024-09-27,18.02,18.39,18.02,18.33,79752
2024-09-30,18.33,18.39,18.19,18.28,16981
2024-10-01,18.3,18.33,18.02,18.08,61414
2024-10-02,17.66,18.22,17.66,18.02,27211
2024-10-03,18.14,18.14,17.68,17.68,27723
2024-10-04,18.02,18.02,17.71,17.8,47119
2024-10-07,17.85,17.97,17.57,17.77,108412
2024-10-08,18.08,18.08,17.54,17.74,73005
2024-10-09,17.77,17.77,17.57,17.74,21210
2024-10-10,17.71,17.8,17.26,17.54,152414
2024-10-11,17.54,17.63,17.29,17.35,36081
2024-10-14,17.43,17.43,16.9,17.23,93775
2024-10-15,17.23,17.43,17.23,17.29,43938
2024-10-16,17.29,17.63,17.09,17.54,39301
2024-10-17,17.66,17.66,17.37,17.54,13900
2024-10-18,17.26,17.6,17.26,17.6,27412
2024-10-21,17.49,17.63,17.46,17.49,32554
2024-10-22,17.46,17.66,17.35,17.54,32257
2024-10-23,17.6,17.77,17.49,17.63,34809
2024-10-24,17.68,17.74,17.4,17.57,68621
2024-10-25,17.63,17.71,17.57,17.66,20907
2024-10-28,17.68,17.71,17.63,17.68,19703
2024-10-29,17.74,18.11,17.71,18.11,60814
2024-10-30,18.14,18.53,18.11,18.53,58399
2024-10-31,18.25,18.81,18.16,18.75,59930
2024-11-01,18.67,18.87,18.3,18.3,28754
2024-11-04,18.28,18.59,18.02,18.59,32507
2024-11-05,18.16,18.3,18.14,18.25,7816
2024-11-06,18.25,18.56,18.25,18.53,7838
2024-11-07,18.59,18.64,18.3,18.64,9303
2024-11-08,18.64,18.64,18.47,18.47,10004
2024-11-11,18.02,18.81,18.02,18.81,13000
2024-11-12,18.81,18.81,18.3,18.7,6812
2024-11-13,18.36,18.59,18.14,18.59,12566
2024-11-14,18.59,18.59,18.3,18.33,13102
2024-11-15,18.05,18.75,18.05,18.75,24405
2024-11-18,18.73,18.75,18.14,18.73,37616
2024-11-19,18.7,18.7,18.19,18.22,15264
2024-11-20,18.08,18.7,17.99,18.7,28066
2024-11-21,18.36,18.59,18.3,18.53,10905
2024-11-22,18.53,18.53,18.28,18.47,10700
2024-11-25,18.47,18.59,18.33,18.42,6521
2024-11-26,18.81,18.81,18.59,18.7,14900
2024-11-27,18.3,18.59,18.3,18.33,3311
2024-11-28,18.3,18.64,18.3,18.64,1908
2024-11-29,18.73,19.94,18.73,19.63,84784
2024-12-02,19.66,19.71,19.54,19.63,26989
2024-12-03,19.63,20.13,19.26,19.66,76977
2024-12-04,20.05,20.05,19.26,19.35,67413
2024-12-05,19.35,19.99,19.35,19.51,36846
2024-12-06,19.66,19.66,19.51,19.54,37152
2024-12-09,19.54,19.54,19.32,19.32,15308
2024-12-10,19.68,19.68,19.32,19.49,12137
2024-12-11,19.15,19.6,19.15,19.29,35329
2024-12-12,19.29,19.49,19.29,19.49,34000
2024-12-13,19.04,19.82,19.04,19.66,48233
2024-12-16,19.66,19.71,19.54,19.68,9007
2024-12-17,19.54,19.54,19.4,19.4,2600
2024-12-18,19.26,19.26,18.36,19.21,29017
2024-12-19,18.7,19.37,18.64,19.06,53304
2024-12-20,18.98,19.4,18.98,19.4,2700
2024-12-23,19.4,19.4,19.12,19.37,35926
2024-12-24,19.37,19.4,19.15,19.15,9204
2024-12-25,19.18,19.43,19.06,19.32,20571
2024-12-26,19.09,19.21,19.04,19.15,47805
2024-12-27,19.15,19.43,19.15,19.15,17002
