date,open,high,low,close,volume
2024-01-30,3.55,3.55,3.55,3.55,0
2024-01-31,3.55,3.55,3.55,3.55,400
2024-02-01,3.55,3.55,3.55,3.55,0
2024-02-02,3.55,3.55,3.55,3.55,0
2024-02-05,3.55,3.55,3.55,3.55,301
2024-02-06,3.55,3.55,3.55,3.55,0
2024-02-07,3.55,3.55,3.55,3.55,400
2024-02-15,3.6,3.6,3.6,3.6,100
2024-02-16,3.6,3.6,3.6,3.6,6
2024-02-19,3.6,3.6,3.6,3.6,0
2024-02-20,3.6,3.6,3.6,3.6,1
2024-02-21,3.95,3.95,3.95,3.95,400
2024-02-22,3.65,3.65,3.65,3.65,100
2024-02-23,3.65,3.65,3.6,3.65,1100
2024-02-26,3.65,3.65,3.65,3.65,0
2024-02-27,3.55,3.75,3.45,3.75,2500
2024-02-28,3.65,3.65,3.65,3.65,201
2024-02-29,3.55,3.55,3.45,3.55,961
2024-03-01,3.5,3.6,3.5,3.6,300
2024-03-04,3.6,3.6,3.5,3.5,1500
2024-03-05,3.45,3.45,3.45,3.45,804
2024-03-06,3.45,3.45,3.45,3.45,0
2024-03-07,3.45,3.45,3.45,3.45,0
2024-03-08,3.45,3.45,3.45,3.45,0
2024-03-11,3.45,3.45,3.45,3.45,2
2024-03-12,3.45,3.45,3.45,3.45,1
2024-03-13,3.45,3.45,3.45,3.45,23
2024-03-14,3.4,3.45,3.35,3.45,700
2024-03-15,3.45,3.6,3.45,3.6,2000
2024-03-18,3.55,3.6,3.55,3.6,2000
2024-03-19,3.65,3.75,3.6,3.6,400
2024-03-20,3.6,3.6,3.6,3.6,0
2024-03-21,3.6,3.6,3.6,3.6,0
2024-03-22,3.55,3.55,3.55,3.55,600
2024-03-25,3.6,3.6,3.5,3.5,2902
2024-03-26,3.45,3.65,3.3,3.45,1925
2024-03-27,3.45,3.55,3.15,3.55,4900
2024-03-28,3.55,3.55,3.55,3.55,0
2024-03-29,3.3,3.45,3.3,3.45,500
2024-04-01,3.45,3.45,3.3,3.3,2200
2024-04-02,3.3,3.3,3.3,3.3,0
2024-04-03,3.45,3.45,3.45,3.45,105
2024-04-04,3.4,3.45,3.3,3.45,3400
2024-04-05,3.4,3.4,3.35,3.35,3405
2024-04-08,3.45,3.45,3.35,3.4,2301
2024-04-09,3.35,3.4,3.35,3.4,1600
2024-04-10,3.4,3.4,3.4,3.4,9
2024-04-11,3.35,3.45,3.35,3.45,812
2024-04-12,3.45,3.45,3.45,3.45,1
2024-04-15,3.4,3.45,3.25,3.45,3403
2024-04-16,3.45,3.45,3.45,3.45,0
2024-04-17,3.45,3.45,3.45,3.45,0
2024-04-19,3.45,3.45,3.45,3.45,0
2024-04-22,3.45,3.45,3.45,3.45,0
2024-04-23,3.45,3.45,3.45,3.45,4
2024-04-24,3.45,3.45,3.45,3.45,6
2024-04-25,3.35,3.35,3.35,3.35,500
2024-04-26,3.35,3.35,3.35,3.35,0
2024-05-02,3.35,3.35,3.35,3.35,0
2024-05-03,3.3,3.35,3.25,3.25,1701
2024-05-06,3.25,3.4,3.25,3.4,724
2024-05-07,3.25,3.35,3.25,3.35,1500
2024-05-08,3.45,3.45,3.45,3.45,100
2024-05-09,3.35,3.35,3.25,3.3,1000
2024-05-10,3.3,3.3,3.3,3.3,0
2024-05-13,3.3,3.35,3.25,3.35,9802
2024-05-14,3.25,3.25,3.25,3.25,4524
2024-05-15,3.35,3.55,3.35,3.45,3500
2024-05-16,3.35,3.35,3.35,3.35,1700
2024-05-17,3.25,3.35,3.15,3.35,3006
2024-05-20,3.25,3.25,3.25,3.25,1000
2024-05-21,3.25,3.35,3.25,3.35,1100
2024-05-22,3.25,3.25,3.25,3.25,2900
2024-05-23,3.3,3.35,3.3,3.35,1700
2024-05-24,3.35,3.35,3.35,3.35,600
2024-05-27,3.35,3.35,3.35,3.35,1
2024-05-28,3.35,3.35,3.35,3.35,204
2024-05-29,3.35,3.35,3.35,3.35,0
2024-05-30,3.25,3.25,3.25,3.25,402
2024-05-31,3.3,3.35,3.25,3.35,1000
2024-06-03,3.35,3.35,3.3,3.3,1804
2024-06-04,3.25,3.25,3.25,3.25,900
2024-06-05,3.25,3.3,3.25,3.3,1500
2024-06-06,3.3,3.3,3.3,3.3,1100
2024-06-07,3.25,3.3,3.25,3.3,7701
2024-06-10,3.3,3.3,3.3,3.3,400
2024-06-11,3.3,3.3,3.3,3.3,0
2024-06-12,3.25,3.25,3.25,3.25,800
2024-06-13,3.25,3.25,3.25,3.25,2900
2024-06-14,3.25,3.25,3.25,3.25,500
2024-06-17,3.25,3.25,3.25,3.25,500
2024-06-18,3.25,3.25,3.25,3.25,300
2024-06-19,3.25,3.25,3.25,3.25,100
2024-06-20,3.25,3.25,3.25,3.25,11
2024-06-21,3.15,3.55,3.15,3.55,56400
2024-06-24,3.65,3.9,3.65,3.9,9611
2024-06-25,4.0,4.25,3.55,3.7,30344
2024-06-26,3.65,3.65,3.4,3.55,14800
2024-06-27,3.5,3.5,3.4,3.4,9800
2024-06-28,3.35,3.4,3.25,3.4,12301
2024-07-01,3.4,3.4,3.25,3.35,12301
2024-07-02,3.35,3.45,3.3,3.35,6150
2024-07-03,3.4,3.45,3.35,3.45,10700
2024-07-04,3.4,3.4,3.35,3.35,9600
2024-07-05,3.25,3.4,3.25,3.4,6900
2024-07-08,3.4,3.4,3.4,3.4,509
2024-07-09,3.4,3.4,3.4,3.4,1005
2024-07-10,3.4,3.4,3.4,3.4,0
2024-07-11,3.45,3.45,3.45,3.45,100
2024-07-12,3.45,3.45,3.45,3.45,125
2024-07-15,3.35,3.35,3.25,3.25,1700
2024-07-16,3.25,3.25,3.25,3.25,0
2024-07-17,3.25,3.25,3.0,3.15,6205
2024-07-18,3.25,3.35,3.25,3.35,201
2024-07-19,3.35,3.35,3.35,3.35,210
2024-07-22,3.25,3.25,3.25,3.25,301
2024-07-23,3.15,3.2,3.15,3.2,1103
2024-07-24,3.2,3.2,3.2,3.2,3
2024-07-25,3.2,3.2,3.2,3.2,0
2024-07-26,3.25,3.25,3.2,3.2,201
2024-07-29,3.2,3.2,3.2,3.2,103
2024-07-30,3.2,3.2,3.2,3.2,0
2024-07-31,3.2,3.25,3.2,3.2,1125
2024-08-01,3.2,3.2,3.2,3.2,500
2024-08-02,3.2,3.2,3.2,3.2,5
2024-08-05,3.15,3.15,3.15,3.15,200
2024-08-06,3.15,3.15,3.15,3.15,1000
2024-08-07,3.15,3.15,3.15,3.15,0
2024-08-08,3.15,3.15,3.15,3.15,1
2024-08-09,3.15,3.15,3.15,3.15,0
2024-08-12,3.15,3.15,3.15,3.15,0
2024-08-13,3.15,3.15,3.15,3.15,300
2024-08-14,3.15,3.15,3.15,3.15,0
2024-08-15,3.15,3.15,3.15,3.15,10
2024-08-16,3.05,3.15,2.95,3.15,1108
2024-08-19,3.25,3.35,3.25,3.3,2804
2024-08-20,3.3,3.35,3.3,3.35,600
2024-08-21,3.35,3.35,3.35,3.35,3
2024-08-22,3.35,3.35,3.35,3.35,0
2024-08-23,3.3,3.3,3.1,3.1,1000
2024-08-26,3.3,3.3,3.3,3.3,101
2024-08-27,3.3,3.3,3.25,3.25,1800
2024-08-28,3.3,3.4,3.3,3.35,1700
2024-08-29,3.35,3.35,3.35,3.35,116
2024-08-30,3.3,3.3,3.25,3.25,200
2024-09-04,3.25,3.25,3.25,3.25,1
2024-09-05,3.25,3.25,3.25,3.25,300
2024-09-06,3.15,3.15,3.15,3.15,502
2024-09-09,3.15,3.25,3.15,3.25,800
2024-09-10,3.25,3.25,3.25,3.25,101
2024-09-11,3.25,3.25,3.25,3.25,1700
2024-09-12,3.25,3.25,3.25,3.25,0
2024-09-13,3.15,3.25,3.15,3.25,705
2024-09-16,3.25,3.25,3.25,3.25,100
2024-09-17,3.25,3.25,3.25,3.25,0
2024-09-18,3.25,3.25,3.25,3.25,0
2024-09-19,3.25,3.25,3.25,3.25,6
2024-09-20,3.25,3.25,3.25,3.25,0
2024-09-23,3.2,3.2,3.2,3.2,402
2024-09-24,3.2,3.2,3.2,3.2,115
2024-09-25,3.2,3.2,3.2,3.2,500
2024-09-26,3.25,3.25,3.25,3.25,100
2024-09-27,3.25,3.25,3.25,3.25,0
2024-09-30,3.2,3.2,3.2,3.2,100
2024-10-01,3.2,3.2,3.2,3.2,0
2024-10-02,3.2,3.2,3.2,3.2,1
2024-10-03,3.2,3.2,3.2,3.2,0
2024-10-04,3.2,3.2,3.2,3.2,0
2024-10-07,3.2,3.2,3.2,3.2,0
2024-10-08,3.2,3.2,3.2,3.2,0
2024-10-09,3.2,3.2,3.2,3.2,0
2024-10-10,3.2,3.2,3.2,3.2,10
2024-10-11,3.2,3.2,3.2,3.2,0
2024-10-14,3.2,3.2,3.2,3.2,0
2024-10-15,3.2,3.2,3.2,3.2,0
2024-10-16,3.2,3.2,3.2,3.2,0
2024-10-17,3.2,3.2,3.2,3.2,0
2024-10-18,3.2,3.2,3.2,3.2,0
2024-10-21,3.3,3.5,3.3,3.5,9208
2024-10-22,3.85,3.85,3.55,3.55,5514
2024-10-23,3.55,3.9,3.55,3.9,11700
