date,open,high,low,close,volume
2023-06-09,5.3,5.3,4.9,5.1,679119
2023-06-12,5.0,5.2,4.9,5.2,626090
2023-06-13,5.2,5.5,5.1,5.5,1468398
2023-06-14,5.5,5.6,5.0,5.2,827387
2023-06-15,5.2,5.2,4.7,5.1,1112168
2023-06-16,5.2,5.2,4.9,5.0,353167
2023-06-19,5.0,5.1,4.7,4.9,503982
2023-06-20,4.9,5.1,4.7,5.1,325102
2023-06-21,4.9,5.2,4.9,5.0,308410
2023-06-22,5.0,5.2,4.9,5.1,315001
2023-06-23,5.1,5.1,4.8,5.0,541809
2023-06-26,4.9,5.0,4.7,4.9,483816
2023-06-27,4.8,5.0,4.8,4.8,338300
2023-06-28,5.0,5.0,4.6,4.7,558220
2023-06-29,4.6,4.7,4.3,4.3,621462
2023-06-30,4.5,4.5,4.2,4.3,275070
2023-07-03,4.1,4.4,4.1,4.3,363212
2023-07-04,4.3,4.8,4.2,4.8,764958
2023-07-05,4.8,5.0,4.7,5.0,820400
2023-07-06,4.9,5.0,4.6,4.8,500157
2023-07-07,4.7,4.8,4.5,4.7,565238
2023-07-10,4.8,4.8,4.6,4.8,214453
2023-07-11,4.8,4.8,4.5,4.7,751138
2023-07-12,4.7,4.7,4.5,4.7,445300
2023-07-13,4.7,4.7,4.4,4.6,561442
2023-07-14,4.6,4.8,4.4,4.6,1085205
2023-07-17,4.7,5.0,4.7,5.0,1339359
2023-07-18,5.0,5.1,4.7,4.9,1040631
2023-07-19,4.9,4.9,4.6,4.7,561650
2023-07-20,4.7,4.7,4.5,4.7,502200
2023-07-21,4.7,4.8,4.6,4.8,583400
2023-07-24,4.7,4.9,4.6,4.8,668510
2023-07-25,4.7,5.2,4.7,5.1,2196710
2023-07-26,5.1,5.1,4.8,5.0,681004
2023-07-27,5.0,5.0,4.6,4.9,1080521
2023-07-28,4.8,5.0,4.8,5.0,761584
2023-07-31,5.0,5.1,4.9,5.0,811003
2023-08-01,5.1,5.1,4.8,4.8,861147
2023-08-02,4.9,4.9,4.7,4.9,875352
2023-08-03,4.8,5.0,4.8,4.9,565201
2023-08-04,4.9,4.9,4.7,4.8,798900
2023-08-07,4.8,5.0,4.7,4.9,1006362
2023-08-08,4.9,5.6,4.9,5.5,2570651
2023-08-09,5.5,6.0,5.5,6.0,3111002
2023-08-10,6.0,6.3,5.6,5.7,1411051
2023-08-11,5.7,5.7,5.1,5.6,1791439
2023-08-14,5.8,5.8,5.4,5.6,513841
2023-08-15,5.7,5.7,5.5,5.6,781851
2023-08-16,5.6,5.7,5.4,5.6,481000
2023-08-17,5.6,5.6,5.2,5.4,434900
2023-08-18,5.4,5.4,4.6,4.8,1533413
2023-08-21,4.9,4.9,4.6,4.8,380476
2023-08-22,4.8,4.8,4.5,4.7,378250
2023-08-23,4.7,4.9,4.6,4.7,397541
2023-08-24,4.8,4.8,4.6,4.8,366000
2023-08-25,4.8,4.9,4.7,4.8,286900
2023-08-28,4.8,4.9,4.7,4.8,322300
2023-08-29,4.7,4.9,4.7,4.9,219700
2023-08-30,4.9,5.0,4.8,4.9,188300
2023-08-31,4.9,5.1,4.9,4.9,394824
2023-09-05,5.0,5.2,4.9,5.2,506302
2023-09-06,5.2,5.3,5.0,5.2,524077
2023-09-07,5.2,5.2,5.0,5.1,502826
2023-09-08,5.1,5.1,4.8,5.0,893324
2023-09-11,5.0,5.0,4.7,4.8,462031
2023-09-12,4.8,4.9,4.7,4.8,683657
2023-09-13,4.9,5.0,4.7,4.9,562102
2023-09-14,4.8,4.9,4.6,4.7,396120
2023-09-15,4.7,4.8,4.6,4.7,424400
2023-09-18,4.7,4.7,4.6,4.7,279067
2023-09-19,4.7,4.7,4.5,4.5,445301
2023-09-20,4.6,4.7,4.4,4.7,433670
2023-09-21,4.7,4.7,4.5,4.6,326000
2023-09-22,4.7,4.7,4.3,4.5,815600
2023-09-25,4.4,4.6,4.2,4.4,479500
