date,open,high,low,close,volume
2023-06-08,17.32,17.32,17.32,17.32,0
2023-06-09,17.32,17.32,17.32,17.32,0
2023-06-12,17.32,17.32,17.32,17.32,0
2023-06-13,17.32,17.32,17.32,17.32,0
2023-06-14,17.32,17.32,17.32,17.32,0
2023-06-15,17.32,17.32,17.32,17.32,0
2023-06-16,17.32,17.32,17.32,17.32,0
2023-06-19,16.08,16.08,16.08,16.08,100
2023-06-20,16.08,16.08,16.08,16.08,1000
2023-06-21,16.08,16.08,16.08,16.08,0
2023-06-22,16.08,16.08,16.08,16.08,0
2023-06-23,16.08,16.08,16.08,16.08,0
2023-06-26,16.08,16.08,16.08,16.08,0
2023-06-27,16.08,16.08,16.08,16.08,0
2023-06-28,16.08,16.08,16.08,16.08,0
2023-06-29,16.08,16.08,16.08,16.08,0
2023-06-30,16.08,16.08,16.08,16.08,0
2023-07-03,16.08,16.08,16.08,16.08,0
2023-07-04,16.9,16.9,16.9,16.9,1000
2023-07-05,16.9,16.9,16.9,16.9,0
2023-07-06,16.9,16.9,16.9,16.9,0
2023-07-07,16.9,16.9,16.9,16.9,0
2023-07-10,16.9,16.9,16.9,16.9,0
2023-07-11,16.9,16.9,16.9,16.9,0
2023-07-12,16.9,16.9,16.9,16.9,200
2023-07-13,17.07,17.07,16.9,16.9,400
2023-07-14,17.07,17.07,17.07,17.07,0
2023-07-17,17.07,17.07,17.07,17.07,200
2023-07-18,17.07,17.07,17.07,17.07,0
2023-07-19,17.07,17.07,17.07,17.07,1900
2023-07-20,16.9,16.9,16.9,16.9,182000
2023-07-21,16.9,16.9,16.9,16.9,0
2023-07-24,16.9,16.9,16.9,16.9,500
2023-07-25,19.21,19.21,18.97,18.97,800
2023-07-26,21.44,21.44,21.44,21.44,100
2023-07-27,21.44,21.44,21.44,21.44,0
2023-07-28,21.44,21.44,21.44,21.44,0
2023-07-31,21.44,21.44,21.44,21.44,0
2023-08-01,21.44,21.44,21.44,21.44,0
2023-08-02,21.44,21.44,21.44,21.44,0
2023-08-03,21.44,21.44,21.44,21.44,0
2023-08-04,21.44,21.44,21.44,21.44,0
2023-08-07,21.44,21.44,21.44,21.44,0
2023-08-08,21.44,21.44,21.44,21.44,0
2023-08-09,21.44,21.44,21.44,21.44,0
2023-08-10,21.44,21.44,21.44,21.44,0
2023-08-11,19.71,19.71,19.71,19.71,200
2023-08-14,16.9,16.9,16.9,16.9,200
2023-08-15,17.15,17.15,17.15,17.15,100
2023-08-16,17.15,17.15,17.15,17.15,100
2023-08-17,17.15,17.15,17.15,17.15,0
2023-08-18,19.54,19.54,19.54,19.54,100
2023-08-21,19.54,21.36,19.54,21.36,1400
2023-08-22,21.36,21.36,21.36,21.36,100
2023-08-23,21.36,21.36,21.36,21.36,0
2023-08-24,21.36,21.36,21.36,21.36,0
2023-08-25,21.36,21.36,21.36,21.36,0
2023-08-28,21.36,21.36,21.36,21.36,0
2023-08-29,18.22,21.19,18.22,21.19,200
2023-08-30,19.71,19.71,19.71,19.71,0
2023-08-31,16.9,16.9,16.9,16.9,200
2023-09-05,16.9,16.9,16.9,16.9,0
2023-09-06,17.32,17.32,17.32,17.32,1000
2023-09-07,19.79,19.79,19.79,19.79,500
2023-09-08,19.79,19.79,19.79,19.79,0
2023-09-11,17.32,18.14,17.32,18.14,2500
2023-09-12,18.14,18.14,18.14,18.14,0
2023-09-13,18.14,18.14,18.14,18.14,0
2023-09-14,16.24,16.24,16.24,16.24,100
2023-09-15,15.83,15.83,15.83,15.83,600
2023-09-18,15.83,15.83,15.83,15.83,0
2023-09-19,15.83,15.83,15.83,15.83,0
2023-09-20,15.83,15.83,15.83,15.83,400
2023-09-21,15.83,15.83,15.83,15.83,0
2023-09-22,18.06,18.06,18.06,18.06,200
2023-09-25,18.06,18.06,18.06,18.06,0
2023-09-26,18.06,18.06,18.06,18.06,0
2023-09-27,18.06,18.06,18.06,18.06,0
2023-09-28,18.06,18.06,18.06,18.06,0
2023-09-29,18.06,18.06,18.06,18.06,0
2023-10-02,18.06,18.06,18.06,18.06,0
2023-10-03,18.06,18.06,18.06,18.06,0
2023-10-04,18.06,18.06,18.06,18.06,0
2023-10-05,15.67,15.67,15.67,15.67,100
2023-10-06,15.67,15.67,15.67,15.67,0
2023-10-09,15.67,15.67,15.67,15.67,0
2023-10-10,15.67,15.67,15.67,15.67,0
2023-10-11,15.67,15.67,15.67,15.67,0
2023-10-12,15.67,15.67,15.67,15.67,0
