date,open,high,low,close,volume
2023-11-29,9.39,9.39,9.39,9.39,1
2023-11-30,9.39,9.39,9.39,9.39,0
2023-12-01,9.39,9.39,9.39,9.39,0
2023-12-04,9.39,9.39,9.39,9.39,0
2023-12-05,9.39,9.39,9.39,9.39,0
2023-12-06,9.39,9.39,9.39,9.39,0
2023-12-07,9.39,9.39,9.39,9.39,0
2023-12-08,9.39,9.39,9.39,9.39,0
2023-12-11,7.52,7.52,7.52,7.52,100
2023-12-12,7.89,8.57,7.89,8.57,300
2023-12-13,8.27,8.27,8.27,8.27,0
2023-12-14,9.39,9.39,9.39,9.39,100
2023-12-15,9.39,9.39,9.39,9.39,0
2023-12-18,9.39,9.39,9.39,9.39,0
2023-12-19,9.39,9.39,9.39,9.39,0
2023-12-20,9.39,9.39,9.39,9.39,0
2023-12-21,9.39,9.39,9.39,9.39,0
2023-12-22,9.39,9.39,9.39,9.39,0
2023-12-25,9.39,9.39,9.39,9.39,0
2023-12-26,9.02,9.02,9.02,9.02,100
2023-12-27,9.02,9.02,9.02,9.02,0
2023-12-28,9.02,9.02,9.02,9.02,0
2023-12-29,9.02,9.02,9.02,9.02,0
2024-01-02,9.02,9.02,9.02,9.02,0
2024-01-03,9.02,9.02,9.02,9.02,0
2024-01-04,9.02,9.02,9.02,9.02,0
2024-01-05,9.02,9.02,9.02,9.02,0
2024-01-08,9.77,10.37,9.77,10.37,900
2024-01-09,10.3,10.3,10.3,10.3,0
2024-01-10,10.37,10.52,10.37,10.52,200
2024-01-11,10.15,10.15,10.15,10.15,200
2024-01-12,10.15,10.15,10.15,10.15,0
2024-01-15,10.15,10.15,10.15,10.15,200
2024-01-16,10.75,10.75,10.75,10.75,100
2024-01-17,10.75,10.75,10.75,10.75,0
2024-01-18,10.75,10.75,10.75,10.75,0
2024-01-19,11.72,11.72,11.72,11.72,100
2024-01-22,11.42,11.42,11.42,11.42,108
2024-01-23,11.42,11.42,11.42,11.42,0
2024-01-24,11.27,11.27,11.27,11.27,108
2024-01-25,10.9,10.9,9.62,9.62,325
2024-01-26,10.45,10.45,10.45,10.45,0
2024-01-29,9.69,9.69,9.69,9.69,101
2024-01-30,10.22,10.22,10.22,10.22,147
2024-01-31,10.15,10.15,10.0,10.0,700
2024-02-01,10.45,10.45,10.0,10.0,600
2024-02-02,10.15,10.15,10.15,10.15,0
2024-02-05,10.15,10.15,10.15,10.15,0
2024-02-06,10.15,10.15,10.15,10.15,0
2024-02-07,10.15,10.15,10.15,10.15,0
2024-02-15,10.15,10.15,10.15,10.15,0
2024-02-16,10.15,10.15,10.15,10.15,0
2024-02-19,10.15,10.15,10.15,10.15,0
2024-02-20,10.15,10.15,10.15,10.15,0
2024-02-21,10.15,10.15,10.15,10.15,0
2024-02-22,10.15,10.15,10.15,10.15,0
2024-02-23,9.92,9.92,9.92,9.92,100
2024-02-26,9.92,9.92,9.92,9.92,0
2024-02-27,9.92,9.92,9.92,9.92,0
2024-02-28,9.92,9.92,9.92,9.92,0
2024-02-29,9.62,9.62,9.62,9.62,100
2024-03-01,9.62,9.62,9.62,9.62,0
2024-03-04,9.62,9.62,9.62,9.62,0
2024-03-05,9.62,9.62,9.62,9.62,0
2024-03-06,9.62,9.62,9.62,9.62,0
2024-03-07,10.0,10.22,10.0,10.22,200
2024-03-08,10.15,10.15,10.15,10.15,0
2024-03-11,10.15,10.15,10.15,10.15,0
2024-03-12,9.62,9.62,9.62,9.62,500
2024-03-13,9.62,9.62,9.62,9.62,300
2024-03-14,8.27,8.27,8.27,8.27,1080
2024-03-15,9.39,9.39,9.39,9.39,100
2024-03-18,9.39,9.39,9.39,9.39,0
2024-03-19,10.15,10.22,10.15,10.22,212
2024-03-20,9.92,10.22,9.77,10.22,22760
2024-03-21,9.85,9.85,9.85,9.85,0
2024-03-22,9.62,9.62,9.62,9.62,146
2024-03-25,9.62,9.62,9.62,9.62,0
2024-03-26,9.62,9.62,9.62,9.62,0
2024-03-27,9.62,9.62,9.62,9.62,0
2024-03-28,10.22,10.22,10.22,10.22,100
2024-03-29,10.22,10.22,10.22,10.22,0
2024-04-01,10.22,10.22,10.22,10.22,0
2024-04-02,10.22,10.22,10.22,10.22,0
2024-04-03,10.75,10.75,10.75,10.75,100
2024-04-04,10.75,10.75,10.75,10.75,0
2024-04-05,10.75,10.75,10.75,10.75,0
2024-04-08,9.62,9.62,9.62,9.62,15895
2024-04-09,9.62,9.62,9.62,9.62,0
2024-04-10,9.62,9.62,9.62,9.62,0
2024-04-11,9.62,9.62,9.62,9.62,0
2024-04-12,9.62,9.62,9.62,9.62,0
2024-04-15,9.62,9.62,9.62,9.62,0
2024-04-16,9.62,9.62,9.62,9.62,2
2024-04-17,9.62,9.62,9.62,9.62,0
2024-04-19,9.62,9.62,9.62,9.62,2
2024-04-22,9.62,9.62,9.62,9.62,0
2024-04-23,9.62,9.62,9.62,9.62,0
2024-04-24,9.62,9.62,9.62,9.62,0
2024-04-25,9.62,9.62,9.62,9.62,0
2024-04-26,9.62,9.62,9.62,9.62,0
2024-05-02,9.62,9.62,9.62,9.62,1
2024-05-03,9.62,9.62,9.62,9.62,0
2024-05-06,8.27,9.02,8.27,9.02,500
2024-05-07,8.42,8.42,8.42,8.42,0
2024-05-08,8.42,8.42,8.42,8.42,0
2024-05-09,8.42,8.42,8.42,8.42,0
2024-05-10,8.42,8.42,8.42,8.42,0
2024-05-13,8.42,8.42,8.42,8.42,0
2024-05-14,9.39,9.39,9.39,9.39,100
2024-05-15,9.39,9.39,9.39,9.39,0
2024-05-16,9.39,9.39,9.39,9.39,0
2024-05-17,9.39,9.39,9.39,9.39,0
2024-05-20,10.52,10.52,10.52,10.52,100
2024-05-21,9.77,10.82,9.77,10.82,600
2024-05-22,10.22,10.22,10.0,10.0,300
2024-05-23,10.15,10.15,10.15,10.15,0
2024-05-24,9.62,9.62,9.62,9.62,100
2024-05-27,9.54,9.54,9.47,9.47,1300
2024-05-28,9.47,9.47,9.47,9.47,0
2024-05-29,10.22,10.22,10.22,10.22,141
2024-05-30,10.22,10.22,10.22,10.22,34
2024-05-31,10.22,10.22,10.22,10.22,0
2024-06-03,10.22,10.22,10.22,10.22,0
2024-06-04,10.22,10.22,10.22,10.22,100
2024-06-05,10.22,10.22,10.22,10.22,0
2024-06-06,10.22,10.22,10.22,10.22,0
2024-06-07,10.22,10.22,10.22,10.22,0
2024-06-10,10.22,10.22,10.22,10.22,708
2024-06-11,10.22,10.22,10.22,10.22,0
2024-06-12,10.22,10.22,10.22,10.22,0
2024-06-13,10.22,10.22,10.22,10.22,0
2024-06-14,10.22,10.22,10.22,10.22,1
2024-06-17,10.22,10.22,10.22,10.22,0
2024-06-18,10.22,10.22,10.22,10.22,0
2024-06-19,10.22,10.22,10.22,10.22,0
2024-06-20,10.22,10.22,10.22,10.22,0
2024-06-21,10.22,10.22,10.22,10.22,0
2024-06-24,10.22,10.22,10.22,10.22,0
2024-06-25,10.22,10.22,10.22,10.22,7
2024-06-26,10.22,10.22,10.22,10.22,0
2024-06-27,10.22,10.22,10.22,10.22,0
2024-06-28,11.18,11.18,11.18,11.18,101
2024-07-01,11.18,11.18,11.18,11.18,0
2024-07-02,11.18,11.18,11.18,11.18,0
2024-07-03,11.18,11.18,11.18,11.18,0
2024-07-04,11.18,11.18,11.18,11.18,0
2024-07-05,11.18,11.18,11.18,11.18,0
2024-07-08,11.18,11.18,11.18,11.18,500
2024-07-09,11.18,11.18,11.18,11.18,0
2024-07-10,11.18,11.18,11.18,11.18,0
2024-07-11,11.18,11.18,11.18,11.18,0
2024-07-12,11.18,11.18,11.18,11.18,0
2024-07-15,11.18,11.18,11.18,11.18,0
2024-07-16,11.18,11.18,11.18,11.18,0
2024-07-17,11.18,11.18,11.18,11.18,0
2024-07-18,11.18,11.18,11.18,11.18,0
2024-07-19,11.18,11.18,11.18,11.18,0
2024-07-22,11.18,11.18,11.18,11.18,0
2024-07-23,11.18,11.18,11.18,11.18,0
2024-07-24,11.18,11.18,11.18,11.18,0
2024-07-25,11.18,11.18,11.18,11.18,0
2024-07-26,11.18,11.18,11.18,11.18,10
2024-07-29,11.18,11.18,11.18,11.18,0
2024-07-30,11.18,11.18,11.18,11.18,0
2024-07-31,11.18,11.18,11.18,11.18,0
2024-08-01,10.7,10.7,10.7,10.7,1000
2024-08-02,10.7,10.7,10.7,10.7,51
2024-08-05,10.7,10.7,10.7,10.7,0
2024-08-06,10.62,10.62,10.62,10.62,600
2024-08-07,10.62,10.62,10.62,10.62,200
2024-08-08,10.62,10.62,10.62,10.62,0
2024-08-09,10.62,10.62,10.62,10.62,0
2024-08-12,10.62,10.62,10.62,10.62,0
2024-08-13,10.62,10.62,10.62,10.62,1
2024-08-14,10.62,10.62,10.62,10.62,0
2024-08-15,10.62,10.62,10.62,10.62,0
2024-08-16,10.62,10.62,10.62,10.62,0
2024-08-19,10.78,10.78,10.78,10.78,100
2024-08-20,10.78,10.78,10.78,10.78,0
2024-08-21,10.78,10.78,10.78,10.78,0
2024-08-22,10.78,10.78,10.78,10.78,1
2024-08-23,10.78,10.78,10.78,10.78,0
2024-08-26,10.78,10.78,10.78,10.78,0
2024-08-27,10.78,10.78,10.78,10.78,220
2024-08-28,10.78,10.78,10.78,10.78,0
2024-08-29,10.86,10.86,10.86,10.86,200
2024-08-30,10.86,10.86,10.86,10.86,0
2024-09-04,10.86,10.86,10.86,10.86,0
2024-09-05,10.62,10.62,10.62,10.62,300
2024-09-06,10.62,10.62,10.62,10.62,200
2024-09-09,10.62,10.62,10.62,10.62,0
2024-09-10,10.62,10.62,10.62,10.62,0
2024-09-11,10.78,10.78,10.78,10.78,30300
2024-09-12,10.78,10.78,10.78,10.78,0
2024-09-13,10.86,10.86,10.62,10.62,213
2024-09-16,10.78,10.78,10.78,10.78,600
2024-09-17,10.78,10.78,10.78,10.78,300
2024-09-18,10.78,10.78,10.78,10.78,0
2024-09-19,10.86,10.86,10.86,10.86,200
2024-09-20,10.86,10.86,10.86,10.86,0
2024-09-23,10.86,10.86,10.86,10.86,201
2024-09-24,10.86,10.86,10.86,10.86,101
2024-09-25,10.94,10.94,10.94,10.94,101
2024-09-26,10.94,10.94,10.94,10.94,0
2024-09-27,11.02,11.02,11.02,11.02,102
2024-09-30,11.02,11.02,10.86,10.94,801
2024-10-01,11.18,11.18,11.02,11.02,2100
2024-10-02,10.78,10.78,10.78,10.78,200
2024-10-03,10.78,10.78,10.78,10.78,0
2024-10-04,10.78,10.78,10.78,10.78,200
2024-10-07,10.78,10.78,10.78,10.78,0
2024-10-08,10.78,10.78,10.78,10.78,0
2024-10-09,10.78,10.78,10.78,10.78,0
2024-10-10,10.78,10.78,10.78,10.78,0
2024-10-11,10.78,10.78,10.78,10.78,2
2024-10-14,10.78,10.78,10.78,10.78,0
2024-10-15,11.18,11.18,11.18,11.18,200
2024-10-16,11.18,11.18,11.18,11.18,0
2024-10-17,11.18,11.18,11.18,11.18,0
2024-10-18,11.18,11.18,11.18,11.18,0
2024-10-21,11.18,11.18,11.18,11.18,14
2024-10-22,11.18,11.18,11.18,11.18,0
2024-10-23,11.18,11.18,11.18,11.18,0
2024-10-24,11.18,11.18,11.18,11.18,0
2024-10-25,11.18,11.18,11.18,11.18,0
2024-10-28,11.18,11.18,11.18,11.18,0
2024-10-29,11.18,11.18,11.18,11.18,0
2024-10-30,10.86,10.86,10.86,10.86,100
2024-10-31,10.86,10.86,10.86,10.86,0
2024-11-01,10.86,10.86,10.86,10.86,0
2024-11-04,10.86,10.86,10.86,10.86,0
2024-11-05,10.86,10.86,10.86,10.86,3
2024-11-06,10.86,10.86,10.86,10.86,0
2024-11-07,10.86,10.86,10.86,10.86,0
2024-11-08,10.86,10.86,10.86,10.86,0
2024-11-11,10.86,10.86,10.86,10.86,0
2024-11-12,10.86,10.86,10.86,10.86,0
2024-11-13,10.86,10.86,10.86,10.86,100
2024-11-14,10.86,10.86,10.86,10.86,0
2024-11-15,10.86,10.86,10.86,10.86,0
2024-11-18,10.86,10.86,10.86,10.86,0
2024-11-19,10.86,10.86,10.86,10.86,0
2024-11-20,10.86,10.86,10.86,10.86,0
2024-11-21,10.86,10.86,10.86,10.86,0
2024-11-22,10.94,10.94,10.94,10.94,100
2024-11-25,11.02,11.02,11.02,11.02,100
2024-11-26,11.02,11.02,11.02,11.02,0
2024-11-27,11.02,11.02,11.02,11.02,0
2024-11-28,11.02,11.02,11.02,11.02,0
2024-11-29,11.02,11.02,11.02,11.02,0
2024-12-02,11.02,11.02,11.02,11.02,0
2024-12-03,11.02,11.02,11.02,11.02,0
2024-12-04,11.02,11.02,11.02,11.02,100
2024-12-05,11.02,11.02,11.02,11.02,0
2024-12-06,11.02,11.02,11.02,11.02,0
2024-12-09,11.02,11.02,11.02,11.02,0
2024-12-10,11.02,11.02,11.02,11.02,0
2024-12-11,11.02,11.02,11.02,11.02,0
2024-12-12,11.02,11.02,11.02,11.02,0
2024-12-13,11.02,11.02,11.02,11.02,100
2024-12-16,11.02,11.02,11.02,11.02,0
2024-12-17,11.02,11.02,11.02,11.02,0
2024-12-18,11.02,11.02,11.02,11.02,0
2024-12-19,11.02,11.02,11.02,11.02,0
2024-12-20,11.02,11.02,11.02,11.02,0
