date,open,high,low,close,volume
2023-08-30,3.7,3.7,3.6,3.7,12100
2023-08-31,3.7,3.7,3.6,3.7,8100
2023-09-05,3.6,3.8,3.6,3.7,16100
2023-09-06,3.7,3.8,3.7,3.7,17300
2023-09-07,3.7,3.8,3.6,3.8,41300
2023-09-08,3.6,3.8,3.6,3.8,20500
2023-09-11,3.8,3.8,3.6,3.7,8907
2023-09-12,3.6,3.7,3.6,3.7,8200
2023-09-13,3.6,3.7,3.6,3.6,11900
2023-09-14,3.6,3.6,3.6,3.6,100
2023-09-15,3.6,3.7,3.6,3.7,6900
2023-09-18,3.6,3.6,3.6,3.6,15100
2023-09-19,3.6,3.6,3.6,3.6,12600
2023-09-20,3.6,3.7,3.6,3.7,1200
2023-09-21,3.6,3.8,3.6,3.8,25700
2023-09-22,3.7,3.8,3.6,3.8,17801
2023-09-25,3.2,3.7,3.2,3.7,13100
2023-09-26,3.7,3.7,3.2,3.6,9500
2023-09-27,3.6,3.6,3.5,3.5,1100
2023-09-28,3.6,3.6,3.6,3.6,200
2023-09-29,3.5,3.5,3.5,3.5,900
2023-10-02,3.5,3.5,3.5,3.5,1900
2023-10-03,3.5,3.5,3.4,3.4,12300
2023-10-04,3.4,3.4,3.4,3.4,1700
2023-10-05,3.4,3.4,3.4,3.4,0
2023-10-06,3.4,3.6,3.3,3.6,500
2023-10-09,3.4,3.4,3.4,3.4,100
2023-10-10,3.3,3.4,3.3,3.4,13100
2023-10-11,3.4,3.4,3.4,3.4,2800
2023-10-12,3.4,3.5,3.4,3.4,7000
2023-10-13,3.5,3.5,3.5,3.5,1000
2023-10-16,3.5,3.5,3.5,3.5,600
2023-10-17,3.4,3.4,3.4,3.4,1200
2023-10-18,3.3,3.3,3.3,3.3,2800
2023-10-19,3.3,3.3,3.1,3.1,5700
2023-10-20,3.2,3.4,3.2,3.4,7100
2023-10-23,3.3,3.5,3.3,3.3,3106
2023-10-24,3.3,3.3,3.3,3.3,18700
2023-10-25,3.3,3.3,3.3,3.3,2100
2023-10-26,3.2,3.3,3.2,3.2,37700
2023-10-27,3.3,3.3,3.2,3.2,2155
2023-10-30,3.2,3.2,3.2,3.2,12300
2023-10-31,3.3,3.3,3.3,3.3,100
2023-11-01,3.3,3.3,3.3,3.3,5500
2023-11-02,3.3,3.4,3.2,3.3,12700
2023-11-03,3.4,3.4,3.4,3.4,11900
2023-11-06,3.2,3.2,3.2,3.2,5000
2023-11-07,3.4,3.4,3.3,3.3,11804
2023-11-08,3.4,3.4,3.4,3.4,7000
2023-11-09,3.4,3.4,3.4,3.4,5100
2023-11-10,3.4,3.8,3.4,3.7,121200
2023-11-13,3.8,3.8,3.6,3.6,12314
2023-11-14,3.7,3.7,3.6,3.7,3100
2023-11-15,3.5,3.7,3.5,3.5,6400
2023-11-16,3.3,3.6,3.3,3.5,18100
2023-11-17,3.3,3.6,3.3,3.5,2500
2023-11-20,3.6,3.6,3.4,3.6,447
2023-11-21,3.4,3.6,3.4,3.4,6900
2023-11-22,3.6,3.6,3.4,3.6,800
2023-11-23,3.5,3.5,3.5,3.5,2100
2023-11-24,3.5,3.5,3.5,3.5,8000
2023-11-27,3.5,3.5,3.5,3.5,0
2023-11-28,3.5,3.6,3.4,3.6,6700
2023-11-29,3.5,3.5,3.5,3.5,0
2023-11-30,3.5,3.6,3.5,3.6,1116
2023-12-01,3.6,3.6,3.6,3.6,300
2023-12-04,3.6,3.6,3.5,3.6,2600
2023-12-05,3.6,3.6,3.6,3.6,501
2023-12-06,3.4,3.5,3.4,3.5,3600
2023-12-07,3.5,3.5,3.5,3.5,200
2023-12-08,3.6,3.6,3.6,3.6,100
2023-12-11,3.6,3.6,3.6,3.6,100
2023-12-12,3.6,3.6,3.5,3.5,400
2023-12-13,3.5,3.5,3.5,3.5,3800
2023-12-14,3.5,3.6,3.5,3.6,6916
2023-12-15,3.6,3.6,3.5,3.5,11700
2023-12-18,3.5,3.5,3.5,3.5,0
2023-12-19,4.0,4.0,3.7,3.7,200
2023-12-20,3.6,3.6,3.6,3.6,431
2023-12-21,3.5,3.5,3.5,3.5,2800
2023-12-22,3.5,3.5,3.4,3.4,6300
2023-12-25,3.4,3.4,3.4,3.4,10000
2023-12-26,3.4,3.4,3.3,3.3,7300
2023-12-27,3.4,3.4,3.3,3.3,1600
2023-12-28,3.4,3.4,3.4,3.4,1014
2023-12-29,3.4,3.4,3.4,3.4,3600
2024-01-02,3.4,3.4,3.4,3.4,0
2024-01-03,3.4,3.4,3.4,3.4,0
2024-01-04,3.4,3.4,3.4,3.4,100
2024-01-05,3.4,3.4,3.4,3.4,700
2024-01-08,3.4,3.6,3.4,3.5,22300
2024-01-09,3.5,3.8,3.5,3.6,124407
2024-01-10,3.6,3.7,3.5,3.7,54400
2024-01-11,3.6,3.7,3.6,3.7,1300
2024-01-12,3.6,3.6,3.6,3.6,1600
2024-01-15,3.6,3.6,3.6,3.6,1000
2024-01-16,3.6,3.6,3.6,3.6,31000
2024-01-17,3.5,3.5,3.5,3.5,2905
2024-01-18,3.5,3.5,3.5,3.5,5200
2024-01-19,3.5,3.5,3.5,3.5,600
2024-01-22,3.5,3.5,3.4,3.4,500
2024-01-23,3.6,3.9,3.6,3.9,251738
2024-01-24,3.9,3.9,3.5,3.9,36700
2024-01-25,3.1,4.1,3.1,4.1,215007
2024-01-26,4.2,4.3,3.9,4.0,103333
2024-01-29,4.0,4.6,3.9,4.0,58900
2024-01-30,3.9,4.6,3.8,4.1,101400
2024-01-31,3.7,4.2,3.6,3.6,99100
2024-02-01,3.6,3.6,3.4,3.4,131831
2024-02-02,3.4,3.8,3.2,3.6,192000
2024-02-05,3.4,3.7,2.9,3.3,309900
2024-02-06,3.1,3.1,2.8,3.0,91000
2024-02-07,2.9,2.9,2.8,2.8,71800
2024-02-15,3.1,3.1,2.9,3.0,19200
2024-02-16,3.0,3.0,2.8,3.0,57600
2024-02-19,3.0,3.0,2.9,3.0,69470
2024-02-20,3.1,3.1,2.8,2.9,31704
2024-02-21,2.8,2.9,2.8,2.8,31200
2024-02-22,2.9,2.9,2.8,2.9,15800
2024-02-23,2.9,2.9,2.8,2.9,7900
2024-02-26,2.9,2.9,2.8,2.8,149400
2024-02-27,2.9,2.9,2.8,2.8,153501
2024-02-28,2.9,3.0,2.8,2.8,114407
2024-02-29,2.9,2.9,2.7,2.8,33130
2024-03-01,2.8,2.8,2.7,2.8,9240
2024-03-04,2.8,2.8,2.7,2.7,124700
2024-03-05,2.8,2.9,2.8,2.8,18100
2024-03-06,2.9,2.9,2.8,2.8,32460
2024-03-07,2.8,2.9,2.8,2.9,32601
2024-03-08,2.9,3.0,2.9,2.9,124940
2024-03-11,2.9,2.9,2.8,2.8,30500
2024-03-12,2.8,2.8,2.8,2.8,6100
2024-03-13,2.8,3.0,2.8,3.0,83433
2024-03-14,3.0,3.0,2.8,2.9,19125
2024-03-15,2.9,3.0,2.9,3.0,26334
2024-03-18,3.0,3.0,2.8,2.9,24500
2024-03-19,2.9,2.9,2.8,2.8,46700
2024-03-20,2.8,2.9,2.8,2.9,27100
2024-03-21,2.8,2.9,2.8,2.9,55600
2024-03-22,2.9,2.9,2.8,2.8,61100
2024-03-25,2.8,2.8,2.8,2.8,51900
2024-03-26,2.8,2.9,2.8,2.9,35700
2024-03-27,2.8,2.9,2.8,2.9,10800
2024-03-28,2.9,2.9,2.8,2.8,12900
2024-03-29,2.8,2.9,2.8,2.8,18950
2024-04-01,2.8,2.8,2.8,2.8,13100
2024-04-02,2.8,2.8,2.8,2.8,54680
2024-04-03,2.9,2.9,2.8,2.8,33600
2024-04-04,2.8,2.8,2.8,2.8,26016
2024-04-05,2.8,2.8,2.7,2.8,15000
2024-04-08,2.8,2.8,2.7,2.7,11000
2024-04-09,2.7,2.8,2.7,2.8,12500
2024-04-10,2.8,2.8,2.7,2.8,700
2024-04-11,2.8,2.8,2.7,2.7,21500
2024-04-12,2.8,2.8,2.7,2.8,4100
2024-04-15,2.7,2.7,2.7,2.7,5700
2024-04-16,2.7,2.7,2.6,2.7,59000
2024-04-17,2.6,2.6,2.6,2.6,21600
2024-04-19,2.7,2.7,2.6,2.6,30400
2024-04-22,2.6,2.7,2.6,2.7,13500
2024-04-23,2.6,2.6,2.6,2.6,1904
2024-04-24,2.7,2.7,2.7,2.7,9500
2024-04-25,2.7,2.7,2.7,2.7,37302
2024-04-26,2.7,2.7,2.6,2.7,16401
2024-05-02,2.7,2.7,2.6,2.7,4300
2024-05-03,2.7,2.7,2.6,2.7,21100
2024-05-06,2.6,2.6,2.6,2.6,2000
2024-05-07,2.7,2.7,2.7,2.7,31416
2024-05-08,2.7,2.7,2.7,2.7,13000
2024-05-09,2.8,2.8,2.7,2.7,21600
2024-05-10,2.7,2.8,2.7,2.7,32016
2024-05-13,2.7,2.9,2.7,2.8,47000
2024-05-14,2.8,2.8,2.8,2.8,29000
2024-05-15,2.8,2.9,2.8,2.8,39507
2024-05-16,2.8,3.0,2.8,2.9,76951
2024-05-17,3.0,3.0,2.8,3.0,7800
2024-05-20,2.9,2.9,2.8,2.9,1620
2024-05-21,2.8,2.9,2.7,2.9,37300
2024-05-22,2.9,2.9,2.7,2.8,76400
2024-05-23,2.8,2.8,2.6,2.8,75656
2024-05-24,2.8,2.8,2.7,2.7,30300
2024-05-27,2.7,2.7,2.7,2.7,25100
2024-05-28,2.6,2.7,2.6,2.6,5240
2024-05-29,2.6,2.7,2.6,2.7,27400
2024-05-30,2.7,2.8,2.7,2.8,2800
2024-05-31,2.6,2.8,2.6,2.8,11600
2024-06-03,2.8,2.8,2.7,2.8,14107
2024-06-04,2.8,2.8,2.7,2.7,28100
2024-06-05,2.7,2.7,2.7,2.7,4507
2024-06-06,2.7,2.7,2.7,2.7,39330
2024-06-07,2.7,2.7,2.7,2.7,1700
2024-06-10,2.6,2.8,2.6,2.7,29100
2024-06-11,2.7,2.7,2.7,2.7,10905
2024-06-12,2.7,2.8,2.7,2.7,37110
2024-06-13,2.7,2.8,2.7,2.7,32010
2024-06-14,2.7,2.8,2.7,2.7,23400
2024-06-17,2.8,2.9,2.7,2.7,33900
2024-06-18,2.8,2.8,2.7,2.7,400
2024-06-19,2.7,2.8,2.7,2.7,22700
2024-06-20,2.7,2.7,2.7,2.7,85603
2024-06-21,2.7,2.8,2.7,2.8,17726
2024-06-24,2.8,2.8,2.7,2.7,49610
2024-06-25,2.7,2.9,2.7,2.8,133634
2024-06-26,2.8,2.9,2.8,2.8,11200
2024-06-27,2.9,2.9,2.8,2.8,19231
2024-06-28,2.8,2.8,2.7,2.7,23800
2024-07-01,2.7,2.8,2.7,2.7,1760
2024-07-02,2.7,2.8,2.7,2.7,21100
2024-07-03,2.7,2.8,2.7,2.7,22800
2024-07-04,2.8,2.8,2.7,2.8,1511
2024-07-05,2.8,2.8,2.7,2.8,726
2024-07-08,2.8,2.8,2.7,2.7,900
2024-07-09,2.7,2.7,2.7,2.7,11500
2024-07-10,2.7,2.7,2.7,2.7,4500
2024-07-11,2.7,2.7,2.7,2.7,16600
2024-07-12,2.7,2.7,2.7,2.7,10500
2024-07-15,2.8,2.8,2.7,2.8,33910
2024-07-16,2.8,2.8,2.8,2.8,17508
2024-07-17,2.9,2.9,2.7,2.7,56616
2024-07-18,2.8,2.8,2.7,2.7,4800
2024-07-19,2.7,2.7,2.7,2.7,31200
2024-07-22,2.7,2.7,2.7,2.7,1700
2024-07-23,2.7,2.7,2.6,2.6,16908
2024-07-24,2.7,2.7,2.6,2.7,1300
2024-07-25,2.6,2.7,2.6,2.7,2700
2024-07-26,2.6,2.6,2.6,2.6,16400
