date,open,high,low,close,volume
2023-06-01,17.9,17.9,17.9,17.9,100
2023-06-02,15.3,15.3,15.3,15.3,100
2023-06-05,16.9,16.9,15.0,15.0,200
2023-06-06,16.0,16.0,16.0,16.0,0
2023-06-07,13.6,13.6,13.6,13.6,100
2023-06-08,13.6,13.6,13.6,13.6,0
2023-06-09,13.6,13.6,13.6,13.6,500
2023-06-12,13.6,13.6,13.6,13.6,1
2023-06-13,11.6,11.6,11.6,11.6,100
2023-06-14,10.6,11.7,10.6,11.7,203
2023-06-15,11.2,11.2,11.2,11.2,20
2023-06-16,11.2,11.2,11.2,11.2,0
2023-06-19,11.2,11.2,11.2,11.2,0
2023-06-20,11.2,11.2,11.2,11.2,0
2023-06-21,11.2,11.2,11.2,11.2,0
2023-06-22,11.2,11.2,11.2,11.2,0
2023-06-23,11.2,11.2,11.2,11.2,0
2023-06-26,11.2,11.2,11.2,11.2,0
2023-06-27,11.2,11.2,11.2,11.2,0
2023-06-28,11.2,11.2,11.2,11.2,0
2023-06-29,11.2,11.2,11.2,11.2,0
2023-06-30,11.2,11.2,11.2,11.2,0
2023-07-03,11.2,11.2,11.2,11.2,0
2023-07-04,11.2,11.2,11.2,11.2,0
2023-07-05,12.8,12.8,12.8,12.8,218
2023-07-06,12.8,12.8,12.8,12.8,0
2023-07-07,14.4,14.4,14.4,14.4,100
2023-07-10,14.4,14.4,14.4,14.4,0
2023-07-11,14.4,14.4,14.4,14.4,0
2023-07-12,15.9,15.9,15.9,15.9,138
2023-07-13,15.9,15.9,15.9,15.9,1
2023-07-14,15.9,15.9,15.9,15.9,20
2023-07-17,15.9,15.9,15.9,15.9,0
2023-07-18,15.9,15.9,15.9,15.9,0
2023-07-19,15.9,15.9,15.9,15.9,0
2023-07-20,15.9,15.9,15.9,15.9,0
2023-07-21,15.9,15.9,15.9,15.9,0
2023-07-24,15.9,15.9,15.9,15.9,0
2023-07-25,15.9,15.9,15.9,15.9,0
2023-07-26,15.9,15.9,15.9,15.9,0
2023-07-27,15.9,15.9,15.9,15.9,0
2023-07-28,15.9,15.9,15.9,15.9,0
2023-07-31,15.9,15.9,15.9,15.9,0
2023-08-01,15.9,15.9,15.9,15.9,0
2023-08-02,15.9,15.9,15.9,15.9,0
2023-08-03,15.9,15.9,15.9,15.9,0
2023-08-04,13.6,13.6,13.6,13.6,200
2023-08-07,12.5,12.5,12.5,12.5,2800
2023-08-08,14.1,14.1,14.1,14.1,100
2023-08-09,15.9,15.9,15.9,15.9,100
2023-08-10,14.3,14.3,13.6,13.6,800
2023-08-11,15.4,15.4,15.4,15.4,100
2023-08-14,14.0,14.0,13.1,13.1,5300
2023-08-15,12.2,12.2,12.2,12.2,100
2023-08-16,12.2,12.2,12.2,12.2,0
2023-08-17,12.2,12.2,12.2,12.2,0
2023-08-18,12.2,12.2,12.2,12.2,0
2023-08-21,10.4,10.4,10.4,10.4,100
2023-08-22,10.4,10.4,10.4,10.4,0
2023-08-23,10.4,10.4,10.4,10.4,1
2023-08-24,10.4,10.4,10.4,10.4,10
2023-08-25,10.4,10.4,10.4,10.4,0
2023-08-28,10.4,10.4,10.4,10.4,0
2023-08-29,10.4,10.4,10.4,10.4,0
2023-08-30,10.4,10.4,10.4,10.4,0
2023-08-31,10.4,10.4,10.4,10.4,0
2023-09-05,10.4,10.4,10.4,10.4,0
2023-09-06,10.4,10.4,10.4,10.4,0
2023-09-07,10.4,10.4,10.4,10.4,0
2023-09-08,10.4,10.4,10.4,10.4,0
