date,open,high,low,close,volume
2024-01-30,24.91,25.1,24.72,25.1,126555
2024-01-31,25.19,25.96,24.91,24.91,396658
2024-02-01,24.91,25.29,24.91,25.19,140315
2024-02-02,25.29,25.58,25.29,25.29,134230
2024-02-05,25.29,25.39,24.52,25.0,256615
2024-02-06,25.67,25.67,24.91,24.91,349910
2024-02-07,25.1,25.48,25.0,25.48,128502
2024-02-15,25.48,25.77,25.0,25.19,534795
2024-02-16,25.19,25.39,25.1,25.19,208601
2024-02-19,25.86,25.86,24.91,25.29,348992
2024-02-20,25.29,25.86,25.29,25.58,500854
2024-02-21,25.58,25.77,25.19,25.58,254330
2024-02-22,25.58,25.58,25.29,25.29,218550
2024-02-23,25.29,25.58,24.43,24.62,455661
2024-02-26,24.62,25.39,24.52,25.29,310282
2024-02-27,25.48,25.48,25.1,25.29,281320
2024-02-28,25.39,25.58,25.1,25.29,171868
2024-02-29,25.29,26.34,25.29,26.34,1238411
2024-03-01,26.34,27.3,26.34,27.01,751688
2024-03-04,27.01,27.78,27.01,27.01,506510
2024-03-05,26.82,27.97,26.54,27.78,630872
2024-03-06,27.78,30.56,27.68,30.56,1944322
2024-03-07,30.65,32.19,30.65,31.61,1395458
2024-03-08,31.61,32.28,30.56,30.94,1001293
2024-03-11,30.94,31.61,30.46,30.85,723661
2024-03-12,30.85,31.8,30.65,31.13,878097
2024-03-13,31.32,33.05,30.75,32.57,1629973
2024-03-14,32.86,32.86,31.23,31.8,880040
2024-03-15,31.8,31.8,30.37,31.32,1053769
2024-03-18,31.32,31.42,28.55,29.41,1275108
2024-03-19,29.5,30.46,29.41,29.98,436422
2024-03-20,29.98,30.56,29.5,30.56,486483
2024-03-21,30.85,31.8,30.46,31.04,648261
2024-03-22,31.04,32.09,30.56,31.23,747181
2024-03-25,31.32,31.42,30.08,30.85,600220
2024-03-26,30.65,30.85,30.08,30.85,520138
2024-03-27,30.85,31.32,30.18,30.65,400350
2024-03-28,30.65,33.05,30.65,32.47,1587624
2024-03-29,32.57,32.86,31.9,32.09,461871
2024-04-01,32.09,32.19,31.23,31.71,789288
2024-04-02,31.71,32.09,31.23,32.0,743102
2024-04-03,32.0,35.16,32.0,35.16,1918628
2024-04-04,35.44,38.03,34.49,36.31,1140514
2024-04-05,36.31,37.74,33.14,35.44,909102
2024-04-08,35.35,35.73,32.76,33.43,1346653
2024-04-09,33.43,36.69,33.43,36.4,998094
2024-04-10,36.4,36.5,35.64,35.83,481668
2024-04-11,35.64,37.26,34.97,36.79,907591
2024-04-12,37.07,37.46,36.4,36.98,676548
2024-04-15,36.88,36.98,33.34,33.34,1497455
2024-04-16,33.05,33.43,31.8,33.34,1309457
2024-04-17,33.34,33.82,31.23,31.23,767620
2024-04-19,31.32,32.09,29.41,31.04,1227693
2024-04-22,31.61,34.1,31.61,34.1,1483254
2024-04-23,34.2,34.68,32.47,33.05,665209
2024-04-24,33.14,35.16,33.14,34.77,876148
2024-04-25,34.01,34.77,33.53,34.39,529005
2024-04-26,33.62,34.87,33.34,33.91,453669
2024-05-02,33.91,33.91,31.61,32.57,683710
2024-05-03,33.05,33.62,32.57,32.57,602097
2024-05-06,33.05,35.83,33.05,35.16,990118
2024-05-07,35.06,35.83,34.58,35.83,828907
2024-05-08,35.92,36.79,35.16,36.5,1011082
2024-05-09,36.4,36.59,35.25,35.54,807656
2024-05-10,35.64,38.32,34.77,38.32,1072266
2024-05-13,38.41,38.51,37.07,37.36,1166798
2024-05-14,37.36,37.74,36.4,36.59,1096812
2024-05-15,36.59,39.08,36.59,38.41,1186927
2024-05-16,38.41,39.37,37.74,37.84,902960
2024-05-17,37.84,38.8,37.74,38.32,903051
2024-05-20,38.7,38.7,37.84,38.03,1130182
2024-05-21,37.93,40.43,37.74,40.33,1572736
2024-05-22,40.52,41.67,40.23,40.9,1745921
2024-05-23,40.71,44.64,39.95,44.45,1330663
2024-05-24,44.45,45.41,40.43,42.34,1230537
2024-05-27,42.34,43.11,41.77,42.34,764172
2024-05-28,42.92,44.93,42.25,44.35,1154590
2024-05-29,44.26,44.45,42.72,43.49,896392
2024-05-30,43.01,44.26,40.71,44.07,1415819
2024-05-31,44.16,44.83,43.11,44.07,639292
2024-06-03,44.07,45.5,44.07,44.35,755998
2024-06-04,44.35,44.83,43.87,43.87,816579
2024-06-05,43.87,46.17,43.68,44.54,1068986
2024-06-06,44.74,45.41,44.35,45.02,565917
2024-06-07,45.02,45.31,44.07,44.83,483026
2024-06-10,44.83,45.98,44.54,45.5,760466
2024-06-11,45.6,45.89,44.83,45.69,536818
2024-06-12,46.94,47.42,45.5,45.89,866363
2024-06-13,45.98,46.27,45.12,45.12,646778
2024-06-14,45.41,45.79,43.01,43.01,1234082
2024-06-17,43.01,43.11,41.0,42.34,751691
2024-06-18,42.25,43.39,42.25,42.34,446050
2024-06-19,42.34,43.39,41.77,43.01,601251
2024-06-20,43.01,43.3,42.05,42.63,567466
2024-06-21,42.63,43.59,42.34,43.39,642496
2024-06-24,43.39,43.49,39.28,39.37,1932782
2024-06-25,39.37,40.43,39.28,40.23,541042
2024-06-26,40.23,40.62,38.99,39.66,669431
2024-06-27,39.66,39.85,38.89,39.75,440912
2024-06-28,39.66,40.04,38.22,38.32,834703
2024-07-01,38.32,39.56,38.32,39.47,436923
2024-07-02,40.23,40.52,39.47,40.23,451401
2024-07-03,40.43,40.71,39.66,39.95,491946
2024-07-04,40.23,40.62,39.66,40.23,383163
2024-07-05,40.52,40.71,39.18,40.14,563020
2024-07-08,40.52,40.52,39.75,40.23,506690
2024-07-09,40.33,43.11,40.04,43.01,2144581
2024-07-10,43.59,43.97,42.34,42.34,790959
2024-07-11,42.82,43.59,42.15,42.92,988090
2024-07-12,43.01,43.49,42.63,43.11,787001
2024-07-15,43.49,44.07,42.92,43.3,698592
2024-07-16,43.39,44.16,42.15,42.63,1023287
2024-07-17,42.63,44.07,40.71,41.48,1361342
2024-07-18,41.48,42.44,40.62,42.44,575328
2024-07-19,42.15,42.92,40.14,40.23,1220120
2024-07-22,40.23,40.23,36.21,36.4,2306798
2024-07-23,36.4,36.79,33.82,33.91,930313
2024-07-24,33.91,35.92,33.53,35.44,954899
2024-07-25,34.01,35.64,34.01,35.25,382831
2024-07-26,37.26,38.41,34.58,35.16,351345
2024-07-29,35.25,35.83,35.06,35.44,514758
2024-07-30,35.35,35.54,34.1,34.49,502152
2024-07-31,34.58,35.25,33.14,33.24,789351
2024-08-01,33.34,33.82,30.27,30.65,1576857
2024-08-02,27.59,33.62,27.59,33.05,1277635
2024-08-05,33.05,33.91,31.42,32.09,1130938
2024-08-06,32.57,34.58,32.47,34.29,1106540
2024-08-07,34.49,34.49,33.34,33.82,633243
2024-08-08,33.43,33.91,32.38,33.05,983336
2024-08-09,33.34,35.25,33.34,34.68,1264133
2024-08-12,35.25,35.35,34.29,35.25,650258
2024-08-13,35.25,35.35,34.2,34.58,678330
2024-08-14,33.72,35.64,33.72,34.2,716135
2024-08-15,34.29,34.77,33.91,34.2,637893
2024-08-16,34.68,37.55,34.58,37.55,1910189
2024-08-19,37.65,38.13,36.98,37.36,708297
2024-08-20,37.65,38.99,36.59,37.74,1630840
2024-08-21,37.65,38.32,37.46,37.93,750629
2024-08-22,38.22,38.7,37.65,37.93,659636
2024-08-23,38.22,39.08,37.74,38.22,1068842
2024-08-26,38.8,39.75,37.55,37.84,995893
2024-08-27,37.74,38.22,37.36,37.65,580491
2024-08-28,38.13,38.32,36.59,37.74,836690
2024-08-29,37.74,37.93,37.36,37.65,369881
2024-08-30,37.55,38.61,37.46,37.74,605978
2024-09-04,37.17,37.93,37.17,37.93,567105
2024-09-05,37.74,38.99,37.36,37.74,1089897
2024-09-06,37.74,37.93,37.07,37.74,556061
2024-09-09,37.55,37.65,37.26,37.55,295330
