date,open,high,low,close,volume
2023-05-15,5.73,5.73,5.73,5.73,0
2023-05-16,6.54,6.54,6.54,6.54,100
2023-05-17,6.54,6.54,6.54,6.54,0
2023-05-18,6.54,6.54,6.54,6.54,0
2023-05-19,7.43,7.43,7.43,7.43,100
2023-05-22,7.43,7.43,7.43,7.43,0
2023-05-23,7.43,7.43,7.43,7.43,0
2023-05-24,7.43,7.43,7.43,7.43,0
2023-05-25,7.43,7.43,7.43,7.43,0
2023-05-26,7.43,7.43,7.43,7.43,0
2023-05-29,7.43,7.43,7.43,7.43,0
2023-05-30,7.43,7.43,7.43,7.43,0
2023-05-31,7.43,7.43,7.43,7.43,0
2023-06-01,7.43,7.43,7.43,7.43,0
2023-06-02,7.43,7.43,7.43,7.43,0
2023-06-05,7.43,7.43,7.43,7.43,0
2023-06-06,7.43,7.43,7.43,7.43,0
2023-06-07,7.43,7.43,7.43,7.43,0
2023-06-08,7.43,7.43,7.43,7.43,0
2023-06-09,8.51,8.51,8.51,8.51,200
2023-06-12,8.6,8.6,8.51,8.51,200
2023-06-13,8.6,8.6,8.6,8.6,0
2023-06-14,8.6,8.6,8.6,8.6,0
2023-06-15,8.6,8.6,8.6,8.6,0
2023-06-16,8.6,8.6,8.6,8.6,0
2023-06-19,7.52,7.52,7.52,7.52,100
2023-06-20,7.52,7.52,7.52,7.52,0
2023-06-21,7.52,7.52,7.52,7.52,0
2023-06-22,7.52,7.52,7.52,7.52,0
2023-06-23,7.52,7.52,7.52,7.52,0
2023-06-26,7.52,7.52,7.52,7.52,0
2023-06-27,7.52,7.52,7.52,7.52,0
2023-06-28,7.52,7.52,7.52,7.52,0
2023-06-29,7.52,7.52,7.52,7.52,0
2023-06-30,7.52,7.52,7.52,7.52,0
2023-07-03,8.24,8.24,8.24,8.24,100
2023-07-04,8.24,8.24,8.24,8.24,0
2023-07-05,8.24,8.24,8.24,8.24,0
2023-07-06,8.24,8.24,8.24,8.24,0
2023-07-07,8.24,8.24,8.24,8.24,0
2023-07-10,8.24,8.24,8.24,8.24,0
2023-07-11,8.24,8.24,8.24,8.24,0
2023-07-12,8.24,8.24,8.24,8.24,0
2023-07-13,8.24,8.24,8.24,8.24,0
2023-07-14,8.24,8.24,8.24,8.24,0
2023-07-17,8.24,8.24,8.24,8.24,0
2023-07-18,8.24,8.24,8.24,8.24,0
2023-07-19,8.24,8.24,8.24,8.24,0
2023-07-20,8.24,8.24,8.24,8.24,0
2023-07-21,8.24,8.24,8.24,8.24,0
2023-07-24,8.24,8.24,8.24,8.24,0
2023-07-25,8.24,8.24,8.24,8.24,0
2023-07-26,8.24,8.24,8.24,8.24,0
2023-07-27,8.24,8.24,8.24,8.24,0
2023-07-28,8.24,8.24,8.24,8.24,0
2023-07-31,8.24,8.24,8.24,8.24,0
2023-08-01,8.24,8.24,8.24,8.24,0
2023-08-02,8.24,8.24,8.24,8.24,0
2023-08-03,8.24,8.24,8.24,8.24,0
2023-08-04,8.24,8.24,8.24,8.24,0
2023-08-07,8.24,8.24,8.24,8.24,0
2023-08-08,8.24,8.24,8.24,8.24,0
2023-08-09,8.24,8.24,8.24,8.24,0
2023-08-10,8.24,8.24,8.24,8.24,0
2023-08-11,8.24,8.24,8.24,8.24,0
2023-08-14,8.24,8.24,8.24,8.24,0
2023-08-15,8.24,8.24,8.24,8.24,0
2023-08-16,8.24,8.24,8.24,8.24,0
2023-08-17,8.24,8.24,8.24,8.24,0
2023-08-18,8.24,8.24,8.24,8.24,0
2023-08-21,5.1,5.1,5.1,5.1,3000
2023-08-22,5.1,5.1,5.1,5.1,0
2023-08-23,5.1,5.1,5.1,5.1,0
2023-08-24,5.1,5.1,5.1,5.1,0
2023-08-25,5.1,5.1,5.1,5.1,0
2023-08-28,5.1,5.1,5.1,5.1,0
2023-08-29,5.1,5.1,5.1,5.1,0
2023-08-30,5.1,5.1,5.1,5.1,0
2023-08-31,5.1,5.1,5.1,5.1,0
2023-09-05,5.1,5.1,5.1,5.1,0
2023-09-06,5.1,5.1,5.1,5.1,0
2023-09-07,5.1,5.1,5.1,5.1,0
2023-09-08,5.1,5.1,5.1,5.1,0
