date,open,high,low,close,volume
2023-12-22,2.9,3.0,2.9,3.0,3000
2023-12-25,2.9,3.0,2.8,2.9,6501
2023-12-26,2.9,3.0,2.9,2.9,3100
2023-12-27,2.9,3.0,2.9,2.9,7635
2023-12-28,2.9,3.0,2.9,3.0,4728
2023-12-29,3.2,3.2,2.9,3.1,10300
2024-01-02,3.1,3.1,3.1,3.1,401
2024-01-03,3.1,3.2,3.0,3.2,2811
2024-01-04,3.2,3.3,3.0,3.0,8600
2024-01-05,3.1,3.2,2.9,3.2,11000
2024-01-08,3.2,3.2,3.0,3.0,6000
2024-01-09,3.1,3.1,3.0,3.0,200
2024-01-10,3.0,3.1,3.0,3.1,1400
2024-01-11,3.1,3.1,2.9,3.1,1900
2024-01-12,2.8,3.0,2.8,3.0,1400
2024-01-15,3.0,3.0,2.9,2.9,2200
2024-01-16,3.0,3.0,2.9,2.9,1903
2024-01-17,3.0,3.0,2.9,2.9,3650
2024-01-18,2.9,3.0,2.9,3.0,8008
2024-01-19,3.0,3.0,2.9,3.0,3400
2024-01-22,2.9,2.9,2.9,2.9,2106
2024-01-23,2.9,2.9,2.9,2.9,200
2024-01-24,3.0,3.0,3.0,3.0,100
2024-01-25,3.0,3.0,3.0,3.0,500
2024-01-26,2.8,2.9,2.8,2.9,7100
2024-01-29,2.8,2.8,2.8,2.8,7300
2024-01-30,2.8,2.9,2.8,2.9,2800
2024-01-31,2.9,2.9,2.9,2.9,100
2024-02-01,2.9,2.9,2.9,2.9,200
2024-02-02,3.0,3.0,2.9,2.9,1600
2024-02-05,2.9,2.9,2.8,2.8,1000
2024-02-06,2.8,3.0,2.8,3.0,600
2024-02-07,3.0,3.0,3.0,3.0,200
2024-02-15,3.0,3.0,2.9,3.0,700
2024-02-16,3.0,3.0,2.9,3.0,2000
2024-02-19,2.9,2.9,2.9,2.9,10300
2024-02-20,3.0,3.0,2.9,2.9,812
2024-02-21,2.8,3.0,2.8,3.0,11629
2024-02-22,3.0,3.0,3.0,3.0,701
2024-02-23,3.0,3.1,3.0,3.1,3656
2024-02-26,3.1,3.1,3.0,3.1,7921
2024-02-27,3.1,3.1,3.0,3.0,3100
2024-02-28,3.0,3.1,2.8,3.0,12800
2024-02-29,3.0,3.0,2.9,2.9,12300
2024-03-01,2.9,3.0,2.9,3.0,3311
2024-03-04,3.0,3.3,3.0,3.3,54101
2024-03-05,3.7,3.7,3.7,3.7,34058
2024-03-06,4.0,4.2,3.5,3.8,57313
2024-03-07,3.8,3.8,3.4,3.4,69900
2024-03-08,3.1,3.5,3.1,3.5,9900
2024-03-11,3.9,3.9,3.3,3.3,7470
2024-03-12,3.6,3.6,2.9,3.1,36319
2024-03-13,3.5,3.5,3.1,3.2,3223
2024-03-14,3.7,3.7,3.2,3.3,4600
2024-03-15,3.1,3.3,3.0,3.3,12761
2024-03-18,3.5,3.5,3.4,3.5,3620
2024-03-19,3.3,3.5,3.2,3.2,4585
2024-03-20,3.2,3.5,3.0,3.5,12333
2024-03-21,3.2,3.4,3.2,3.4,4000
2024-03-22,3.4,3.4,3.2,3.4,7300
2024-03-25,3.6,3.6,3.5,3.5,317
2024-03-26,3.4,3.8,3.2,3.6,33800
2024-03-27,3.6,3.6,3.4,3.6,3718
2024-03-28,3.7,3.7,3.6,3.6,1242
2024-03-29,3.7,3.8,3.5,3.7,11400
2024-04-01,3.8,3.8,3.7,3.7,4701
2024-04-02,3.8,3.8,3.7,3.8,801
2024-04-03,3.4,3.8,3.4,3.5,9600
2024-04-04,3.7,3.7,3.7,3.7,1900
2024-04-05,3.8,3.8,3.4,3.4,6000
2024-04-08,3.7,3.7,3.3,3.6,5402
2024-04-09,3.5,3.6,3.4,3.6,16844
2024-04-10,3.6,3.6,3.5,3.6,2136
2024-04-11,3.5,3.6,3.5,3.6,3004
2024-04-12,3.7,3.7,3.5,3.6,1700
2024-04-15,3.7,3.7,3.7,3.7,101
2024-04-16,3.7,3.7,3.7,3.7,0
2024-04-17,3.2,3.4,3.2,3.4,5601
2024-04-19,3.4,3.4,3.2,3.2,1400
