date,open,high,low,close,volume
2023-01-09,45.69,45.69,45.69,45.69,0
2023-01-10,45.69,45.69,45.69,45.69,0
2023-01-11,43.16,43.16,41.19,41.19,600
2023-01-12,41.19,41.19,41.19,41.19,0
2023-01-13,41.19,41.19,41.19,41.19,0
2023-01-16,41.19,41.19,41.19,41.19,0
2023-01-17,41.19,41.19,41.19,41.19,2
2023-01-18,41.19,41.19,41.19,41.19,0
2023-01-19,41.19,41.19,41.19,41.19,0
2023-01-27,41.19,41.19,41.19,41.19,0
2023-01-30,41.19,41.19,41.19,41.19,0
2023-01-31,41.19,41.19,41.19,41.19,0
2023-02-01,41.19,41.19,41.19,41.19,10
2023-02-02,41.19,41.19,41.19,41.19,0
2023-02-03,41.19,41.19,41.19,41.19,0
2023-02-06,37.15,37.15,37.15,37.15,500
2023-02-07,33.78,33.78,33.5,33.5,1260
2023-02-08,36.78,36.78,36.78,36.78,100
2023-02-09,33.12,40.44,33.12,40.44,1000
2023-02-10,36.4,40.44,36.4,40.44,301
2023-02-13,36.4,40.44,36.4,36.4,801
2023-02-14,32.84,36.4,32.84,36.4,600
2023-02-15,32.84,36.4,32.84,36.4,2011
2023-02-16,36.4,36.4,36.4,36.4,500
2023-02-17,36.4,36.4,36.4,36.4,0
2023-02-20,36.4,36.4,36.4,36.4,0
2023-02-21,32.84,37.53,32.84,37.53,400
2023-02-22,37.53,37.53,37.53,37.53,1
2023-02-23,37.53,37.53,33.78,37.25,1300
2023-02-24,37.25,37.25,37.25,37.25,0
2023-02-27,37.25,37.25,37.25,37.25,0
2023-02-28,37.25,37.25,37.25,37.25,0
2023-03-01,37.25,37.25,37.25,37.25,0
2023-03-02,37.25,37.25,37.25,37.25,0
2023-03-03,37.25,37.25,37.25,37.25,0
2023-03-06,37.25,37.25,37.25,37.25,0
2023-03-07,37.25,37.25,37.25,37.25,14
2023-03-08,37.25,37.25,37.25,37.25,645
2023-03-09,37.25,37.25,37.25,37.25,100
2023-03-10,37.25,37.25,37.25,37.25,1
2023-03-13,37.25,37.25,37.25,37.25,0
2023-03-14,37.25,37.25,37.25,37.25,0
2023-03-15,37.25,37.25,37.25,37.25,0
2023-03-16,37.25,37.25,37.25,37.25,0
2023-03-17,35.56,35.56,35.56,35.56,115
2023-03-20,35.56,35.56,35.56,35.56,100
2023-03-21,32.09,35.47,32.09,35.47,300
2023-03-22,35.47,35.47,35.47,35.47,100
2023-03-23,35.47,35.47,35.47,35.47,1
2023-03-24,35.47,35.47,35.47,35.47,39
2023-03-27,35.47,35.47,35.47,35.47,0
2023-03-28,31.99,35.09,31.99,35.09,1621
2023-03-29,35.09,35.09,35.09,35.09,21
2023-03-30,35.09,35.09,35.09,35.09,0
2023-03-31,35.09,35.09,35.09,35.09,0
2023-04-03,35.09,35.09,35.09,35.09,1
2023-04-04,35.09,35.09,35.09,35.09,0
2023-04-05,31.62,35.0,31.62,31.71,1900
2023-04-06,31.71,31.71,31.71,31.71,30
2023-04-07,34.72,34.72,34.72,34.72,100
2023-04-10,34.72,34.72,31.24,34.62,900
2023-04-11,34.62,34.62,34.62,34.62,0
2023-04-12,31.24,33.68,31.24,33.68,1109
2023-04-13,30.4,33.59,30.4,33.4,2400
2023-04-14,30.12,30.12,30.12,30.12,1500
2023-04-17,31.9,31.9,31.9,31.9,105
2023-04-18,31.9,31.9,31.9,31.9,3
2023-04-19,28.71,31.81,28.71,31.81,1400
2023-04-20,31.81,31.81,31.81,31.81,0
2023-04-21,31.71,34.72,31.71,34.62,1200
2023-04-24,31.34,36.5,31.24,31.24,3200
2023-04-25,33.31,33.31,33.31,33.31,100
2023-04-26,30.12,30.12,30.02,30.02,900
2023-04-27,27.3,32.65,27.3,32.65,500
2023-04-28,32.65,32.65,32.65,32.65,0
2023-05-04,32.65,32.65,32.65,32.65,0
2023-05-05,32.65,32.65,32.65,32.65,0
2023-05-08,29.55,29.55,29.46,29.46,1601
2023-05-09,31.34,31.34,31.34,31.34,100
2023-05-10,32.84,32.84,31.24,31.24,200
2023-05-11,31.15,31.15,28.62,29.37,2400
2023-05-12,29.37,29.37,28.43,29.37,2202
2023-05-15,30.87,30.87,30.87,30.87,171
2023-05-16,30.87,30.87,30.87,30.87,0
2023-05-17,30.87,30.87,30.87,30.87,8
2023-05-18,30.49,30.49,30.49,30.49,100
2023-05-19,30.49,30.49,30.49,30.49,0
2023-05-22,30.49,30.49,30.49,30.49,29
2023-05-23,30.49,30.49,30.49,30.49,9
2023-05-24,30.02,30.02,29.84,29.84,401
2023-05-25,29.84,29.84,29.84,29.84,10
2023-05-26,29.84,29.84,29.84,29.84,0
2023-05-29,27.3,30.87,27.02,30.21,901
2023-05-30,30.12,33.03,28.71,32.65,3800
2023-05-31,30.96,32.65,30.96,32.65,600
2023-06-01,32.65,35.65,32.65,35.65,1000
2023-06-02,32.84,32.84,32.18,32.28,802
2023-06-05,32.28,35.47,32.28,35.47,2308
2023-06-06,37.53,37.53,37.53,37.53,301
2023-06-07,38.99,41.23,38.02,41.23,2903
2023-06-08,45.33,45.33,43.87,43.87,301
2023-06-09,43.87,43.87,43.87,43.87,200
2023-06-12,43.87,43.87,43.87,43.87,500
2023-06-13,43.87,43.87,43.87,43.87,0
2023-06-14,43.87,43.87,43.87,43.87,1000
2023-06-15,43.87,43.87,43.87,43.87,500
2023-06-16,43.87,43.87,43.87,43.87,1000
2023-06-19,41.92,41.92,41.92,41.92,1300
2023-06-20,41.92,41.92,41.92,41.92,0
2023-06-21,41.92,41.92,41.92,41.92,0
2023-06-22,43.87,43.87,43.87,43.87,2619
2023-06-23,41.92,41.92,41.92,41.92,300
2023-06-26,41.92,41.92,41.92,41.92,4
2023-06-27,41.92,41.92,41.92,41.92,8
2023-06-28,41.92,41.92,41.92,41.92,510
2023-06-29,41.92,41.92,41.92,41.92,255
2023-06-30,41.92,41.92,41.92,41.92,0
2023-07-03,41.92,41.92,41.92,41.92,0
2023-07-04,41.92,41.92,41.92,41.92,0
2023-07-05,41.92,41.92,41.92,41.92,1000
2023-07-06,41.92,41.92,41.92,41.92,0
2023-07-07,41.92,41.92,41.92,41.92,0
2023-07-10,41.92,41.92,41.92,41.92,0
2023-07-11,41.92,41.92,41.92,41.92,0
2023-07-12,41.92,41.92,41.92,41.92,0
2023-07-13,41.92,41.92,41.92,41.92,5
2023-07-14,41.92,41.92,41.92,41.92,5
2023-07-17,41.92,41.92,41.92,41.92,40
2023-07-18,41.92,41.92,41.92,41.92,0
2023-07-19,41.92,41.92,41.92,41.92,0
2023-07-20,41.92,41.92,41.92,41.92,2
2023-07-21,46.01,46.01,46.01,46.01,101
2023-07-24,46.01,46.01,46.01,46.01,0
2023-07-25,41.43,41.43,41.43,41.43,100
2023-07-26,45.52,45.52,45.52,45.52,101
2023-07-27,49.71,49.71,49.71,49.71,231
2023-07-28,50.69,50.69,50.69,50.69,20010
2023-07-31,50.69,50.69,50.69,50.69,0
2023-08-01,48.74,48.74,48.74,48.74,200
2023-08-02,48.74,48.74,48.74,48.74,0
2023-08-03,48.74,48.74,48.74,48.74,50
2023-08-04,48.74,48.74,48.74,48.74,0
2023-08-07,48.74,48.74,48.74,48.74,0
2023-08-08,43.87,43.87,43.87,43.87,403
2023-08-09,43.87,43.87,43.87,43.87,0
2023-08-10,43.87,43.87,43.87,43.87,0
2023-08-11,43.87,43.87,43.87,43.87,0
2023-08-14,48.25,48.25,43.87,43.87,500
2023-08-15,46.79,48.25,46.79,48.25,600
2023-08-16,51.66,51.66,51.66,51.66,100
2023-08-17,51.66,51.66,51.66,51.66,0
