date,open,high,low,close,volume
2024-01-30,10.68,11.13,10.48,10.94,15800
2024-01-31,10.61,10.61,10.61,10.61,1000
2024-02-01,10.54,10.54,10.54,10.54,1500
2024-02-02,10.61,11.79,10.48,10.74,2502
2024-02-05,10.48,10.48,10.48,10.48,1000
2024-02-06,10.35,11.07,10.35,10.81,1400
2024-02-07,10.41,11.13,10.41,10.61,4603
2024-02-15,11.46,11.46,10.54,10.54,10900
2024-02-16,10.94,11.0,10.68,10.68,2300
2024-02-19,11.26,11.26,10.81,11.13,26800
2024-02-20,11.0,11.0,11.0,11.0,300
2024-02-21,11.07,11.72,10.87,11.0,15000
2024-02-22,11.13,11.13,11.07,11.13,6000
2024-02-23,11.13,11.13,11.13,11.13,3100
2024-02-26,10.61,11.33,10.61,11.26,1303
2024-02-27,10.94,11.46,10.94,11.07,9200
2024-02-28,10.87,11.26,10.87,11.26,1300
2024-02-29,11.2,11.26,11.07,11.2,1300
2024-03-01,11.53,11.53,11.2,11.2,2600
2024-03-04,11.0,11.46,11.0,11.13,3400
2024-03-05,11.13,11.33,11.13,11.33,400
2024-03-06,11.13,11.59,11.07,11.2,800
2024-03-07,11.2,11.4,11.2,11.26,3900
2024-03-08,11.4,11.66,11.2,11.66,24000
2024-03-11,11.26,11.72,11.26,11.4,7601
2024-03-12,11.46,12.05,11.46,12.05,17500
2024-03-13,12.12,12.12,11.98,12.12,13100
2024-03-14,12.05,12.05,11.66,12.05,14600
2024-03-15,11.79,11.92,11.72,11.92,11800
2024-03-18,12.44,12.44,11.59,11.59,10302
2024-03-19,11.79,11.79,11.53,11.66,1600
2024-03-20,12.12,12.12,11.53,11.72,5000
2024-03-21,11.92,11.92,11.92,11.92,300
2024-03-22,11.92,11.92,11.66,11.79,3200
2024-03-25,12.44,12.44,11.79,12.05,6200
2024-03-26,11.79,12.12,11.79,12.05,13900
2024-03-27,11.98,12.25,11.98,12.25,11603
2024-03-28,12.25,12.25,12.05,12.05,9244
2024-03-29,12.25,12.25,12.05,12.18,700
2024-04-01,12.25,12.44,12.25,12.25,16809
2024-04-02,12.38,12.38,12.18,12.38,9000
2024-04-03,12.31,12.31,11.98,12.31,12705
2024-04-04,12.05,12.12,12.05,12.12,5403
2024-04-05,12.12,12.12,11.98,12.12,7506
2024-04-08,11.85,11.85,11.85,11.85,1202
2024-04-09,11.66,11.98,11.66,11.79,7200
2024-04-10,11.79,11.79,11.72,11.72,3700
2024-04-11,11.72,11.92,11.66,11.66,4200
2024-04-12,12.12,12.12,11.46,11.46,24507
2024-04-15,12.12,12.12,11.53,11.53,300
2024-04-16,11.59,11.66,11.59,11.59,4100
2024-04-17,12.97,12.97,12.97,12.97,201
2024-04-19,12.05,12.12,11.26,11.59,7200
2024-04-22,11.33,11.59,11.33,11.33,11400
2024-04-23,11.4,11.72,11.33,11.33,25400
2024-04-24,11.66,11.66,11.66,11.66,1000
2024-04-25,11.72,11.72,11.66,11.66,11800
2024-04-26,11.66,11.66,11.66,11.66,1305
2024-05-02,11.79,11.79,11.72,11.72,6901
2024-05-03,11.79,11.79,11.72,11.72,3262
2024-05-06,11.79,11.98,11.79,11.98,12102
2024-05-07,12.12,12.12,11.79,11.79,3230
2024-05-08,12.2,12.2,11.65,11.65,22550
2024-05-09,11.65,11.65,11.65,11.65,3300
2024-05-10,11.79,11.79,11.65,11.65,1300
2024-05-13,11.79,11.79,11.58,11.65,6507
2024-05-14,11.58,11.72,11.58,11.65,2101
2024-05-15,11.65,11.72,11.65,11.65,9000
2024-05-16,11.72,11.72,11.72,11.72,203
2024-05-17,11.65,11.65,11.58,11.65,10400
2024-05-20,11.65,12.41,11.65,12.41,1900
2024-05-21,11.51,11.93,11.51,11.93,1105
2024-05-22,11.58,11.58,11.58,11.58,24
2024-05-23,11.58,11.58,11.58,11.58,3
2024-05-24,11.65,11.72,11.58,11.65,9800
2024-05-27,11.72,11.99,11.72,11.79,6507
2024-05-28,11.86,11.99,11.79,11.99,3417
2024-05-29,11.86,12.13,11.86,12.13,3207
2024-05-30,11.86,11.99,11.79,11.93,10100
2024-05-31,12.2,12.2,12.06,12.13,600
2024-06-03,11.99,12.13,11.93,12.13,3300
2024-06-04,12.2,12.27,12.2,12.27,7300
2024-06-05,11.99,12.2,11.99,12.2,1602
2024-06-06,11.86,12.27,11.86,12.2,6200
2024-06-07,12.2,12.2,12.13,12.2,5301
2024-06-10,12.2,12.27,12.2,12.27,2000
2024-06-11,12.83,12.9,12.2,12.27,8400
2024-06-12,12.48,12.48,12.34,12.34,17100
2024-06-13,12.41,12.76,12.41,12.76,4151
2024-06-14,12.06,12.06,12.06,12.06,100
2024-06-17,12.83,12.83,11.99,12.13,10200
2024-06-18,12.34,12.48,12.34,12.48,3500
2024-06-19,12.48,12.69,12.48,12.48,11500
2024-06-20,12.62,12.62,12.55,12.55,3800
2024-06-21,12.55,12.69,12.48,12.48,8100
2024-06-24,12.62,12.62,12.41,12.55,11938
2024-06-25,12.48,12.55,12.41,12.48,1400
2024-06-26,12.48,12.48,12.48,12.48,1001
2024-06-27,12.48,12.48,12.48,12.48,2000
2024-06-28,13.8,13.8,12.69,12.69,701
2024-07-01,12.83,12.83,12.48,12.62,4700
2024-07-02,12.55,12.55,12.55,12.55,100
2024-07-03,12.34,12.69,12.34,12.55,1500
2024-07-04,12.62,12.62,12.62,12.62,200
2024-07-05,12.48,12.62,12.48,12.55,5316
2024-07-08,12.48,12.69,12.48,12.48,2000
2024-07-09,12.27,12.62,12.27,12.62,13100
2024-07-10,12.55,12.62,12.55,12.55,5901
2024-07-11,12.55,12.62,12.55,12.62,4703
2024-07-12,12.55,12.55,12.55,12.55,200
2024-07-15,12.69,12.69,12.55,12.55,2900
2024-07-16,12.69,12.69,12.62,12.62,4300
2024-07-17,12.62,12.69,12.48,12.48,14142
2024-07-18,12.62,12.62,12.48,12.48,2200
2024-07-19,12.55,12.55,12.48,12.48,11500
2024-07-22,12.41,12.55,12.41,12.48,8300
2024-07-23,12.62,12.62,12.48,12.48,500
2024-07-24,12.41,12.41,12.41,12.41,2200
2024-07-25,12.55,12.55,12.48,12.48,700
2024-07-26,12.48,12.48,12.48,12.48,300
2024-07-29,12.48,12.62,12.48,12.48,10100
2024-07-30,12.48,12.48,12.48,12.48,5900
2024-07-31,12.48,12.48,12.48,12.48,500
2024-08-01,12.34,12.62,12.2,12.41,4501
2024-08-02,12.34,12.34,12.34,12.34,2000
2024-08-05,12.41,12.55,12.27,12.55,2600
2024-08-06,12.48,12.48,12.41,12.41,306
2024-08-07,12.48,12.48,12.48,12.48,800
2024-08-08,12.55,12.55,12.48,12.48,2800
2024-08-09,12.48,12.48,12.48,12.48,1400
2024-08-12,12.48,12.55,12.48,12.48,709
2024-08-13,12.48,12.62,12.48,12.62,300
2024-08-14,12.48,12.48,12.48,12.48,2001
2024-08-15,12.48,12.48,12.48,12.48,2000
2024-08-16,12.48,12.55,12.48,12.55,1201
2024-08-19,12.48,12.48,12.48,12.48,400
2024-08-20,12.55,12.55,12.55,12.55,100
2024-08-21,12.62,12.62,12.48,12.55,1400
2024-08-22,12.55,12.55,12.55,12.55,101
2024-08-23,12.55,12.55,12.55,12.55,0
2024-08-26,12.55,12.62,12.48,12.48,1900
2024-08-27,12.48,12.48,12.48,12.48,4000
2024-08-28,12.62,12.62,12.48,12.48,2400
2024-08-29,12.62,12.62,12.62,12.62,0
2024-08-30,12.55,12.62,12.55,12.62,400
2024-09-04,12.55,12.55,12.55,12.55,0
2024-09-05,12.48,12.48,11.99,12.48,10300
2024-09-06,12.48,12.48,12.41,12.41,2900
2024-09-09,12.41,12.48,12.41,12.48,400
2024-09-10,12.41,12.48,12.34,12.41,3800
2024-09-11,12.48,12.48,12.41,12.41,2700
2024-09-12,12.34,12.48,12.34,12.48,2200
2024-09-13,12.48,12.48,12.48,12.48,0
2024-09-16,12.48,12.55,12.41,12.41,3600
2024-09-17,12.55,12.55,12.48,12.55,3600
2024-09-18,12.55,12.55,12.55,12.55,7000
2024-09-19,12.55,12.55,12.55,12.55,800
2024-09-20,12.62,12.9,12.62,12.62,4300
2024-09-23,12.69,12.69,12.69,12.69,100
2024-09-24,12.69,12.69,12.55,12.55,1900
2024-09-25,12.69,12.69,12.69,12.69,200
2024-09-26,12.69,12.69,12.69,12.69,200
2024-09-27,12.69,12.76,12.69,12.69,2102
2024-09-30,12.69,12.69,12.69,12.69,0
2024-10-01,12.69,12.76,12.69,12.76,5300
2024-10-02,12.76,12.83,12.76,12.83,1500
2024-10-03,12.83,12.83,12.83,12.83,0
2024-10-04,12.83,12.83,12.83,12.83,1000
2024-10-07,12.48,12.76,12.48,12.76,400
2024-10-08,12.69,12.69,12.55,12.55,3100
2024-10-09,12.62,12.69,12.55,12.62,3500
2024-10-10,13.45,13.45,13.1,13.1,300
2024-10-11,12.83,12.83,12.83,12.83,100
2024-10-14,13.8,13.8,12.76,12.83,1004
2024-10-15,13.45,13.45,13.45,13.45,100
2024-10-16,13.17,13.17,12.9,12.9,28000
2024-10-17,12.97,13.17,12.9,12.97,5800
2024-10-18,13.1,13.1,13.03,13.03,3900
2024-10-21,13.24,13.24,12.97,13.03,6200
2024-10-22,13.45,13.45,12.62,12.69,14401
2024-10-23,13.17,13.17,12.83,12.9,2500
2024-10-24,12.76,12.76,12.76,12.76,500
2024-10-25,13.45,13.45,13.45,13.45,100
2024-10-28,13.31,13.31,13.31,13.31,100
2024-10-29,13.31,13.31,12.83,12.9,7100
2024-10-30,12.9,12.9,12.9,12.9,100
2024-10-31,13.1,13.1,12.83,12.83,8100
2024-11-01,13.45,13.45,12.9,12.9,500
2024-11-04,13.1,13.1,12.97,12.97,700
2024-11-05,12.83,12.83,12.83,12.83,5000
2024-11-06,13.1,13.1,12.69,12.83,2200
2024-11-07,13.1,13.1,12.83,12.83,3300
2024-11-08,13.03,13.03,12.76,12.76,1200
2024-11-11,13.1,13.1,13.1,13.1,100
2024-11-12,13.1,13.1,13.1,13.1,0
2024-11-13,12.83,12.83,12.83,12.83,5000
2024-11-14,13.03,13.03,12.83,12.9,700
2024-11-15,12.9,12.9,12.9,12.9,0
2024-11-18,13.1,13.1,12.9,12.9,11500
2024-11-19,13.03,13.03,12.83,12.83,1400
2024-11-20,13.1,13.1,12.83,12.83,4100
2024-11-21,12.76,12.76,12.76,12.76,300
2024-11-22,13.1,13.1,13.1,13.1,100
2024-11-25,13.1,13.1,13.1,13.1,0
2024-11-26,12.83,12.9,12.83,12.9,8300
2024-11-27,12.76,12.97,12.76,12.97,11900
2024-11-28,12.83,12.83,12.76,12.76,12000
2024-11-29,13.03,13.03,12.76,12.83,4200
2024-12-02,12.76,12.9,12.76,12.83,1500
2024-12-03,12.76,12.83,12.76,12.76,4925
2024-12-04,12.76,12.76,12.76,12.76,2300
2024-12-05,12.69,12.76,12.27,12.76,14400
2024-12-06,12.76,12.76,12.69,12.69,6600
2024-12-09,12.76,12.76,12.69,12.76,3801
2024-12-10,12.76,12.83,12.76,12.83,23000
2024-12-11,13.1,13.1,13.1,13.1,100
2024-12-12,12.76,12.76,12.76,12.76,200
2024-12-13,13.73,13.73,12.76,12.76,1300
2024-12-16,13.1,13.1,13.1,13.1,100
2024-12-17,12.76,12.83,12.76,12.83,1400
2024-12-18,12.97,12.97,12.97,12.97,100
2024-12-19,12.76,12.76,12.76,12.76,600
2024-12-20,12.55,12.83,12.55,12.76,4100
2024-12-23,12.97,12.97,12.97,12.97,300
2024-12-24,13.1,13.1,12.83,12.83,1100
2024-12-25,12.83,12.83,12.69,12.69,5000
2024-12-26,13.03,13.03,12.69,12.9,3300
2024-12-27,12.83,12.9,12.76,12.83,1900
2024-12-30,12.76,12.97,12.76,12.9,5200
2024-12-31,12.97,12.97,12.83,12.83,3100
2025-01-02,12.97,12.97,12.97,12.97,200
2025-01-03,12.97,12.97,12.97,12.97,0
2025-01-06,12.9,12.9,12.9,12.9,100
2025-01-07,12.76,12.76,12.76,12.76,100
2025-01-08,12.83,12.83,12.76,12.76,8900
2025-01-09,12.9,12.9,12.9,12.9,200
2025-01-10,12.9,12.9,12.9,12.9,2800
2025-01-13,12.9,12.9,12.9,12.9,0
2025-01-14,12.69,12.83,12.48,12.83,3901
2025-01-15,12.97,12.97,12.97,12.97,200
2025-01-16,12.69,12.83,12.69,12.83,2600
2025-01-17,12.83,12.83,12.62,12.83,2800
2025-01-20,12.9,12.9,12.69,12.83,800
2025-01-21,12.69,12.76,12.69,12.69,2700
2025-01-22,12.83,12.83,12.76,12.76,2100
2025-01-23,12.83,12.83,12.83,12.83,0
2025-01-24,13.8,13.8,12.9,12.9,700
2025-02-03,13.17,13.17,13.17,13.17,0
2025-02-04,12.83,12.9,12.76,12.76,1500
2025-02-05,12.83,13.52,12.83,12.83,1500
2025-02-06,13.31,13.31,12.83,12.83,4400
2025-02-07,13.38,13.38,12.83,13.03,5500
2025-02-10,13.1,13.1,12.83,12.83,1702
2025-02-11,12.83,12.9,12.83,12.9,1900
2025-02-12,12.97,13.03,12.83,13.03,43800
2025-02-13,12.97,13.03,12.9,12.9,10200
2025-02-14,12.83,13.03,12.55,12.9,1200
2025-02-17,12.9,13.17,12.83,12.97,40900
2025-02-18,12.9,12.9,12.9,12.9,31500
2025-02-19,12.9,13.24,12.9,13.17,28300
2025-02-20,13.66,13.66,13.24,13.52,22402
2025-02-21,13.52,13.73,13.38,13.73,28500
2025-02-24,13.73,13.94,13.52,13.87,26400
2025-02-25,13.87,14.01,13.59,13.73,35500
2025-02-26,13.73,13.87,13.59,13.73,9300
2025-02-27,13.59,13.59,13.52,13.59,7400
2025-02-28,13.45,13.45,13.17,13.38,13800
2025-03-03,13.38,13.73,13.38,13.59,7500
2025-03-04,13.66,13.66,13.17,13.17,40300
2025-03-05,13.38,13.38,13.38,13.38,400
2025-03-06,13.17,13.38,13.17,13.31,3400
2025-03-07,13.45,13.59,13.38,13.59,7400
2025-03-10,13.52,13.59,13.45,13.59,2400
2025-03-11,13.31,13.52,13.24,13.52,21600
2025-03-12,13.73,13.73,13.45,13.59,22600
2025-03-13,13.45,14.84,13.45,14.28,63300
2025-03-14,14.07,14.42,14.01,14.21,50200
2025-03-17,14.14,14.14,14.01,14.14,23335
2025-03-18,14.07,14.07,13.87,14.07,16200
2025-03-19,13.94,14.01,13.94,14.01,5100
2025-03-20,14.01,14.07,14.01,14.07,20423
2025-03-21,14.21,14.42,14.14,14.21,33800
2025-03-24,14.21,14.28,14.14,14.14,19300
2025-03-25,14.14,14.21,14.14,14.14,86100
2025-03-26,14.14,14.21,14.14,14.14,7300
2025-03-27,14.14,14.35,14.14,14.28,15900
2025-03-28,14.21,14.28,14.14,14.28,13600
2025-03-31,14.28,14.28,14.14,14.14,4600
2025-04-01,14.14,14.14,14.07,14.14,3400
2025-04-02,14.07,14.14,14.01,14.14,8600
2025-04-03,14.01,14.07,13.1,13.17,23900
2025-04-04,13.17,13.24,12.9,13.24,22615
2025-04-08,13.17,13.17,12.48,12.55,56811
2025-04-09,12.76,12.76,12.48,12.48,6400
