date,open,high,low,close,volume
2023-12-29,14.41,14.5,14.14,14.41,46356
2024-01-02,15.14,15.14,14.5,14.59,17859
2024-01-03,14.5,14.68,14.5,14.59,23853
2024-01-04,14.59,14.68,14.41,14.59,31965
2024-01-05,14.41,14.77,14.32,14.5,16201
2024-01-08,14.41,14.5,13.87,14.5,42175
2024-01-09,14.41,14.41,14.14,14.23,11741
2024-01-10,14.23,14.41,13.96,14.23,20652
2024-01-11,14.32,14.32,13.87,14.32,28693
2024-01-12,13.87,14.05,13.51,13.69,43069
2024-01-15,13.78,13.78,13.42,13.51,39703
2024-01-16,13.42,14.14,13.06,13.42,11935
2024-01-17,13.24,13.78,13.24,13.33,14850
2024-01-18,13.33,13.33,13.15,13.15,17712
2024-01-19,13.24,13.42,13.15,13.42,18229
2024-01-22,13.51,13.51,13.15,13.42,29689
2024-01-23,13.24,13.51,13.24,13.42,6572
2024-01-24,13.42,15.32,13.06,15.32,100345
2024-01-25,13.87,14.41,13.87,14.14,60611
2024-01-26,14.05,14.05,13.6,13.78,21446
2024-01-29,13.96,13.96,13.69,13.78,5690
2024-01-30,13.78,14.05,13.69,13.96,2744881
2024-01-31,14.05,14.05,13.6,13.78,19827
2024-02-01,13.69,13.96,13.69,13.96,10043
2024-02-02,14.05,14.05,13.51,13.78,14542
2024-02-05,13.69,13.69,13.24,13.6,27241
2024-02-06,13.96,13.96,13.6,13.78,7893
2024-02-07,13.78,13.78,13.51,13.51,18172
2024-02-15,14.05,14.05,13.69,13.78,2070
2024-02-16,13.69,13.87,13.51,13.69,18595
2024-02-19,14.41,14.41,13.87,14.05,14887
2024-02-20,14.05,14.23,13.96,13.96,19417
2024-02-21,14.23,14.23,14.05,14.14,18410
2024-02-22,14.32,14.32,13.96,14.05,32343
2024-02-23,14.05,14.14,13.87,13.87,18649
2024-02-26,13.96,14.05,13.78,13.87,7201
2024-02-27,13.87,13.87,13.78,13.87,25032
2024-02-28,13.87,13.87,13.69,13.78,14086
2024-02-29,13.78,13.87,13.78,13.78,14414
2024-03-01,13.87,13.87,13.78,13.87,22400
2024-03-04,13.87,13.87,13.69,13.78,29732
2024-03-05,14.05,14.32,13.78,13.78,15598
