date,open,high,low,close,volume
2023-11-15,11.34,11.34,11.34,11.34,0
2023-11-16,11.34,11.57,11.34,11.57,300
2023-11-17,11.73,11.73,11.73,11.73,1100
2023-11-20,11.34,11.34,11.34,11.34,12600
2023-11-21,11.34,11.34,11.34,11.34,1
2023-11-22,11.34,11.34,11.34,11.34,0
2023-11-23,11.73,11.73,11.73,11.73,10900
2023-11-24,11.73,11.73,11.73,11.73,0
2023-11-27,11.73,11.73,11.73,11.73,0
2023-11-28,11.73,11.73,11.73,11.73,0
2023-11-29,11.73,11.73,11.73,11.73,0
2023-11-30,11.73,11.73,11.73,11.73,0
2023-12-01,11.73,11.73,11.73,11.73,0
2023-12-04,11.73,11.73,11.73,11.73,0
2023-12-05,11.73,11.73,11.73,11.73,0
2023-12-06,11.73,11.73,11.73,11.73,20
2023-12-07,11.73,11.73,11.73,11.73,100
2023-12-08,11.73,11.73,11.73,11.73,21
2023-12-11,11.73,11.73,11.73,11.73,0
2023-12-12,11.73,11.73,11.73,11.73,0
2023-12-13,11.73,11.73,11.73,11.73,0
2023-12-14,11.73,11.73,11.73,11.73,0
2023-12-15,11.73,11.73,11.73,11.73,0
2023-12-18,11.73,11.73,11.73,11.73,0
2023-12-19,11.73,11.73,11.73,11.73,0
2023-12-20,11.73,11.73,11.73,11.73,0
2023-12-21,11.73,11.73,11.73,11.73,0
2023-12-22,11.73,11.73,11.73,11.73,0
2023-12-25,11.73,11.73,11.73,11.73,3
2023-12-26,11.73,11.73,11.73,11.73,0
2023-12-27,11.73,11.73,11.73,11.73,0
2023-12-28,11.73,11.73,11.73,11.73,0
2023-12-29,11.73,11.73,11.73,11.73,0
2024-01-02,11.73,11.73,11.73,11.73,0
2024-01-03,11.73,11.73,11.73,11.73,5
2024-01-04,11.73,11.73,11.73,11.73,39
2024-01-05,11.73,11.73,11.73,11.73,0
2024-01-08,11.73,11.73,11.73,11.73,0
2024-01-09,11.73,11.73,11.73,11.73,0
2024-01-10,11.34,11.34,10.32,10.32,13900
2024-01-11,10.95,10.95,10.95,10.95,5
2024-01-12,10.16,10.16,10.16,10.16,130000
2024-01-15,10.24,11.57,10.24,11.57,135700
2024-01-16,10.95,10.95,10.4,10.4,135000
2024-01-17,10.95,10.95,10.16,10.16,135000
