date,open,high,low,close,volume
2024-01-30,5.17,5.17,5.17,5.17,0
2024-01-31,5.17,5.17,5.17,5.17,0
2024-02-01,5.17,5.17,5.17,5.17,0
2024-02-02,5.17,5.17,5.17,5.17,0
2024-02-05,5.17,5.17,5.17,5.17,0
2024-02-06,5.17,5.17,5.17,5.17,0
2024-02-07,5.17,5.17,5.17,5.17,0
2024-02-15,5.17,5.17,5.17,5.17,0
2024-02-16,5.17,5.17,5.17,5.17,0
2024-02-19,5.17,5.17,5.17,5.17,0
2024-02-20,5.8,5.8,5.8,5.8,101
2024-02-21,5.35,5.35,4.99,5.35,2100
2024-02-22,4.99,5.08,4.99,5.08,1400
2024-02-23,4.99,4.99,4.99,4.99,0
2024-02-26,4.99,4.99,4.99,4.99,600
2024-02-27,4.99,4.99,4.99,4.99,0
2024-02-28,4.9,4.9,4.9,4.9,200
2024-02-29,4.82,4.82,4.82,4.82,500
2024-03-01,4.9,4.9,4.9,4.9,100
2024-03-04,5.26,5.26,4.19,4.37,4201
2024-03-05,4.55,4.55,4.37,4.37,2602
2024-03-06,4.37,4.37,4.37,4.37,0
2024-03-07,4.37,4.55,4.37,4.55,2400
2024-03-08,4.55,4.55,4.46,4.46,1100
2024-03-11,4.46,4.46,4.46,4.46,6300
2024-03-12,4.46,4.64,4.46,4.55,5000
2024-03-13,4.55,4.64,4.55,4.64,13900
2024-03-14,4.64,4.64,4.64,4.64,0
2024-03-15,4.9,4.99,4.9,4.9,5500
2024-03-18,5.35,5.35,5.26,5.26,7800
2024-03-19,5.26,5.26,4.9,4.9,400
2024-03-20,5.08,5.08,4.64,4.9,1900
2024-03-21,5.08,5.08,4.9,4.9,700
2024-03-22,4.82,5.08,4.82,5.08,3100
2024-03-25,4.9,4.9,4.9,4.9,400
2024-03-26,4.99,5.17,4.99,5.17,2400
2024-03-27,5.08,5.08,5.08,5.08,0
2024-03-28,5.17,5.17,4.99,4.99,900
2024-03-29,4.82,4.99,4.82,4.99,1900
2024-04-01,4.9,5.08,4.9,5.08,5300
2024-04-02,5.08,5.17,4.82,5.08,4000
2024-04-03,5.08,5.35,4.99,5.08,15600
2024-04-04,5.26,5.26,4.64,4.99,17300
2024-04-05,4.99,5.17,4.99,5.17,2300
2024-04-08,5.17,5.17,4.99,5.17,7001
2024-04-09,5.35,5.8,5.17,5.35,14932
2024-04-10,5.44,5.62,5.44,5.62,200
