date,open,high,low,close,volume
2023-11-28,8.12,8.12,8.12,8.12,0
2023-11-29,8.12,8.12,8.12,8.12,0
2023-11-30,9.07,9.07,9.07,9.07,100
2023-12-01,9.07,9.07,9.07,9.07,0
2023-12-04,8.97,8.97,8.97,8.97,100
2023-12-05,8.97,8.97,8.97,8.97,100
2023-12-06,9.36,9.36,9.36,9.36,100
2023-12-07,9.36,9.36,9.36,9.36,100
2023-12-08,9.36,9.36,9.36,9.36,0
2023-12-11,9.83,9.83,9.83,9.83,300
2023-12-12,9.93,9.93,9.93,9.93,100
2023-12-13,9.93,9.93,9.93,9.93,0
2023-12-14,9.36,9.36,9.36,9.36,100
2023-12-15,9.36,9.36,9.36,9.36,0
2023-12-18,9.45,9.45,9.45,9.45,100
2023-12-19,9.45,9.45,9.45,9.45,0
2023-12-20,9.45,9.45,9.45,9.45,0
2023-12-21,10.41,10.41,10.41,10.41,319
2023-12-22,9.55,9.55,8.88,8.88,400
2023-12-25,9.17,9.17,9.17,9.17,0
2023-12-26,8.97,8.97,8.97,8.97,100
2023-12-27,7.64,8.88,7.64,8.88,1800
2023-12-28,8.12,8.21,8.12,8.12,300
2023-12-29,8.4,9.26,8.12,9.26,2500
2024-01-02,8.12,9.26,8.12,9.26,1300
2024-01-03,8.31,8.31,8.12,8.31,700
2024-01-04,8.12,8.4,8.12,8.12,4300
2024-01-05,8.12,8.12,8.12,8.12,0
2024-01-08,9.17,9.26,9.17,9.26,700
2024-01-09,10.02,10.02,10.02,10.02,200
2024-01-10,10.02,10.02,10.02,10.02,0
2024-01-11,10.02,10.02,10.02,10.02,0
2024-01-12,10.02,10.02,10.02,10.02,0
2024-01-15,10.02,10.02,10.02,10.02,0
2024-01-16,10.02,10.02,10.02,10.02,0
2024-01-17,10.02,10.02,10.02,10.02,0
2024-01-18,10.02,10.02,10.02,10.02,0
2024-01-19,10.02,10.02,10.02,10.02,0
2024-01-22,10.02,10.02,10.02,10.02,0
2024-01-23,10.02,10.02,10.02,10.02,0
2024-01-24,10.02,10.02,10.02,10.02,0
2024-01-25,10.02,10.02,10.02,10.02,0
2024-01-26,10.02,10.02,10.02,10.02,0
2024-01-29,10.02,10.02,10.02,10.02,0
2024-01-30,10.02,10.02,10.02,10.02,0
2024-01-31,10.02,10.02,10.02,10.02,0
2024-02-01,10.02,10.02,10.02,10.02,0
2024-02-02,10.02,10.02,10.02,10.02,0
2024-02-05,10.02,10.02,10.02,10.02,0
2024-02-06,10.02,10.02,10.02,10.02,0
2024-02-07,10.02,10.02,10.02,10.02,0
2024-02-15,10.02,10.02,10.02,10.02,0
2024-02-16,10.02,10.02,10.02,10.02,0
2024-02-19,10.02,10.02,10.02,10.02,0
2024-02-20,10.02,10.02,10.02,10.02,0
2024-02-21,10.02,10.02,10.02,10.02,0
2024-02-22,10.02,10.02,10.02,10.02,0
2024-02-23,10.02,10.02,10.02,10.02,0
2024-02-26,10.02,10.02,10.02,10.02,0
2024-02-27,10.02,10.02,10.02,10.02,0
2024-02-28,10.02,10.02,10.02,10.02,0
2024-02-29,10.02,10.02,10.02,10.02,0
2024-03-01,10.02,10.02,10.02,10.02,0
2024-03-04,10.02,10.02,10.02,10.02,0
2024-03-05,8.5,8.5,8.5,8.5,4900
2024-03-06,9.64,9.64,9.64,9.64,100
2024-03-07,9.64,9.64,9.64,9.64,0
2024-03-08,9.64,9.64,9.64,9.64,0
2024-03-11,9.64,9.64,9.64,9.64,0
2024-03-12,9.64,9.64,9.64,9.64,1
2024-03-13,9.64,9.64,9.64,9.64,0
2024-03-14,9.64,9.64,9.64,9.64,4
2024-03-15,9.64,9.64,9.64,9.64,0
2024-03-18,9.64,9.64,9.64,9.64,0
2024-03-19,9.64,9.64,9.64,9.64,0
2024-03-20,9.64,9.64,9.64,9.64,0
2024-03-21,9.64,9.64,9.64,9.64,200
2024-03-22,9.64,9.64,9.64,9.64,2400
2024-03-25,10.88,10.88,10.88,10.88,100
2024-03-26,10.88,10.88,10.88,10.88,3
2024-03-27,10.88,10.88,10.88,10.88,0
2024-03-28,9.26,9.26,9.26,9.26,100
2024-03-29,10.41,10.41,8.12,8.12,203
2024-04-01,9.26,9.26,9.26,9.26,0
2024-04-02,8.21,8.21,8.21,8.21,100
2024-04-03,8.21,8.21,8.21,8.21,0
2024-04-04,9.26,9.26,9.26,9.26,100
2024-04-05,10.41,10.41,10.41,10.41,100
2024-04-08,8.88,8.88,8.88,8.88,100
2024-04-09,8.88,8.88,8.88,8.88,0
2024-04-10,9.74,9.74,9.74,9.74,100
2024-04-11,9.74,9.74,9.74,9.74,0
2024-04-12,10.31,10.31,10.31,10.31,100
2024-04-15,10.31,10.31,10.31,10.31,0
2024-04-16,8.88,10.22,8.88,10.22,200
2024-04-17,10.31,10.31,10.31,10.31,100
2024-04-19,10.31,10.31,10.31,10.31,0
2024-04-22,8.88,10.22,8.88,10.22,200
2024-04-23,10.12,10.12,10.12,10.12,100
2024-04-24,10.12,10.12,10.12,10.12,0
2024-04-25,10.12,10.12,10.12,10.12,0
2024-04-26,10.12,10.12,10.12,10.12,0
2024-05-02,10.12,10.12,10.12,10.12,0
2024-05-03,10.12,10.22,10.12,10.22,200
2024-05-06,8.88,8.88,8.88,8.88,101
2024-05-07,8.88,8.88,8.88,8.88,0
2024-05-08,8.88,8.97,8.88,8.97,600
2024-05-09,8.88,9.17,8.88,9.17,400
2024-05-10,9.07,9.07,9.07,9.07,0
2024-05-13,9.07,9.07,9.07,9.07,0
