date,open,high,low,close,volume
2024-01-30,21.2,21.24,21.11,21.24,1920
2024-01-31,21.15,21.15,20.87,20.91,101313
2024-02-01,20.55,20.95,20.55,20.87,18401
2024-02-02,20.87,21.2,20.87,21.2,7800
2024-02-05,21.2,21.64,20.83,20.87,84211
2024-02-06,21.6,21.6,20.87,20.87,30171
2024-02-07,21.36,21.36,20.87,21.2,61405
2024-02-15,21.2,21.32,21.2,21.2,4700
2024-02-16,21.2,21.28,21.11,21.2,36801
2024-02-19,21.2,21.68,21.2,21.6,46502
2024-02-20,21.44,21.68,21.44,21.68,23969
2024-02-21,21.68,22.24,21.68,22.08,34125
2024-02-22,22.16,22.48,22.08,22.4,47600
2024-02-23,22.4,22.52,22.08,22.36,60468
2024-02-26,22.48,22.6,22.32,22.56,46612
2024-02-27,22.8,22.88,22.56,22.8,21310
2024-02-28,22.8,22.88,22.8,22.88,19769
2024-02-29,23.44,23.44,23.04,23.24,23303
2024-03-01,22.88,23.36,22.88,23.36,73862
2024-03-04,23.48,23.6,23.28,23.36,32921
2024-03-05,23.36,23.44,23.28,23.36,24034
2024-03-06,23.36,23.44,23.28,23.36,51139
2024-03-07,23.52,23.84,23.52,23.68,22150
2024-03-08,23.68,23.68,23.52,23.52,11533
2024-03-11,23.52,23.64,23.52,23.52,20613
2024-03-12,23.6,23.6,23.48,23.52,7457
2024-03-13,23.52,23.6,23.36,23.6,65659
2024-03-14,23.4,23.6,23.4,23.6,76001
2024-03-15,23.44,23.68,23.44,23.68,22857
2024-03-18,23.68,23.68,23.52,23.52,20200
2024-03-19,23.28,23.68,23.28,23.68,15202
2024-03-20,23.84,24.09,23.56,23.8,2433
2024-03-21,23.8,23.84,23.64,23.84,9813
2024-03-22,23.68,23.76,23.64,23.76,25100
2024-03-25,23.28,23.84,23.28,23.68,12273
2024-03-26,23.52,23.68,23.2,23.64,75952
2024-03-27,23.28,23.64,23.28,23.6,926
2024-03-28,23.6,23.6,23.36,23.56,8309
2024-03-29,23.36,23.68,23.36,23.68,22225
2024-04-01,23.68,23.76,23.6,23.76,47400
2024-04-02,23.68,24.09,23.68,23.84,23903
2024-04-03,23.84,23.92,23.84,23.92,17041
2024-04-04,24.01,24.05,23.36,23.84,13764
2024-04-05,23.84,24.05,23.36,24.01,10099
2024-04-08,24.01,24.01,23.68,23.88,3306
2024-04-09,23.88,23.88,23.68,23.8,17930
2024-04-10,23.8,23.92,23.8,23.84,17611
2024-04-11,23.84,23.92,23.84,23.92,44898
2024-04-12,23.92,24.21,23.92,24.17,18203
2024-04-15,24.29,24.29,23.84,24.05,8754
2024-04-16,23.84,23.96,23.68,23.96,11000
2024-04-17,23.68,23.76,23.68,23.76,69906
2024-04-19,23.52,23.92,23.36,23.84,30644
2024-04-22,23.68,23.84,23.6,23.84,22545
2024-04-23,23.84,23.88,23.64,23.84,75104
2024-04-24,23.84,23.84,23.72,23.72,31050
2024-04-25,23.68,23.72,23.48,23.72,9499
2024-04-26,23.76,23.84,23.76,23.76,5802
2024-05-02,23.92,24.05,23.8,23.84,7000
2024-05-03,24.17,24.17,23.88,24.09,23700
2024-05-06,24.09,24.49,24.09,24.37,10808
2024-05-07,24.37,24.37,24.33,24.37,24528
2024-05-08,24.33,24.65,24.33,24.65,22455
2024-05-09,24.41,24.85,24.41,24.85,13901
2024-05-10,24.81,25.69,24.81,25.69,38014
2024-05-13,25.69,25.85,25.45,25.85,6775
2024-05-14,25.69,26.49,25.69,26.13,34763
2024-05-15,26.13,26.57,26.13,26.57,13060
2024-05-16,26.57,26.57,26.33,26.49,18070
2024-05-17,26.57,26.65,26.49,26.65,81604
2024-05-20,26.81,26.9,26.65,26.81,13897
2024-05-21,26.98,27.06,26.9,27.06,18100
2024-05-22,26.94,27.3,26.94,27.14,13159
2024-05-23,27.26,27.3,27.06,27.18,7257
2024-05-24,26.17,27.46,26.17,27.26,22485
2024-05-27,27.3,27.62,27.3,27.62,30001
2024-05-28,27.78,27.86,27.7,27.78,17813
2024-05-29,27.74,27.86,27.46,27.78,30300
2024-05-30,27.86,27.86,27.54,27.78,33612
2024-05-31,27.5,27.9,27.5,27.9,18209
2024-06-03,27.7,28.02,27.7,28.02,34700
2024-06-04,28.02,28.26,27.94,28.1,45834
2024-06-05,28.1,28.18,27.94,28.18,7834
2024-06-06,28.18,28.34,28.18,28.34,13400
2024-06-07,28.18,28.34,28.1,28.26,14921
2024-06-10,27.7,28.26,27.7,27.9,39436
2024-06-11,27.9,28.02,27.54,27.62,41578
2024-06-12,27.62,27.62,27.34,27.62,32279
2024-06-13,27.62,27.94,27.54,27.58,5919
2024-06-14,27.5,27.74,27.5,27.66,10442
2024-06-17,27.46,27.7,27.46,27.46,35852
2024-06-18,27.46,27.62,27.34,27.62,7310
2024-06-19,27.62,27.62,27.38,27.62,3500
2024-06-20,27.46,27.62,27.46,27.54,22701
2024-06-21,27.3,27.46,27.3,27.46,32021
2024-06-24,27.46,27.46,26.81,26.9,49400
2024-06-25,26.49,26.81,26.49,26.81,32305
2024-06-26,26.57,26.81,26.57,26.77,19700
2024-06-27,26.73,27.18,26.73,27.06,4421
2024-06-28,27.06,27.66,27.06,27.66,9731
2024-07-01,27.66,27.66,27.3,27.58,3149
2024-07-02,27.66,27.66,27.3,27.34,9222
2024-07-03,27.34,27.7,27.3,27.7,17019
2024-07-04,27.7,27.7,27.7,27.7,1046
2024-07-05,27.86,27.86,27.54,27.78,12300
2024-07-08,27.78,27.94,27.7,27.86,48700
2024-07-09,27.94,28.1,27.78,28.02,29628
2024-07-10,27.74,28.1,27.74,28.1,9772
2024-07-11,28.02,28.14,27.98,28.14,43000
2024-07-12,28.1,28.1,27.9,28.02,27172
2024-07-15,28.26,28.26,27.3,28.22,20846
2024-07-16,28.22,28.34,27.98,28.34,9727
2024-07-17,28.38,28.38,27.94,28.18,37402
2024-07-18,28.1,28.18,28.02,28.18,33880
2024-07-19,28.26,28.26,28.06,28.14,11922
2024-07-22,28.14,28.14,28.02,28.14,8602
2024-07-23,28.1,28.14,28.06,28.1,15476
2024-07-24,28.06,28.06,27.62,28.02,53173
2024-07-25,27.94,28.06,27.7,28.02,8505
2024-07-26,28.02,28.02,27.78,28.02,3220
2024-07-29,27.78,27.94,27.78,27.94,5775
2024-07-30,27.94,27.94,27.7,27.94,13199
2024-07-31,28.02,28.02,27.3,27.7,10403
2024-08-01,27.7,27.7,27.46,27.7,7637
2024-08-02,27.38,27.7,27.38,27.66,12830
2024-08-05,27.62,27.62,27.3,27.3,7201
2024-08-06,27.14,27.58,27.14,27.58,26706
2024-08-07,27.54,27.58,27.54,27.58,2900
2024-08-08,27.54,28.02,27.54,28.02,30037
2024-08-09,28.06,28.06,27.62,27.86,16803
2024-08-12,28.02,28.02,27.7,27.86,17532
2024-08-13,27.78,27.94,27.7,27.78,8901
2024-08-14,27.98,27.98,27.5,27.5,3200
2024-08-15,27.58,27.74,27.58,27.7,6154
2024-08-16,27.78,27.86,27.7,27.7,10900
2024-08-19,27.94,28.1,27.94,28.02,8708
2024-08-20,28.1,28.1,27.7,27.86,50311
2024-08-21,27.86,27.94,27.82,27.94,8386
2024-08-22,27.9,27.9,27.7,27.82,9300
2024-08-23,27.7,27.82,27.7,27.82,9739
2024-08-26,27.82,28.1,27.82,28.1,40542
2024-08-27,28.06,28.06,27.98,27.98,4514
2024-08-28,27.98,28.1,27.98,28.1,35213
2024-08-29,27.86,28.1,27.82,28.1,9302
2024-08-30,28.1,28.1,28.02,28.1,36949
2024-09-04,28.18,28.69,28.18,28.56,33001
2024-09-05,28.56,28.65,28.1,28.56,8548
2024-09-06,28.56,28.56,28.4,28.56,13400
2024-09-09,28.56,28.56,28.4,28.4,32567
2024-09-10,28.4,28.4,28.18,28.27,67311
2024-09-11,28.27,28.27,27.85,28.18,24901
2024-09-12,28.18,28.18,27.93,28.02,3619
2024-09-13,28.02,28.02,27.93,28.02,11901
2024-09-16,28.35,28.35,27.43,27.59,38400
2024-09-17,27.59,27.64,27.51,27.55,96931
2024-09-18,27.55,27.85,27.55,27.85,25507
2024-09-19,27.51,27.68,27.51,27.68,50201
2024-09-20,28.52,28.52,27.68,27.72,19505
2024-09-23,27.85,27.85,27.85,27.85,11726
2024-09-24,27.85,27.93,27.85,27.85,29934
2024-09-25,27.85,28.1,27.85,27.93,30730
2024-09-26,28.18,28.18,27.85,27.85,7621
2024-09-27,27.68,27.85,27.43,27.85,33635
2024-09-30,28.02,28.02,27.55,27.55,1467
2024-10-01,27.59,27.85,27.55,27.55,4571
2024-10-02,27.59,27.59,27.43,27.43,14211
2024-10-03,27.55,27.59,27.51,27.59,16398
2024-10-04,27.59,27.59,27.59,27.59,4076
2024-10-07,27.59,27.89,27.59,27.76,9200
2024-10-08,27.68,27.68,27.55,27.68,14342
2024-10-09,27.59,27.59,27.59,27.59,203
2024-10-10,27.59,27.68,27.59,27.68,26243
2024-10-11,27.59,27.68,27.51,27.68,8558
2024-10-14,27.72,27.85,27.59,27.72,19900
2024-10-15,27.72,27.76,27.68,27.68,23914
2024-10-16,27.72,27.85,27.64,27.68,18300
2024-10-17,27.68,27.68,27.59,27.68,17400
2024-10-18,27.68,27.76,27.68,27.68,5700
2024-10-21,27.85,27.85,27.64,27.85,48810
2024-10-22,27.76,27.85,27.76,27.8,16800
2024-10-23,27.76,27.8,27.76,27.8,8300
2024-10-24,27.85,27.85,27.72,27.76,11216
2024-10-25,27.76,27.76,27.76,27.76,5000
2024-10-28,27.64,27.76,27.64,27.72,44104
2024-10-29,27.72,27.76,27.72,27.76,2604
2024-10-30,27.59,27.85,27.59,27.76,13314
2024-10-31,27.8,27.85,27.76,27.8,5600
2024-11-01,27.85,27.93,27.76,27.93,17701
2024-11-04,27.93,28.27,27.93,28.1,12700
2024-11-05,28.27,28.44,28.18,28.44,34403
2024-11-06,28.44,28.44,28.44,28.44,6135
2024-11-07,28.44,28.44,28.35,28.35,2800
2024-11-08,28.02,28.44,27.93,28.18,10723
2024-11-11,28.02,28.18,27.89,28.18,2184
2024-11-12,27.93,27.93,27.89,27.89,7900
2024-11-13,27.85,28.23,27.85,28.18,15103
2024-11-14,27.93,28.14,27.85,28.14,46902
2024-11-15,27.76,28.27,27.76,28.02,15700
