date,open,high,low,close,volume
2023-07-05,3.2,3.3,3.2,3.3,404
2023-07-06,3.1,3.2,3.1,3.1,23500
2023-07-07,3.1,3.2,3.1,3.2,3500
2023-07-10,3.3,3.5,3.2,3.5,4500
2023-07-11,3.6,3.7,3.6,3.7,19600
2023-07-12,4.0,4.0,3.9,3.9,710
2023-07-13,3.6,3.6,3.4,3.4,4200
2023-07-14,3.9,3.9,3.4,3.4,9600
2023-07-17,3.4,3.4,3.4,3.4,8300
2023-07-18,3.7,3.7,3.4,3.4,2010
2023-07-19,3.5,3.5,3.4,3.4,3500
2023-07-20,3.5,3.5,3.4,3.5,8211
2023-07-21,3.4,3.4,3.4,3.4,0
2023-07-24,3.4,3.4,3.4,3.4,1000
2023-07-25,3.4,3.4,3.4,3.4,2500
2023-07-26,3.6,3.6,3.5,3.5,2000
2023-07-27,3.5,3.9,3.5,3.7,2700
2023-07-28,3.6,3.7,3.6,3.7,3800
2023-07-31,3.4,3.4,3.3,3.3,1405
2023-08-01,3.7,3.7,3.3,3.3,4507
2023-08-02,3.5,3.5,3.5,3.5,0
2023-08-03,3.5,3.5,3.5,3.5,200
2023-08-04,3.3,3.3,3.2,3.2,4900
2023-08-07,3.2,3.2,3.2,3.2,4201
2023-08-08,3.2,3.3,3.2,3.3,4200
2023-08-09,3.7,3.7,3.5,3.7,20703
2023-08-10,3.7,3.9,3.2,3.5,2304
2023-08-11,3.5,3.5,3.5,3.5,2512
2023-08-14,3.5,3.5,3.4,3.5,6820
2023-08-15,3.7,3.7,3.4,3.4,4700
2023-08-16,3.5,3.6,3.5,3.6,1900
2023-08-17,3.7,3.7,3.6,3.6,377
2023-08-18,3.6,3.6,3.5,3.5,1300
2023-08-21,3.5,3.5,3.2,3.2,500
2023-08-22,3.3,3.3,3.3,3.3,1800
2023-08-23,3.3,3.3,3.0,3.0,1200
2023-08-24,3.5,3.5,3.5,3.5,627
2023-08-25,3.5,3.5,3.5,3.5,0
2023-08-28,3.5,3.5,3.5,3.5,4
2023-08-29,3.0,3.4,3.0,3.4,900
2023-08-30,3.0,3.2,3.0,3.2,1301
2023-08-31,3.1,3.1,3.1,3.1,0
2023-09-05,3.5,3.5,3.4,3.5,1900
2023-09-06,3.5,3.5,3.5,3.5,2000
2023-09-07,3.5,3.5,3.5,3.5,200
2023-09-08,3.1,3.1,3.1,3.1,300
2023-09-11,3.1,3.1,3.0,3.0,1100
2023-09-12,3.0,3.2,3.0,3.0,3200
2023-09-13,3.4,3.4,3.4,3.4,600
2023-09-14,3.3,3.3,3.1,3.1,2200
2023-09-15,3.1,3.2,3.1,3.2,4600
2023-09-18,3.2,3.2,3.0,3.0,2945
2023-09-19,3.0,3.4,3.0,3.4,2543
2023-09-20,3.5,3.5,3.2,3.2,2211
2023-09-21,3.4,3.4,3.4,3.4,0
2023-09-22,3.1,3.2,3.1,3.2,1800
2023-09-25,3.1,3.1,3.0,3.0,2200
2023-09-26,3.1,3.1,3.1,3.1,1400
2023-09-27,3.1,3.2,3.1,3.2,300
2023-09-28,3.0,3.3,3.0,3.3,700
2023-09-29,3.1,3.1,3.1,3.1,0
2023-10-02,3.1,3.3,3.1,3.3,700
2023-10-03,3.2,3.2,3.2,3.2,0
2023-10-04,3.2,3.2,3.2,3.2,0
2023-10-05,3.2,3.2,3.2,3.2,0
2023-10-06,3.0,3.0,3.0,3.0,2500
2023-10-09,3.0,3.0,3.0,3.0,0
2023-10-10,3.0,3.0,3.0,3.0,700
