date,open,high,low,close,volume
2024-01-30,24.82,24.82,24.82,24.82,100
2024-01-31,24.82,24.82,24.82,24.82,0
2024-02-01,24.82,24.82,24.82,24.82,0
2024-02-02,21.16,21.16,21.16,21.16,3600
2024-02-05,21.16,21.16,21.16,21.16,0
2024-02-06,21.16,21.16,21.16,21.16,0
2024-02-07,21.16,21.16,21.16,21.16,0
2024-02-15,21.16,21.16,21.16,21.16,0
2024-02-16,21.16,21.16,21.16,21.16,0
2024-02-19,21.16,21.16,21.16,21.16,0
2024-02-20,21.16,21.16,21.16,21.16,0
2024-02-21,21.16,21.16,21.16,21.16,0
2024-02-22,21.16,21.16,21.16,21.16,0
2024-02-23,21.16,21.16,21.16,21.16,0
2024-02-26,21.16,21.16,21.16,21.16,0
2024-02-27,21.16,21.16,21.16,21.16,0
2024-02-28,21.16,21.16,21.16,21.16,0
2024-02-29,21.16,21.16,21.16,21.16,0
2024-03-01,21.16,21.16,21.16,21.16,0
2024-03-04,21.16,21.16,21.16,21.16,0
2024-03-05,21.16,21.16,21.16,21.16,0
2024-03-06,21.16,21.16,21.16,21.16,0
2024-03-07,21.16,21.16,21.16,21.16,0
2024-03-08,21.16,21.16,21.16,21.16,0
2024-03-11,21.16,21.16,21.16,21.16,0
2024-03-12,21.16,21.16,21.16,21.16,0
2024-03-13,21.16,21.16,21.16,21.16,0
2024-03-14,21.16,21.16,21.16,21.16,0
2024-03-15,21.16,21.16,21.16,21.16,0
2024-03-18,21.16,21.16,21.16,21.16,0
2024-03-19,21.16,21.16,21.16,21.16,0
2024-03-20,21.16,21.16,21.16,21.16,0
2024-03-21,21.16,21.16,21.16,21.16,0
2024-03-22,21.16,21.16,21.16,21.16,0
2024-03-25,21.16,21.16,21.16,21.16,0
2024-03-26,21.16,21.16,21.16,21.16,0
2024-03-27,21.16,21.16,21.16,21.16,0
2024-03-28,21.16,21.16,21.16,21.16,0
2024-03-29,21.16,21.16,21.16,21.16,0
2024-04-01,29.59,29.59,29.59,29.59,100
2024-04-02,33.96,33.96,33.96,33.96,217
2024-04-03,39.03,39.03,39.03,39.03,100
2024-04-04,39.03,39.03,39.03,39.03,400
2024-04-05,38.95,39.03,38.95,39.03,310
2024-04-08,39.81,44.73,39.81,44.73,771
2024-04-09,42.86,42.86,42.86,42.86,0
2024-04-10,43.72,49.18,43.72,49.18,900
2024-04-11,54.1,54.1,54.1,54.1,1500
2024-04-12,54.64,56.21,54.64,56.21,602
2024-04-15,46.76,46.76,46.76,46.76,100
2024-04-16,50.74,50.74,43.01,50.74,3100
2024-04-17,48.01,48.01,48.01,48.01,0
2024-04-19,51.52,51.52,51.52,51.52,900
2024-04-22,51.52,51.52,51.52,51.52,0
2024-04-23,43.79,43.79,43.79,43.79,900
2024-04-24,43.79,43.79,43.79,43.79,0
2024-04-25,43.79,43.79,43.79,43.79,6
2024-04-26,48.01,48.01,48.01,48.01,707
2024-05-02,48.01,48.01,48.01,48.01,0
2024-05-03,40.91,40.91,40.91,40.91,703
2024-05-06,46.99,46.99,46.99,46.99,100
2024-05-07,48.4,48.4,48.4,48.4,501
2024-05-08,48.4,48.4,48.4,48.4,0
2024-05-09,43.01,43.01,43.01,43.01,500
