date,open,high,low,close,volume
2024-01-05,20.03,20.03,20.03,20.03,0
2024-01-08,20.11,20.79,20.11,20.79,500
2024-01-09,20.62,20.62,20.62,20.62,0
2024-01-10,20.62,20.62,20.62,20.62,800
2024-01-11,20.62,20.62,20.37,20.37,1200
2024-01-12,20.45,20.45,20.45,20.45,0
2024-01-15,20.11,20.11,20.11,20.11,1000
2024-01-16,20.11,20.11,20.11,20.11,0
2024-01-17,20.2,20.2,20.11,20.11,1700
2024-01-18,20.28,20.28,20.28,20.28,500
2024-01-19,20.28,20.28,20.28,20.28,0
2024-01-22,20.37,20.54,20.37,20.45,1500
2024-01-23,20.45,20.45,19.52,19.52,1200
2024-01-24,20.71,20.71,20.71,20.71,100
2024-01-25,20.71,20.71,20.71,20.71,0
2024-01-26,20.71,20.71,20.71,20.71,0
2024-01-29,20.79,20.79,20.79,20.79,1900
2024-01-30,22.15,22.15,22.15,22.15,100
2024-01-31,20.88,21.22,20.79,20.79,3800
2024-02-01,21.22,21.22,21.22,21.22,1000
2024-02-02,19.94,21.22,19.94,21.22,1200
2024-02-05,21.56,21.56,21.22,21.22,900
2024-02-06,21.39,21.39,21.39,21.39,104
2024-02-07,21.22,21.39,21.22,21.39,1100
2024-02-15,22.07,22.07,22.07,22.07,100
2024-02-16,22.07,22.07,22.07,22.07,0
2024-02-19,21.9,21.9,21.9,21.9,1300
2024-02-20,21.64,21.9,21.64,21.9,2300
2024-02-21,21.81,21.81,21.73,21.73,1300
2024-02-22,21.56,21.64,21.56,21.56,330
2024-02-23,21.56,21.56,21.56,21.56,0
2024-02-26,21.56,21.56,21.56,21.56,0
2024-02-27,21.39,21.39,21.22,21.22,700
2024-02-28,21.3,21.3,21.3,21.3,0
2024-02-29,21.3,21.3,21.3,21.3,2300
2024-03-01,21.3,21.3,21.22,21.22,2800
2024-03-04,21.3,21.3,21.3,21.3,20
2024-03-05,21.3,21.73,21.3,21.64,4442
2024-03-06,21.39,21.39,21.39,21.39,0
2024-03-07,21.39,21.73,21.39,21.56,1800
2024-03-08,21.56,21.56,21.56,21.56,110
2024-03-11,21.73,21.73,21.73,21.73,100
2024-03-12,21.73,21.73,21.73,21.73,0
2024-03-13,21.22,21.73,21.22,21.73,7200
2024-03-14,21.64,21.73,21.64,21.73,700
2024-03-15,21.64,21.64,21.64,21.64,500
2024-03-18,21.22,21.22,20.96,20.96,3600
2024-03-19,21.22,21.3,21.22,21.22,1000
2024-03-20,21.3,21.3,21.22,21.22,3800
2024-03-21,21.22,21.22,21.22,21.22,100
2024-03-22,21.22,21.22,21.22,21.22,100
2024-03-25,21.22,21.22,21.22,21.22,0
2024-03-26,21.22,21.22,21.22,21.22,0
2024-03-27,21.22,21.22,21.22,21.22,0
2024-03-28,21.22,21.22,21.22,21.22,0
2024-03-29,21.22,21.22,21.22,21.22,100
2024-04-01,21.22,21.22,21.22,21.22,1000
2024-04-02,21.22,21.22,21.22,21.22,0
2024-04-03,20.03,21.22,20.03,20.62,15700
2024-04-04,20.54,20.54,20.37,20.54,600
2024-04-05,20.54,20.54,20.11,20.37,8600
2024-04-08,20.2,20.2,20.03,20.03,2900
2024-04-09,20.11,20.11,20.11,20.11,500
2024-04-10,20.37,20.37,20.37,20.37,300
2024-04-11,20.37,20.37,20.37,20.37,100
2024-04-12,20.28,20.28,20.2,20.2,901
2024-04-15,20.37,20.37,20.28,20.37,2100
2024-04-16,19.52,19.86,19.52,19.52,7600
2024-04-17,18.67,19.77,18.67,19.52,2600
2024-04-19,19.52,19.94,19.52,19.94,2400
2024-04-22,19.94,19.94,19.94,19.94,200
2024-04-23,19.86,19.94,19.77,19.94,1900
2024-04-24,19.94,19.94,19.94,19.94,400
2024-04-25,19.94,19.94,19.94,19.94,100
2024-04-26,19.94,19.94,19.94,19.94,0
2024-05-02,19.94,19.94,19.94,19.94,0
2024-05-03,19.94,19.94,19.94,19.94,0
2024-05-06,19.94,19.94,19.94,19.94,0
2024-05-07,19.77,19.94,19.77,19.94,1100
2024-05-08,20.37,20.37,19.94,19.94,200
2024-05-09,20.2,20.2,20.2,20.2,0
2024-05-10,19.94,19.94,19.94,19.94,1100
2024-05-13,19.94,19.94,19.94,19.94,0
2024-05-14,19.94,19.94,19.94,19.94,2900
2024-05-15,19.94,19.94,19.94,19.94,100
2024-05-16,20.11,20.37,20.11,20.37,2200
2024-05-17,20.37,20.37,20.37,20.37,500
2024-05-20,20.37,20.37,20.37,20.37,0
2024-05-21,20.37,20.37,20.37,20.37,0
2024-05-22,20.37,20.37,20.37,20.37,0
2024-05-23,20.37,20.37,20.37,20.37,1800
2024-05-24,19.1,20.28,19.1,20.28,700
2024-05-27,20.37,20.37,20.37,20.37,100
2024-05-28,19.94,20.37,19.94,20.37,4500
2024-05-29,20.37,20.37,20.37,20.37,1700
2024-05-30,20.37,20.37,20.28,20.37,2402
2024-05-31,20.37,20.37,20.37,20.37,300
2024-06-03,20.37,20.37,20.37,20.37,100
2024-06-04,20.37,20.37,20.37,20.37,600
2024-06-05,22.49,22.49,22.49,22.49,100
2024-06-06,20.54,20.54,19.94,19.94,1801
2024-06-07,20.45,20.79,20.45,20.79,1100
2024-06-10,20.62,20.79,20.62,20.71,1700
2024-06-11,20.79,20.79,20.79,20.79,0
2024-06-12,21.64,21.64,20.79,20.79,201
2024-06-13,21.22,21.56,20.88,20.88,2100
2024-06-14,21.22,21.56,21.22,21.56,2000
2024-06-17,21.47,21.47,21.47,21.47,1113
2024-06-18,21.47,21.64,20.28,20.28,9200
2024-06-19,21.56,21.56,21.56,21.56,102
2024-06-20,21.56,21.56,21.56,21.56,0
2024-06-21,21.73,22.07,20.79,20.79,3900
2024-06-24,22.41,22.41,21.22,21.9,2510
2024-06-25,21.9,21.9,21.9,21.9,0
2024-06-26,21.81,21.9,20.37,20.37,1601
2024-06-27,21.47,21.47,21.47,21.47,0
2024-06-28,20.62,20.62,20.37,20.37,300
2024-07-01,20.37,20.62,20.2,20.45,2800
2024-07-02,20.37,20.37,20.03,20.37,4900
