date,open,high,low,close,volume
2023-10-31,66.09,66.09,66.09,66.09,0
2023-11-01,66.09,66.09,66.09,66.09,0
2023-11-02,66.09,66.09,66.09,66.09,200
2023-11-03,66.09,66.09,66.09,66.09,0
2023-11-06,66.09,66.09,66.09,66.09,0
2023-11-07,66.09,66.09,66.09,66.09,0
2023-11-08,66.09,66.09,66.09,66.09,0
2023-11-09,66.09,66.09,66.09,66.09,0
2023-11-10,66.09,66.09,66.09,66.09,0
2023-11-13,66.09,66.09,66.09,66.09,1
2023-11-14,66.09,66.09,66.09,66.09,0
2023-11-15,66.09,66.09,66.09,66.09,0
2023-11-16,66.09,66.09,66.09,66.09,0
2023-11-17,66.09,66.09,66.09,66.09,0
2023-11-20,61.37,64.2,61.37,64.2,1100
2023-11-21,61.37,61.37,61.37,61.37,501
2023-11-22,61.37,61.37,61.37,61.37,500
2023-11-23,61.37,61.37,61.37,61.37,0
2023-11-24,61.37,61.37,61.37,61.37,0
2023-11-27,61.37,61.37,61.37,61.37,0
2023-11-28,61.37,61.37,61.37,61.37,0
2023-11-29,61.37,61.37,52.21,52.4,1800
2023-11-30,60.33,60.33,60.33,60.33,0
2023-12-01,60.33,60.33,60.33,60.33,0
2023-12-04,60.33,60.33,60.33,60.33,0
2023-12-05,60.33,60.33,60.33,60.33,0
2023-12-06,60.33,60.33,60.33,60.33,0
2023-12-07,60.33,60.33,60.33,60.33,0
2023-12-08,60.33,60.33,60.33,60.33,0
2023-12-11,60.33,60.33,60.33,60.33,0
2023-12-12,60.33,60.33,60.33,60.33,0
2023-12-13,60.33,60.33,60.33,60.33,0
2023-12-14,60.33,60.33,60.33,60.33,0
2023-12-15,60.33,60.33,60.33,60.33,0
2023-12-18,60.33,60.33,60.33,60.33,0
2023-12-19,60.33,60.33,60.33,60.33,0
2023-12-20,60.33,60.33,60.33,60.33,0
2023-12-21,60.33,60.33,60.33,60.33,0
2023-12-22,60.33,60.33,60.33,60.33,0
2023-12-25,52.97,52.97,52.97,52.97,100
2023-12-26,60.9,60.9,60.9,60.9,101
2023-12-27,60.9,60.9,60.9,60.9,0
2023-12-28,60.9,60.9,60.9,60.9,0
2023-12-29,60.9,60.9,60.9,60.9,0
2024-01-02,60.9,60.9,60.9,60.9,1
2024-01-03,60.9,60.9,60.9,60.9,0
2024-01-04,69.87,69.96,69.87,69.96,5600
2024-01-05,73.65,73.65,73.65,73.65,901
2024-01-08,73.65,73.65,73.65,73.65,0
2024-01-09,73.65,73.65,62.6,62.6,301
2024-01-10,70.72,70.72,70.72,70.72,110
2024-01-11,73.65,75.53,61.09,61.09,1400
2024-01-12,73.65,73.65,69.68,69.68,600
2024-01-15,71.0,71.0,71.0,71.0,800
2024-01-16,71.0,75.53,71.0,75.53,19101
2024-01-17,73.08,73.08,73.08,73.08,0
2024-01-18,73.08,73.08,73.08,73.08,0
2024-01-19,73.08,73.08,73.08,73.08,0
2024-01-22,73.08,73.08,73.08,73.08,0
2024-01-23,73.08,73.08,73.08,73.08,0
2024-01-24,73.08,73.08,73.08,73.08,0
2024-01-25,73.08,73.08,73.08,73.08,0
2024-01-26,73.08,73.08,73.08,73.08,0
2024-01-29,73.08,73.08,73.08,73.08,1
2024-01-30,73.08,73.08,73.08,73.08,0
2024-01-31,73.08,73.08,73.08,73.08,5
2024-02-01,73.08,73.08,73.08,73.08,0
2024-02-02,73.08,73.08,73.08,73.08,0
2024-02-05,73.08,73.08,73.08,73.08,0
2024-02-06,73.08,73.08,73.08,73.08,0
2024-02-07,73.08,73.08,73.08,73.08,0
2024-02-15,73.08,73.08,73.08,73.08,0
2024-02-16,73.08,73.08,73.08,73.08,0
2024-02-19,73.08,73.08,73.08,73.08,1
2024-02-20,73.08,73.08,73.08,73.08,0
2024-02-21,73.08,73.08,73.08,73.08,0
2024-02-22,73.08,73.08,73.08,73.08,0
2024-02-23,73.08,73.08,73.08,73.08,0
2024-02-26,73.08,73.08,73.08,73.08,0
2024-02-27,73.08,73.08,73.08,73.08,0
2024-02-28,73.08,73.08,73.08,73.08,0
2024-02-29,73.08,73.08,73.08,73.08,0
2024-03-01,73.08,73.08,73.08,73.08,0
2024-03-04,73.08,73.08,73.08,73.08,0
2024-03-05,73.08,73.08,73.08,73.08,0
2024-03-06,73.08,73.08,73.08,73.08,0
2024-03-07,73.08,73.08,73.08,73.08,0
2024-03-08,73.08,73.08,73.08,73.08,0
2024-03-11,73.08,73.08,73.08,73.08,0
2024-03-12,73.08,73.08,73.08,73.08,0
2024-03-13,73.08,73.08,73.08,73.08,0
2024-03-14,73.08,73.08,73.08,73.08,0
2024-03-15,73.08,73.08,73.08,73.08,0
2024-03-18,73.08,73.08,73.08,73.08,0
2024-03-19,73.08,73.08,73.08,73.08,0
2024-03-20,73.08,73.08,73.08,73.08,0
2024-03-21,73.08,73.08,73.08,73.08,0
2024-03-22,73.08,73.08,73.08,73.08,0
2024-03-25,73.08,73.08,73.08,73.08,0
2024-03-26,73.08,73.08,73.08,73.08,0
2024-03-27,73.08,73.08,73.08,73.08,0
2024-03-28,73.08,73.08,73.08,73.08,0
2024-03-29,73.08,73.08,73.08,73.08,0
2024-04-01,73.08,73.08,73.08,73.08,0
2024-04-02,73.08,73.08,73.08,73.08,0
2024-04-03,73.08,73.08,73.08,73.08,0
2024-04-04,73.08,73.08,73.08,73.08,0
2024-04-05,73.08,73.08,73.08,73.08,0
2024-04-08,73.08,73.08,73.08,73.08,0
2024-04-09,73.08,73.08,73.08,73.08,0
2024-04-10,73.08,73.08,73.08,73.08,0
2024-04-11,73.08,73.08,73.08,73.08,0
2024-04-12,73.08,73.08,73.08,73.08,0
2024-04-15,73.08,73.08,73.08,73.08,0
2024-04-16,73.08,73.08,73.08,73.08,0
2024-04-17,73.08,73.08,73.08,73.08,0
2024-04-19,73.08,73.08,73.08,73.08,0
2024-04-22,73.08,73.08,73.08,73.08,0
2024-04-23,73.08,73.08,73.08,73.08,0
2024-04-24,73.08,73.08,73.08,73.08,0
2024-04-25,73.08,73.08,73.08,73.08,0
2024-04-26,73.08,73.08,73.08,73.08,0
2024-05-02,73.08,73.08,73.08,73.08,0
2024-05-03,73.08,73.08,73.08,73.08,0
2024-05-06,73.08,73.08,73.08,73.08,0
2024-05-07,73.08,73.08,73.08,73.08,0
2024-05-08,73.08,73.08,73.08,73.08,0
2024-05-09,73.08,73.08,73.08,73.08,0
2024-05-10,73.08,73.08,73.08,73.08,0
2024-05-13,73.08,73.08,73.08,73.08,0
2024-05-14,73.08,73.08,73.08,73.08,0
2024-05-15,73.08,73.08,73.08,73.08,0
2024-05-16,73.08,73.08,73.08,73.08,0
2024-05-17,73.08,73.08,73.08,73.08,100
2024-05-20,73.08,73.08,73.08,73.08,0
2024-05-21,73.08,73.08,73.08,73.08,101
2024-05-22,73.08,73.08,73.08,73.08,0
2024-05-23,73.08,73.08,73.08,73.08,42
2024-05-24,73.08,73.08,73.08,73.08,500
2024-05-27,73.08,73.08,73.08,73.08,0
2024-05-28,73.08,73.08,73.08,73.08,0
