date,open,high,low,close,volume
2024-01-30,17.7,17.7,17.4,17.5,183239
2024-01-31,17.5,17.5,17.0,17.0,272505
2024-02-01,16.8,16.8,15.3,15.3,514683
2024-02-02,15.3,16.5,15.1,15.6,177852
2024-02-05,15.6,15.6,15.0,15.1,109712
2024-02-06,15.1,15.8,15.0,15.6,113071
2024-02-07,15.3,16.9,15.3,16.6,183428
2024-02-15,16.6,17.3,16.6,17.0,204465
2024-02-16,17.0,17.5,16.8,16.9,122764
2024-02-19,16.9,17.3,16.2,16.7,145149
2024-02-20,16.7,16.9,16.0,16.5,126203
2024-02-21,16.7,16.7,16.0,16.2,139161
2024-02-22,16.2,16.4,15.9,16.1,113318
2024-02-23,16.1,16.9,16.1,16.2,289326
2024-02-26,16.2,16.3,16.0,16.1,76400
2024-02-27,16.0,16.2,15.7,16.0,203117
2024-02-28,16.0,16.2,15.8,15.9,140406
2024-02-29,16.0,17.0,15.9,16.4,261149
2024-03-01,16.3,16.4,16.1,16.3,112209
2024-03-04,16.3,16.5,16.1,16.3,182479
2024-03-05,16.2,16.4,16.1,16.2,85655
2024-03-06,16.2,16.3,16.1,16.3,103683
2024-03-07,16.4,16.5,16.1,16.2,148900
2024-03-08,16.2,16.4,16.0,16.1,172873
2024-03-11,16.1,16.6,16.0,16.1,183287
2024-03-12,16.2,16.5,16.1,16.5,178901
2024-03-13,16.7,18.1,16.7,18.1,437699
2024-03-14,19.0,19.9,18.7,19.3,1506428
2024-03-15,19.4,19.4,17.9,18.8,542595
2024-03-18,18.7,18.7,17.0,17.0,705297
2024-03-19,17.0,17.3,16.5,16.6,236819
2024-03-20,17.0,17.0,16.5,17.0,121717
2024-03-21,17.0,17.7,17.0,17.2,176208
2024-03-22,17.2,17.5,16.9,16.9,198143
2024-03-25,17.7,17.7,16.6,16.7,176371
2024-03-26,16.7,17.4,16.5,17.4,136604
2024-03-27,17.5,17.8,17.0,17.1,86839
2024-03-28,17.1,17.3,16.7,17.1,113853
2024-03-29,17.1,17.3,16.7,16.9,57010
2024-04-01,16.9,17.4,16.6,16.6,130455
2024-04-02,16.6,16.7,16.3,16.3,176302
2024-04-03,16.3,16.7,16.0,16.0,188350
2024-04-04,16.3,16.3,15.6,15.8,152740
2024-04-05,15.7,15.8,15.3,15.7,133808
2024-04-08,15.5,15.7,14.2,14.7,323097
2024-04-09,14.8,15.3,14.6,15.0,181389
2024-04-10,15.1,15.4,14.9,15.0,64560
2024-04-11,15.0,15.0,14.6,14.8,55359
2024-04-12,15.0,15.1,14.7,14.8,84003
2024-04-15,14.7,14.7,13.5,13.6,124678
2024-04-16,13.6,14.0,12.7,13.4,223601
2024-04-17,13.4,13.5,12.7,12.9,84972
2024-04-19,13.0,13.0,11.7,11.7,146600
2024-04-22,11.9,12.8,11.9,12.8,67413
2024-04-23,13.5,14.0,13.0,13.2,178283
2024-04-24,13.6,13.6,13.4,13.6,65471
2024-04-25,13.7,13.7,12.6,12.6,67022
2024-04-26,12.6,13.2,12.0,13.0,70101
2024-05-02,12.5,13.4,11.7,12.9,114110
2024-05-03,13.2,14.1,12.9,14.1,183687
2024-05-06,15.5,15.5,14.6,15.5,150499
2024-05-07,17.0,17.0,14.3,15.0,902320
2024-05-08,15.2,15.4,14.5,15.0,95305
2024-05-09,14.5,14.9,14.1,14.1,214808
2024-05-10,14.0,14.5,13.9,14.0,101580
2024-05-13,14.1,14.5,14.0,14.1,105907
2024-05-14,14.1,14.2,13.9,14.0,105169
2024-05-15,14.0,14.3,13.9,14.0,115527
2024-05-16,14.2,14.4,14.0,14.1,171689
2024-05-17,14.0,14.2,13.8,13.9,88050
2024-05-20,13.9,14.0,13.6,13.7,161959
2024-05-21,13.7,13.8,13.4,13.7,161119
2024-05-22,13.5,13.7,13.3,13.4,144158
2024-05-23,13.5,14.5,13.3,14.0,121359
2024-05-24,14.0,14.0,13.0,13.4,146111
2024-05-27,13.4,13.5,13.0,13.1,62310
2024-05-28,13.1,13.5,13.0,13.1,101713
2024-05-29,13.2,13.4,12.9,13.3,202754
2024-05-30,13.1,13.2,12.8,12.9,127859
2024-05-31,12.9,13.1,12.8,12.8,93728
2024-06-03,12.8,13.3,12.8,13.1,154796
2024-06-04,13.1,13.2,12.9,13.0,49930
2024-06-05,13.0,13.2,12.9,12.9,94740
2024-06-06,12.9,13.2,12.9,13.0,76150
2024-06-07,13.1,14.3,13.0,14.3,423541
2024-06-10,15.7,15.7,14.4,14.5,298107
2024-06-11,14.4,14.8,13.9,14.5,342070
2024-06-12,14.2,15.9,14.2,15.9,572635
2024-06-13,16.2,17.4,16.1,17.4,970825
2024-06-14,18.0,18.0,15.7,15.8,1291621
2024-06-17,16.0,17.3,15.8,17.3,367866
2024-06-18,18.0,18.6,17.7,18.1,780025
2024-06-19,18.0,18.2,16.6,17.6,475580
2024-06-20,17.6,17.7,17.1,17.6,201809
2024-06-21,17.6,18.9,16.9,18.8,598087
2024-06-24,18.8,19.4,17.8,18.9,361020
2024-06-25,18.9,18.9,17.9,18.5,169152
2024-06-26,18.6,18.6,17.7,18.3,206422
2024-06-27,18.0,18.8,17.8,18.3,235435
2024-06-28,18.0,18.4,17.8,17.8,181438
2024-07-01,17.8,18.1,17.6,17.9,190992
2024-07-02,17.9,18.2,17.6,17.6,113508
2024-07-03,18.0,18.8,17.6,18.8,255200
2024-07-04,18.8,20.6,18.8,20.6,1382171
2024-07-05,21.3,22.6,20.7,22.6,802662
2024-07-08,23.0,24.2,21.7,24.2,949311
2024-07-09,23.5,24.3,23.0,23.7,837547
2024-07-10,23.7,23.9,21.7,22.0,1007058
2024-07-11,22.0,23.1,21.2,22.8,831606
2024-07-12,22.8,22.9,21.8,22.9,513630
2024-07-15,22.3,22.7,21.3,21.4,540137
2024-07-16,21.3,21.9,21.0,21.2,201570
2024-07-17,21.6,21.6,19.1,19.1,790123
2024-07-18,18.8,19.8,18.3,19.1,513301
2024-07-19,19.2,19.2,17.9,18.6,284128
2024-07-22,18.2,18.6,16.9,17.4,569834
2024-07-23,17.4,17.6,15.7,15.7,444242
2024-07-24,15.7,17.2,15.7,17.1,411200
2024-07-25,17.2,17.4,16.6,17.1,105028
2024-07-26,17.1,17.2,16.6,17.1,162200
2024-07-29,17.1,18.1,16.8,17.8,206400
2024-07-30,17.8,17.8,16.6,17.5,180900
2024-07-31,17.5,17.5,16.0,17.0,179200
2024-08-01,16.5,17.1,15.6,16.3,166300
2024-08-02,16.3,17.9,16.3,17.9,366300
2024-08-05,18.7,19.6,18.0,19.2,910500
2024-08-06,20.0,20.0,17.9,18.6,436800
2024-08-07,18.9,20.4,17.5,20.4,467400
2024-08-08,18.4,18.4,18.4,18.4,610400
