date,open,high,low,close,volume
2022-11-28,10.0,10.0,10.0,10.0,0
2022-11-29,10.0,10.0,10.0,10.0,0
2022-11-30,10.0,10.0,10.0,10.0,0
2022-12-01,10.0,10.0,10.0,10.0,0
2022-12-02,10.0,10.0,10.0,10.0,0
2022-12-05,10.0,10.0,10.0,10.0,0
2022-12-06,10.0,10.0,10.0,10.0,0
2022-12-07,10.0,10.0,10.0,10.0,0
2022-12-08,10.0,10.0,10.0,10.0,0
2022-12-09,10.2,10.2,10.2,10.2,100
2022-12-12,10.2,10.2,10.2,10.2,0
2022-12-13,10.2,10.2,10.2,10.2,0
2022-12-14,10.2,10.2,10.2,10.2,0
2022-12-15,10.2,10.2,10.2,10.2,0
2022-12-16,10.2,10.2,10.2,10.2,0
2022-12-19,10.2,10.2,10.2,10.2,100
2022-12-20,10.2,10.2,10.2,10.2,0
2022-12-21,10.2,10.2,10.2,10.2,0
2022-12-22,10.2,10.2,10.2,10.2,0
2022-12-23,10.2,10.2,10.2,10.2,0
2022-12-26,10.0,11.7,10.0,11.7,14100
2022-12-27,11.2,11.2,11.2,11.2,0
2022-12-28,11.2,11.2,11.2,11.2,0
2022-12-29,11.2,11.2,11.2,11.2,0
2022-12-30,11.2,11.2,11.2,11.2,0
2023-01-03,11.2,11.2,11.2,11.2,0
2023-01-04,11.2,11.2,11.2,11.2,0
2023-01-05,11.2,11.2,11.2,11.2,0
2023-01-06,11.2,11.2,11.2,11.2,0
2023-01-09,11.2,11.2,11.2,11.2,0
2023-01-10,11.2,11.2,11.2,11.2,0
2023-01-11,11.2,11.2,11.2,11.2,0
2023-01-12,11.2,11.2,11.2,11.2,0
2023-01-13,11.2,11.2,11.2,11.2,0
2023-01-16,11.2,11.2,11.2,11.2,0
2023-01-17,11.2,11.2,11.2,11.2,0
2023-01-18,11.2,11.2,11.2,11.2,0
2023-01-19,11.2,11.2,11.2,11.2,0
2023-01-27,11.2,11.2,11.2,11.2,1
2023-01-30,11.2,11.2,11.2,11.2,0
2023-01-31,11.2,11.2,11.2,11.2,0
2023-02-01,11.2,11.2,11.2,11.2,0
2023-02-02,11.2,11.2,11.2,11.2,0
2023-02-03,11.2,11.2,11.2,11.2,0
2023-02-06,11.2,11.2,11.2,11.2,0
2023-02-07,11.2,11.2,11.2,11.2,0
2023-02-08,11.2,11.2,11.2,11.2,0
