date,open,high,low,close,volume
2025-10-10,31.09,31.09,31.09,31.09,92800
2025-10-13,33.23,33.23,33.23,33.23,39620
2025-10-14,35.53,35.53,35.53,35.53,77900
2025-10-15,37.97,37.97,37.97,37.97,12520
2025-10-16,40.61,40.61,40.56,40.56,115600
2025-10-17,38.86,40.86,38.46,40.76,73552
2025-10-20,40.86,40.86,37.92,37.92,12070
2025-10-21,35.28,35.53,35.28,35.28,12312
2025-10-22,32.88,35.23,32.88,33.58,62823
2025-10-23,32.14,35.18,31.69,35.18,33157
2025-10-24,35.18,36.87,35.18,35.38,22111
2025-10-27,36.82,36.82,32.98,33.23,9510
2025-10-28,30.99,34.88,30.99,34.53,5305
2025-10-29,34.63,35.58,34.63,35.58,4614
2025-10-30,35.28,35.28,33.23,34.88,6500
2025-10-31,35.38,35.38,32.44,32.44,5139
2025-11-03,33.43,33.43,30.64,33.33,911
2025-11-04,33.33,33.33,31.19,33.08,11900
2025-11-05,33.18,33.18,31.34,33.18,3711
2025-11-06,31.89,33.38,31.89,33.38,2700
2025-11-07,31.69,32.83,31.59,32.83,400
2025-11-10,31.09,32.69,30.89,32.64,1201
2025-11-11,30.69,32.69,30.39,32.64,46301
2025-11-12,30.89,32.69,30.79,32.69,1304
2025-11-13,30.89,32.49,30.89,32.39,721
2025-11-14,30.74,32.39,30.74,32.39,4091
2025-11-17,31.09,31.89,31.09,31.89,5600
2025-11-18,32.29,32.29,30.39,31.69,7755
2025-11-19,30.79,31.64,29.9,31.64,5903
2025-11-20,31.59,31.59,29.5,30.89,8230
2025-11-21,30.79,30.79,30.59,30.59,712
2025-11-24,29.5,30.79,29.4,30.59,1830
2025-11-25,30.59,30.64,30.54,30.54,4207
2025-11-26,31.69,31.69,29.05,30.64,1601
2025-11-27,30.39,30.49,30.39,30.49,300
2025-11-28,28.9,30.29,28.9,29.9,2800
2025-12-01,28.9,30.44,28.9,30.04,11800
2025-12-02,28.15,30.29,28.15,30.29,200
2025-12-03,30.29,30.29,28.4,30.19,6222
2025-12-04,30.19,30.19,30.19,30.19,1902
2025-12-05,32.15,32.15,29.05,30.3,2477
2025-12-08,30.3,30.3,30.3,30.3,21
2025-12-09,30.3,30.3,30.3,30.3,100
2025-12-10,30.3,30.3,30.3,30.3,0
2025-12-11,30.3,30.3,30.3,30.3,3
2025-12-12,28.3,30.3,28.2,29.0,1705
2025-12-15,30.9,30.9,27.3,29.95,1423
2025-12-16,28.5,29.95,28.5,29.95,2101
2025-12-17,28.15,30.0,28.15,30.0,4304
2025-12-18,29.0,29.0,29.0,29.0,100
2025-12-19,28.1,29.85,28.1,29.85,200
2025-12-22,29.85,29.85,29.85,29.85,500
2025-12-23,29.85,29.85,28.5,29.85,1000
2025-12-25,29.7,29.7,29.7,29.7,600
2025-12-26,28.6,29.5,27.85,29.5,3200
2025-12-29,28.05,28.9,27.55,28.9,5200
2025-12-30,29.3,29.3,29.3,29.3,100
2025-12-31,28.0,29.5,28.0,29.5,4200
2026-01-05,28.05,30.0,28.05,30.0,200
2026-01-06,28.4,30.0,28.1,30.0,3400
2026-01-07,29.95,29.95,29.95,29.95,400
2026-01-08,28.3,29.8,28.3,29.75,1000
2026-01-09,28.2,28.4,28.1,28.1,2300
2026-01-12,28.0,28.0,28.0,28.0,1300
2026-01-13,28.0,28.4,27.0,28.3,4200
2026-01-14,27.5,27.95,26.35,27.95,6500
2026-01-15,27.9,27.9,27.7,27.7,400
2026-01-16,27.7,28.0,26.1,27.7,9400
2026-01-19,27.7,27.7,27.7,27.7,600
2026-01-20,26.3,28.5,26.3,28.3,900
2026-01-22,27.0,28.5,27.0,28.35,2000
2026-01-26,27.95,27.95,27.95,27.95,100
2026-01-27,28.1,28.1,26.5,26.5,200
2026-01-28,26.9,26.9,26.9,26.9,100
2026-01-29,27.4,27.4,27.4,27.4,100
2026-01-30,26.0,27.2,25.7,27.15,1300
2026-02-02,27.5,27.5,27.5,27.5,100
2026-02-03,27.3,27.3,27.3,27.3,200
2026-02-04,25.6,27.1,25.55,27.0,600
2026-02-05,28.0,28.0,28.0,28.0,100
2026-02-06,26.1,27.2,26.1,27.2,600
2026-02-10,25.5,27.1,25.5,27.1,200
2026-02-11,27.0,28.95,27.0,28.95,2800
2026-02-12,28.95,30.9,28.95,29.9,900
2026-02-13,28.0,29.9,27.85,29.9,3400
2026-02-23,29.9,29.9,28.0,29.8,1400
2026-02-24,29.8,29.8,29.8,29.8,1100
2026-02-25,29.6,29.6,29.4,29.4,900
2026-02-26,28.0,29.4,28.0,29.4,200
2026-02-27,28.0,29.2,28.0,29.2,400
2026-03-02,28.85,28.85,28.85,28.85,100
2026-03-03,27.15,28.75,27.15,28.65,800
2026-03-04,26.75,28.5,26.7,28.3,2200
2026-03-05,26.45,28.15,26.45,28.1,1900
2026-03-06,27.75,27.75,27.75,27.75,100
2026-03-09,26.1,26.1,25.9,25.9,1300
2026-03-10,24.3,26.4,24.3,26.4,5300
2026-03-11,25.0,26.8,25.0,26.8,3500
2026-03-12,26.45,26.45,26.4,26.4,200
2026-03-13,26.4,26.4,26.4,26.4,0.0
2026-03-16,26.4,26.4,26.4,26.4,0.0
2026-03-17,25.0,26.0,25.0,26.0,300.0
2026-03-18,27.2,27.2,25.0,26.6,500.0
2026-03-19,25.0,26.0,25.0,25.75,1800.0
2026-03-20,25.5,25.5,25.5,25.5,800.0
2026-03-23,26.4,26.4,24.1,25.8,1200.0
2026-03-24,26.3,26.3,26.25,26.25,200.0
2026-03-25,26.05,26.2,26.05,26.2,700.0
2026-03-26,26.2,26.2,26.2,26.2,100.0
2026-03-27,26.15,27.0,25.1,27.0,2900.0
2026-03-30,27.0,27.5,26.8,27.5,600.0
2026-03-31,27.0,28.4,26.85,28.4,1600.0
2026-04-01,28.35,28.35,26.9,28.0,900.0
2026-04-02,28.0,28.0,28.0,28.0,0.0
2026-04-03,28.95,28.95,28.85,28.85,2300.0
2026-04-06,28.85,28.85,28.85,28.85,100.0
2026-04-07,28.85,28.85,28.85,28.85,0.0
2026-04-08,28.85,30.0,28.5,30.0,3500.0
2026-04-09,30.0,30.0,30.0,30.0,0.0
2026-04-10,29.55,29.55,29.55,29.55,500.0
2026-04-13,29.55,29.55,29.55,29.55,0.0
2026-04-14,29.55,29.55,29.55,29.55,0.0
2026-04-15,29.55,29.55,29.55,29.55,0.0
2026-04-16,27.5,29.3,27.5,29.3,200.0
2026-04-17,28.95,28.95,28.95,28.95,100.0
2026-04-20,28.35,28.35,28.35,28.35,100.0
2026-04-21,29.9,29.9,29.2,29.2,1100.0
2026-04-22,28.5,28.5,28.5,28.5,100.0
2026-04-23,28.0,28.0,28.0,28.0,100.0
2026-04-24,27.5,29.95,27.5,28.0,12500.0
2026-04-28,28.0,28.0,28.0,28.0,0.0
2026-04-29,28.0,28.0,28.0,28.0,0.0
