date,open,high,low,close,volume
2024-01-30,11.51,12.28,11.51,12.28,85523
2024-01-31,12.71,12.9,12.28,12.56,84085
2024-02-01,12.04,12.52,12.04,12.23,63051
2024-02-02,12.42,12.61,12.23,12.52,30998
2024-02-05,12.52,12.52,11.94,12.23,29636
2024-02-06,12.13,12.28,12.04,12.23,13582
2024-02-07,11.99,12.28,11.42,12.28,152400
2024-02-15,12.28,12.37,12.04,12.28,8596
2024-02-16,12.13,12.28,11.85,11.94,47021
2024-02-19,12.04,12.37,11.99,12.18,78694
2024-02-20,12.28,12.28,11.94,12.13,29109
2024-02-21,12.04,12.13,11.99,12.09,13800
2024-02-22,12.09,12.09,12.04,12.09,17918
2024-02-23,12.13,12.28,11.94,11.94,48846
2024-02-26,11.94,12.18,11.94,12.13,28371
2024-02-27,12.13,12.61,12.13,12.42,108598
2024-02-28,12.28,12.33,12.28,12.28,28715
2024-02-29,12.28,12.52,12.23,12.33,26455
2024-03-01,12.33,12.33,12.13,12.23,27016
2024-03-04,12.23,12.42,12.18,12.42,19835
2024-03-05,12.23,12.42,12.23,12.33,18133
2024-03-06,12.33,12.52,12.33,12.52,65045
2024-03-07,12.33,12.52,12.33,12.33,10559
2024-03-08,12.33,12.61,12.23,12.52,46911
2024-03-11,12.37,12.71,12.37,12.71,26900
2024-03-12,12.66,13.57,12.47,13.23,98432
2024-03-13,13.28,13.28,12.99,13.04,19611
2024-03-14,13.09,13.28,12.99,13.28,54756
2024-03-15,13.04,14.14,13.04,14.14,83517
2024-03-18,14.09,14.43,13.19,14.14,93290
2024-03-19,14.09,14.81,13.95,14.24,166190
2024-03-20,14.24,14.24,13.85,13.85,68243
2024-03-21,14.14,14.28,13.85,14.28,46236
2024-03-22,14.14,14.38,14.05,14.19,38443
2024-03-25,14.28,14.28,13.85,14.05,7607
2024-03-26,14.05,14.28,13.76,14.14,15470
2024-03-27,14.14,14.14,13.85,13.95,9813
2024-03-28,13.95,14.14,13.76,14.14,28268
2024-03-29,14.0,14.24,13.85,14.24,22125
2024-04-01,14.14,14.19,13.9,13.9,21304
2024-04-02,13.85,14.86,13.85,14.86,148038
2024-04-03,14.95,15.57,14.95,15.19,229063
2024-04-04,15.19,15.19,14.95,15.14,34828
2024-04-05,15.14,15.29,14.86,15.0,114488
2024-04-08,14.43,15.19,14.43,15.19,140452
2024-04-09,15.19,15.57,15.1,15.48,100800
2024-04-10,15.53,15.53,15.1,15.48,104842
2024-04-11,14.81,15.29,14.81,15.29,5766
2024-04-12,15.29,15.57,15.1,15.48,45140
2024-04-15,15.48,15.48,14.81,14.81,55093
2024-04-16,14.71,15.29,14.33,15.29,35300
2024-04-17,15.29,15.29,14.81,15.0,12205
2024-04-19,15.0,15.0,14.24,14.33,52200
2024-04-22,14.24,14.52,14.24,14.33,24515
2024-04-23,14.43,14.43,13.95,13.95,7004
2024-04-24,14.33,14.33,14.05,14.24,10501
2024-04-25,15.19,15.19,13.52,14.14,7911
2024-04-26,14.76,14.76,13.95,13.95,5700
2024-05-02,14.14,14.24,13.66,14.24,4614
2024-05-03,14.14,14.24,13.9,14.24,30318
2024-05-06,14.24,14.48,14.24,14.48,27916
2024-05-07,14.48,14.48,14.14,14.24,13283
2024-05-08,14.24,14.24,14.05,14.09,11000
2024-05-09,14.05,14.24,13.76,14.14,13153
2024-05-10,14.14,14.14,13.85,13.95,8650
2024-05-13,13.95,14.33,13.71,14.33,47610
2024-05-14,14.48,14.86,14.09,14.09,31000
2024-05-15,14.24,14.24,14.05,14.14,62500
2024-05-16,14.24,14.67,14.05,14.67,41721
2024-05-17,14.67,14.67,14.24,14.62,65300
2024-05-20,14.52,15.1,14.43,15.0,109702
2024-05-21,15.0,16.0,14.81,16.0,234389
2024-05-22,16.72,17.1,16.72,17.01,293117
2024-05-23,17.01,17.01,16.29,16.82,64508
2024-05-24,16.63,16.82,15.67,15.67,120745
2024-05-27,15.67,16.29,15.67,15.72,68845
2024-05-28,15.62,16.82,15.57,16.82,111107
2024-05-29,17.06,17.96,16.82,17.87,462476
2024-05-30,16.63,16.67,16.63,16.63,357211
2024-05-31,15.91,16.43,15.57,15.67,462827
2024-06-03,16.05,16.39,15.77,16.24,329763
2024-06-04,16.24,16.24,15.86,15.86,279155
2024-06-05,16.0,16.0,15.77,15.77,180900
2024-06-06,15.72,15.86,15.72,15.77,133869
2024-06-07,16.05,16.72,15.86,15.96,77393
2024-06-10,16.0,16.24,15.96,16.15,63966
2024-06-11,16.0,16.05,15.77,16.05,70624
2024-06-12,16.05,16.05,15.77,16.0,77243
2024-06-13,16.0,16.0,15.77,15.81,88653
2024-06-14,15.81,16.0,15.29,15.29,145602
2024-06-17,14.95,15.29,14.71,15.0,126200
2024-06-18,15.0,15.1,14.81,15.1,56765
2024-06-19,15.1,15.1,14.91,14.91,14502
2024-06-20,14.91,15.24,14.91,15.0,41748
2024-06-21,14.91,15.0,14.81,14.91,33301
2024-06-24,14.91,14.91,14.62,14.81,34720
2024-06-25,14.81,14.81,13.95,14.76,14550
2024-06-26,14.62,15.29,14.62,15.24,113796
2024-06-27,15.77,15.77,15.0,15.1,31986
2024-06-28,15.53,15.67,14.38,14.38,48744
2024-07-01,14.43,14.48,14.24,14.43,46476
2024-07-02,14.33,14.81,14.33,14.76,47400
2024-07-03,14.71,14.76,14.38,14.57,13527
2024-07-04,14.81,14.81,14.24,14.52,75828
