date,open,high,low,close,volume
2024-01-30,19.7,19.83,19.51,19.83,205960
2024-01-31,19.9,20.75,19.57,20.39,159213
2024-02-01,20.39,20.85,19.7,20.85,94038
2024-02-02,20.85,21.34,20.49,20.95,279796
2024-02-05,21.02,22.4,20.95,22.4,531438
2024-02-06,22.95,22.99,22.46,22.53,81836
2024-02-07,22.53,23.08,22.53,22.99,131327
2024-02-15,22.99,23.05,22.49,22.99,134592
2024-02-16,22.56,23.08,22.56,23.05,191110
2024-02-19,23.02,23.05,22.99,22.99,93240
2024-02-20,22.59,23.02,22.59,22.99,108832
2024-02-21,22.95,22.99,22.66,22.99,62456
2024-02-22,22.69,23.05,22.69,22.82,37878
2024-02-23,23.08,23.51,22.85,23.12,60410
2024-02-26,22.99,23.05,22.79,22.79,137829
2024-02-27,22.79,23.31,22.79,23.05,54565
2024-02-28,22.99,23.31,22.92,23.28,60727
2024-02-29,23.25,23.28,22.99,23.25,44040
2024-03-01,23.35,23.38,23.12,23.35,110628
2024-03-04,23.45,23.45,23.12,23.18,47128
2024-03-05,23.45,23.45,23.18,23.31,45890
2024-03-06,23.18,23.31,22.99,23.08,48834
2024-03-07,23.08,23.45,23.08,23.45,60076
2024-03-08,23.45,23.71,23.12,23.45,83620
2024-03-11,23.45,24.56,23.45,23.77,122323
2024-03-12,24.17,24.96,24.14,24.2,53401
2024-03-13,24.2,24.63,24.2,24.33,50452
2024-03-14,24.96,24.96,23.97,23.97,67461
2024-03-15,24.1,24.1,23.51,23.64,49378
2024-03-18,23.51,23.71,22.99,23.61,37886
2024-03-19,23.64,24.23,23.64,23.97,45100
2024-03-20,25.65,25.65,25.48,25.65,212958
2024-03-21,27.42,27.42,27.32,27.42,110299
2024-03-22,29.32,29.32,27.42,27.78,113046
2024-03-25,26.99,27.65,26.66,27.26,144523
2024-03-26,29.16,29.16,29.13,29.16,331334
2024-03-27,31.13,31.13,29.46,29.46,176043
2024-03-28,29.46,29.75,28.9,29.06,82480
2024-03-29,29.06,29.55,28.9,28.96,45784
2024-04-01,28.96,29.03,28.17,28.24,70730
2024-04-02,28.24,28.6,27.91,28.24,64228
2024-04-03,28.24,28.5,28.04,28.11,16443
2024-04-04,28.24,28.9,28.11,28.77,52175
2024-04-05,28.57,28.63,28.24,28.57,27472
2024-04-08,28.57,28.7,28.24,28.27,52870
2024-04-09,28.27,28.34,28.04,28.17,48875
2024-04-10,28.31,28.63,28.24,28.57,55724
2024-04-11,28.24,28.54,28.17,28.34,66104
2024-04-12,28.34,28.54,28.21,28.5,38047
2024-04-15,28.5,30.21,28.11,28.11,80233
2024-04-16,28.24,29.29,28.11,28.57,48203
2024-04-17,28.77,29.55,28.63,28.8,36819
2024-04-19,28.7,28.7,27.48,27.98,66893
2024-04-22,27.71,28.11,27.71,27.91,38427
2024-04-23,27.78,28.24,27.78,27.78,24710
2024-04-24,28.17,28.44,27.98,28.34,44014
2024-04-25,28.17,28.44,28.04,28.11,12541
2024-04-26,28.17,28.17,27.98,28.11,16510
2024-05-02,28.11,28.57,28.11,28.57,22909
2024-05-03,28.4,29.09,28.4,28.83,49206
2024-05-06,29.42,29.55,29.03,29.23,58100
2024-05-07,29.52,29.52,28.9,29.09,37681
2024-05-08,29.19,29.19,28.9,29.13,38600
2024-05-09,28.96,29.13,28.9,28.96,38156
2024-05-10,29.13,30.14,28.9,29.88,112652
2024-05-13,30.24,30.87,30.21,30.51,104633
2024-05-14,30.47,30.57,29.85,30.01,44557
2024-05-15,30.34,30.34,29.32,29.59,150426
2024-05-16,29.62,29.62,29.29,29.29,55550
2024-05-17,29.29,29.88,29.29,29.85,45990
2024-05-20,29.85,29.88,29.49,29.88,29604
2024-05-21,29.55,29.88,29.55,29.68,23401
2024-05-22,29.62,29.75,29.13,29.13,53070
2024-05-23,29.26,29.49,29.09,29.29,16463
2024-05-24,29.23,29.49,29.06,29.06,61428
2024-05-27,29.06,30.54,28.93,30.08,48853
2024-05-28,29.65,30.6,29.65,29.88,20040
2024-05-29,29.75,30.54,29.75,30.21,231441
2024-05-30,29.95,31.52,29.95,31.46,157878
2024-05-31,31.59,31.92,30.34,31.2,111563
2024-06-03,31.2,31.52,30.74,30.9,41364
2024-06-04,31.2,31.2,30.67,30.9,92435
2024-06-05,30.97,31.13,30.87,30.87,66692
2024-06-06,30.8,31.0,30.7,30.97,19044
2024-06-07,31.2,31.52,30.74,31.26,32314
2024-06-10,30.74,31.49,30.74,30.74,43304
2024-06-11,30.77,31.03,30.74,30.77,26312
2024-06-12,30.9,30.9,30.77,30.77,38090
2024-06-13,30.87,31.06,30.83,30.93,26079
2024-06-14,30.93,31.2,30.8,31.13,31151
2024-06-17,31.16,32.48,30.93,31.59,105769
2024-06-18,31.85,31.85,31.2,31.62,27704
2024-06-19,31.85,31.85,31.56,31.62,34100
2024-06-20,31.85,32.18,31.52,32.02,106381
2024-06-21,32.11,32.11,32.02,32.05,19271
2024-06-24,32.31,32.41,31.59,31.92,80303
2024-06-25,31.85,32.18,31.62,31.98,19553
2024-06-26,32.05,32.05,31.72,31.98,31509
2024-06-27,31.89,31.98,31.72,31.92,32920
2024-06-28,31.89,32.15,31.79,31.92,32028
2024-07-01,31.85,32.05,31.82,31.89,22341
2024-07-02,32.11,32.11,31.79,31.98,61030
2024-07-03,32.08,32.08,31.85,32.05,15423
2024-07-04,31.95,32.05,31.79,31.85,24903
2024-07-05,31.85,31.85,31.72,31.79,18001
2024-07-08,31.66,32.18,31.66,32.15,22358
2024-07-09,32.15,32.18,31.79,31.95,72900
2024-07-10,31.66,31.95,31.66,31.85,48401
2024-07-11,31.72,31.85,31.69,31.85,17041
2024-07-12,31.85,31.92,31.69,31.85,35815
2024-07-15,31.79,31.92,31.75,31.92,24742
2024-07-16,31.92,32.18,31.69,31.79,23347
2024-07-17,31.85,32.11,30.28,30.87,145711
2024-07-18,30.74,31.16,29.95,30.41,53700
2024-07-19,30.14,30.83,30.14,30.8,40455
2024-07-22,30.67,30.74,30.24,30.6,29005
2024-07-23,30.34,30.41,29.95,29.95,36901
2024-07-24,29.88,30.08,29.68,30.08,11700
2024-07-25,30.08,30.21,29.52,29.55,11720
2024-07-26,29.29,29.55,29.03,29.49,13303
2024-07-29,29.23,29.23,28.67,28.9,43099
2024-07-30,28.27,28.86,26.99,28.77,13454
2024-07-31,27.65,28.9,27.65,28.27,10636
2024-08-01,27.32,28.21,26.34,26.8,128303
2024-08-02,25.55,26.27,25.55,26.27,28042
2024-08-05,24.96,25.71,24.96,25.61,35434
2024-08-06,25.09,26.04,24.66,25.94,37604
2024-08-07,25.74,26.01,25.09,25.88,20100
2024-08-08,25.84,25.84,25.61,25.78,6704
2024-08-09,25.78,27.32,25.78,26.99,9538
2024-08-12,27.06,27.35,27.06,27.35,13105
2024-08-13,27.06,27.39,27.03,27.39,4003
2024-08-14,26.93,27.06,25.61,25.94,42423
2024-08-15,27.06,27.06,25.48,26.27,13939
2024-08-16,25.61,26.27,25.25,26.27,28776
2024-08-19,26.83,26.83,25.94,26.14,14836
2024-08-20,25.68,26.6,25.68,26.24,38827
2024-08-21,26.2,26.93,26.2,26.47,159501
2024-08-22,26.47,26.86,26.34,26.5,46000
2024-08-23,26.34,26.6,26.24,26.37,48015
2024-08-26,26.34,26.34,25.91,26.11,43600
2024-08-27,26.01,26.14,25.97,26.14,8105
2024-08-28,25.97,26.14,25.94,26.04,17307
2024-08-29,26.04,26.24,26.04,26.24,11807
2024-08-30,26.86,26.86,26.14,26.34,28100
2024-09-04,26.2,26.57,26.2,26.37,58900
2024-09-05,26.37,26.4,26.27,26.34,31501
2024-09-06,26.43,26.43,26.3,26.34,58600
2024-09-09,26.3,26.53,26.27,26.53,37418
2024-09-10,27.06,27.06,26.2,26.2,45702
2024-09-11,26.27,26.4,26.17,26.4,5500
2024-09-12,26.4,26.4,26.2,26.27,36403
2024-09-13,26.27,26.27,26.17,26.27,37413
2024-09-16,26.53,27.71,26.47,27.65,175594
2024-09-17,27.68,27.71,27.52,27.71,47444
2024-09-18,27.65,28.24,27.65,27.91,59825
2024-09-19,27.91,27.91,27.58,27.68,25424
2024-09-20,28.01,28.11,27.78,27.78,58713
2024-09-23,27.88,28.17,27.78,27.88,23630
2024-09-24,28.47,28.57,28.08,28.57,59611
2024-09-25,28.57,29.55,28.57,29.19,39100
2024-09-26,29.39,29.42,29.16,29.36,42041
2024-09-27,29.55,30.87,29.42,30.54,135533
2024-09-30,29.88,32.64,29.88,32.38,374240
2024-10-01,32.64,32.77,32.08,32.08,142397
2024-10-02,32.18,32.28,30.87,31.26,242700
2024-10-03,31.33,31.85,31.2,31.59,296266
2024-10-04,31.82,32.51,31.72,31.72,280403
2024-10-07,31.98,31.98,31.59,31.66,254529
2024-10-08,31.66,31.66,29.59,29.59,435870
2024-10-09,29.68,30.21,29.49,30.05,267810
2024-10-10,30.08,30.21,29.42,30.01,883604
2024-10-11,29.61,30.66,29.32,29.81,209671
2024-10-14,29.61,29.69,28.27,28.8,290414
2024-10-15,27.91,28.8,27.09,27.26,186388
2024-10-16,27.22,27.82,27.18,27.5,79808
2024-10-17,27.5,27.5,26.69,27.26,76655
2024-10-18,27.18,27.26,26.77,26.77,63472
2024-10-21,26.77,26.93,26.61,26.77,43978
2024-10-22,27.18,27.18,26.24,26.28,42032
2024-10-23,26.77,26.77,25.55,26.32,48826
2024-10-24,25.88,26.61,25.84,25.84,36420
