date,open,high,low,close,volume
2024-01-30,15.96,15.96,15.96,15.96,100
2024-01-31,15.96,16.2,15.96,16.2,1000
2024-02-01,16.2,16.2,16.2,16.2,0
2024-02-02,16.2,16.2,16.2,16.2,0
2024-02-05,15.07,15.39,15.07,15.39,1402
2024-02-06,15.39,15.39,15.39,15.39,0
2024-02-07,15.39,15.39,15.39,15.39,100
2024-02-15,15.39,15.39,15.39,15.39,0
2024-02-16,15.39,15.39,15.39,15.39,0
2024-02-19,15.31,15.39,15.31,15.39,300
2024-02-20,15.39,15.39,15.39,15.39,0
2024-02-21,14.26,15.31,13.93,15.31,500
2024-02-22,15.31,15.31,15.31,15.31,0
2024-02-23,15.23,15.31,15.07,15.07,1200
2024-02-26,15.31,15.31,15.31,15.31,100
2024-02-27,15.15,15.15,15.15,15.15,300
2024-02-28,15.15,15.15,15.15,15.15,100
2024-02-29,14.98,15.15,14.98,15.15,701
2024-03-01,15.07,15.07,14.98,14.98,600
2024-03-04,14.98,14.98,14.98,14.98,0
2024-03-05,14.9,14.9,14.9,14.9,500
2024-03-06,14.82,14.9,14.58,14.9,2400
2024-03-07,14.58,14.9,14.58,14.9,1200
2024-03-08,14.9,14.9,14.74,14.74,400
2024-03-11,14.58,14.58,14.58,14.58,6000
2024-03-12,14.58,14.58,14.58,14.58,700
2024-03-13,14.58,14.58,14.58,14.58,600
2024-03-14,14.58,14.58,14.58,14.58,0
2024-03-15,14.42,15.31,14.09,14.09,23000
2024-03-18,14.17,14.5,13.93,13.93,10600
2024-03-19,13.93,14.01,13.61,14.01,39400
2024-03-20,13.77,13.77,13.77,13.77,5502
2024-03-21,13.77,13.77,13.61,13.77,10200
2024-03-22,13.77,13.77,13.36,13.36,61511
2024-03-25,13.36,14.01,13.36,14.01,31000
2024-03-26,14.5,14.5,14.01,14.09,2100
2024-03-27,14.09,14.82,14.09,14.74,18401
2024-03-28,14.82,15.39,14.82,15.39,1200
2024-03-29,14.17,14.9,14.17,14.82,1300
2024-04-01,14.09,14.26,13.93,14.17,4000
