date,open,high,low,close,volume
2024-01-17,11.44,11.44,11.44,11.44,100
2024-01-18,10.97,10.97,10.97,10.97,400
2024-01-19,11.05,11.05,10.97,10.97,3180
2024-01-22,10.97,10.97,10.81,10.97,2800
2024-01-23,11.05,11.05,11.05,11.05,4400
2024-01-24,11.05,11.05,11.05,11.05,200
2024-01-25,11.05,11.05,10.97,10.97,800
2024-01-26,11.05,11.05,11.05,11.05,110
2024-01-29,11.05,11.05,10.97,10.97,3700
2024-01-30,10.97,11.13,10.97,11.13,1110
2024-01-31,11.13,11.13,11.05,11.05,700
2024-02-01,10.97,10.97,10.89,10.89,3200
2024-02-02,10.89,10.89,10.89,10.89,3800
2024-02-05,10.89,10.89,10.89,10.89,0
2024-02-06,10.89,10.89,10.89,10.89,800
2024-02-07,10.89,10.89,10.81,10.81,10917
2024-02-15,10.81,10.81,10.81,10.81,1000
2024-02-16,10.81,10.81,10.81,10.81,0
2024-02-19,11.05,11.05,11.05,11.05,4606
2024-02-20,11.05,11.05,11.05,11.05,36
2024-02-21,11.05,11.05,10.97,10.97,3927
2024-02-22,11.05,11.05,11.05,11.05,2233
2024-02-23,11.05,11.05,11.05,11.05,50
2024-02-26,10.97,10.97,10.97,10.97,102
2024-02-27,10.89,10.89,10.89,10.89,614
2024-02-28,10.89,10.89,10.89,10.89,500
2024-02-29,10.89,10.89,10.89,10.89,400
2024-03-01,10.89,10.89,10.89,10.89,2
2024-03-04,11.05,11.05,11.05,11.05,600
2024-03-05,11.05,11.05,11.05,11.05,0
2024-03-06,11.05,11.13,11.05,11.13,900
2024-03-07,11.13,11.13,11.13,11.13,1
2024-03-08,11.44,11.44,10.97,11.13,6401
2024-03-11,11.13,11.13,11.13,11.13,0
2024-03-12,11.76,11.76,11.76,11.76,200
2024-03-13,11.76,11.76,11.76,11.76,0
2024-03-14,11.76,11.76,11.76,11.76,0
2024-03-15,11.37,11.37,11.37,11.37,4276
2024-03-18,11.44,11.6,11.44,11.6,4500
2024-03-19,11.6,12.0,11.6,12.0,2601
2024-03-20,11.13,11.13,11.13,11.13,500
2024-03-21,11.13,11.13,11.13,11.13,0
2024-03-22,11.13,11.29,11.13,11.29,953
2024-03-25,11.29,11.29,11.29,11.29,201
2024-03-26,11.29,11.29,11.29,11.29,0
2024-03-27,11.29,11.29,11.29,11.29,23
2024-03-28,11.29,11.29,11.29,11.29,0
2024-03-29,11.29,11.29,11.29,11.29,0
2024-04-01,11.29,11.29,11.29,11.29,0
2024-04-02,11.44,11.44,11.44,11.44,200
2024-04-03,11.37,11.37,11.37,11.37,500
2024-04-04,11.37,11.37,11.37,11.37,47
2024-04-05,11.37,11.37,11.37,11.37,0
2024-04-08,11.37,11.37,11.37,11.37,0
2024-04-09,11.52,11.76,11.52,11.68,900
