date,open,high,low,close,volume
2022-12-28,28.47,28.47,28.47,28.47,0
2022-12-29,28.47,28.47,28.47,28.47,0
2022-12-30,28.47,28.47,28.47,28.47,0
2023-01-03,31.53,31.53,31.53,31.53,100
2023-01-04,31.53,31.53,31.53,31.53,0
2023-01-05,31.53,31.53,31.53,31.53,0
2023-01-06,31.53,31.53,31.53,31.53,0
2023-01-09,31.53,31.53,31.53,31.53,0
2023-01-10,31.53,31.53,31.53,31.53,0
2023-01-11,31.53,31.53,31.53,31.53,0
2023-01-12,31.53,31.53,31.53,31.53,0
2023-01-13,31.53,31.53,31.53,31.53,0
2023-01-16,31.53,31.53,31.53,31.53,0
2023-01-17,31.53,31.53,31.53,31.53,0
2023-01-18,31.53,31.53,31.53,31.53,0
2023-01-19,31.53,31.53,31.53,31.53,0
2023-01-27,31.53,31.53,31.53,31.53,0
2023-01-30,31.53,31.53,31.53,31.53,0
2023-01-31,31.53,31.53,31.53,31.53,0
2023-02-01,31.53,31.53,31.53,31.53,0
2023-02-02,31.53,31.53,31.53,31.53,0
2023-02-03,31.53,31.53,31.53,31.53,0
2023-02-06,31.53,31.53,31.53,31.53,0
2023-02-07,31.53,31.53,31.53,31.53,0
2023-02-08,31.53,31.53,31.53,31.53,0
2023-02-09,31.53,31.53,31.53,31.53,0
2023-02-10,31.53,31.53,31.53,31.53,0
2023-02-13,31.53,31.53,31.53,31.53,0
2023-02-14,31.53,31.53,31.53,31.53,0
2023-02-15,31.53,31.53,31.53,31.53,0
2023-02-16,31.53,31.53,31.53,31.53,0
2023-02-17,31.53,31.53,31.53,31.53,0
2023-02-20,31.53,31.53,31.53,31.53,0
2023-02-21,31.53,31.53,31.53,31.53,0
2023-02-22,31.53,31.53,31.53,31.53,0
2023-02-23,31.53,31.53,31.53,31.53,0
2023-02-24,31.53,31.53,31.53,31.53,0
2023-02-27,31.53,31.53,31.53,31.53,0
2023-02-28,31.53,31.53,31.53,31.53,0
2023-03-01,26.84,26.84,26.84,26.84,500
2023-03-02,26.84,26.84,26.84,26.84,0
2023-03-03,26.84,26.84,26.84,26.84,0
2023-03-06,28.66,28.66,25.59,25.59,1600
2023-03-07,25.88,25.88,25.88,25.88,0
2023-03-08,22.04,22.04,22.04,22.04,200
2023-03-09,22.33,22.33,22.04,22.04,1000
2023-03-10,25.4,25.4,25.4,25.4,100
2023-03-13,25.02,25.4,25.02,25.4,700
2023-03-14,21.66,21.66,21.66,21.66,100
2023-03-15,21.85,21.85,21.66,21.66,900
2023-03-16,21.76,24.82,21.76,24.82,400
2023-03-17,25.78,25.78,25.78,25.78,100
2023-03-20,23.96,23.96,23.96,23.96,100
2023-03-21,20.8,20.8,20.51,20.51,1400
2023-03-22,23.67,23.67,23.67,23.67,100
2023-03-23,23.0,23.67,23.0,23.67,1400
2023-03-24,23.96,23.96,23.96,23.96,2000
2023-03-27,20.89,20.89,20.89,20.89,200
2023-03-28,23.67,23.67,23.67,23.67,100
2023-03-29,23.67,23.67,23.67,23.67,0
2023-03-30,26.64,26.64,23.87,23.87,1100
2023-03-31,23.96,25.88,23.96,24.92,800
2023-04-03,21.76,21.76,21.76,21.76,100
2023-04-04,21.76,24.73,21.76,24.73,1200
2023-04-05,26.17,26.17,26.17,26.17,500
2023-04-06,22.52,22.52,22.33,22.33,1007
2023-04-07,25.49,25.49,25.49,25.49,100
2023-04-10,28.66,28.66,28.66,28.66,100
2023-04-11,28.66,28.66,28.66,28.66,0
2023-04-12,28.66,28.66,28.66,28.66,0
2023-04-13,24.44,24.44,24.44,24.44,2100
2023-04-14,24.44,24.44,24.44,24.44,0
2023-04-17,24.44,24.44,24.44,24.44,0
2023-04-18,24.44,24.44,24.44,24.44,0
2023-04-19,26.36,26.36,23.0,23.0,2700
2023-04-20,26.26,26.26,26.26,26.26,7
2023-04-21,26.26,26.26,26.26,26.26,0
2023-04-24,26.26,26.26,26.26,26.26,0
2023-04-25,26.26,26.26,26.26,26.26,0
2023-04-26,22.33,22.33,22.33,22.33,100
2023-04-27,22.33,22.33,22.33,22.33,0
2023-04-28,22.33,22.33,22.33,22.33,0
2023-05-04,22.33,22.33,22.33,22.33,0
2023-05-05,22.33,22.33,22.33,22.33,0
2023-05-08,22.33,22.33,22.33,22.33,0
2023-05-09,24.44,24.44,23.96,23.96,400
2023-05-10,21.28,21.28,21.28,21.28,800
2023-05-11,24.44,24.44,24.44,24.44,100
2023-05-12,27.22,27.22,27.22,27.22,100
2023-05-15,27.22,27.22,27.22,27.22,0
2023-05-16,26.36,26.36,23.96,23.96,1000
2023-05-17,24.73,24.73,24.73,24.73,0
2023-05-18,21.28,24.73,21.28,24.44,900
2023-05-19,22.81,22.81,22.81,22.81,0
2023-05-22,22.81,22.81,22.81,22.81,0
2023-05-23,23.96,23.96,23.96,23.96,100
2023-05-24,23.96,23.96,23.96,23.96,0
2023-05-25,23.96,23.96,23.96,23.96,0
2023-05-26,27.41,27.41,27.41,27.41,100
2023-05-29,24.44,24.44,24.44,24.44,100
2023-05-30,24.44,24.44,24.44,24.44,0
2023-05-31,24.34,24.34,24.34,24.34,100
2023-06-01,20.7,23.96,20.7,23.96,200
2023-06-02,22.33,22.33,22.33,22.33,0
2023-06-05,22.33,22.33,22.33,22.33,0
2023-06-06,19.07,19.07,19.07,19.07,100
2023-06-07,21.85,21.85,21.85,21.85,600
2023-06-08,23.0,24.34,23.0,24.34,300
2023-06-09,26.84,26.84,26.84,26.84,100
2023-06-12,26.84,26.84,26.84,26.84,0
2023-06-13,27.7,27.7,27.7,27.7,103
2023-06-14,27.7,27.7,27.7,27.7,0
2023-06-15,23.58,23.58,23.58,23.58,100
2023-06-16,20.61,20.8,20.61,20.8,1000
2023-06-19,23.67,23.67,23.67,23.67,100
2023-06-20,27.12,27.12,23.0,23.67,683
2023-06-21,23.1,23.1,23.1,23.1,1010
2023-06-22,21.37,21.37,21.37,21.37,100
2023-06-23,23.96,23.96,23.96,23.96,100
2023-06-26,23.96,23.96,23.96,23.96,4
2023-06-27,23.96,23.96,23.96,23.96,1
2023-06-28,26.36,26.36,26.36,26.36,101
2023-06-29,30.19,30.19,22.52,22.52,210
2023-06-30,26.36,26.36,26.36,26.36,0
2023-07-03,26.36,26.36,26.36,26.36,0
2023-07-04,26.36,26.36,26.36,26.36,0
2023-07-05,26.36,26.36,26.36,26.36,0
2023-07-06,28.66,28.66,28.66,28.66,101
2023-07-07,24.44,24.44,24.44,24.44,300
2023-07-10,24.44,24.44,24.44,24.44,0
2023-07-11,21.66,21.66,21.66,21.66,100
2023-07-12,24.82,24.82,24.82,24.82,1000
2023-07-13,28.27,28.27,28.27,28.27,100
2023-07-14,28.27,28.27,28.27,28.27,0
2023-07-17,26.74,26.74,26.74,26.74,100
2023-07-18,26.74,26.74,26.74,26.74,0
2023-07-19,26.74,26.74,26.74,26.74,0
2023-07-20,24.92,24.92,24.92,24.92,100
2023-07-21,24.92,24.92,24.92,24.92,500
