date,open,high,low,close,volume
2024-01-03,8.85,10.1,8.85,10.1,260
2024-01-04,10.93,10.93,10.93,10.93,114
2024-01-05,12.52,12.52,12.43,12.52,900
2024-01-08,12.43,12.43,12.43,12.43,0
2024-01-09,13.85,13.85,13.85,13.85,100
2024-01-10,13.85,13.85,13.85,13.85,0
2024-01-11,13.85,13.85,13.85,13.85,0
2024-01-12,15.86,15.86,15.86,15.86,710
2024-01-15,15.86,15.86,15.86,15.86,0
2024-01-16,13.52,13.52,13.52,13.52,1000
2024-01-17,13.52,13.52,13.52,13.52,0
2024-01-18,13.52,13.52,13.52,13.52,0
2024-01-19,13.52,13.52,13.52,13.52,0
2024-01-22,13.52,13.52,13.52,13.52,0
2024-01-23,13.52,13.52,13.52,13.52,0
2024-01-24,13.52,13.52,13.52,13.52,0
2024-01-25,13.52,13.52,13.52,13.52,0
2024-01-26,13.52,13.52,13.52,13.52,0
2024-01-29,13.52,13.52,13.52,13.52,0
2024-01-30,13.52,13.52,13.52,13.52,0
2024-01-31,13.52,13.52,13.52,13.52,0
2024-02-01,13.52,13.52,13.52,13.52,0
2024-02-02,13.52,13.52,13.52,13.52,0
2024-02-05,13.52,13.52,13.52,13.52,0
2024-02-06,13.52,13.52,13.52,13.52,0
2024-02-07,13.52,13.52,13.52,13.52,0
2024-02-15,13.52,13.52,13.52,13.52,0
2024-02-16,13.52,13.52,13.52,13.52,0
2024-02-19,13.52,13.52,13.52,13.52,0
2024-02-20,13.52,13.52,13.52,13.52,0
2024-02-21,13.52,13.52,13.52,13.52,0
2024-02-22,13.52,13.52,13.52,13.52,0
2024-02-23,13.52,13.52,13.52,13.52,0
2024-02-26,13.52,13.52,13.52,13.52,0
2024-02-27,13.52,13.52,13.52,13.52,0
2024-02-28,13.52,13.52,13.52,13.52,0
2024-02-29,13.52,13.52,13.52,13.52,0
2024-03-01,13.52,13.52,13.52,13.52,0
2024-03-04,13.52,13.52,13.52,13.52,0
2024-03-05,8.51,8.51,8.51,8.51,100
2024-03-06,7.84,7.84,7.84,7.84,102
2024-03-07,7.84,7.84,7.84,7.84,8
2024-03-08,9.01,9.01,9.01,9.01,210
2024-03-11,9.01,9.01,9.01,9.01,2
2024-03-12,9.01,9.01,9.01,9.01,0
2024-03-13,10.35,10.35,10.35,10.35,330
2024-03-14,11.85,11.85,11.77,11.85,520
2024-03-15,11.85,11.85,11.85,11.85,530
2024-03-18,11.85,13.6,11.85,13.6,200
2024-03-19,14.6,14.6,14.6,14.6,100
2024-03-20,14.6,14.6,14.6,14.6,15
2024-03-21,16.69,16.69,16.69,16.69,102
2024-03-22,14.19,14.19,14.19,14.19,155
2024-03-25,12.1,12.1,12.1,12.1,100
2024-03-26,12.1,12.1,12.1,12.1,100
2024-03-27,12.1,12.1,12.1,12.1,0
2024-03-28,12.1,12.1,12.1,12.1,1
2024-03-29,12.1,12.1,12.1,12.1,0
2024-04-01,12.1,12.1,12.1,12.1,100
2024-04-02,12.1,12.1,12.1,12.1,0
2024-04-03,12.1,12.1,12.1,12.1,100
2024-04-04,12.1,12.1,12.1,12.1,0
2024-04-05,12.1,12.1,12.1,12.1,0
2024-04-08,12.1,12.1,12.1,12.1,0
2024-04-09,12.1,12.1,12.1,12.1,0
2024-04-10,12.1,12.1,12.1,12.1,0
2024-04-11,12.1,12.1,12.1,12.1,0
2024-04-12,12.1,12.1,12.1,12.1,0
2024-04-15,12.1,12.1,12.1,12.1,0
2024-04-16,12.1,12.1,12.1,12.1,0
2024-04-17,12.1,12.1,12.1,12.1,0
2024-04-19,12.1,12.1,12.1,12.1,0
2024-04-22,12.1,12.1,12.1,12.1,0
2024-04-23,12.1,12.1,12.1,12.1,0
2024-04-24,12.1,12.1,12.1,12.1,0
2024-04-25,12.1,12.1,12.1,12.1,0
2024-04-26,12.1,12.1,12.1,12.1,0
2024-05-02,12.1,12.1,12.1,12.1,0
2024-05-03,12.1,12.1,12.1,12.1,0
2024-05-06,11.93,11.93,10.35,10.35,500
2024-05-07,11.27,11.27,11.27,11.27,1
2024-05-08,11.27,11.27,11.27,11.27,0
2024-05-09,11.27,11.27,11.27,11.27,0
2024-05-10,11.27,11.27,11.27,11.27,0
2024-05-13,11.27,11.27,11.27,11.27,0
2024-05-14,11.27,11.27,11.27,11.27,0
2024-05-15,9.6,9.6,9.6,9.6,100
2024-05-16,9.6,9.6,9.6,9.6,0
2024-05-17,9.6,9.6,9.6,9.6,0
2024-05-20,9.6,9.6,9.6,9.6,0
2024-05-21,9.6,9.6,9.6,9.6,0
2024-05-22,9.6,9.6,9.6,9.6,0
2024-05-23,9.6,9.6,9.6,9.6,0
2024-05-24,9.6,9.6,9.6,9.6,0
2024-05-27,9.6,9.6,9.6,9.6,2
2024-05-28,9.6,9.6,9.6,9.6,0
2024-05-29,9.6,9.6,9.6,9.6,0
2024-05-30,9.6,9.6,9.6,9.6,300
2024-05-31,9.6,9.6,9.6,9.6,0
2024-06-03,9.6,9.6,9.6,9.6,0
2024-06-04,9.6,9.6,9.6,9.6,0
2024-06-05,9.6,9.6,9.6,9.6,0
2024-06-06,9.6,9.6,9.6,9.6,0
2024-06-07,9.6,9.6,9.6,9.6,0
2024-06-10,9.6,9.6,9.6,9.6,0
2024-06-11,9.6,9.6,9.6,9.6,0
2024-06-12,9.6,9.6,9.6,9.6,0
2024-06-13,9.6,9.6,9.6,9.6,0
2024-06-14,9.6,9.6,9.6,9.6,0
2024-06-17,9.6,9.6,9.6,9.6,0
2024-06-18,9.6,9.6,9.6,9.6,0
2024-06-19,9.6,9.6,9.6,9.6,0
2024-06-20,9.6,9.6,9.6,9.6,0
2024-06-21,9.6,9.6,9.6,9.6,0
2024-06-24,9.6,9.6,9.6,9.6,0
2024-06-25,9.6,9.6,9.6,9.6,0
2024-06-26,9.6,9.6,9.6,9.6,0
2024-06-27,9.6,9.6,9.6,9.6,0
2024-06-28,9.6,9.6,9.6,9.6,0
2024-07-01,9.6,9.6,9.6,9.6,0
2024-07-02,9.6,9.6,9.6,9.6,0
2024-07-03,9.6,9.6,9.6,9.6,0
2024-07-04,9.6,9.6,9.6,9.6,0
2024-07-05,9.6,9.6,9.6,9.6,0
2024-07-08,9.6,9.6,9.6,9.6,0
2024-07-09,9.6,9.6,9.6,9.6,100
2024-07-10,9.6,9.6,9.6,9.6,0
2024-07-11,9.6,9.6,9.6,9.6,0
2024-07-12,9.6,9.6,9.6,9.6,0
2024-07-15,9.6,9.6,9.6,9.6,0
2024-07-16,9.6,9.6,9.6,9.6,0
2024-07-17,9.6,9.6,9.6,9.6,0
