date,open,high,low,close,volume
2024-01-30,19.38,20.2,19.26,20.2,13143257
2024-01-31,20.27,20.31,19.56,19.71,8659307
2024-02-01,19.79,20.2,19.71,20.2,8912424
2024-02-02,20.27,20.35,19.86,19.97,9520874
2024-02-05,20.05,20.16,19.75,19.75,6610048
2024-02-06,19.83,20.35,19.79,20.24,11684153
2024-02-07,20.31,21.36,20.24,21.36,22303209
2024-02-15,21.47,21.66,21.13,21.25,10245566
2024-02-16,21.28,21.58,21.02,21.58,11948056
2024-02-19,21.7,22.44,21.02,22.44,13517326
2024-02-20,22.26,22.29,21.88,22.22,10418448
2024-02-21,22.22,22.59,21.85,22.29,9118578
2024-02-22,22.26,22.74,22.18,22.52,11730217
2024-02-23,22.59,22.67,21.32,21.32,13367848
2024-02-26,21.51,21.92,21.21,21.85,11779364
2024-02-27,22.03,22.29,21.58,22.22,9890233
2024-02-28,22.33,22.63,22.11,22.59,12979840
2024-02-29,22.67,22.67,22.03,22.37,10771566
2024-03-01,22.44,22.52,22.07,22.22,9047692
2024-03-04,22.14,22.22,21.81,21.99,11734296
2024-03-05,22.07,22.33,21.73,22.26,11642297
2024-03-06,22.26,22.29,21.73,21.73,7572598
2024-03-07,21.85,21.99,21.66,21.77,9417129
2024-03-08,21.85,22.26,21.55,21.99,15215404
2024-03-11,22.14,22.97,22.14,22.89,24075851
2024-03-12,23.0,23.08,22.56,22.97,12798205
2024-03-13,23.08,23.94,22.85,23.94,17145222
2024-03-14,23.86,23.94,23.34,23.64,13444840
2024-03-15,23.72,23.75,23.23,23.57,9080516
2024-03-18,23.49,23.79,21.92,22.89,16274611
2024-03-19,22.97,23.19,22.52,22.89,8906746
2024-03-20,22.97,23.42,22.74,23.19,10102530
2024-03-21,23.34,23.72,23.23,23.6,11552622
2024-03-22,23.72,23.94,23.45,23.6,12662565
2024-03-25,23.64,23.64,22.78,22.93,11127767
2024-03-26,22.82,23.57,22.56,23.57,7958271
2024-03-27,23.6,23.79,23.42,23.72,7627870
2024-03-28,23.86,24.24,23.79,24.09,10514508
2024-03-29,24.28,24.43,23.86,24.24,10454349
2024-04-01,24.24,24.28,23.75,23.94,8170017
2024-04-02,23.83,24.16,23.49,24.13,8493536
2024-04-03,24.16,24.24,23.6,23.9,6826273
2024-04-04,24.28,25.1,24.09,24.24,21202136
2024-04-05,23.94,24.09,22.85,22.85,9487847
2024-04-08,23.0,23.04,22.52,22.82,9742347
2024-04-09,22.82,23.04,22.18,22.97,10862582
2024-04-10,22.93,23.38,22.82,23.04,7581879
