date,open,high,low,close,volume
2024-01-30,24.65,24.65,24.6,24.65,30038
2024-01-31,24.55,24.6,24.5,24.5,62900
2024-02-01,23.2,25.0,23.2,25.0,74559
2024-02-02,25.0,25.0,24.8,24.85,30680
2024-02-05,24.6,24.8,24.4,24.7,26400
2024-02-06,24.4,24.6,24.3,24.55,28301
2024-02-07,24.6,24.7,24.5,24.65,51500
2024-02-15,24.65,24.65,24.25,24.65,29620
2024-02-16,24.7,26.0,24.7,24.7,29900
2024-02-19,24.7,24.75,24.5,24.5,23310
2024-02-20,24.5,24.5,24.45,24.5,9000
2024-02-21,24.5,24.7,24.4,24.7,29902
2024-02-22,24.7,24.7,24.45,24.45,42206
2024-02-23,24.45,24.45,24.15,24.15,14711
2024-02-26,24.15,24.7,24.15,24.15,25961
2024-02-27,24.15,24.6,24.15,24.55,48904
2024-02-28,24.4,24.7,24.3,24.4,31811
2024-02-29,24.7,24.7,24.2,24.6,27631
2024-03-01,24.55,24.55,24.55,24.55,15000
2024-03-04,24.1,24.55,24.0,24.55,44665
2024-03-05,24.55,24.65,24.1,24.3,37400
2024-03-06,24.3,25.5,24.3,24.4,75020
2024-03-07,24.55,24.8,24.4,24.6,47603
2024-03-08,24.7,25.0,24.4,24.7,51900
2024-03-11,24.45,24.5,24.2,24.5,9901
2024-03-12,24.2,24.9,24.2,24.5,40901
2024-03-13,24.5,24.9,24.4,24.65,41508
2024-03-14,24.5,24.6,24.25,24.35,60939
2024-03-15,24.2,24.3,24.2,24.25,12910
2024-03-18,24.0,24.7,24.0,24.3,32934
2024-03-19,24.4,24.5,24.0,24.15,11820
2024-03-20,24.5,24.5,24.1,24.2,37534
2024-03-21,24.0,24.4,24.0,24.35,59480
2024-03-22,24.35,25.5,24.2,24.25,97013
2024-03-25,24.1,24.2,24.05,24.1,30680
2024-03-26,24.1,24.1,24.05,24.1,11914
2024-03-27,24.1,24.1,24.0,24.1,14201
2024-03-28,24.1,24.1,24.05,24.1,6200
2024-03-29,24.1,24.1,23.5,24.1,2500
2024-04-01,24.0,24.0,24.0,24.0,6204
2024-04-02,23.85,23.95,23.6,23.85,21800
2024-04-03,23.85,23.95,23.55,23.9,35800
2024-04-04,23.9,24.0,23.8,23.9,55500
2024-04-05,23.25,24.0,23.25,23.95,40600
2024-04-08,23.8,23.9,23.5,23.9,45604
2024-04-09,23.55,24.0,23.55,24.0,77204
2024-04-10,24.0,25.65,23.8,25.65,688738
2024-04-11,27.4,27.4,27.0,27.4,476717
2024-04-12,29.0,29.3,28.0,29.2,596840
2024-04-15,28.95,28.95,27.2,27.2,587893
2024-04-16,26.8,27.9,25.9,27.8,398666
2024-04-17,27.5,27.8,26.0,26.0,394312
2024-04-19,25.1,27.0,25.1,26.0,354349
2024-04-22,25.8,26.3,25.3,25.9,436637
2024-04-23,25.8,26.0,25.5,26.0,330655
2024-04-24,26.4,27.4,26.0,27.25,250147
2024-04-25,27.4,27.45,27.0,27.3,296359
2024-04-26,27.3,27.45,26.7,27.3,210103
2024-05-02,27.25,27.3,26.8,27.3,394037
2024-05-03,27.35,27.65,26.8,27.0,366518
2024-05-06,27.0,27.05,26.5,27.05,312600
2024-05-07,27.05,27.65,26.65,27.0,320900
2024-05-08,27.0,28.5,26.7,28.1,963883
2024-05-09,28.2,29.1,28.1,29.0,526153
2024-05-10,29.0,29.7,27.65,28.8,440841
2024-05-13,28.85,29.2,28.0,28.0,316278
2024-05-14,28.0,29.95,28.0,29.95,878621
2024-05-15,30.5,30.9,29.95,30.1,883779
2024-05-16,30.2,30.6,28.9,28.9,635618
2024-05-17,28.9,30.1,28.9,30.1,529652
2024-05-20,30.5,30.5,29.5,30.1,395899
2024-05-21,29.9,30.1,29.45,30.1,402180
2024-05-22,30.1,30.9,29.7,30.05,437149
2024-05-23,29.7,30.15,29.7,29.85,235661
2024-05-24,29.8,29.95,28.5,29.0,348700
2024-05-27,29.05,29.4,28.8,29.3,218625
2024-05-28,29.3,29.6,29.2,29.35,176101
2024-05-29,29.4,30.0,29.0,29.4,517900
2024-05-30,29.4,29.4,28.8,29.2,205650
2024-05-31,29.2,29.6,29.0,29.3,247900
2024-06-03,29.3,29.8,29.3,29.7,314996
2024-06-04,29.8,30.1,29.4,29.7,344018
2024-06-05,29.7,30.0,29.3,29.5,283820
2024-06-06,29.55,29.8,29.0,29.0,210576
2024-06-07,29.1,29.5,28.7,28.9,192387
2024-06-10,28.8,30.0,28.4,29.5,463320
2024-06-11,29.5,29.75,28.9,29.1,182500
2024-06-12,29.1,29.3,28.5,29.1,359737
2024-06-13,29.1,30.0,29.05,29.95,878578
2024-06-14,30.05,32.0,30.05,30.4,1139296
2024-06-17,28.55,30.6,28.55,30.4,664056
2024-06-18,30.4,30.9,29.8,30.35,501361
2024-06-19,30.35,30.35,29.4,29.9,443569
2024-06-20,29.8,30.0,28.9,29.5,501366
2024-06-21,29.55,29.6,28.5,29.1,341100
2024-06-24,29.1,29.45,28.3,29.2,423688
2024-06-25,29.3,29.45,28.5,28.9,287903
2024-06-26,28.95,28.95,28.45,28.5,196902
2024-06-27,28.95,29.0,28.5,28.7,179241
2024-06-28,28.8,29.0,28.1,28.7,154310
2024-07-01,28.9,28.9,28.45,28.5,179300
2024-07-02,28.5,28.75,28.3,28.5,161510
2024-07-03,28.5,29.4,28.4,29.4,486262
2024-07-04,29.4,29.4,28.5,29.0,212223
2024-07-05,29.0,29.0,28.5,28.95,124810
2024-07-08,28.9,28.95,28.5,28.8,131045
2024-07-09,28.75,28.8,27.95,27.95,225214
2024-07-10,27.95,28.4,27.85,28.3,254698
2024-07-11,28.2,28.8,28.05,28.05,193902
2024-07-12,28.1,28.8,27.95,28.25,205636
2024-07-15,28.25,28.35,27.7,27.9,112101
2024-07-16,27.9,29.85,27.9,29.85,2311747
2024-07-17,30.45,31.5,28.95,29.5,1437567
2024-07-18,29.45,30.85,27.45,29.1,1798840
2024-07-19,29.1,29.1,27.7,28.0,921908
2024-07-22,27.95,28.35,26.05,28.25,717449
2024-07-23,28.2,28.4,27.0,28.2,324190
2024-07-24,27.85,28.1,26.85,28.05,377556
2024-07-25,27.9,28.1,27.3,28.1,338870
2024-07-26,28.35,28.35,27.75,28.35,146100
2024-07-29,28.3,28.6,27.9,28.4,376000
2024-07-30,28.35,28.7,27.3,27.3,459700
2024-07-31,27.3,27.8,26.7,26.75,306000
2024-08-01,26.75,27.85,25.1,26.55,407700
2024-08-02,26.3,27.0,25.8,27.0,406300
2024-08-05,26.8,26.8,25.15,26.0,389700
2024-08-06,26.45,26.45,25.15,26.15,182800
2024-08-07,26.15,26.75,25.6,26.15,168500
2024-08-08,26.1,26.3,25.05,25.05,121200
2024-08-09,25.05,25.9,24.8,25.4,311400
2024-08-12,25.5,25.5,25.0,25.0,120600
2024-08-13,25.0,25.3,24.6,24.6,196200
2024-08-14,24.6,25.3,24.6,25.05,252000
2024-08-15,25.05,25.2,24.5,24.9,296100
2024-08-16,24.9,26.55,24.9,25.95,521200
2024-08-19,25.95,26.5,25.6,25.95,325500
2024-08-20,25.95,26.3,25.35,25.95,191700
