date,open,high,low,close,volume
2022-10-03,3.5,3.5,3.5,3.5,0
2022-10-04,3.5,3.5,3.5,3.5,0
2022-10-05,3.5,3.5,3.5,3.5,0
2022-10-06,3.5,3.5,3.5,3.5,0
2022-10-07,3.2,3.2,3.0,3.0,3800
2022-10-10,3.2,3.2,3.2,3.2,0
2022-10-11,3.2,3.2,3.2,3.2,0
2022-10-12,3.2,3.2,3.2,3.2,0
2022-10-13,3.2,3.2,3.2,3.2,0
2022-10-14,3.1,3.1,3.0,3.1,11200
2022-10-17,3.1,3.1,3.1,3.1,0
2022-10-18,3.1,3.1,3.1,3.1,0
2022-10-19,3.1,3.1,3.1,3.1,0
2022-10-20,3.1,3.1,3.1,3.1,0
2022-10-21,3.5,3.5,3.4,3.5,1100
2022-10-24,3.5,3.5,3.5,3.5,0
2022-10-25,3.5,3.5,3.5,3.5,0
2022-10-26,3.5,3.5,3.5,3.5,0
2022-10-27,3.5,3.5,3.5,3.5,0
2022-10-28,4.0,4.0,3.5,3.9,800
2022-10-31,3.9,3.9,3.9,3.9,0
2022-11-01,3.9,3.9,3.9,3.9,0
2022-11-02,3.9,3.9,3.9,3.9,0
2022-11-03,3.9,3.9,3.9,3.9,0
2022-11-04,4.1,4.1,3.5,4.0,1600
2022-11-07,3.9,3.9,3.9,3.9,0
2022-11-08,3.9,3.9,3.9,3.9,0
2022-11-09,3.9,3.9,3.9,3.9,0
2022-11-10,3.9,3.9,3.9,3.9,0
2022-11-11,4.4,4.4,3.4,3.4,1000
2022-11-14,3.7,3.7,3.7,3.7,0
2022-11-15,3.7,3.7,3.7,3.7,0
2022-11-16,3.7,3.7,3.7,3.7,0
2022-11-17,3.7,3.7,3.7,3.7,0
2022-11-18,3.2,4.0,3.2,3.2,2200
2022-11-21,3.4,3.4,3.4,3.4,0
2022-11-22,3.4,3.4,3.4,3.4,0
2022-11-23,3.4,3.4,3.4,3.4,0
2022-11-24,3.4,3.4,3.4,3.4,0
2022-11-25,3.8,3.8,2.9,2.9,3837
2022-11-28,3.1,3.1,3.1,3.1,0
2022-11-29,3.1,3.1,3.1,3.1,0
2022-11-30,3.1,3.1,3.1,3.1,0
2022-12-01,3.1,3.1,3.1,3.1,0
2022-12-02,3.0,3.3,2.8,3.3,5200
2022-12-05,2.9,2.9,2.9,2.9,0
2022-12-06,2.9,2.9,2.9,2.9,0
2022-12-07,2.9,2.9,2.9,2.9,0
2022-12-08,2.9,2.9,2.9,2.9,0
2022-12-09,3.3,3.3,3.0,3.1,800
2022-12-12,3.1,3.1,3.1,3.1,0
2022-12-13,3.1,3.1,3.1,3.1,0
2022-12-14,3.1,3.1,3.1,3.1,0
2022-12-15,3.1,3.1,3.1,3.1,0
2022-12-16,2.9,2.9,2.9,2.9,500
2022-12-19,2.9,2.9,2.9,2.9,0
2022-12-20,2.9,2.9,2.9,2.9,0
2022-12-21,2.9,2.9,2.9,2.9,0
2022-12-22,2.9,2.9,2.9,2.9,0
2022-12-23,2.7,2.7,2.5,2.5,1700
2022-12-26,2.5,2.5,2.5,2.5,0
2022-12-27,2.5,2.5,2.5,2.5,0
2022-12-28,2.5,2.5,2.5,2.5,0
2022-12-29,2.5,2.5,2.5,2.5,0
2022-12-30,2.5,2.5,2.2,2.2,2600
2023-01-03,2.3,2.3,2.3,2.3,0
2023-01-04,2.3,2.3,2.3,2.3,0
2023-01-05,2.3,2.3,2.3,2.3,0
2023-01-06,2.4,2.4,2.4,2.4,214
