date,open,high,low,close,volume
2024-01-30,5.3,5.3,5.1,5.3,145763
2024-01-31,5.2,5.3,5.1,5.2,119028
2024-02-01,5.2,5.3,5.1,5.3,42600
2024-02-02,5.3,5.3,5.1,5.3,226465
2024-02-05,5.2,5.3,5.1,5.1,131354
2024-02-06,5.2,5.2,5.0,5.1,186609
2024-02-07,5.1,5.1,5.0,5.1,238894
2024-02-15,5.1,5.3,5.1,5.2,132700
2024-02-16,5.2,5.3,5.2,5.3,180625
2024-02-19,5.3,5.3,5.1,5.3,246175
2024-02-20,5.3,5.7,5.3,5.6,1048711
2024-02-21,5.6,5.6,5.4,5.6,247201
2024-02-22,5.5,5.8,5.5,5.8,812651
2024-02-23,5.8,5.8,5.4,5.5,555605
2024-02-26,5.5,5.5,5.3,5.5,315252
2024-02-27,5.5,5.5,5.3,5.5,253843
2024-02-28,5.4,5.5,5.3,5.3,251900
2024-02-29,5.4,5.4,5.2,5.3,350828
2024-03-01,5.3,5.5,5.2,5.5,166463
2024-03-04,5.5,5.6,5.4,5.5,268115
2024-03-05,5.5,5.5,5.3,5.5,208812
2024-03-06,5.4,5.8,5.4,5.6,764079
2024-03-07,5.6,5.6,5.4,5.5,241908
2024-03-08,5.6,5.6,5.4,5.5,534605
2024-03-11,5.4,5.5,5.4,5.5,178717
2024-03-12,5.4,5.5,5.3,5.4,115012
2024-03-13,5.4,5.4,5.3,5.4,501172
2024-03-14,5.5,5.5,5.3,5.4,177511
2024-03-15,5.4,5.4,5.3,5.4,424000
2024-03-18,5.4,5.4,5.1,5.3,486300
2024-03-19,5.3,5.3,5.2,5.3,190900
2024-03-20,5.3,5.8,5.2,5.6,1440055
2024-03-21,5.6,5.6,5.4,5.6,267565
2024-03-22,5.6,5.8,5.5,5.6,606210
2024-03-25,5.6,5.8,5.5,5.7,489810
2024-03-26,5.7,5.7,5.6,5.6,97800
2024-03-27,5.6,5.7,5.5,5.7,232805
2024-03-28,5.6,5.6,5.5,5.6,115252
2024-03-29,5.6,5.6,5.5,5.5,113255
2024-04-01,5.5,5.6,5.4,5.6,206800
2024-04-02,5.5,6.3,5.4,6.3,1722214
2024-04-03,6.3,6.5,6.0,6.1,477532
2024-04-04,6.1,6.5,6.0,6.3,774679
2024-04-05,6.3,6.8,6.1,6.4,773174
2024-04-08,6.4,6.6,6.0,6.3,670434
2024-04-09,6.3,6.3,6.1,6.3,189765
2024-04-10,6.2,6.4,6.0,6.1,332635
2024-04-11,6.1,6.2,5.9,5.9,320738
2024-04-12,6.1,6.5,6.0,6.4,471391
2024-04-15,6.3,6.4,5.5,5.8,508931
2024-04-16,5.8,5.8,5.4,5.7,634444
2024-04-17,5.7,5.9,5.6,5.6,281421
2024-04-19,5.5,5.6,5.2,5.3,1132460
2024-04-22,5.4,5.5,5.0,5.4,609942
2024-04-23,5.4,5.4,5.0,5.4,592745
