date,open,high,low,close,volume
2024-01-30,44.67,45.93,44.67,45.93,124951
2024-01-31,45.93,46.02,45.48,45.48,64500
2024-02-01,45.12,45.57,45.12,45.57,80501
2024-02-02,45.57,46.47,45.48,45.48,58908
2024-02-05,45.66,45.93,45.57,45.75,44959
2024-02-06,45.93,47.1,45.57,47.1,104306
2024-02-07,47.1,47.46,46.83,46.92,89598
2024-02-15,46.92,46.92,46.29,46.38,124490
2024-02-16,46.47,46.56,45.93,45.93,86928
2024-02-19,45.75,46.02,45.66,46.02,104767
2024-02-20,46.11,46.11,45.48,45.66,88218
2024-02-21,45.93,45.93,45.39,45.93,101032
2024-02-22,45.93,45.93,45.57,45.57,76050
2024-02-23,45.48,45.75,45.21,45.3,71212
2024-02-26,45.21,45.39,44.81,44.94,80259
2024-02-27,44.85,45.75,44.76,45.12,75098
2024-02-28,45.21,45.66,44.59,44.94,239864
2024-02-29,44.94,44.94,43.51,44.41,229409
2024-03-01,44.59,45.39,44.14,45.12,113095
2024-03-04,45.39,45.66,44.72,44.85,120465
2024-03-05,44.94,45.12,44.85,44.94,69165
2024-03-06,45.12,45.12,44.59,44.67,80014
2024-03-07,44.67,44.81,44.41,44.63,76989
2024-03-08,44.85,44.85,43.96,43.96,117630
2024-03-11,43.96,44.14,43.06,43.24,112810
2024-03-12,43.15,43.42,42.79,43.1,103224
2024-03-13,43.24,44.85,43.15,44.76,100454
2024-03-14,44.76,44.76,44.05,44.27,60603
2024-03-15,44.05,45.12,43.96,44.76,161048
2024-03-18,44.81,45.57,43.87,43.96,192507
2024-03-19,44.0,44.32,43.78,43.78,72224
2024-03-20,44.09,44.14,43.55,43.96,72289
2024-03-21,44.09,44.76,43.96,44.72,111202
2024-03-22,44.72,45.03,44.45,44.85,104420
2024-03-25,45.03,45.75,44.81,44.94,197838
2024-03-26,44.94,45.03,44.59,44.85,57709
2024-03-27,45.03,45.03,44.05,44.36,129624
2024-03-28,44.41,44.85,44.14,44.85,53021
2024-03-29,44.81,45.21,44.27,44.32,46012
2024-04-01,44.41,44.41,43.96,44.09,66899
2024-04-02,44.09,44.41,43.91,44.05,117427
2024-04-03,44.05,44.85,43.96,44.09,138425
2024-04-04,44.05,44.05,43.33,43.51,225989
2024-04-05,43.28,43.33,42.93,42.93,238622
2024-04-08,42.97,42.97,42.48,42.48,138403
2024-04-09,42.75,42.75,41.89,42.07,174193
2024-04-10,41.76,42.07,41.67,41.85,352350
2024-04-11,41.85,41.85,41.22,41.36,93466
2024-04-12,41.36,41.67,41.18,41.62,166618
2024-04-15,41.45,41.58,38.84,38.84,304275
2024-04-16,38.84,39.29,38.44,38.84,155555
2024-04-17,39.52,39.52,38.44,38.57,66800
2024-04-19,38.48,38.48,37.23,37.77,89934
2024-04-22,37.86,38.93,36.78,36.78,155493
2024-04-23,36.78,37.95,36.78,37.68,146500
2024-04-24,38.13,39.29,38.13,39.2,72855
2024-04-25,38.62,38.84,38.44,38.53,62203
2024-04-26,37.68,38.57,37.68,38.57,57869
2024-05-02,38.57,38.57,37.68,37.99,66230
2024-05-03,38.13,38.31,38.04,38.17,30117
2024-05-06,38.17,38.84,38.17,38.75,35541
2024-05-07,38.8,39.11,38.57,38.93,41701
2024-05-08,38.93,40.37,38.57,40.32,80559
2024-05-09,40.82,40.82,39.92,40.1,57137
2024-05-10,40.37,40.73,39.97,40.19,65317
2024-05-13,40.14,40.14,39.65,39.92,24511
2024-05-14,39.92,40.28,39.74,39.92,22849
2024-05-15,39.88,40.32,39.83,40.32,50702
2024-05-16,40.32,40.64,40.23,40.28,69368
2024-05-17,40.28,40.73,40.05,40.37,75890
2024-05-20,40.82,40.82,40.28,40.41,64201
2024-05-21,40.46,40.73,40.19,40.32,68051
2024-05-22,40.37,40.37,40.05,40.32,80903
2024-05-23,40.32,40.32,39.7,40.19,49604
2024-05-24,39.83,40.19,39.29,39.47,83903
2024-05-27,39.47,39.47,38.84,39.38,39505
2024-05-28,39.92,39.92,39.11,39.47,54225
2024-05-29,39.47,39.56,39.29,39.47,36950
2024-05-30,39.2,40.19,39.2,40.19,83650
2024-05-31,40.14,40.32,40.14,40.19,28253
2024-06-03,40.28,40.5,40.28,40.46,58934
2024-06-04,40.64,41.49,40.64,41.36,119305
2024-06-05,41.4,41.62,40.68,41.45,122916
2024-06-06,41.62,41.62,41.27,41.31,84695
2024-06-07,41.45,41.45,40.91,40.95,62203
2024-06-10,41.27,41.49,40.86,41.22,75048
2024-06-11,41.22,41.31,40.95,40.95,75562
2024-06-12,40.95,41.36,40.95,41.27,105591
2024-06-13,41.49,41.49,41.0,41.36,150456
2024-06-14,41.53,41.53,41.0,41.04,92736
2024-06-17,41.04,41.18,40.77,40.77,44215
2024-06-18,40.77,40.82,40.64,40.73,49169
2024-06-19,41.27,41.53,40.91,41.27,183862
2024-06-20,41.71,41.71,41.27,41.31,90373
2024-06-21,41.36,41.4,41.27,41.31,84983
2024-06-24,41.36,41.53,41.22,41.4,218001
2024-06-25,41.62,41.98,41.45,41.71,200736
2024-06-26,41.89,41.89,41.4,41.45,55337
2024-06-27,41.45,41.71,41.27,41.58,75725
2024-06-28,41.58,41.58,38.75,41.27,138466
2024-07-01,41.27,41.31,40.82,41.27,125984
2024-07-02,41.36,43.14,41.36,41.5,296990
2024-07-03,41.5,41.92,41.31,41.31,40049
2024-07-04,41.27,41.6,40.33,41.45,82419
2024-07-05,41.17,41.5,40.56,40.8,49557
2024-07-08,40.8,40.8,40.05,40.28,78451
2024-07-09,40.61,40.84,40.14,40.56,44400
2024-07-10,40.61,40.84,40.42,40.56,47792
2024-07-11,40.56,40.7,40.33,40.47,28551
2024-07-12,40.75,40.75,40.33,40.38,36533
2024-07-15,40.61,40.94,40.52,40.84,75744
2024-07-16,40.84,41.55,40.84,41.17,43374
2024-07-17,41.17,41.27,40.24,40.99,74138
2024-07-18,40.56,40.8,40.38,40.38,46988
2024-07-19,40.33,40.61,40.19,40.33,101381
2024-07-22,40.33,40.33,39.67,39.95,50209
2024-07-23,39.95,40.19,37.98,38.92,59732
2024-07-24,38.92,38.92,38.08,38.27,60893
2024-07-25,38.27,38.45,37.98,38.36,33100
2024-07-26,38.45,38.92,38.36,38.92,25800
2024-07-29,38.92,39.34,38.92,39.02,12335
2024-07-30,39.2,39.3,38.83,39.02,28661
2024-07-31,38.73,39.11,38.45,39.02,27241
2024-08-01,39.34,39.39,37.98,38.45,48626
2024-08-02,38.17,38.78,37.66,38.78,33624
2024-08-05,37.8,38.69,36.58,36.58,104347
2024-08-06,36.76,37.61,36.58,37.42,37200
2024-08-07,36.81,37.7,36.81,37.7,10771
2024-08-08,37.52,38.08,37.42,37.42,14423
2024-08-09,37.42,37.61,37.42,37.56,17300
2024-08-12,37.56,38.45,37.56,37.98,19950
2024-08-13,37.98,38.27,37.8,37.98,19863
2024-08-14,38.36,38.69,37.7,37.98,51883
2024-08-15,37.98,38.08,37.94,37.98,17755
2024-08-16,37.98,38.69,37.98,38.17,99679
2024-08-19,38.45,39.02,38.45,38.55,21211
2024-08-20,39.2,39.2,38.69,38.92,13332
2024-08-21,38.92,38.92,38.73,38.83,22805
2024-08-22,39.44,39.44,38.73,38.83,28322
2024-08-23,38.88,38.92,38.69,38.83,16661
2024-08-26,38.83,38.92,38.73,38.73,31109
2024-08-27,38.92,39.2,38.64,39.06,8975
2024-08-28,39.2,39.2,38.73,39.02,11012
2024-08-29,38.73,38.92,38.64,38.73,23125
2024-08-30,38.83,39.02,38.73,38.83,22309
2024-09-04,38.55,38.59,38.22,38.59,30342
2024-09-05,38.17,38.69,38.17,38.59,44302
2024-09-06,38.45,38.69,38.22,38.45,31652
2024-09-09,38.45,38.45,37.8,37.89,31442
2024-09-10,38.31,38.31,37.75,37.75,24201
2024-09-11,37.84,37.89,37.66,37.84,21070
2024-09-12,38.22,38.27,37.7,37.7,63761
2024-09-13,37.98,37.98,37.56,37.75,57600
2024-09-16,37.7,37.7,37.52,37.52,37820
2024-09-17,37.52,37.98,37.52,37.98,23567
2024-09-18,38.08,38.17,37.98,37.98,15168
2024-09-19,37.98,37.98,37.7,37.75,27117
2024-09-20,37.75,38.08,37.75,37.94,25616
2024-09-23,37.94,38.45,37.94,37.98,50335
2024-09-24,37.98,38.36,37.94,37.98,16988
2024-09-25,37.98,38.03,37.66,37.84,98416
2024-09-26,37.98,38.36,37.84,38.27,107213
2024-09-27,38.36,38.45,38.08,38.17,81746
2024-09-30,39.39,39.39,38.17,38.17,70782
2024-10-01,38.27,38.78,38.27,38.45,94013
2024-10-02,38.27,38.55,38.27,38.45,44000
2024-10-03,38.55,38.64,38.27,38.45,45330
2024-10-04,38.45,38.5,38.27,38.36,16200
2024-10-07,38.27,38.45,37.98,37.98,24402
2024-10-08,37.98,38.31,37.52,37.98,46183
2024-10-09,37.84,38.03,37.8,37.89,26433
2024-10-10,37.89,37.94,37.66,37.7,58000
2024-10-11,37.7,37.8,37.47,37.52,84155
2024-10-14,37.66,37.8,37.56,37.8,21254
2024-10-15,37.98,37.98,37.52,37.56,37307
2024-10-16,37.7,38.64,37.7,38.17,84918
2024-10-17,38.08,38.36,37.89,38.36,53810
2024-10-18,38.31,38.41,37.66,38.41,96103
2024-10-21,38.41,38.41,37.89,38.31,62610
2024-10-22,38.31,38.36,37.89,38.31,86900
2024-10-23,38.22,38.45,37.98,38.45,102001
2024-10-24,38.41,38.45,38.08,38.36,20801
