date,open,high,low,close,volume
2024-01-23,17.12,17.12,17.12,17.12,0
2024-01-24,17.12,17.12,17.12,17.12,0
2024-01-25,17.12,17.12,17.12,17.12,0
2024-01-26,17.12,17.12,17.12,17.12,0
2024-01-29,17.12,17.12,17.12,17.12,0
2024-01-30,17.12,17.12,17.12,17.12,0
2024-01-31,17.12,17.12,17.12,17.12,0
2024-02-01,17.12,17.12,17.12,17.12,0
2024-02-02,17.12,17.12,17.12,17.12,0
2024-02-05,17.12,17.12,17.12,17.12,0
2024-02-06,17.12,17.12,17.12,17.12,0
2024-02-07,17.12,17.12,17.12,17.12,0
2024-02-15,17.12,17.12,17.12,17.12,0
2024-02-16,17.12,17.12,17.12,17.12,0
2024-02-19,17.12,17.12,17.12,17.12,0
2024-02-20,17.12,17.12,17.12,17.12,0
2024-02-21,17.12,17.12,17.12,17.12,0
2024-02-22,17.12,17.12,17.12,17.12,0
2024-02-23,17.12,17.12,17.12,17.12,0
2024-02-26,17.12,17.12,17.12,17.12,0
2024-02-27,17.12,17.12,17.12,17.12,0
2024-02-28,17.12,17.12,17.12,17.12,0
2024-02-29,17.12,17.12,17.12,17.12,0
2024-03-01,17.12,17.12,17.12,17.12,0
2024-03-04,17.12,17.12,17.12,17.12,0
2024-03-05,17.12,17.12,17.12,17.12,0
2024-03-06,17.12,17.12,17.12,17.12,0
2024-03-07,17.12,17.12,17.12,17.12,0
2024-03-08,17.12,17.12,17.12,17.12,0
2024-03-11,17.12,17.12,17.12,17.12,0
2024-03-12,17.12,17.12,17.12,17.12,0
2024-03-13,17.12,17.12,17.12,17.12,0
2024-03-14,17.12,17.12,17.12,17.12,0
2024-03-15,17.12,17.12,17.12,17.12,0
2024-03-18,17.12,17.12,17.12,17.12,0
2024-03-19,17.12,17.12,17.12,17.12,0
2024-03-20,17.12,17.12,17.12,17.12,0
2024-03-21,17.12,17.12,17.12,17.12,0
2024-03-22,17.12,17.12,17.12,17.12,0
2024-03-25,17.12,17.12,17.12,17.12,0
2024-03-26,17.12,17.12,17.12,17.12,0
2024-03-27,17.12,17.12,17.12,17.12,0
2024-03-28,17.12,17.12,17.12,17.12,0
2024-03-29,17.12,17.12,17.12,17.12,0
2024-04-01,18.06,18.06,18.06,18.06,100
2024-04-02,18.06,18.06,18.06,18.06,0
2024-04-03,18.06,18.06,18.06,18.06,11
2024-04-04,18.06,18.06,18.06,18.06,11
