date,open,high,low,close,volume
2023-12-15,10.37,10.37,10.37,10.37,0
2023-12-18,10.37,10.37,10.37,10.37,0
2023-12-19,10.37,10.37,10.37,10.37,0
2023-12-20,10.37,10.37,10.37,10.37,0
2023-12-21,10.37,10.37,10.37,10.37,0
2023-12-22,10.37,10.37,10.37,10.37,0
2023-12-25,10.37,10.37,10.37,10.37,0
2023-12-26,10.37,10.37,10.37,10.37,0
2023-12-27,10.37,10.37,10.37,10.37,0
2023-12-28,10.37,10.37,10.37,10.37,0
2023-12-29,10.37,10.37,10.37,10.37,0
2024-01-02,10.37,10.37,10.37,10.37,0
2024-01-03,10.37,10.37,10.37,10.37,0
2024-01-04,10.39,10.39,10.39,10.39,0
2024-01-05,10.39,10.39,10.39,10.39,1
2024-01-08,10.39,10.39,10.39,10.39,0
2024-01-09,10.39,10.39,10.39,10.39,0
2024-01-10,10.39,10.39,10.39,10.39,0
2024-01-11,10.39,10.39,10.39,10.39,0
2024-01-12,10.39,10.39,10.39,10.39,0
2024-01-15,10.39,10.39,10.39,10.39,0
2024-01-16,10.39,10.39,10.39,10.39,0
2024-01-17,11.89,11.89,11.89,11.89,300
2024-01-18,11.89,11.89,11.89,11.89,0
2024-01-19,11.89,11.89,11.89,11.89,0
2024-01-22,11.89,11.89,11.89,11.89,0
2024-01-23,11.89,11.89,11.89,11.89,0
2024-01-24,11.89,11.89,11.89,11.89,0
2024-01-25,11.89,11.89,11.89,11.89,0
2024-01-26,11.89,11.89,11.89,11.89,0
2024-01-29,11.89,11.89,11.89,11.89,0
2024-01-30,11.89,11.89,11.89,11.89,0
2024-01-31,11.89,11.89,11.89,11.89,0
2024-02-01,11.89,11.89,11.89,11.89,0
2024-02-02,11.89,11.89,11.89,11.89,0
2024-02-05,11.89,11.89,11.89,11.89,0
2024-02-06,11.89,11.89,11.89,11.89,0
2024-02-07,11.89,11.89,11.89,11.89,0
2024-02-15,11.89,11.89,11.89,11.89,0
2024-02-16,11.87,11.87,11.87,11.87,0
2024-02-19,13.58,13.58,13.58,13.58,2100
2024-02-20,15.48,15.48,15.48,15.48,500
2024-02-21,17.63,17.63,17.63,17.63,100
2024-02-22,15.05,15.05,15.05,15.05,2000
2024-02-23,15.13,15.13,15.13,15.13,500
2024-02-26,15.13,15.13,15.13,15.13,0
2024-02-27,15.13,15.13,15.13,15.13,1000
2024-02-28,14.19,14.19,14.19,14.19,100
2024-02-29,14.79,16.25,14.79,16.25,2500
2024-03-01,16.16,18.57,16.16,18.57,5100
2024-03-04,18.06,18.06,18.06,18.06,0
2024-03-05,15.48,15.48,15.48,15.48,100
2024-03-06,15.48,15.48,15.48,15.48,0
2024-03-07,15.48,15.48,15.48,15.48,0
