date,open,high,low,close,volume
2023-07-12,6.8,6.93,6.77,6.9,4244530
2023-07-13,7.0,7.01,6.82,7.01,4201885
2023-07-14,7.2,7.33,7.02,7.2,8907808
2023-07-17,7.3,7.59,7.2,7.36,5927086
2023-07-18,7.3,7.33,7.05,7.13,5956509
2023-07-19,7.2,7.22,6.95,6.95,5692506
2023-07-20,6.9,7.1,6.89,7.05,4166442
2023-07-21,7.08,7.16,7.01,7.14,3837675
2023-07-24,7.21,7.29,7.12,7.29,5844710
2023-07-25,7.31,7.34,7.1,7.12,5619917
2023-07-26,7.14,7.33,7.09,7.26,4750944
2023-07-27,7.29,7.55,7.2,7.36,9520257
2023-07-28,7.23,7.48,7.21,7.38,9850977
2023-07-31,7.55,7.68,7.35,7.39,5710994
2023-08-01,7.45,7.45,7.1,7.1,8820435
2023-08-02,7.1,7.19,7.01,7.12,4949438
2023-08-03,7.16,7.29,7.1,7.19,3871859
2023-08-04,7.2,7.43,7.16,7.33,5510153
2023-08-07,7.5,7.5,7.3,7.34,5054880
2023-08-08,7.42,7.45,7.23,7.23,4954479
2023-08-09,7.23,7.6,7.23,7.38,8937475
2023-08-10,7.49,7.49,7.26,7.31,3994259
2023-08-11,7.35,7.37,7.05,7.23,4977445
2023-08-14,7.38,7.5,7.34,7.4,6629344
2023-08-15,7.5,7.91,7.43,7.91,11736730
2023-08-16,7.9,7.95,7.72,7.87,4501494
2023-08-17,7.8,8.12,7.52,7.52,6587839
2023-08-18,7.4,7.46,7.0,7.0,8212116
2023-08-21,6.9,6.99,6.51,6.6,5655262
2023-08-22,6.65,6.73,6.19,6.7,3558496
2023-08-23,6.75,6.8,6.52,6.57,2336010
2023-08-24,6.53,6.81,6.49,6.7,3146171
2023-08-25,6.72,6.82,6.64,6.64,2426832
2023-08-28,6.7,6.75,6.63,6.75,2600241
2023-08-29,6.84,7.02,6.78,6.84,3153893
2023-08-30,6.85,6.9,6.7,6.76,2389811
2023-08-31,6.83,6.9,6.78,6.87,3157636
2023-09-05,6.87,7.09,6.84,6.97,5260910
2023-09-06,6.97,7.0,6.83,7.0,2905327
2023-09-07,7.1,7.38,7.06,7.16,5167009
2023-09-08,7.16,7.25,7.1,7.15,3291562
2023-09-11,7.2,7.23,6.7,6.7,6631289
2023-09-12,6.72,6.86,6.67,6.83,2896657
2023-09-13,6.85,7.1,6.7,6.8,3104599
2023-09-14,6.8,6.81,6.5,6.5,3592954
2023-09-15,6.55,6.66,6.45,6.49,1425913
2023-09-18,6.49,6.62,6.47,6.57,1463924
2023-09-19,6.57,6.64,6.36,6.38,1501900
2023-09-20,6.47,6.59,6.35,6.59,1994018
2023-09-21,6.63,6.69,6.55,6.6,2569673
2023-09-22,6.52,6.52,6.14,6.14,3487205
2023-09-25,6.0,6.15,5.72,5.72,2665136
2023-09-26,5.6,5.74,5.33,5.33,3407322
