date,open,high,low,close,volume
2023-09-12,14.03,14.03,14.03,14.03,0
2023-09-13,14.03,14.03,14.03,14.03,0
2023-09-14,14.03,14.03,14.03,14.03,0
2023-09-15,14.03,14.03,14.03,14.03,0
2023-09-18,14.03,14.03,14.03,14.03,0
2023-09-19,14.03,14.03,14.03,14.03,0
2023-09-20,14.03,14.03,14.03,14.03,0
2023-09-21,14.03,14.03,14.03,14.03,0
2023-09-22,14.03,14.03,14.03,14.03,0
2023-09-25,14.03,14.03,14.03,14.03,0
2023-09-26,14.03,14.03,14.03,14.03,0
2023-09-27,14.03,14.03,14.03,14.03,0
2023-09-28,14.03,14.03,14.03,14.03,0
2023-09-29,14.03,14.03,14.03,14.03,0
2023-10-02,14.03,14.03,14.03,14.03,0
2023-10-03,14.03,14.03,14.03,14.03,0
2023-10-04,14.03,14.03,14.03,14.03,0
2023-10-05,14.03,14.03,14.03,14.03,0
2023-10-06,14.03,14.03,14.03,14.03,0
2023-10-09,14.03,14.03,14.03,14.03,0
2023-10-10,14.03,14.03,14.03,14.03,0
2023-10-11,14.03,14.03,14.03,14.03,0
2023-10-12,14.03,14.03,14.03,14.03,0
2023-10-13,14.03,14.03,14.03,14.03,0
2023-10-16,14.03,14.03,14.03,14.03,0
2023-10-17,14.03,14.03,14.03,14.03,0
2023-10-18,14.03,14.03,14.03,14.03,0
2023-10-19,14.03,14.03,14.03,14.03,0
2023-10-20,14.03,14.03,14.03,14.03,0
2023-10-23,14.03,14.03,14.03,14.03,0
2023-10-24,14.03,14.03,14.03,14.03,0
2023-10-25,14.03,14.03,14.03,14.03,0
2023-10-26,14.03,14.03,14.03,14.03,0
2023-10-27,14.03,14.03,14.03,14.03,0
2023-10-30,14.03,14.03,14.03,14.03,0
2023-10-31,14.03,14.03,14.03,14.03,0
2023-11-01,14.03,14.03,14.03,14.03,0
2023-11-02,14.03,14.03,14.03,14.03,0
2023-11-03,14.03,14.03,14.03,14.03,0
2023-11-06,14.03,14.03,14.03,14.03,0
2023-11-07,14.03,14.03,14.03,14.03,0
2023-11-08,14.03,14.03,14.03,14.03,0
2023-11-09,14.03,14.03,14.03,14.03,0
2023-11-10,14.03,14.03,14.03,14.03,0
2023-11-13,14.03,14.03,14.03,14.03,0
2023-11-14,14.03,14.03,14.03,14.03,0
2023-11-15,14.03,14.03,14.03,14.03,0
2023-11-16,14.03,14.03,14.03,14.03,0
2023-11-17,14.03,14.03,14.03,14.03,0
2023-11-20,14.03,14.03,14.03,14.03,0
2023-11-21,14.03,14.03,14.03,14.03,0
2023-11-22,14.03,14.03,14.03,14.03,0
2023-11-23,14.03,14.03,14.03,14.03,0
2023-11-24,14.03,14.03,14.03,14.03,0
2023-11-27,14.03,14.03,14.03,14.03,0
2023-11-28,14.03,14.03,14.03,14.03,0
2023-11-29,14.03,14.03,14.03,14.03,0
2023-11-30,14.03,14.03,14.03,14.03,0
2023-12-01,14.03,14.03,14.03,14.03,0
2023-12-04,14.03,14.03,14.03,14.03,0
2023-12-05,14.03,14.03,14.03,14.03,0
2023-12-06,14.03,14.03,14.03,14.03,0
2023-12-07,14.03,14.03,14.03,14.03,0
2023-12-08,14.03,14.03,14.03,14.03,0
2023-12-11,14.03,14.03,14.03,14.03,0
2023-12-12,14.03,14.03,14.03,14.03,0
2023-12-13,14.03,14.03,14.03,14.03,0
2023-12-14,14.03,14.03,14.03,14.03,0
2023-12-15,14.03,14.03,14.03,14.03,0
2023-12-18,14.03,14.03,14.03,14.03,0
2023-12-19,14.03,14.03,14.03,14.03,0
2023-12-20,14.03,14.03,14.03,14.03,0
2023-12-21,14.03,14.03,14.03,14.03,0
2023-12-22,14.03,14.03,14.03,14.03,0
2023-12-25,14.03,14.03,14.03,14.03,0
2023-12-26,14.03,14.03,14.03,14.03,0
2023-12-27,14.03,14.03,14.03,14.03,0
2023-12-28,14.03,14.03,14.03,14.03,0
2023-12-29,14.03,14.03,14.03,14.03,0
2024-01-02,14.03,14.03,14.03,14.03,0
2024-01-03,14.03,14.03,14.03,14.03,0
2024-01-04,14.03,14.03,14.03,14.03,0
2024-01-05,14.03,14.03,14.03,14.03,0
2024-01-08,14.03,14.03,14.03,14.03,0
2024-01-09,14.03,14.03,14.03,14.03,0
2024-01-10,14.03,14.03,14.03,14.03,0
2024-01-11,14.03,14.03,14.03,14.03,0
2024-01-12,14.03,14.03,14.03,14.03,0
2024-01-15,14.03,14.03,14.03,14.03,0
2024-01-16,14.03,14.03,14.03,14.03,0
2024-01-17,14.03,14.03,14.03,14.03,0
2024-01-18,14.03,14.03,14.03,14.03,0
2024-01-19,14.03,14.03,14.03,14.03,0
2024-01-22,14.03,14.03,14.03,14.03,0
2024-01-23,14.03,14.03,14.03,14.03,0
2024-01-24,14.03,14.03,14.03,14.03,0
2024-01-25,14.03,14.03,14.03,14.03,0
2024-01-26,14.03,14.03,14.03,14.03,0
2024-01-29,14.03,14.03,14.03,14.03,0
2024-01-30,14.03,14.03,14.03,14.03,0
2024-01-31,14.03,14.03,14.03,14.03,0
2024-02-01,14.03,14.03,14.03,14.03,0
2024-02-02,14.03,14.03,14.03,14.03,0
2024-02-05,14.03,14.03,14.03,14.03,0
2024-02-06,14.03,14.03,14.03,14.03,0
2024-02-07,14.03,14.03,14.03,14.03,0
2024-02-15,14.03,14.03,14.03,14.03,0
2024-02-16,14.03,14.03,14.03,14.03,0
2024-02-19,14.03,14.03,14.03,14.03,0
2024-02-20,14.03,14.03,14.03,14.03,0
2024-02-21,14.03,14.03,14.03,14.03,0
2024-02-22,14.03,14.03,14.03,14.03,0
2024-02-23,14.03,14.03,14.03,14.03,0
2024-02-26,14.03,14.03,14.03,14.03,0
2024-02-27,14.03,14.03,14.03,14.03,0
2024-02-28,14.03,14.03,14.03,14.03,0
2024-02-29,14.03,14.03,14.03,14.03,0
2024-03-01,14.03,14.03,14.03,14.03,0
2024-03-04,14.03,14.03,14.03,14.03,0
2024-03-05,14.03,14.03,14.03,14.03,0
2024-03-06,14.03,14.03,14.03,14.03,0
2024-03-07,14.03,14.03,14.03,14.03,0
2024-03-08,14.03,14.03,14.03,14.03,0
2024-03-11,14.03,14.03,14.03,14.03,0
2024-03-12,14.03,14.03,14.03,14.03,0
2024-03-13,14.03,14.03,14.03,14.03,0
2024-03-14,16.13,16.13,16.13,16.13,100
2024-03-15,16.13,16.13,16.13,16.13,0
2024-03-18,16.13,16.13,16.13,16.13,0
2024-03-19,16.13,16.13,16.13,16.13,0
2024-03-20,16.13,16.13,16.13,16.13,0
2024-03-21,16.13,16.13,16.13,16.13,0
2024-03-22,16.13,16.13,16.13,16.13,0
2024-03-25,16.13,16.13,16.13,16.13,0
2024-03-26,16.13,16.13,16.13,16.13,0
2024-03-27,16.13,16.13,16.13,16.13,0
2024-03-28,16.13,16.13,16.13,16.13,0
2024-03-29,16.13,16.13,16.13,16.13,0
2024-04-01,16.13,16.13,16.13,16.13,0
2024-04-02,16.13,16.13,16.13,16.13,0
2024-04-03,16.13,16.13,16.13,16.13,0
2024-04-04,16.13,16.13,16.13,16.13,0
2024-04-05,16.13,16.13,16.13,16.13,0
2024-04-08,16.13,16.13,16.13,16.13,0
2024-04-09,16.13,16.13,16.13,16.13,0
2024-04-10,16.13,16.13,16.13,16.13,0
2024-04-11,16.13,16.13,16.13,16.13,0
2024-04-12,16.13,16.13,16.13,16.13,0
2024-04-15,16.13,16.13,16.13,16.13,0
2024-04-16,16.13,16.13,16.13,16.13,0
2024-04-17,16.13,16.13,16.13,16.13,0
2024-04-19,16.13,16.13,16.13,16.13,0
2024-04-22,16.13,16.13,16.13,16.13,0
2024-04-23,16.13,16.13,16.13,16.13,0
2024-04-24,16.13,16.13,16.13,16.13,0
2024-04-25,16.13,16.13,16.13,16.13,0
2024-04-26,16.13,16.13,16.13,16.13,0
2024-05-02,16.13,16.13,16.13,16.13,0
2024-05-03,16.13,16.13,16.13,16.13,0
2024-05-06,16.13,16.13,16.13,16.13,0
2024-05-07,16.13,16.13,16.13,16.13,0
2024-05-08,16.13,16.13,16.13,16.13,0
2024-05-09,16.13,16.13,16.13,16.13,0
2024-05-10,16.13,16.13,16.13,16.13,0
2024-05-13,16.13,16.13,16.13,16.13,0
2024-05-14,16.13,16.13,16.13,16.13,0
2024-05-15,16.13,16.13,16.13,16.13,0
2024-05-16,16.13,16.13,16.13,16.13,0
2024-05-17,16.13,16.13,16.13,16.13,0
2024-05-20,16.13,16.13,16.13,16.13,0
2024-05-21,16.13,16.13,16.13,16.13,0
2024-05-22,16.13,16.13,16.13,16.13,1
2024-05-23,16.13,16.13,16.13,16.13,0
2024-05-24,16.13,16.13,16.13,16.13,0
2024-05-27,16.13,16.13,16.13,16.13,0
2024-05-28,16.13,16.13,16.13,16.13,0
2024-05-29,16.13,16.13,16.13,16.13,0
2024-05-30,16.13,16.13,16.13,16.13,0
2024-05-31,16.13,16.13,16.13,16.13,0
2024-06-03,16.13,16.13,16.13,16.13,0
2024-06-04,16.13,16.13,16.13,16.13,0
2024-06-05,16.13,16.13,16.13,16.13,0
2024-06-06,16.13,16.13,16.13,16.13,0
2024-06-07,16.13,16.13,16.13,16.13,0
2024-06-10,16.13,16.13,16.13,16.13,0
2024-06-11,16.13,16.13,16.13,16.13,0
2024-06-12,16.13,16.13,16.13,16.13,0
2024-06-13,16.13,16.13,16.13,16.13,0
2024-06-14,16.13,16.13,16.13,16.13,0
2024-06-17,16.13,16.13,16.13,16.13,0
2024-06-18,16.13,16.13,16.13,16.13,0
2024-06-19,16.13,16.13,16.13,16.13,0
2024-06-20,16.13,16.13,16.13,16.13,0
2024-06-21,16.13,16.13,16.13,16.13,0
2024-06-24,16.13,16.13,16.13,16.13,0
2024-06-25,16.13,16.13,16.13,16.13,0
2024-06-26,16.13,16.13,16.13,16.13,0
2024-06-27,16.13,16.13,16.13,16.13,0
2024-06-28,16.13,16.13,16.13,16.13,0
2024-07-01,16.13,16.13,16.13,16.13,0
2024-07-02,16.13,16.13,16.13,16.13,0
2024-07-03,16.13,16.13,16.13,16.13,0
2024-07-04,16.13,16.13,16.13,16.13,0
2024-07-05,16.13,16.13,16.13,16.13,0
2024-07-08,16.13,16.13,16.13,16.13,0
2024-07-09,16.13,16.13,16.13,16.13,0
2024-07-10,16.13,16.13,16.13,16.13,0
2024-07-11,16.13,16.13,16.13,16.13,0
2024-07-12,16.13,16.13,16.13,16.13,0
2024-07-15,16.13,16.13,16.13,16.13,0
2024-07-16,16.13,16.13,16.13,16.13,0
2024-07-17,16.13,16.13,16.13,16.13,0
2024-07-18,16.13,16.13,16.13,16.13,0
2024-07-19,16.13,16.13,16.13,16.13,0
2024-07-22,16.13,16.13,16.13,16.13,0
2024-07-23,16.13,16.13,16.13,16.13,0
2024-07-24,16.13,16.13,16.13,16.13,0
2024-07-25,16.13,16.13,16.13,16.13,0
2024-07-26,16.13,16.13,16.13,16.13,0
2024-07-29,16.13,16.13,16.13,16.13,0
2024-07-30,16.13,16.13,16.13,16.13,0
2024-07-31,16.13,16.13,16.13,16.13,0
2024-08-01,16.13,16.13,16.13,16.13,0
2024-08-02,16.13,16.13,16.13,16.13,0
2024-08-05,16.13,16.13,16.13,16.13,0
2024-08-06,16.13,16.13,16.13,16.13,0
2024-08-07,16.13,16.13,16.13,16.13,0
2024-08-08,16.13,16.13,16.13,16.13,0
2024-08-09,16.13,16.13,16.13,16.13,0
2024-08-12,16.13,16.13,16.13,16.13,0
2024-08-13,16.13,16.13,16.13,16.13,0
2024-08-14,16.13,16.13,16.13,16.13,0
2024-08-15,16.13,16.13,16.13,16.13,0
2024-08-16,16.13,16.13,16.13,16.13,0
2024-08-19,16.13,16.13,16.13,16.13,0
2024-08-20,16.13,16.13,16.13,16.13,0
2024-08-21,16.13,16.13,16.13,16.13,0
2024-08-22,16.13,16.13,16.13,16.13,0
2024-08-23,16.13,16.13,16.13,16.13,0
2024-08-26,16.13,16.13,16.13,16.13,0
2024-08-27,16.13,16.13,16.13,16.13,0
2024-08-28,16.13,16.13,16.13,16.13,0
2024-08-29,16.13,16.13,16.13,16.13,0
2024-08-30,16.13,16.13,16.13,16.13,0
2024-09-04,16.13,16.13,16.13,16.13,0
2024-09-05,16.13,16.13,16.13,16.13,0
2024-09-06,16.13,16.13,16.13,16.13,0
2024-09-09,16.13,16.13,16.13,16.13,0
2024-09-10,16.13,16.13,16.13,16.13,0
2024-09-11,16.13,16.13,16.13,16.13,0
2024-09-12,16.13,16.13,16.13,16.13,0
2024-09-13,16.13,16.13,16.13,16.13,0
2024-09-16,16.13,16.13,16.13,16.13,0
2024-09-17,16.13,16.13,16.13,16.13,0
2024-09-18,16.13,16.13,16.13,16.13,0
2024-09-19,16.13,16.13,16.13,16.13,0
2024-09-20,16.13,16.13,16.13,16.13,0
2024-09-23,16.13,16.13,16.13,16.13,0
