date,open,high,low,close,volume
2024-01-30,47.0,47.08,46.57,46.57,3429
2024-01-31,46.65,46.74,46.57,46.65,5606
2024-02-01,46.65,47.0,46.31,47.0,8325
2024-02-02,46.91,47.0,46.74,46.83,8384
2024-02-05,46.83,46.83,46.48,46.74,43513
2024-02-06,46.65,46.91,46.48,46.74,11531
2024-02-07,46.91,47.0,46.57,46.91,19266
2024-02-15,46.91,47.34,46.31,46.91,59775
2024-02-16,46.65,46.91,46.65,46.74,7295
2024-02-19,46.65,46.83,46.57,46.74,23452
2024-02-20,46.91,46.91,46.23,46.74,8417
2024-02-21,46.74,46.74,46.48,46.74,12274
2024-02-22,46.65,46.91,46.57,46.83,14533
2024-02-23,47.0,47.17,46.83,46.83,15406
2024-02-26,46.65,47.0,46.65,46.83,20510
2024-02-27,46.91,47.0,46.83,47.0,11140
2024-02-28,46.83,47.08,46.83,46.91,24525
2024-02-29,47.0,47.0,46.83,46.91,18156
2024-03-01,46.91,47.0,46.65,47.0,32898
2024-03-04,47.34,50.24,47.08,50.24,123669
2024-03-05,50.07,50.07,48.79,49.47,11442
2024-03-06,48.71,49.56,48.71,49.3,19020
2024-03-07,49.3,49.47,48.53,48.79,15232
2024-03-08,48.62,48.96,48.28,48.96,22570
2024-03-11,49.13,49.3,48.96,48.96,9466
2024-03-12,48.96,49.22,48.79,49.22,6802
2024-03-13,49.39,49.47,49.22,49.3,29216
2024-03-14,49.39,50.18,49.21,49.48,45266
2024-03-15,49.48,49.48,48.86,49.3,21916
2024-03-18,49.83,49.83,48.6,49.04,21781
2024-03-19,49.04,49.57,49.04,49.39,17204
2024-03-20,49.39,49.65,49.21,49.65,19208
2024-03-21,49.74,50.0,49.57,49.74,28242
2024-03-22,49.92,49.92,49.39,49.74,13107
2024-03-25,49.83,50.53,49.74,50.0,16740
2024-03-26,50.09,50.09,49.3,49.48,15680
2024-03-27,49.48,49.57,49.48,49.57,11103
2024-03-28,49.65,49.65,49.48,49.65,10053
2024-03-29,49.65,50.0,49.65,49.65,924
2024-04-01,50.09,50.09,49.39,49.57,10034
2024-04-02,49.48,49.57,49.3,49.39,8369
2024-04-03,49.57,50.0,49.39,49.65,7229
2024-04-04,49.74,49.83,49.39,49.65,4626
2024-04-05,49.39,49.48,49.13,49.48,13270
2024-04-08,49.65,49.74,49.48,49.74,5800
2024-04-09,50.71,50.71,49.74,49.74,8470
2024-04-10,50.18,50.18,49.65,50.09,6123
2024-04-11,50.18,50.18,49.65,50.0,4249
2024-04-12,50.0,50.0,49.65,50.0,12834
2024-04-15,49.65,50.0,49.57,49.57,14116
2024-04-16,49.57,49.57,48.77,48.77,25480
2024-04-17,48.77,49.48,48.77,49.21,31841
2024-04-19,49.21,49.48,47.9,48.34,31231
2024-04-22,48.34,48.77,48.34,48.77,15661
2024-04-23,48.34,48.77,48.25,48.25,4245
2024-04-24,47.98,48.77,47.72,48.77,12483
2024-04-25,48.42,48.86,48.42,48.86,2456
2024-04-26,47.98,48.86,47.98,48.86,11489
2024-05-02,49.04,49.04,48.69,48.86,8192
2024-05-03,48.77,49.04,48.77,48.77,8639
2024-05-06,49.04,49.04,48.6,48.6,30279
2024-05-07,48.77,49.92,48.51,48.69,40261
2024-05-08,48.69,49.13,48.42,48.86,7895
2024-05-09,48.6,49.13,48.34,49.04,9728
2024-05-10,49.04,49.13,48.6,48.69,4194
2024-05-13,48.69,48.77,48.34,48.77,9904
2024-05-14,48.77,48.86,48.51,48.77,3306
2024-05-15,48.6,48.77,48.6,48.6,9201
2024-05-16,48.6,48.69,48.34,48.6,4140
2024-05-17,48.6,48.6,48.51,48.6,8708
2024-05-20,48.6,50.0,48.51,48.77,15264
2024-05-21,48.86,49.65,48.86,49.21,20500
2024-05-22,49.92,49.92,49.13,49.13,5994
2024-05-23,49.13,49.21,48.34,49.13,3273
2024-05-24,49.04,49.74,48.86,48.95,20871
2024-05-27,48.42,49.74,48.42,48.86,8614
2024-05-28,49.04,49.57,48.86,49.21,3712
2024-05-29,49.21,49.3,48.86,49.3,4874
2024-05-30,49.3,49.3,49.21,49.3,24958
2024-05-31,49.3,49.3,49.04,49.04,5187
2024-06-03,49.04,49.65,48.95,49.04,11643
2024-06-04,49.04,49.21,48.95,49.21,13107
2024-06-05,49.21,49.21,48.95,49.13,7600
2024-06-06,49.13,49.3,48.95,49.13,21680
2024-06-07,49.13,49.13,48.95,49.13,17243
2024-06-10,49.74,49.74,49.04,49.04,16873
2024-06-11,49.21,49.57,49.04,49.21,7635
2024-06-12,49.21,49.21,48.34,49.04,10320
2024-06-13,49.04,49.39,49.04,49.21,6592
2024-06-14,49.21,49.3,49.13,49.13,5629
2024-06-17,49.13,49.3,48.95,49.04,4793
2024-06-18,49.13,49.74,49.04,49.39,9414
2024-06-19,49.65,49.65,49.3,49.3,31346
2024-06-20,49.57,49.57,49.39,49.48,8879
2024-06-21,49.48,50.44,49.48,50.44,44113
2024-06-24,50.36,51.41,50.09,50.44,26113
2024-06-25,50.44,50.53,49.65,50.53,27217
2024-06-26,50.62,51.24,50.09,50.53,28560
2024-06-27,50.8,50.88,50.27,50.53,22899
2024-06-28,50.62,50.8,50.0,50.0,17473
2024-07-01,50.09,50.44,49.92,50.18,10510
2024-07-02,50.18,50.53,50.0,50.18,14044
2024-07-03,50.18,50.44,50.09,50.27,3729
2024-07-04,50.0,50.36,49.21,50.18,14001
2024-07-05,50.18,50.62,50.0,50.0,8742
2024-07-08,49.92,50.27,49.92,50.27,13417
2024-07-09,50.27,50.62,50.09,50.27,6528
2024-07-10,50.18,50.53,50.18,50.36,14711
2024-07-11,50.36,50.36,50.09,50.36,4853
2024-07-12,50.27,50.27,50.09,50.27,5300
2024-07-15,50.88,51.32,50.44,51.32,17544
2024-07-16,51.32,51.76,50.97,51.06,13461
2024-07-17,51.06,51.5,50.53,50.53,9215
2024-07-18,50.53,50.53,50.09,50.44,7100
2024-07-19,50.53,50.53,50.44,50.44,2054
2024-07-22,50.53,50.53,46.93,50.09,13447
2024-07-23,49.65,49.83,49.39,49.39,4360
2024-07-24,49.39,49.39,48.34,49.3,14119
2024-07-25,49.13,49.21,48.51,48.77,11185
2024-07-26,48.77,48.77,48.34,48.77,10876
2024-07-29,48.86,49.83,48.86,49.57,10500
2024-07-30,49.83,49.83,49.21,49.57,5402
2024-07-31,49.57,49.57,48.86,48.86,19320
2024-08-01,49.21,49.21,48.69,48.69,7446
2024-08-02,48.69,48.77,48.6,48.69,8823
2024-08-05,48.51,48.6,47.46,47.9,17001
2024-08-06,47.46,47.81,47.37,47.72,40386
2024-08-07,47.63,48.34,47.63,47.81,10165
2024-08-08,48.34,48.34,47.81,47.9,5464
2024-08-09,47.9,48.51,47.9,47.98,4480
2024-08-12,47.98,48.25,47.98,48.25,3463
2024-08-13,48.25,48.69,48.25,48.34,1451
2024-08-14,48.34,48.42,47.98,47.98,3404
2024-08-15,48.42,48.42,47.81,48.34,5127
2024-08-16,48.34,48.51,48.34,48.51,5611
2024-08-19,48.69,49.21,48.34,48.34,11103
2024-08-20,48.34,48.69,48.16,48.51,8534
2024-08-21,48.69,48.69,48.34,48.42,12379
2024-08-22,48.69,48.77,48.51,48.51,5886
2024-08-23,48.51,48.77,48.42,48.42,4989
2024-08-26,48.86,48.86,48.34,48.34,13233
2024-08-27,48.69,48.69,48.34,48.51,14116
2024-08-28,48.42,48.69,48.34,48.69,12432
2024-08-29,48.69,48.77,48.42,48.69,11680
2024-08-30,48.69,48.86,48.34,48.6,9982
2024-09-04,48.6,49.21,48.16,48.69,17326
2024-09-05,48.77,48.77,48.34,48.77,9274
2024-09-06,48.34,48.69,48.34,48.69,3538
2024-09-09,48.51,48.51,48.34,48.34,6212
2024-09-10,48.34,48.42,48.16,48.16,3136
2024-09-11,48.6,48.6,47.98,48.34,8893
2024-09-12,48.34,48.6,48.34,48.6,2839
2024-09-13,48.51,48.51,48.34,48.51,3552
2024-09-16,48.51,48.69,48.42,48.69,3614
2024-09-17,48.69,48.69,48.6,48.6,5379
2024-09-18,48.6,48.69,48.6,48.69,1544
2024-09-19,48.69,48.77,48.51,48.51,3465
2024-09-20,48.42,48.51,48.34,48.51,2901
2024-09-23,48.34,48.86,48.34,48.6,2972
2024-09-24,48.6,48.69,48.51,48.69,9422
2024-09-25,48.77,48.77,48.77,48.77,6397
2024-09-26,48.86,49.04,48.77,48.86,9327
2024-09-27,48.86,48.86,48.69,48.86,3985
2024-09-30,48.6,48.95,48.6,48.95,8975
2024-10-01,48.95,48.95,48.77,48.95,29456
2024-10-02,48.86,48.86,48.51,48.86,845
2024-10-03,48.42,48.86,48.34,48.86,7263
2024-10-04,48.69,48.69,48.51,48.69,1394
2024-10-07,48.51,48.51,48.34,48.51,4463
2024-10-08,48.6,48.77,48.42,48.6,3801
2024-10-09,48.51,48.51,48.34,48.34,6482
2024-10-10,48.34,48.34,48.34,48.34,2716
2024-10-11,48.34,48.34,48.25,48.34,5107
2024-10-14,48.34,48.42,48.16,48.34,7649
2024-10-15,48.42,48.6,48.34,48.6,1912
2024-10-16,48.42,48.69,48.42,48.6,17100
2024-10-17,48.77,48.86,48.6,48.86,4316
2024-10-18,48.86,49.21,48.86,49.21,3314
2024-10-21,49.21,49.21,48.25,48.42,7544
2024-10-22,48.51,48.69,48.51,48.69,3501
2024-10-23,49.21,49.3,48.86,49.3,7361
2024-10-24,49.3,49.3,49.21,49.3,1093
2024-10-25,49.3,49.3,48.34,48.42,5828
2024-10-28,48.42,48.86,48.25,48.42,5054
2024-10-29,48.77,48.77,48.6,48.6,3401
2024-10-30,48.6,48.86,48.34,48.86,8300
2024-10-31,48.95,49.04,48.51,48.86,14741
2024-11-01,48.86,48.86,48.34,48.42,10010
2024-11-04,48.42,48.86,48.07,48.07,5237
2024-11-05,48.07,48.16,47.98,47.98,11960
2024-11-06,48.07,48.86,48.07,48.25,2410
2024-11-07,48.25,48.69,48.25,48.51,2341
2024-11-08,48.77,48.77,48.16,48.16,7137
2024-11-11,48.34,48.42,48.16,48.16,12248
2024-11-12,48.34,48.34,47.98,48.16,11121
