date,open,high,low,close,volume
2024-01-30,19.42,20.92,19.34,20.84,2390962
2024-01-31,20.84,20.99,19.94,20.09,1810515
2024-02-01,20.02,21.52,19.94,21.44,2113244
2024-02-02,21.52,22.12,20.92,21.07,1013135
2024-02-05,21.07,21.37,20.62,20.84,1204731
2024-02-06,20.99,21.29,20.62,20.99,849856
2024-02-07,21.14,21.52,20.99,20.99,584245
2024-02-15,21.07,21.89,20.99,21.37,1697631
2024-02-16,21.44,22.04,21.14,21.22,1030462
2024-02-19,21.37,21.59,20.62,21.29,1665423
2024-02-20,21.29,21.74,21.22,21.59,897802
2024-02-21,21.59,22.34,21.44,22.04,1709721
2024-02-22,22.04,22.19,21.59,21.59,848923
2024-02-23,21.59,21.74,20.54,20.69,2030708
2024-02-26,20.69,21.14,20.47,21.07,879698
2024-02-27,21.22,21.74,20.92,21.44,1457933
2024-02-28,21.59,21.74,21.14,21.44,869122
2024-02-29,21.44,21.59,20.84,21.07,1333203
2024-03-01,21.07,22.27,20.99,21.97,1531025
2024-03-04,21.89,22.72,21.82,22.04,1364630
2024-03-05,22.04,22.19,21.59,21.67,927739
2024-03-06,21.74,21.74,21.07,21.22,1351105
2024-03-07,21.14,21.44,21.14,21.37,757372
2024-03-08,21.44,22.04,21.07,21.52,1817496
2024-03-11,21.52,22.04,21.22,21.29,1140225
2024-03-12,21.29,22.34,21.14,21.89,2402594
2024-03-13,22.04,23.54,22.04,23.39,2293689
2024-03-14,23.39,23.76,22.87,23.39,1429216
2024-03-15,23.39,23.39,22.64,23.24,1064526
2024-03-18,23.24,23.39,21.07,21.74,2785462
2024-03-19,21.82,21.97,21.29,21.74,855921
2024-03-20,21.74,22.04,21.37,21.89,657209
2024-03-21,22.04,22.27,21.89,22.04,1012747
2024-03-22,22.04,22.49,21.89,21.97,1250736
2024-03-25,22.19,22.19,21.52,21.59,1157102
2024-03-26,21.59,22.19,21.29,22.12,888317
2024-03-27,22.27,22.27,21.82,22.12,415039
2024-03-28,22.27,22.79,22.04,22.64,1013004
2024-03-29,22.72,22.87,22.34,22.34,579567
2024-04-01,22.34,23.02,22.12,22.34,1078146
2024-04-02,22.19,22.79,21.74,22.19,722402
2024-04-03,22.19,22.72,21.89,22.04,995583
2024-04-04,22.27,22.27,21.59,21.67,844631
2024-04-05,21.52,22.04,21.07,21.14,1420581
2024-04-08,21.29,21.67,20.69,20.69,1028921
2024-04-09,20.69,21.14,20.62,21.14,619901
2024-04-10,21.29,21.52,20.92,20.99,526526
2024-04-11,20.84,21.07,20.69,20.84,363385
2024-04-12,20.99,21.44,20.77,21.29,536067
2024-04-15,20.62,21.29,19.19,19.19,955586
2024-04-16,19.19,19.27,18.37,18.74,951874
2024-04-17,18.97,19.64,18.82,18.89,807248
2024-04-19,19.12,19.12,17.47,17.84,966659
2024-04-22,17.84,18.52,17.84,18.44,392467
2024-04-23,18.52,18.97,18.14,18.44,803308
2024-04-24,18.67,19.27,18.59,19.12,466267
2024-04-25,19.12,19.72,18.89,19.34,592432
2024-04-26,19.19,19.87,19.12,19.19,524777
2024-05-02,19.19,19.27,18.89,19.12,349083
2024-05-03,20.92,20.92,19.12,19.12,339139
2024-05-06,19.49,19.64,19.19,19.49,481788
2024-05-07,19.57,19.87,19.42,19.72,426215
2024-05-08,19.72,19.87,19.34,19.57,422673
2024-05-09,19.57,20.24,19.57,19.57,522631
2024-05-10,19.72,20.17,19.34,19.72,362063
2024-05-13,19.72,19.79,19.34,19.57,387648
2024-05-14,19.57,20.02,19.42,19.72,523894
2024-05-15,19.94,19.94,19.57,19.79,372636
2024-05-16,20.02,20.54,20.02,20.47,1006053
2024-05-17,20.54,21.29,20.47,21.22,961454
2024-05-20,21.22,21.52,20.99,20.99,692429
2024-05-21,20.99,23.09,20.77,23.09,2771587
2024-05-22,25.34,25.34,23.24,25.34,3466082
2024-05-23,25.34,27.66,24.44,26.01,1681718
2024-05-24,25.94,26.01,23.47,23.69,2489246
2024-05-27,23.69,25.49,23.54,24.89,1639470
2024-05-28,24.89,26.46,24.66,25.64,1510164
2024-05-29,25.79,26.24,24.59,24.96,1582034
2024-05-30,24.74,25.04,23.76,24.59,1592592
2024-05-31,24.59,24.66,23.84,24.29,1091711
2024-06-03,24.36,25.71,24.36,25.26,1053184
2024-06-04,25.26,25.86,24.96,25.11,1346857
2024-06-05,25.19,26.76,25.19,25.79,2141706
2024-06-06,26.16,26.16,25.11,25.34,864692
2024-06-07,25.56,26.61,24.59,25.26,1322086
2024-06-10,25.34,25.86,25.11,25.41,717018
2024-06-11,25.56,26.69,25.26,26.61,2177535
2024-06-12,26.69,27.51,26.16,26.31,1275904
2024-06-13,26.39,26.61,25.34,25.34,2074508
2024-06-14,27.5,27.76,24.57,24.57,1356426
2024-06-17,24.14,24.91,23.88,23.88,1049483
2024-06-18,23.88,24.48,23.36,24.14,614885
2024-06-19,24.23,24.91,23.97,24.83,707033
2024-06-20,24.91,25.09,24.23,24.57,557109
2024-06-21,24.57,25.69,24.57,25.09,861712
2024-06-24,25.09,25.17,23.28,23.79,1263822
2024-06-25,24.05,24.31,23.79,24.31,409245
2024-06-26,24.31,25.0,23.88,25.0,582701
2024-06-27,25.0,26.12,24.91,25.35,2429306
2024-06-28,25.35,25.86,24.14,24.4,912529
2024-07-01,24.4,24.57,23.71,24.4,567314
2024-07-02,24.4,25.26,24.14,25.09,737846
2024-07-03,25.09,25.09,24.4,24.83,691779
2024-07-04,24.83,25.78,24.83,25.43,733378
2024-07-05,25.43,26.12,24.66,25.43,947403
2024-07-08,25.43,26.73,25.43,26.73,2083109
2024-07-09,26.98,29.4,26.98,29.4,2031068
2024-07-10,30.17,31.12,29.05,29.05,1989436
2024-07-11,29.05,29.4,28.19,28.28,1523345
2024-07-12,28.54,28.79,27.93,28.79,1035543
2024-07-15,28.79,30.0,28.45,29.05,856855
2024-07-16,29.05,29.48,28.28,28.36,1018775
2024-07-17,28.36,28.54,25.6,25.78,2898994
2024-07-18,25.78,27.16,25.6,27.16,1124266
2024-07-19,27.16,27.24,25.95,26.38,771873
2024-07-22,26.55,26.73,25.26,25.6,1471137
2024-07-23,25.95,25.95,24.31,24.4,1434663
2024-07-24,24.14,25.6,23.71,25.52,1067419
2024-07-25,25.0,25.52,24.74,25.26,445061
2024-07-26,25.09,26.04,25.0,25.86,633168
2024-07-29,25.86,25.86,24.31,24.83,2549097
2024-07-30,24.83,25.0,24.05,24.57,1261010
2024-07-31,24.57,24.74,23.71,23.79,924145
2024-08-01,23.88,23.97,21.98,22.07,2014791
2024-08-02,21.98,22.93,20.78,22.76,710363
2024-08-05,22.76,22.76,20.78,20.78,1055148
2024-08-06,20.78,21.47,20.78,21.38,892344
2024-08-07,21.38,21.81,20.69,21.38,987821
2024-08-08,21.38,21.9,20.86,21.29,878734
2024-08-09,21.55,21.81,20.86,21.55,827222
2024-08-12,21.55,22.24,21.29,22.16,1066970
2024-08-13,22.41,22.85,21.55,21.72,759412
2024-08-14,21.72,22.16,21.29,21.64,658926
2024-08-15,21.55,21.55,20.86,20.86,1032745
2024-08-16,20.86,22.76,20.86,22.76,1707166
2024-08-19,22.07,23.1,22.07,22.76,1036444
2024-08-20,22.59,23.62,22.41,23.54,1288047
2024-08-21,23.45,23.62,23.1,23.28,903823
2024-08-22,23.36,23.62,22.85,23.02,714694
2024-08-23,23.02,23.28,22.67,23.28,727451
2024-08-26,23.28,23.71,22.76,23.02,644862
2024-08-27,22.85,23.02,22.59,22.76,561489
2024-08-28,22.85,22.93,22.07,22.41,1001833
2024-08-29,22.41,22.41,21.98,21.98,396136
2024-08-30,22.16,22.24,21.98,22.24,275243
2024-09-04,22.24,22.24,21.64,22.16,655109
2024-09-05,22.16,22.41,21.72,21.9,412375
2024-09-06,21.64,21.98,21.64,21.9,252533
2024-09-09,21.55,21.9,21.55,21.55,352477
2024-09-10,19.4,21.81,19.4,21.12,597578
2024-09-11,21.12,21.12,20.26,20.69,788098
2024-09-12,20.69,21.21,20.69,20.78,335401
2024-09-13,20.6,21.12,20.6,21.04,249507
2024-09-16,21.21,21.29,20.69,20.69,225275
2024-09-17,20.69,21.12,20.52,21.12,369802
2024-09-18,21.12,21.47,21.04,21.12,385414
2024-09-19,21.29,22.24,21.21,22.07,743734
2024-09-20,22.07,22.85,21.72,21.98,642246
2024-09-23,21.98,21.98,21.47,21.47,326596
2024-09-24,21.55,22.24,21.38,22.16,684367
2024-09-25,22.33,22.67,22.16,22.16,607076
2024-09-26,22.16,22.33,21.81,21.98,562336
2024-09-27,21.98,22.33,21.81,21.9,434383
2024-09-30,21.9,21.98,21.72,21.81,314035
2024-10-01,21.98,22.41,21.72,22.16,690807
2024-10-02,22.33,22.33,21.81,21.9,271434
2024-10-03,22.07,22.07,21.12,21.29,699461
2024-10-04,21.29,21.29,21.04,21.04,348502
2024-10-07,21.21,21.29,20.95,21.04,204920
2024-10-08,21.12,21.47,21.04,21.21,264652
2024-10-09,21.38,21.81,21.38,21.81,443942
2024-10-10,21.81,21.98,21.64,21.72,227670
2024-10-11,21.72,21.81,21.55,21.72,156566
2024-10-14,19.83,22.41,19.57,21.9,652959
2024-10-15,21.98,22.16,21.29,21.38,345949
2024-10-16,21.55,21.55,21.12,21.12,223978
2024-10-17,21.29,22.07,21.04,21.9,673577
2024-10-18,21.98,22.41,21.81,21.81,754915
2024-10-21,21.81,22.16,21.64,21.81,426853
2024-10-22,21.81,21.9,21.38,21.38,627574
2024-10-23,21.47,21.9,21.21,21.47,392866
2024-10-24,21.64,21.64,21.21,21.21,238970
2024-10-25,21.38,21.38,21.12,21.21,266604
2024-10-28,21.38,21.47,21.21,21.29,262434
2024-10-29,21.38,21.9,21.04,21.72,599642
2024-10-30,21.9,22.33,21.9,22.16,1092766
2024-10-31,22.16,22.41,21.9,22.07,254088
2024-11-01,21.98,22.16,21.38,21.47,668342
2024-11-04,21.47,21.64,21.12,21.55,487838
2024-11-05,21.38,21.72,21.21,21.47,365205
2024-11-06,21.64,23.36,21.64,23.36,3057641
2024-11-07,23.62,23.62,22.85,22.85,873211
2024-11-08,23.02,23.54,22.85,23.45,1861095
2024-11-11,21.38,24.14,21.38,23.54,1429162
2024-11-12,23.71,24.31,23.28,23.28,1700526
2024-11-13,23.28,23.71,22.85,23.71,1503655
2024-11-14,23.62,24.31,23.28,23.28,1575563
2024-11-15,23.28,23.88,22.85,23.1,2076290
2024-11-18,23.02,23.1,21.81,21.9,2043363
2024-11-19,21.98,22.33,21.38,21.38,1054781
2024-11-20,21.38,22.33,21.21,21.9,1042211
2024-11-21,21.9,22.16,21.81,22.07,346911
2024-11-22,22.07,22.24,21.81,22.07,567529
2024-11-25,22.16,22.41,21.9,22.24,522817
2024-11-26,22.33,22.93,22.24,22.59,971906
2024-11-27,22.76,22.76,22.24,22.76,572438
2024-11-28,22.93,23.1,22.5,22.85,734379
2024-11-29,22.76,23.54,22.59,23.02,1261417
2024-12-02,23.02,23.45,23.02,23.02,670034
2024-12-03,22.85,23.45,22.76,22.93,908420
2024-12-04,22.93,23.1,22.5,22.5,1176441
2024-12-05,22.5,23.88,22.16,23.79,1732293
2024-12-06,23.79,24.48,23.62,23.71,2202394
2024-12-09,23.79,23.97,23.45,23.54,797203
2024-12-10,21.47,23.88,21.47,23.45,841163
2024-12-11,23.45,23.45,23.1,23.19,657200
2024-12-12,23.1,23.62,22.93,22.93,743936
2024-12-13,23.1,23.1,22.76,22.85,448035
2024-12-16,23.02,23.36,22.93,23.28,554556
2024-12-17,23.36,23.62,23.28,23.36,735533
2024-12-18,23.36,23.54,23.1,23.28,506606
2024-12-19,23.19,23.19,22.5,22.67,1355588
2024-12-20,22.67,22.85,22.5,22.76,596265
2024-12-23,22.93,23.71,22.93,23.45,1082403
2024-12-24,23.54,24.48,23.54,24.14,3211949
2024-12-25,24.23,24.57,23.88,23.88,920104
2024-12-26,23.88,24.14,23.62,23.62,958566
2024-12-27,23.54,23.71,23.1,23.19,1346281
2024-12-30,23.19,23.45,23.1,23.28,374831
2024-12-31,23.28,23.45,23.19,23.28,338840
2025-01-02,23.28,23.45,23.02,23.19,420855
2025-01-03,23.28,23.62,23.19,23.36,886196
2025-01-06,23.36,23.45,21.55,22.33,1290311
2025-01-07,22.24,22.85,21.98,22.07,1121118
2025-01-08,22.07,22.33,21.9,22.33,584572
2025-01-09,22.33,22.59,22.07,22.16,500608
2025-01-10,22.16,22.24,20.86,20.86,1388397
2025-01-13,20.86,20.95,20.26,20.78,804694
2025-01-14,20.95,21.29,20.69,20.86,688443
2025-01-15,20.95,21.38,20.86,21.29,345340
2025-01-16,21.38,21.55,21.04,21.04,432801
2025-01-17,21.21,21.72,21.04,21.55,646280
2025-01-20,21.55,21.64,21.29,21.38,208183
2025-01-21,19.83,21.98,19.31,20.95,734813
2025-01-22,21.12,21.21,20.78,20.86,324396
2025-01-23,21.12,21.12,20.86,21.04,360746
2025-01-24,18.97,21.29,18.97,20.95,272268
2025-02-03,20.78,20.78,20.35,20.52,791258
2025-02-04,20.69,20.69,20.26,20.26,1272196
2025-02-05,20.26,20.86,20.26,20.52,845477
2025-02-06,20.69,20.69,20.35,20.35,508014
2025-02-07,20.52,20.52,19.57,19.57,1740432
2025-02-10,19.57,19.57,19.14,19.14,854437
2025-02-11,19.31,19.57,19.14,19.4,503988
2025-02-12,19.4,19.74,19.4,19.48,407805
2025-02-13,19.48,19.83,19.48,19.48,330604
2025-02-14,19.74,20.17,19.48,19.91,812902
2025-02-17,18.28,20.0,18.28,19.48,609235
2025-02-18,19.57,20.0,19.57,19.66,398660
2025-02-19,19.83,20.26,19.66,20.17,1030472
2025-02-20,20.17,20.43,19.91,19.91,665168
2025-02-21,20.09,20.09,19.74,19.74,473838
2025-02-24,19.57,19.83,19.57,19.74,411640
2025-02-25,19.66,20.35,19.66,20.0,871346
2025-02-26,20.17,20.69,20.0,20.52,1064046
2025-02-27,20.52,20.69,20.17,20.35,826455
2025-02-28,20.52,20.6,20.26,20.43,636651
2025-03-03,20.35,20.6,20.26,20.43,641070
2025-03-04,20.26,20.95,19.83,20.6,836899
2025-03-05,20.69,20.78,20.0,20.0,919121
2025-03-06,20.17,20.26,19.91,20.26,459957
2025-03-07,20.26,20.52,20.17,20.35,629788
2025-03-10,20.43,20.69,20.26,20.35,518193
2025-03-11,20.17,20.26,20.0,20.26,545553
2025-03-12,20.43,20.43,20.0,20.17,483610
2025-03-13,20.0,20.17,19.48,19.74,925386
2025-03-14,19.74,19.91,19.57,19.57,375549
2025-03-17,19.74,19.83,19.57,19.83,285220
2025-03-18,20.0,20.0,19.74,19.74,236723
2025-03-19,19.74,19.91,19.57,19.66,225659
2025-03-20,19.66,19.83,19.48,19.66,182200
2025-03-21,19.48,19.74,18.02,19.66,185295
2025-03-24,19.66,19.74,19.4,19.57,151890
2025-03-25,19.57,20.09,19.48,20.0,384519
2025-03-26,20.09,20.09,19.66,19.74,281164
2025-03-27,19.74,19.83,19.57,19.57,242848
2025-03-28,19.66,19.66,19.31,19.31,376211
2025-03-31,19.31,19.31,18.97,18.97,362521
2025-04-01,18.97,18.97,17.33,18.1,1896526
2025-04-02,18.1,18.28,17.67,17.76,336608
2025-04-03,17.24,17.67,16.04,16.04,974350
2025-04-04,14.48,15.52,14.48,14.48,1274066
2025-04-08,13.1,13.97,13.1,13.1,765002
2025-04-09,11.81,12.33,11.81,11.81,1168262
2025-04-10,12.93,12.93,12.24,12.93,166826
2025-04-11,11.64,14.22,11.64,13.19,1133626
2025-04-14,13.97,14.22,13.62,14.14,894826
2025-04-15,14.14,14.22,13.36,13.62,526391
2025-04-16,13.62,13.79,13.36,13.36,516093
2025-04-17,13.36,13.53,12.67,13.53,240461
2025-04-18,13.53,14.57,13.53,14.31,780000
2025-04-21,14.22,14.74,14.05,14.14,274817
2025-04-22,14.14,14.14,12.76,13.36,655006
2025-04-23,13.45,13.88,13.28,13.88,231538
2025-04-24,13.88,14.74,13.88,14.22,357156
2025-04-25,14.22,14.48,13.88,13.97,218458
2025-04-28,14.05,14.48,13.71,13.88,282988
2025-04-29,13.88,14.14,13.79,14.05,231386
2025-05-05,14.4,15.09,14.22,14.57,386456
2025-05-06,14.83,15.09,14.57,14.83,395879
2025-05-07,14.66,14.83,14.48,14.66,191910
2025-05-08,14.74,15.86,14.74,15.69,992691
2025-05-09,15.78,16.04,15.17,15.6,330610
2025-05-12,15.78,15.78,15.26,15.69,463536
2025-05-13,15.78,16.29,15.78,15.95,743133
2025-05-14,16.04,16.55,15.78,15.78,412178
2025-05-15,15.86,16.21,15.52,15.69,365154
2025-05-16,15.78,16.04,15.69,15.86,452645
2025-05-19,15.86,16.47,15.43,16.04,559629
2025-05-20,16.04,16.29,15.95,16.21,261484
2025-05-21,16.21,16.38,15.86,15.95,428797
2025-05-22,15.86,16.21,15.78,15.78,378118
2025-05-23,15.78,16.04,15.6,15.78,180645
2025-05-26,15.95,16.55,15.52,16.55,766627
2025-05-27,16.55,16.64,16.47,16.47,418874
2025-05-28,16.55,16.72,16.21,16.38,549767
2025-05-29,16.55,16.55,16.12,16.38,698348
2025-05-30,17.1,17.1,16.5,16.7,343697
2025-06-02,16.7,17.3,16.5,17.0,466351
2025-06-03,17.0,17.5,16.9,17.4,543981
2025-06-04,17.6,18.0,17.1,17.7,539269
2025-06-05,17.7,18.4,17.6,17.9,684413
2025-06-06,18.1,18.2,16.2,17.0,969935
2025-06-09,17.0,17.0,16.6,16.6,182606
2025-06-10,16.5,17.1,16.5,16.6,162655
2025-06-11,16.6,16.9,16.3,16.6,274053
2025-06-12,16.6,16.8,15.8,16.8,275700
2025-06-13,16.5,16.8,15.9,16.3,564200
2025-06-16,16.4,17.2,16.4,16.6,279200
2025-06-17,17.4,17.4,16.2,16.7,328200
2025-06-18,16.9,16.9,16.4,16.6,181600
2025-06-19,16.6,16.7,16.4,16.5,268700
2025-06-20,16.6,16.6,16.2,16.4,208300
2025-06-23,16.3,16.9,16.1,16.7,456900
2025-06-24,16.6,16.9,16.5,16.6,296300
2025-06-25,16.8,17.0,16.5,16.7,513400
2025-06-26,16.8,17.3,16.7,17.3,861800
2025-06-27,17.4,17.4,16.9,17.1,401000
2025-06-30,17.1,17.7,16.9,17.1,351500
2025-07-01,17.0,17.2,16.7,16.8,409100
2025-07-02,16.7,17.7,16.7,17.2,947200
2025-07-03,17.0,17.3,16.8,16.9,534600
2025-07-04,16.9,17.1,16.7,16.9,416500
2025-07-07,16.9,17.4,16.8,17.3,419000
2025-07-08,17.4,18.1,17.3,17.7,801200
2025-07-09,17.7,18.2,17.6,17.6,548300
2025-07-10,17.6,18.0,17.2,17.6,390200
2025-07-11,17.6,17.9,17.2,17.4,655900
2025-07-14,17.5,17.8,17.0,17.7,793500
2025-07-15,17.7,18.1,17.7,17.7,678100
2025-07-16,17.7,18.5,17.6,18.5,1472300
2025-07-17,18.5,19.2,18.2,19.0,1416200
2025-07-18,19.1,19.2,18.6,18.8,898100
2025-07-21,18.8,18.9,18.2,18.2,771700
2025-07-22,18.2,18.7,18.0,18.7,662900
2025-07-23,18.9,19.1,18.5,18.7,866000
2025-07-24,18.7,19.1,18.5,18.9,828700
2025-07-25,19.0,19.0,18.6,18.8,585900
2025-07-28,18.9,19.3,18.7,19.3,1499900
2025-07-29,19.3,19.8,17.4,17.4,2058900
2025-07-30,17.4,19.1,17.1,19.1,1411900
2025-07-31,20.1,21.0,19.9,20.2,2466200
2025-08-01,20.2,20.5,19.5,19.6,1076400
2025-08-04,19.8,20.5,19.6,20.5,1453100
2025-08-05,20.8,21.4,19.4,20.1,2845700
2025-08-06,20.1,20.6,20.1,20.4,679300
2025-08-07,20.8,21.5,20.5,20.8,1458900
2025-08-08,20.8,22.3,20.8,22.2,2500900
2025-08-11,22.3,23.5,22.3,23.0,1651900
2025-08-12,23.0,23.2,22.0,23.1,1755700
2025-08-13,23.1,23.5,22.3,22.7,1517100
2025-08-14,23.0,23.3,22.3,22.7,1395300
2025-08-15,22.9,23.0,21.9,22.3,1516200
2025-08-18,22.3,23.1,22.0,22.7,924800
2025-08-19,22.7,23.7,22.7,23.2,1842600
2025-08-20,23.4,23.4,21.5,21.7,1646300
2025-08-21,21.8,22.5,21.2,22.0,1463000
2025-08-22,22.0,22.0,19.9,20.2,1613200
2025-08-25,20.2,20.8,20.0,20.5,982300
2025-08-26,20.5,21.2,20.4,21.2,445200
2025-08-27,21.3,21.5,20.7,20.9,606300
2025-08-28,20.4,21.2,20.4,20.6,565800
2025-08-29,20.7,21.1,20.6,20.7,1143200
2025-09-03,20.9,21.4,20.8,21.2,677400
2025-09-04,21.3,21.9,21.2,21.7,1066700
2025-09-05,21.9,22.7,21.9,22.0,2215800
2025-09-08,22.3,22.3,21.0,21.1,916100
2025-09-09,21.1,21.3,20.7,21.1,521100
2025-09-10,21.4,21.5,20.7,20.7,367500
2025-09-11,20.7,20.8,19.8,20.8,945600
2025-09-12,20.9,21.2,20.8,20.9,487800
2025-09-15,20.9,21.9,20.8,21.9,975600
2025-09-16,21.9,22.4,21.4,21.4,614800
2025-09-17,21.4,21.5,21.0,21.0,423000
2025-09-18,21.0,21.2,20.7,20.8,335900
2025-09-19,21.2,21.2,20.7,21.0,241200
2025-09-22,21.1,21.1,20.3,20.6,641400
2025-09-23,20.8,20.8,20.3,20.5,313600
2025-09-24,20.5,20.7,20.3,20.7,336200
2025-09-25,20.8,21.2,20.8,21.2,408300
2025-09-26,21.3,23.0,21.2,22.3,2766900
2025-09-29,22.4,22.7,21.8,21.8,655700
2025-09-30,21.8,22.0,21.1,22.0,1141600
2025-10-01,22.1,22.2,21.7,22.0,430000
2025-10-02,22.0,22.5,21.4,21.5,597600
2025-10-03,21.5,21.7,20.7,21.0,594400
2025-10-06,20.9,21.7,20.9,21.6,790300
2025-10-07,21.6,22.3,21.3,21.3,290200
2025-10-08,21.5,22.0,21.2,21.5,400000
2025-10-09,21.5,22.4,21.4,22.4,1123000
2025-10-10,22.4,22.9,22.0,22.0,826800
2025-10-13,21.6,22.9,21.2,22.9,1541800
2025-10-14,23.0,23.4,21.8,21.9,1463100
