date,open,high,low,close,volume
2024-01-16,3.65,3.73,3.64,3.65,5300
2024-01-17,3.65,3.74,3.65,3.74,8200
2024-01-18,3.74,3.74,3.74,3.74,0
2024-01-19,3.7,3.74,3.7,3.74,6900
2024-01-22,3.53,3.77,3.53,3.61,5100
2024-01-23,3.62,3.74,3.62,3.73,3850
2024-01-24,3.6,3.75,3.6,3.7,3700
2024-01-25,3.7,3.7,3.6,3.62,1300
2024-01-26,3.62,3.62,3.62,3.62,800
2024-01-29,3.62,3.72,3.62,3.63,1500
2024-01-30,3.63,3.75,3.63,3.73,12542
2024-01-31,3.75,3.75,3.62,3.62,502
2024-02-01,3.8,3.85,3.7,3.75,2167
2024-02-02,3.84,3.84,3.54,3.77,5335
2024-02-05,3.77,3.79,3.63,3.67,2101
2024-02-06,3.67,3.78,3.61,3.73,1807
2024-02-07,3.61,3.73,3.61,3.73,4101
2024-02-15,3.73,3.78,3.7,3.74,19737
2024-02-16,3.74,3.74,3.66,3.66,1701
2024-02-19,3.77,3.8,3.66,3.77,10400
2024-02-20,3.77,3.77,3.65,3.76,1850
2024-02-21,3.69,3.76,3.69,3.75,2100
2024-02-22,3.7,3.74,3.66,3.73,7900
2024-02-23,3.7,3.78,3.7,3.73,42540
2024-02-26,3.7,3.73,3.7,3.73,19612
2024-02-27,3.7,3.86,3.7,3.76,18300
2024-02-28,3.75,3.75,3.7,3.7,5250
2024-02-29,3.75,3.75,3.7,3.73,5300
2024-03-01,3.73,3.75,3.73,3.73,21300
2024-03-04,3.73,3.76,3.73,3.73,22211
2024-03-05,3.77,3.77,3.73,3.75,3800
2024-03-06,3.74,3.75,3.73,3.75,20700
2024-03-07,3.75,3.75,3.73,3.75,6701
2024-03-08,3.75,3.75,3.73,3.73,3901
2024-03-11,3.73,3.73,3.73,3.73,2500
2024-03-12,3.74,3.75,3.73,3.73,16802
2024-03-13,3.73,3.73,3.73,3.73,1502
2024-03-14,3.76,3.85,3.76,3.85,32400
2024-03-15,3.8,3.85,3.73,3.85,14400
2024-03-18,3.74,3.85,3.74,3.74,23600
2024-03-19,3.65,3.75,3.65,3.75,1600
2024-03-20,3.76,4.01,3.76,4.01,258375
2024-03-21,4.29,4.29,4.04,4.04,11792
2024-03-22,4.02,4.02,3.76,3.76,184085
2024-03-25,3.77,3.92,3.76,3.76,16351
2024-03-26,3.76,3.85,3.76,3.76,12609
2024-03-27,3.76,3.77,3.76,3.76,11845
2024-03-28,3.76,3.79,3.75,3.79,13010
2024-03-29,3.79,3.9,3.79,3.8,9200
2024-04-01,3.8,3.82,3.8,3.8,19436
2024-04-02,3.8,4.06,3.8,3.86,88415
2024-04-03,4.13,4.13,4.0,4.13,43784
2024-04-04,4.1,4.41,4.1,4.39,48281
2024-04-05,4.3,4.6,4.3,4.6,49883
2024-04-08,4.6,4.7,4.5,4.65,22786
2024-04-09,4.65,4.97,4.65,4.97,41465
2024-04-10,4.82,5.31,4.82,5.31,35930
2024-04-11,5.68,5.68,5.68,5.68,14302
2024-04-12,6.07,6.07,6.06,6.07,341099
2024-04-15,6.48,6.49,6.48,6.48,237013
2024-04-16,6.03,6.03,6.03,6.03,53030
2024-04-17,5.61,5.61,5.61,5.61,13574
2024-04-19,5.22,5.22,5.22,5.22,12305
2024-04-22,4.86,5.3,4.86,5.22,333611
2024-04-23,5.23,5.58,5.22,5.58,48942
2024-04-24,5.97,5.97,5.92,5.97,91521
2024-04-25,6.1,6.1,5.9,5.95,71217
2024-04-26,5.95,6.36,5.95,6.36,120396
2024-05-02,6.8,6.8,6.8,6.8,36025
2024-05-03,7.27,7.27,7.27,7.27,256124
2024-05-06,7.7,7.77,7.51,7.51,243639
2024-05-07,7.22,7.9,7.22,7.5,154789
2024-05-08,7.25,7.9,6.98,7.25,260908
2024-05-09,7.25,7.25,6.8,6.86,57853
2024-05-10,7.14,7.17,6.46,6.49,55882
2024-05-13,6.4,6.85,6.3,6.5,42106
2024-05-14,6.5,6.63,6.06,6.59,130468
2024-05-15,6.9,7.05,6.6,7.05,39522
2024-05-16,7.2,7.2,6.56,6.56,81501
2024-05-17,6.59,6.59,6.36,6.45,148700
2024-05-20,6.5,6.9,6.5,6.79,76415
2024-05-21,6.79,6.79,6.32,6.74,22800
2024-05-22,6.5,6.73,6.32,6.67,28330
2024-05-23,6.67,6.67,6.3,6.6,6805
2024-05-24,6.32,6.55,6.32,6.42,11911
2024-05-27,5.98,6.41,5.98,6.02,32025
2024-05-28,5.9,6.3,5.9,6.3,9800
2024-05-29,6.46,6.46,6.13,6.13,9800
2024-05-30,6.13,6.25,5.9,6.2,12203
2024-05-31,6.2,6.2,6.0,6.0,5289
2024-06-03,5.99,6.29,5.99,6.2,12733
2024-06-04,6.05,6.18,6.0,6.1,10911
2024-06-05,6.2,6.2,6.11,6.2,17240
2024-06-06,6.2,6.2,6.1,6.2,6276
2024-06-07,6.23,6.23,6.0,6.19,15200
2024-06-10,6.19,6.2,6.17,6.17,9700
2024-06-11,6.08,6.08,5.96,6.05,6700
2024-06-12,6.19,6.19,5.7,5.7,22000
2024-06-13,5.99,6.09,5.98,6.03,13578
2024-06-14,6.29,6.29,6.01,6.01,23426
2024-06-17,5.8,5.81,5.59,5.75,28431
2024-06-18,5.6,5.79,5.37,5.51,17387
2024-06-19,5.5,5.5,5.45,5.45,17017
2024-06-20,5.72,5.72,5.35,5.5,5520
2024-06-21,5.49,5.49,5.22,5.23,9411
2024-06-24,5.23,5.29,5.12,5.12,9377
2024-06-25,5.05,5.05,5.0,5.0,11090
2024-06-26,4.82,5.35,4.82,5.35,27553
2024-06-27,5.72,5.72,5.72,5.72,27210
2024-06-28,6.12,6.12,5.73,6.12,65898
2024-07-01,6.51,6.51,5.7,6.09,5049
2024-07-02,6.09,6.2,6.09,6.12,521
2024-07-03,5.71,6.05,5.7,6.0,20203
2024-07-04,6.09,6.09,5.58,5.62,7205
2024-07-05,5.25,5.57,5.24,5.24,8504
2024-07-08,5.24,5.4,5.24,5.24,7400
2024-07-09,5.25,5.55,5.25,5.55,6102
2024-07-10,5.92,5.92,5.55,5.74,4610
2024-07-11,5.98,5.98,5.5,5.89,2600
2024-07-12,5.83,5.83,5.48,5.48,15801
2024-07-15,5.48,5.48,5.48,5.48,1504
2024-07-16,5.46,5.46,5.4,5.4,1601
2024-07-17,5.06,5.2,5.03,5.03,8005
2024-07-18,4.7,5.1,4.7,5.1,8000
2024-07-19,5.24,5.24,4.75,5.1,2300
2024-07-22,4.75,5.1,4.75,5.1,10100
2024-07-23,5.1,5.1,4.77,5.1,1001
2024-07-24,4.76,4.76,4.76,4.76,2000
2024-07-25,5.07,5.07,4.77,4.97,801
2024-07-26,4.69,4.95,4.63,4.95,14500
2024-07-29,5.08,5.08,4.62,5.0,2700
2024-07-30,4.68,4.69,4.65,4.65,5600
2024-07-31,4.69,4.7,4.69,4.69,5000
2024-08-01,4.39,4.69,4.37,4.69,6700
2024-08-02,4.68,4.94,4.67,4.94,3900
2024-08-05,4.94,4.94,4.6,4.9,3000
2024-08-06,4.9,4.9,4.6,4.87,700
2024-08-07,5.0,5.0,4.54,4.93,1400
2024-08-08,4.59,4.59,4.59,4.59,8400
2024-08-09,4.27,4.27,4.27,4.27,9000
2024-08-12,3.98,3.98,3.98,3.98,13600
2024-08-13,3.71,3.98,3.71,3.75,145600
2024-08-14,3.98,4.01,3.79,3.79,10100
2024-08-15,4.05,4.05,3.63,3.7,32900
2024-08-16,3.71,3.89,3.7,3.8,41000
2024-08-19,3.82,4.05,3.82,3.99,8200
2024-08-20,3.79,4.02,3.79,4.0,17100
2024-08-21,3.82,4.09,3.79,4.01,2800
2024-08-22,4.0,4.0,3.78,3.78,30700
2024-08-23,3.8,3.89,3.8,3.88,13200
2024-08-26,3.94,3.94,3.81,3.87,20500
2024-08-27,3.87,3.88,3.7,3.7,8100
2024-08-28,3.71,3.75,3.63,3.75,48900
2024-08-29,3.8,3.8,3.72,3.72,300
2024-08-30,3.71,3.75,3.7,3.72,17900
2024-09-04,3.71,3.75,3.71,3.75,600
2024-09-05,3.75,3.77,3.75,3.77,21900
2024-09-06,3.77,3.78,3.7,3.77,12300
2024-09-09,3.61,3.75,3.61,3.73,400
2024-09-10,3.73,3.75,3.73,3.75,4700
2024-09-11,3.73,3.74,3.73,3.74,400
2024-09-12,3.74,3.76,3.7,3.76,28800
2024-09-13,3.76,3.94,3.76,3.77,9700
2024-09-16,3.77,3.8,3.7,3.77,24800
2024-09-17,3.77,3.77,3.7,3.77,45200
2024-09-18,3.85,3.85,3.8,3.84,600
2024-09-19,3.83,3.85,3.83,3.85,6000
2024-09-20,3.85,3.85,3.84,3.85,2200
2024-09-23,3.85,3.85,3.68,3.7,27400
