date,open,high,low,close,volume
2024-01-26,9.32,9.32,9.32,9.32,0
2024-01-29,9.32,9.49,9.0,9.0,600
2024-01-30,9.32,9.32,9.0,9.0,200
2024-01-31,9.08,9.32,8.91,9.32,17600
2024-02-01,9.32,9.73,9.32,9.73,401
2024-02-02,9.73,9.73,9.73,9.73,0
2024-02-05,9.57,9.57,9.57,9.57,1300
2024-02-06,9.49,9.49,9.49,9.49,500
2024-02-07,9.49,9.49,9.49,9.49,0
2024-02-15,9.49,9.49,9.49,9.49,17
2024-02-16,9.4,10.06,9.4,10.06,1500
2024-02-19,9.89,9.89,9.16,9.4,6500
2024-02-20,9.4,9.4,9.4,9.4,4000
2024-02-21,9.32,9.4,9.32,9.32,6900
2024-02-22,9.32,9.32,9.32,9.32,2700
2024-02-23,9.32,9.89,9.32,9.89,717
2024-02-26,9.89,9.89,9.89,9.89,0
2024-02-27,9.89,9.89,9.89,9.89,0
2024-02-28,10.06,10.06,9.16,9.98,2400
2024-02-29,9.73,9.73,9.73,9.73,4500
2024-03-01,9.81,9.89,9.81,9.89,2300
2024-03-04,9.89,9.89,9.89,9.89,10
2024-03-05,9.89,9.89,9.89,9.89,315
2024-03-06,9.89,9.89,9.89,9.89,500
2024-03-07,9.89,9.89,9.89,9.89,5
2024-03-08,9.73,9.73,9.73,9.73,105
2024-03-11,9.16,9.81,9.16,9.81,400
2024-03-12,9.81,9.81,9.81,9.81,0
2024-03-13,10.06,10.06,10.06,10.06,290
2024-03-14,9.18,10.06,9.1,10.06,20107
2024-03-15,9.8,9.88,9.27,9.88,8000
2024-03-18,9.18,9.97,9.18,9.97,2700
2024-03-19,9.97,9.97,9.97,9.97,25
2024-03-20,9.27,9.27,9.27,9.27,410
2024-03-21,9.62,9.88,9.18,9.18,3800
2024-03-22,9.62,9.62,9.62,9.62,200
2024-03-25,9.62,9.62,9.62,9.62,0
2024-03-26,9.18,9.71,8.83,9.71,7903
2024-03-27,9.71,9.71,9.71,9.71,5
2024-03-28,9.71,9.71,9.71,9.71,0
2024-03-29,9.71,9.71,9.71,9.71,10
2024-04-01,9.71,9.71,9.71,9.71,0
2024-04-02,9.8,9.8,9.8,9.8,100
2024-04-03,9.88,9.88,9.88,9.88,100
2024-04-04,9.8,9.8,9.8,9.8,200
2024-04-05,9.8,9.8,9.8,9.8,1
2024-04-08,9.8,9.8,9.8,9.8,50
2024-04-09,9.8,9.8,9.8,9.8,0
2024-04-10,9.71,9.71,9.71,9.71,110
2024-04-11,9.18,9.8,9.18,9.8,205
2024-04-12,9.8,9.8,9.8,9.8,0
2024-04-15,9.45,9.71,9.45,9.71,301
2024-04-16,9.18,9.97,9.18,9.97,400
2024-04-17,9.97,9.97,9.97,9.97,0
2024-04-19,9.36,9.97,9.36,9.97,4000
2024-04-22,9.97,9.97,9.97,9.97,58
2024-04-23,9.97,9.97,9.97,9.97,100
2024-04-24,9.97,9.97,9.97,9.97,0
2024-04-25,9.97,9.97,9.97,9.97,0
2024-04-26,9.97,10.85,9.97,10.85,500
2024-05-02,10.85,10.85,10.85,10.85,0
2024-05-03,10.85,10.85,10.85,10.85,0
2024-05-06,10.06,11.72,9.8,11.72,5730
2024-05-07,10.58,10.67,10.58,10.67,435
2024-05-08,9.71,10.93,9.71,9.88,308
2024-05-09,9.27,10.06,9.27,9.53,1710
