date,open,high,low,close,volume
2023-12-29,20.35,20.35,20.35,20.35,13
2024-01-02,20.35,20.35,20.35,20.35,0
2024-01-03,20.35,20.35,20.35,20.35,0
2024-01-04,19.14,19.14,19.14,19.14,600
2024-01-05,19.14,19.14,19.14,19.14,207
2024-01-08,19.14,19.14,19.14,19.14,5
2024-01-09,19.14,20.35,19.14,20.35,2009
2024-01-10,19.6,19.6,19.6,19.6,0
2024-01-11,19.6,19.6,19.6,19.6,400
2024-01-12,19.6,19.6,19.6,19.6,0
2024-01-15,19.6,19.6,19.6,19.6,5
2024-01-16,19.6,19.6,19.6,19.6,0
2024-01-17,20.25,20.25,19.7,20.16,4175
2024-01-18,20.16,20.16,20.16,20.16,208
2024-01-19,20.44,20.44,20.44,20.44,900
2024-01-22,20.44,20.44,20.44,20.44,0
2024-01-23,20.44,20.44,20.44,20.44,0
2024-01-24,20.44,20.44,20.44,20.44,700
2024-01-25,20.44,20.44,20.44,20.44,0
2024-01-26,20.44,20.44,20.44,20.44,800
2024-01-29,20.44,20.44,20.44,20.44,0
2024-01-30,20.44,20.44,20.44,20.44,0
2024-01-31,20.44,20.44,20.44,20.44,18
2024-02-01,20.44,20.44,20.44,20.44,0
2024-02-02,20.44,20.44,20.44,20.44,0
2024-02-05,19.51,19.51,19.51,19.51,3108
2024-02-06,19.51,19.51,19.51,19.51,0
2024-02-07,19.51,19.51,19.51,19.51,200
2024-02-15,19.6,19.6,19.6,19.6,300
2024-02-16,19.79,19.79,19.79,19.79,200
2024-02-19,19.79,19.79,19.79,19.79,0
2024-02-20,20.44,21.18,20.35,21.0,2775
2024-02-21,21.28,23.88,21.28,22.3,5005
2024-02-22,22.39,22.39,22.21,22.21,730
2024-02-23,20.72,20.72,20.63,20.63,3010
2024-02-26,20.63,20.63,20.63,20.63,1
2024-02-27,20.63,20.63,20.63,20.63,4
2024-02-28,21.28,21.28,20.9,20.9,1300
2024-02-29,20.35,20.44,18.58,20.44,3521
2024-03-01,19.05,21.28,19.05,20.25,2310
2024-03-04,20.81,20.81,20.44,20.44,2501
2024-03-05,20.81,21.28,20.81,21.28,967
2024-03-06,21.28,21.28,21.0,21.0,200
2024-03-07,21.37,21.37,21.37,21.37,103
2024-03-08,21.37,21.37,21.37,21.37,0
2024-03-11,21.28,21.28,19.14,19.14,1803
2024-03-12,21.0,21.28,20.9,20.9,300
2024-03-13,21.09,21.09,21.09,21.09,118
2024-03-14,21.09,21.09,21.09,21.09,0
2024-03-15,21.0,21.0,21.0,21.0,200
2024-03-18,21.0,21.0,21.0,21.0,0
2024-03-19,21.0,21.0,21.0,21.0,35
2024-03-20,19.51,19.51,19.51,19.51,100
2024-03-21,20.63,20.63,20.63,20.63,100
2024-03-22,20.53,20.81,20.53,20.81,701
2024-03-25,21.28,21.28,20.63,20.63,425
2024-03-26,19.6,21.28,19.6,21.28,500
2024-03-27,21.09,21.09,21.09,21.09,120
2024-03-28,21.09,21.09,21.09,21.09,59
2024-03-29,21.09,21.09,21.09,21.09,23
2024-04-01,19.7,19.7,19.7,19.7,154
2024-04-02,19.7,19.7,19.7,19.7,39
2024-04-03,20.9,20.9,20.9,20.9,113
2024-04-04,20.9,20.9,20.81,20.81,230
2024-04-05,20.9,20.9,20.9,20.9,9
2024-04-08,20.9,20.9,20.9,20.9,14
2024-04-09,20.81,20.81,20.81,20.81,667
2024-04-10,20.81,20.81,20.35,20.63,863
2024-04-11,18.95,20.72,18.95,20.72,809
2024-04-12,20.53,20.53,19.05,19.42,4586
2024-04-15,20.35,20.35,19.14,19.14,2707
2024-04-16,19.42,19.42,19.14,19.14,1412
2024-04-17,19.14,19.14,18.58,18.58,625
2024-04-19,18.12,18.95,18.12,18.95,4620
2024-04-22,20.16,20.16,18.58,18.58,500
2024-04-23,19.05,19.05,19.05,19.05,105
2024-04-24,19.05,19.05,19.05,19.05,1400
2024-04-25,19.42,19.42,18.95,18.95,1105
2024-04-26,18.12,18.86,18.12,18.21,500
2024-05-02,18.3,20.35,18.3,20.35,6213
2024-05-03,20.35,20.35,20.35,20.35,505
2024-05-06,19.05,19.05,19.05,19.05,205
2024-05-07,19.23,19.23,19.23,19.23,103
2024-05-08,19.23,19.7,19.23,19.7,1109
2024-05-09,19.6,19.6,19.6,19.6,322
2024-05-10,19.51,19.51,19.51,19.51,2000
2024-05-13,19.51,19.51,19.51,19.51,16
2024-05-14,19.7,21.09,19.51,20.44,9425
2024-05-15,21.28,21.28,21.28,21.28,100
2024-05-16,21.28,21.28,20.44,20.44,305
2024-05-17,21.0,21.0,21.0,21.0,0
2024-05-20,22.76,22.76,22.67,22.67,501
2024-05-21,22.76,22.76,22.76,22.76,0
2024-05-22,22.21,22.21,22.21,22.21,102
2024-05-23,22.21,22.21,22.21,22.21,0
2024-05-24,19.98,19.98,19.98,19.98,118
2024-05-27,19.98,19.98,19.98,19.98,5
2024-05-28,19.98,19.98,19.98,19.98,4
2024-05-29,20.07,22.21,20.07,22.21,600
2024-05-30,20.44,20.44,20.44,20.44,1
2024-05-31,20.44,20.44,20.44,20.44,645
2024-06-03,20.72,20.9,20.72,20.9,413
2024-06-04,20.9,20.9,20.9,20.9,15
2024-06-05,20.9,20.9,20.9,20.9,113
2024-06-06,20.44,21.37,20.44,21.37,4400
2024-06-07,22.21,22.3,21.93,22.11,3773
2024-06-10,22.11,22.11,19.6,21.37,3251
2024-06-11,21.83,21.83,21.28,21.37,3340
2024-06-12,21.83,22.21,21.83,22.21,556
2024-06-13,21.93,21.93,21.37,21.37,1100
2024-06-14,21.55,22.3,21.55,22.3,2200
2024-06-17,21.93,22.02,21.93,22.02,772
2024-06-18,22.02,23.23,22.02,23.23,8772
2024-06-19,23.88,26.01,23.88,26.01,12446
2024-06-20,28.89,28.89,28.89,28.89,834
2024-06-21,33.17,33.17,33.17,33.17,6109
2024-06-24,38.09,38.09,37.16,38.09,65270
2024-06-25,40.32,43.76,40.32,42.0,29207
2024-06-26,42.55,42.65,36.7,36.7,16083
2024-06-27,36.7,37.16,32.89,32.98,15513
2024-06-28,32.89,32.89,29.45,29.73,14012
2024-07-01,31.59,34.47,30.01,34.38,6332
2024-07-02,32.52,37.16,32.52,37.16,6773
2024-07-03,41.53,41.53,33.73,34.19,1883
2024-07-04,34.0,37.16,34.0,34.47,2100
2024-07-05,30.66,37.35,30.66,35.77,1351
2024-07-08,35.31,35.31,34.84,34.84,1101
2024-07-09,32.52,34.28,32.52,34.28,1086
2024-07-10,33.73,35.31,31.59,33.73,5856
2024-07-11,30.66,37.16,30.66,37.16,634
2024-07-12,32.52,34.84,31.59,31.59,7900
2024-07-15,32.33,33.91,31.59,31.59,1209
2024-07-16,32.24,32.52,32.24,32.24,5302
2024-07-17,32.33,33.45,32.33,33.45,206
2024-07-18,32.89,32.89,32.89,32.89,1
2024-07-19,31.4,31.4,30.66,30.66,3120
2024-07-22,31.12,31.12,31.12,31.12,1144
2024-07-23,31.12,31.12,31.03,31.03,423
2024-07-24,29.82,30.2,29.82,29.92,3750
2024-07-25,31.12,31.12,31.12,31.12,109
2024-07-26,31.12,31.12,31.12,31.12,0
2024-07-29,31.12,31.12,31.12,31.12,106
2024-07-30,29.73,29.73,29.73,29.73,629
2024-07-31,29.73,29.73,29.73,29.73,3351
2024-08-01,29.27,29.27,29.27,29.27,1013
2024-08-02,29.27,29.27,29.27,29.27,4407
2024-08-05,29.27,29.27,29.27,29.27,302
2024-08-06,28.8,28.8,28.8,28.8,111
2024-08-07,28.71,28.71,28.71,28.71,200
2024-08-08,27.87,27.87,27.87,27.87,116
2024-08-09,27.87,27.87,27.87,27.87,1
2024-08-12,24.25,27.87,24.25,27.87,235
2024-08-13,26.29,28.8,26.29,28.8,902
2024-08-14,28.24,28.24,28.24,28.24,102
2024-08-15,28.24,28.24,28.24,28.24,15
2024-08-16,27.0,27.96,27.0,27.86,401
2024-08-19,27.86,27.86,27.67,27.67,1324
2024-08-20,27.67,27.67,27.67,27.67,3
2024-08-21,25.46,30.65,25.36,29.69,410
2024-08-22,29.69,29.69,29.49,29.69,903
2024-08-23,29.59,29.59,29.59,29.59,0
2024-08-26,27.38,27.38,26.9,26.9,3827
2024-08-27,29.78,29.78,29.78,29.78,244
2024-08-28,27.19,29.69,26.42,29.69,3701
2024-08-29,27.0,27.0,27.0,27.0,20
2024-08-30,27.0,29.11,27.0,29.11,704
2024-09-04,27.09,27.28,26.61,26.71,3702
2024-09-05,26.8,26.9,26.8,26.9,601
2024-09-06,26.42,26.42,26.23,26.23,2011
2024-09-09,26.32,26.32,26.32,26.32,205
2024-09-10,26.32,26.32,26.32,26.32,200
2024-09-11,27.0,27.0,26.8,26.8,400
2024-09-12,26.9,26.9,26.9,26.9,0
2024-09-13,26.8,26.8,26.61,26.61,209
2024-09-16,26.71,26.71,26.71,26.71,37
2024-09-17,24.31,25.94,24.31,24.98,3810
2024-09-18,24.59,24.59,24.59,24.59,7
2024-09-19,27.67,27.67,27.28,27.38,313
2024-09-20,27.19,27.19,25.07,27.09,806
2024-09-23,26.13,26.8,26.13,26.8,243
2024-09-24,27.19,27.19,27.19,27.19,100
2024-09-25,26.9,26.9,26.13,26.13,3212
2024-09-26,26.23,26.23,26.13,26.13,1641
2024-09-27,25.84,26.13,25.07,25.07,1607
2024-09-30,26.32,26.32,26.32,26.32,100
2024-10-01,26.32,26.32,25.94,25.94,9100
2024-10-02,26.32,26.32,26.32,26.32,103
2024-10-03,24.98,26.23,24.5,24.59,2297
2024-10-04,26.03,26.03,26.03,26.03,100
2024-10-07,26.03,26.03,26.03,26.03,1
2024-10-08,25.94,25.94,23.15,23.15,1164
2024-10-09,23.73,24.02,23.73,24.02,1329
2024-10-10,23.73,23.73,23.73,23.73,51
2024-10-11,23.83,24.02,23.83,24.02,419
2024-10-14,24.02,24.02,24.02,24.02,119
2024-10-15,24.02,24.02,24.02,24.02,1503
2024-10-16,24.02,24.02,24.02,24.02,1300
2024-10-17,24.02,24.02,24.02,24.02,510
2024-10-18,24.02,24.02,24.02,24.02,1401
2024-10-21,24.02,24.02,24.02,24.02,1500
2024-10-22,23.92,23.92,23.92,23.92,101
2024-10-23,23.15,23.15,23.06,23.06,800
2024-10-24,23.25,23.25,23.25,23.25,147
2024-10-25,22.77,22.77,22.77,22.77,100
2024-10-28,22.77,22.77,22.77,22.77,3
2024-10-29,23.83,23.83,23.83,23.83,103
2024-10-30,23.83,23.83,23.83,23.83,7
2024-10-31,23.83,23.83,23.83,23.83,0
2024-11-01,22.77,22.77,22.67,22.67,2900
2024-11-04,22.1,22.1,22.1,22.1,503
2024-11-05,22.58,22.58,22.58,22.58,900
2024-11-06,22.58,22.58,22.29,22.29,3400
2024-11-07,22.58,22.58,21.23,21.23,805
2024-11-08,22.58,25.07,22.58,25.07,25343
2024-11-11,27.57,27.67,27.38,27.67,23612
2024-11-12,29.78,29.78,26.9,27.86,10062
2024-11-13,27.38,28.82,26.52,27.38,12601
2024-11-14,29.59,29.59,26.42,26.42,6313
2024-11-15,27.09,27.09,26.13,26.9,10404
2024-11-18,26.9,26.9,25.94,25.94,5023
2024-11-19,27.09,27.09,25.75,25.75,9149
2024-11-20,26.03,26.13,23.35,23.35,1245
2024-11-21,26.52,26.52,26.42,26.42,1100
2024-11-22,26.42,26.42,25.94,26.32,1302
2024-11-25,25.94,25.94,25.27,25.27,3715
2024-11-26,25.27,25.84,25.27,25.84,932
2024-11-27,25.75,25.75,25.75,25.75,401
2024-11-28,24.98,25.46,24.98,25.46,810
2024-11-29,25.65,25.75,25.46,25.46,905
2024-12-02,24.11,25.46,24.02,25.46,1600
2024-12-03,24.79,24.98,24.79,24.98,401
2024-12-04,25.07,25.65,24.98,25.65,1800
2024-12-05,25.36,25.46,24.98,24.98,717
2024-12-06,25.27,25.36,25.07,25.07,1400
2024-12-09,25.27,25.27,23.54,24.21,1300
2024-12-10,24.02,24.98,24.02,24.98,1600
2024-12-11,25.17,25.17,24.98,24.98,500
2024-12-12,24.79,24.79,24.5,24.5,1600
2024-12-13,24.5,24.5,24.21,24.21,700
2024-12-16,24.31,24.31,24.21,24.21,1100
2024-12-17,24.02,24.5,24.02,24.11,1200
2024-12-18,24.21,24.21,24.21,24.21,1300
2024-12-19,24.02,24.98,24.02,24.21,2000
2024-12-20,24.31,25.27,24.21,24.5,5700
2024-12-23,24.98,26.71,24.98,26.23,15600
2024-12-24,25.94,29.49,25.94,29.49,46093
2024-12-25,29.78,31.99,29.49,29.49,17999
2024-12-26,28.92,28.92,26.23,27.28,22088
2024-12-27,27.38,27.38,25.94,26.61,12360
2024-12-30,26.52,27.0,25.94,25.94,4489
2024-12-31,25.94,26.42,25.94,26.42,5414
2025-01-02,25.94,26.9,25.94,26.71,900
2025-01-03,27.96,27.96,26.03,26.42,6500
2025-01-06,26.42,26.8,24.98,26.03,11718
2025-01-07,24.31,25.94,24.31,25.94,5602
2025-01-08,25.84,25.84,25.07,25.84,8926
2025-01-09,25.84,25.84,25.55,25.84,11500
2025-01-10,25.75,26.32,25.07,25.07,1700
2025-01-13,25.55,25.84,25.17,25.84,3300
2025-01-14,26.03,29.59,26.03,27.96,31473
2025-01-15,27.86,27.86,27.0,27.67,5380
2025-01-16,27.38,27.38,26.61,27.38,11600
2025-01-17,27.96,28.63,27.67,28.15,20841
2025-01-20,28.72,31.7,28.72,30.55,26310
2025-01-21,31.51,31.61,29.78,31.13,24255
2025-01-22,31.13,32.18,30.84,31.32,19106
2025-01-23,31.7,31.7,30.26,30.65,7676
2025-01-24,30.93,31.13,30.07,30.26,7710
2025-02-03,29.21,29.4,26.9,29.4,6701
2025-02-04,28.63,28.63,27.86,28.63,4903
2025-02-05,28.34,30.45,28.24,29.78,12833
2025-02-06,29.4,30.65,28.82,30.07,4840
2025-02-07,28.82,30.65,28.82,29.21,21000
2025-02-10,29.21,29.21,28.05,28.05,11404
2025-02-11,28.05,29.01,28.05,28.63,2128
2025-02-12,28.53,28.53,27.57,27.57,9100
2025-02-13,27.76,27.76,27.57,27.57,5159
2025-02-14,27.57,27.57,27.19,27.57,5540
2025-02-17,27.57,28.05,27.09,27.19,7201
2025-02-18,27.19,31.32,27.19,28.05,4102
2025-02-19,29.01,29.01,27.96,28.72,6700
2025-02-20,29.21,29.21,28.24,28.34,4003
2025-02-21,27.96,28.34,27.86,27.86,8435
2025-02-24,27.86,27.86,27.48,27.48,8003
2025-02-25,27.67,27.67,27.38,27.67,8800
2025-02-26,27.67,29.3,27.67,28.34,14500
2025-02-27,28.15,28.34,28.05,28.34,4543
2025-02-28,28.72,28.82,28.34,28.44,15100
2025-03-03,28.82,28.82,28.05,28.24,2302
2025-03-04,28.24,28.34,27.86,28.15,4307
2025-03-05,28.05,28.05,28.05,28.05,0
2025-03-06,28.05,28.05,28.05,28.05,0
2025-03-07,28.05,28.05,27.67,27.86,8700
2025-03-10,27.76,27.76,27.48,27.48,2202
2025-03-11,27.09,27.67,27.09,27.67,3328
2025-03-12,27.48,27.96,27.48,27.67,3602
2025-03-13,27.57,27.57,27.38,27.38,3401
2025-03-14,27.38,27.48,27.38,27.38,1321
2025-03-17,27.38,27.38,27.38,27.38,12
2025-03-18,27.48,27.48,27.38,27.48,1153
2025-03-19,27.48,27.57,27.48,27.57,1000
2025-03-20,27.48,27.48,27.48,27.48,3701
2025-03-21,27.57,27.57,27.48,27.48,1300
2025-03-24,27.19,27.19,27.19,27.19,101
2025-03-25,27.28,27.28,26.9,27.0,4101
2025-03-26,27.09,27.09,27.09,27.09,3400
2025-03-27,26.32,27.48,26.32,27.28,5501
2025-03-28,26.9,26.9,26.9,26.9,0
2025-03-31,26.9,26.9,26.9,26.9,100
2025-04-01,27.48,27.48,27.48,27.48,503
2025-04-02,27.38,27.38,26.42,27.09,2201
2025-04-03,26.42,27.09,24.21,24.98,8340
2025-04-04,23.25,24.98,23.25,24.98,2000
2025-04-08,22.1,24.79,22.1,24.31,4183
2025-04-09,24.31,24.31,23.92,23.92,1109
2025-04-10,25.46,25.75,24.59,24.59,8700
2025-04-11,24.98,25.17,24.98,24.98,600
2025-04-14,25.46,25.46,24.02,25.27,1400
2025-04-15,25.17,25.17,25.17,25.17,100
2025-04-16,24.21,25.17,24.21,25.17,900
2025-04-17,24.88,24.88,24.79,24.79,600
2025-04-18,25.27,25.27,25.07,25.27,300
2025-04-21,24.88,24.88,24.88,24.88,100
2025-04-22,24.59,24.59,24.02,24.02,1400
2025-04-23,24.11,24.88,24.11,24.88,700
2025-04-24,25.46,25.46,24.5,25.27,900
2025-04-25,25.17,25.17,25.17,25.17,200
2025-04-28,24.88,25.07,24.88,24.98,1500
2025-04-29,25.75,25.75,25.55,25.55,1301
2025-05-05,25.55,25.55,25.55,25.55,100
2025-05-06,25.55,25.55,25.55,25.55,0
2025-05-07,24.4,25.36,24.21,25.36,10600
